sample_id,reference,hypothesis,wer,cer
0,"Ɔbɛdii hene no, na wadi mfeɛ aduasa nnum, na ɔdii hene mfirinhyia aduonu nnum wɔ Yerusalem.","ɔbedii hene, na ɔdii mfie aduasa nnum, na ɔdii hene mfie aduonom nnum wɔ Yerusalem.",0.375,0.2329
1,Na Manoa ka kyerɛɛ AWURADE bɔfoɔ no sɛ: Wo din de sɛn?,Na ma no akyerɛ adaworoma foɔ no sɛ,0.75,0.4878
2,"Na Konania nso ne ne nuanom Semaia, Netanel, Hasabia, Yeiel ne Yosabad, Lewifoɔ asafohene no yii Twam nnwan mpemnum ne anantwie ahanum maa Lewifoɔ no.","Na Konania nso ne ne nnuanom Semaia, Netanel, Hasabia, Ieiel ne Josabad, Lewifo asafohene yii twene nguan mpem num ne anantwi aha num ma Lewifo no.",0.56,0.1157
3,"Na afoforɔ bi nso yɛɛ adwuma sɛ atwerɛfoɔ, mpanimfoɔ ne aponoanohwɛfoɔ.","Na afoforɔ bi nso yɛ adwuma sɛ atwerɛfoɔ, ɛmpɛnefoɔ ne aponano hwɛfoɔ.",0.3636,0.1017
4,"Na wɔrefiri adie no, Yehosafat gyinae na ɔkaa sɛ: Yuda ne Yerusalemfoɔ, montie me.","Nnawɔtwe deɛ no, Yehosafat gyinaa na ɔkaase, Yuda ne Yerusalemfoɔ, muntie me",0.5,0.2
5,Ɛnna Amasia bisaa Nyankopɔn nipa no sɛ: Na ɛdeɛn na yɛnyɛ dwetikɛseɛ ɔha a mede ama Israel asafo no?,"na ampa ara, bisa Nyankopɔn nipa no se, ""Na ɛdeɛn na ɛyɛ gyedie kɛseɛ oha a mede ama Israel asafo no?""",0.4737,0.175
6,"Afei, me Nyankopɔn, ma w’aniwa mmue ɛ, na yɛ aso ma ɛha yi mpaebɔ.","Afei m'Nyankopɔn, ma w'eniwa mmue, na yɛ aso mmie mpaebɔ",0.5,0.1875
7,"Na adeɛ biara a AWURADE Nyankopɔn agye de ama yɛn sɛ yɛnni soɔ no, ɛno na yɛbɛfa adi soɔ.","Na nea biara Awurade Nyankopɔn agye deɛ ma yɛn ne sɛ yɛnni so no, ɛno na yɛbɛfrɛ adisua.",0.4737,0.1739
8,"Ɛberɛ a wɔhyɛɛ mo so no, mosu frɛɛ me na megyee mo.","na m'ahyɛ mu hyɛno. Nso frɛ me, na megyee mu.",0.75,0.4474
9,"Na ɔfaa bi kura kɔe, na ɔrekorɔ na ɔredi, na ɔkɔduruu n’agya ne ne na nkyɛn, na ɔmaa wɔn bi dii; nanso wanka ankyerɛ wɔn sɛ gyata no yam na ɔyii ɛwoɔ no.","Na ɔfɛɛ bi kurakoraa, na ɔkɔɔ na ɔwii, na ɔkɔduruu gyata no nkyɛn, na ɔmaa ɔmbi di, nanso anka ɔkyerɛɛ no sɛ gyata no yem na ɔwiiɛ wɔ hɔ no.",0.5758,0.287
