sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",goode afternoon aunty it was been a bit difficult to be honest i feel like everything is just fine enough on me it is my uncle,1.0833,0.977
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",mpa mmarima no bi wɔ hɔ a wɔnam mu yɛ du na wɔn ho nso yɛ den nso mmaa no deɛ wɔayɛ diin asɛ yɛde mmara ahɔn mo so barima maame ɛta akasɛe nnua ba no deɛ noho dwɔ ɔtena fie ɔboa dua no yɛ ɔnka sɛntia mpanimfoɔ,0.5849,0.2486
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",mmarima bi a wɔn nan kye afa me sukuu dan nkyɛn na ɛsɛsɛn bi de sukuu dwumadie ɛɛ ɛma no ho ɔka nneɛma afa mmienu pɛ dua ho na ɔka nneɛma a ɛɛma me ɛɛma me ho ntɔmɛ tehyɛɛsɛn nea mmienu yɛ ɔbaa ntenten so,0.8409,0.5503
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nnansɔsre no sɛ aduane noa yɛ mmaa dwuma na mmesɛmmerɛ wɔ gyaade a yɛnhu mmesɛɛ nea aberanteɛ a mewaa hoɔ den a n ato me wɔ mpɔtam ha me nimisa anya no koraa hyɛ ahemfoɔ akuku dɛm a ɛwɔ nkran anaa mmeranteɛ a wɔnua nnuane ɛtɔn,0.7333,0.2022
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",ebi te ne akasa afa sɛ ne abasi akadaa bi ɛtɔ da ayɛ anɛden ɛsansan mbɛɛma no ayɛ na wɔn gye peneɛ ɛyɛma dɛsɛɛ ɛnyɛma pɛ ɛna mbɛɛdwe nsa nneɛma yi ho na wɔatwe abɛyima san ba bi mu,0.8182,0.3046
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",nhɔn atɔm ɛsan sɛ yɛdi adeɛ yi wɔn kɔmɔ dan na wɔsan me ka so obi pɛ sɛ ɔhyɛ mɛsomɛma yiɛ adeɛ a menpɛ sɛma yiɛ a sɛmpɔ wɔnyi nsɛmia ayɛ anaa nkurɔfoɔ kasa sobi kasa daabi a mpantra sɛ daabi ɛbɛda si wɔfa ebetim ahyia bi mu ɛbɛn adaa,0.7544,0.2827
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",wɔten kasa wɔayɛ akonnwa na wɔsorɛsɛ wɔbɛba so kumpo akwan bɛyɛ na wɔbɛfa soante daa bi a wɔbɛka no ɛyɛ mmrɛ bra nyinaa bra a obiara reyɛ adeɛ a ntia no mepɛsɛmɛ yɛ ɔkyerɛkyerɛfoɔ da bi nti mbɛbɔm mbɛbɔmɔden sɛ mɛtwe me ho afiri ɔha ho mbɛbɔmɔden sɛ mɛkɔ so de ma adwene si bibi so,0.6724,0.208
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",wɔ mmaa deɛ ɛsɛn adeɛ na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔmo na ɔ,5.4375,3.3362
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",mbenyin bi ho sɛ akonnwa mmaa bi a wɔsɛsɛ anaa anaa adwubɔ akonnwa na nso mɛtumi adima ebi si akyerɛse mpɛhyɛ a mbenyin bi nso adu nsɛmɛtumi ayɛ ade kɛseɛ anaa na atɔ mmaa bi a saa wɔ ha yi ayɛ sɛ na ɛsɔ sɛn nipa baako foɔ,0.913,0.5
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",wɔsusu sɛ sɛmmea wɔade wɔn mu dodoɔ a mpɔntem hɔforɔ bɛhwɛ ase nsusu sɛ yɛ kyerɛdi sɛ ɛsɛsɛ nneɛma yɛ sɛ afisɛ na ɛte saa brɛ nyinaa wɔde atetesɛn de dwuma sɛ kyɛm deɛma nkurɔfoɔ yɛ kɔnmu deɛdehwɛ a wɔhwɛ sum na efie ase,0.6327,0.24
