sample_id,reference,hypothesis,wer,cer
0,Suɔmi Yeɔ Bua Wɔ Nɛ Wa Daa Ninyɛ Nya,soɔme yii ɔ boa wɔ na wa daa ne nyɛnya,0.7778,0.25
1,MƐNI LƐ HAA NƐ KRISTOFO NO BUA JƆƆ?,mini lẹ haane kristo fonu gwajọɔ,1.0,0.2593
2,"Mo pia o he ngɛ o yayamihi a he, nɛ o pee tsakemi ngɛ o si himi mi",a o he ŋɛ o yɛya mii a he ni o pei chake mii gɛ o sihimi mi mo jɔɔ,0.7778,0.375
3,MOO KASE MATSƐ DAVID NƆ HYƐMI NƆ́ Ɔ,moo kase machɛ david nɔ hiɛmi nɔɔ,0.5,0.1111
4,NƆ́ NƐ E SA NƐ O PEE LOKO A BAPTISI MO,esà nɛ o pèe loko a baptismo,0.6364,0.2593
5,Yehowa Nɛ Ji Wa Tsɛ ɔ Suɔ Wɔ Wawɛɛ,yè hó wà néjí wàcẹ ọ sun ọwọ̀ wawẹ́,1.0,0.5769
6,Mɛni weku yi ko ma nyɛ maa pee kɛ tsɔɔ kaa e baa e he si?,mini we ku yiko manyɛma pe kɛ chɔɔn kan e baa e hesin,0.75,0.1951
7,"Marie-Line: Daa Hɔɛgbi ɔ, wa jɔɔ wa he, nɛ wa dlaa wa he kɛ haa asafo mi kpehi. Kɛ je Pɛplɛgbi kɛ yaa a, wa yaa fiɛɛmi.",aa huɛ gbiɔ wa jɔɔ wahe nɛ wa ndla wahe kɛ haan safom kpeiŋ kɛ je pɛplɛ gbi kɛ yaa wa yaa fiɛ mi m kasa,0.7407,0.2791
8,A ‘FƆ MƐ EKOHU’,a fɔ mɛ e ko,0.5,0.2
9,A FƆ MI NINE KAA MA SƆMƆ KAA KPƆ MI NƆ HYƐLƆ,afɔn minine ka masɔmɔ kan kpɔ minu hiɛlɔ,0.9167,0.1515
10,LOKO A MAA BAPTISI MO:,eloko amọ baptismoe,1.0,0.2941
11,NYƐƐ “DI NÍHI NƐ NGƆƆ TUE MI JƆMI KƐ BAA” A SE,niedi nii ne nnoɔtongyɔmi kɛbaa se,0.9167,0.4242
12,"Anɛ o pia o he ngɛ yayamihi nɛ o pee ɔmɛ a he, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa guɔ kɛ heɔ nɔ yi wami lo?",o pia o heŋayɛ yamii ne opiɔ ma he nɛ o jɔɔ o henu kɛ han yehoa nɛ o kplɛnu kaan yesu kristo nɔne yehoa gunɔ kɛ heɔ nu yi wami lo,0.5385,0.2095
13,WA NÍ TSUMI EHE KƐ E MI NYAGBAHI,wa nichum ehe kẹ eminyagbahi,0.75,0.2
14,O Ma Nyɛ Maa Pee Nɔ Nɛ Woɔ Ni Kpahi ‘A Bua Wawɛɛ Nitsɛ’,ò ma nɛ́ má peénoné wu ɔ ni kpãin a boa wa wɛɛ ni cɛ̀,0.9286,0.35
15,asafo mi nɔkɔtɔma ji mo?,ke a safu minɔkɔtɔmadimu,1.0,0.2632
16,YEHOWA HA WƆ TA BULI A HE PIƐ POMI NÍHI,yehowa ha wɔtabulin ayepia pominin,0.8,0.2
17,MƐNI MA NYƐ MA HA NƐ WAA PEE YEYEEYE?,mini manyɛ maanu waa pe ye yei yei,1.0,0.2143
18,ANƐ E SA NƐ WAA HAO KAA NIHI NƐ A YEƆ ABOLO Ɔ NƐ A NUƆ WAI Ɔ A YIBƆ NGƐ HƐ MI YAE LO?,ane esane wahawo kan nii ne ayeɔ abolo ɔ ne anuɔ wayɔ ayibɔnɛhɛm ya e lo,0.88,0.1833
19,"Ngɛ mɛni blɔhi a nɔ nɛ Yehowa tsɔɔ kaa e susuɔ wa he, nɛ e suɔ wɔ?",ŋɛmini blɔi anɔ ne yehaa chɔↄ kan e susuɔ wa he nɛ e suɔnwɔ,0.6471,0.25
20,Mɛni níhi ekpa nɛ wa ma nyɛ maa pee nɛ maa ye bua wɔ konɛ waa pee kpoo?,minii ni ye kpaanu waama nyɛma pi nɛ ma ye buao koni waa pi kpou,0.8333,0.3396
21,KE BAIBLO KASELƆ KO BƆNI ASAFO MI KPEHI YAMI,ke bablu kaselɔko bɔni asafu mikpen yam,0.7778,0.1667
22,Moo to blɔ nya ko nɛ ma kai mo. Mo set alarm ngɛ o klama a nɔ konɛ e kai mo nɛ o kane Baiblo ɔ daa ligbi.,moto bɔɲa ko ne ma kaimbo mosɛt alaam gɛ o klama nɔ ko ne e kaimbo ne o kandebai buluwɔ daaligbi,0.7857,0.2237
23,Ngɛ mɛni blɔ nɔ nɛ blema níhi nɛ a tsua si nɛ a na a yeɔ he odase kaa Belshazar hi si hyɛ ngɛ Babilon?,ŋamini blɔnu ne blemɔ nii ne atuasin,1.0,0.7143
24,"Loko o sɔlemi maa nu tso ɔ, mɛni ji ní komɛ nɛ o ma nyɛ maa pee?",loko osɔlemi manu chuɔ miliji ni komino manyi mapee,0.9412,0.2391
25,Sane Bimi Enyɔ Nɛ O Ma Ha Heto Ngɛ Ligbi Nɛ A Maa Baptisi Mo ɔ Nɔ,sandebimi e nyu nɛ o mahan he tongɛ ligbi nɛ ama baptis muɔnua,0.7647,0.1633
26,bwɔmi ha we nɛ waa pee babauu?,buɔm hãa wenɩ waa pɩ babao,0.8571,0.3478
27,HE DUMI KO NƐ NGƐ SLƆƆTO,hedum konɛŋgɛs loto,1.0,0.2105
28,MOO SU BAIBLO KASELƆ Ɔ TSUI HE,moosu baiblo kase lothwi he,0.7143,0.1667
29,"Mɛni he je nɛ e he hia wawɛɛ kaa wa maa su wa Baiblo kaseli ɔmɛ a tsui he, nɛ mɛni blɔ nɔ wa maa gu kɛ pee jã?",mini heje ne he hian wa wɛɛ kan wama suwa baiblo kaseliɔma chwi he nɛ mini blɔnu wama gun kɛ pee jan,0.7931,0.1875
30,Nɔ́ Nɛ O Maa Pee Konɛ O Sɔlemi Nɛ Nu Tso,nɔne o ma bekone o salimi ne nuco,0.8182,0.3448
31,Mɛni níhi nɛ e sa nɛ weku yi nɛ ha e weku mi bimɛ?,mini nii ne sane weku yi ne han eweku mibime,0.8571,0.2222
32,KƐ NƆ KO MA PLƐ KƐ LE KAA A PƆ LƐ NU HA KƐƐ?,kɛndukoma plɛn kɛ lekaa apɔlɛ nu ha kɛ,0.7857,0.1333
33,E MA BI NƐ O KƐ LƐ NƐ KPA NÍ KASEMI Ɔ LO?,e ma bi nɛ okɛlɛ nɛ kpa ni ka semiɔ lo,0.4615,0.0357
34,WA HIA KƐ YA ZUGBA KPƆ KPA MI,waxia kɛya zugbakpↄkpami,1.0,0.0909
35,WA BUA JƆƆ KE A NYƐ WƆ,wabua jɔ ke a nyɛ wɔ,0.4286,0.0625
36,KEKLEEKLE BE NƐ I KUƆ YOKU,keklekle be nɛ i kuɔ yoko,0.3333,0.0952
37,MOO HƐ MO KƐ SU MAWU HE NƐ O YA NƆ NƐ O NÁ BUA JƆMI,mboo hɛmbo kɛ sumɔn he ni o yanunu na bua jɔm,0.75,0.3056
38,MOO BU YEHOWA TUE KƐ TSƆƆ KAA O SUƆ LƐ,mobu yeho wà tue kɛ co kan u suɔ lɛ̀,0.6,0.2759
39,KE O PIƐƐ BAIBLO TSƆƆLƆ HE NƐ NYƐƐ KƐ NƆ KO NGƐ BAIBLO Ɔ KASEE,ke o piɛ baiblo chonlô he ni nyɛkɛ nuku ŋgɛ baiblo ka see,0.6667,0.25
40,Mɛni blɔ nɔ wa ma nyɛ maa gu kɛ je mi mi himi kpo mwɔnɛ ɔ?,mini blonɔ wamanyɛmaagu kɛji mimi hinkpomuɛnɔ,1.0,0.1905
41,SUƆMI NƐ WA NGƐ KƐ HA YEHOWA A YEƆ BUA WƆ NƐ WA DAA NINYƐ NYA,som ne wa ŋgâkɛ ha ye ho waa yiɔ bwa wɔ ne wa daa ni nyɛnya,0.75,0.1957
42,"Ke sane bimi nɛ ɔmɛ a heto ɔ ji ee ɔ, lɛɛ e sa nɛ nyɛmiyo ɔ nɛ ha e yi nɔ. Se ke heto ɔ ji dɛbi ɔ, lɛɛ e he hia we nɛ e ha e yi nɔ. *",ke sani bimi nɔɔ ma hetoↄ ji ee ↄ lɛ e sa ni nyimi yuↄ ni ha eyi nɔ se ke hetoↄji dɛ bi ↄ lɛ ee hianwe ni ha e yi nɔ,0.65,0.2045
43,ANƐ o suɔ nɛ a baptisi mo kaa Kristo kaselɔ lo? Suɔmi kɛ hɛsa kpo jemi wo nihi fuu he wami nɛ a ha nɛ a baptisi mɛ. Mo susu Etiopia manyɛ ɔ sɔmɔlɔ ɔ nɔ hyɛmi nɔ́ ɔ he nɛ o hyɛ.,suɔne abaptisimo kan kristo kase lɔlo suɔn mi kɛhensa kpoje mi wo niifu hewami ne ahane abaptisime mosuso itiopia manyaɔ sɔm lɔ nɔhiɛ mi naɔ he nohiɛ,0.9302,0.1769
44,"LOKO WA MA NYƐ MAA DA NINYƐ NYA A, MƐNI HE JE NƐ E SA NƐ . . .",lokowa ma nyɛ ma da ninyɛ nya mini heje nɛ e sa nɛ,0.4375,0.075
45,Asafo Kuu Ngua a Nɛ A Piɛɛ Jijɔ Kpa Amɛ A He ɔ Jeɔ Mawu Kɛ Kristo Yi,àsàfọkú nuanẹ àpìẹjíjọpáamẹ àhì ọjí ọ máwu kẹ kristo yì,0.9444,0.4902
46,Mo Ha Nɛ Suɔmi Nɛ O Ngɛ Kɛ Ha Yehowa a Nɛ Ha Nɛ A Baptisi Mo,suɔmi ne o ge kɛ ha ye howaa ne hana baptisimu,0.7647,0.2727
47,Mɛni he je nɛ tɔmi ko be he kaa wa maa pee yeyeeye be komɛ ɔ?,mini ejene tomi ko bee kuwamọpeye ye beko men,0.9375,0.3333
48,LÉONCE CRÉPEAULT NYA MI MUNYU,लेोन स्क्रेपोत हिसानी,1.0,1.0
49,MOO KASE MATSƐ YEHOSHAFAT,muukasi mwache yihushafati,1.0,0.4545
50,Nihewi—Mɛni Nyɛ Maa Pee Konɛ Ni Kpahi Nɛ A Ná Nyɛ Mi Hɛ Kɛ Nɔ Fɔmi?,niewi meni nyɛmanyamaa pee ko nɛ ni kpaai nɛ ana nyɛmi hɛ kɛnufɔn,0.8125,0.24
51,NƆ́ NƐ E SA NƐ O PEE NGƐ O BAPTISIMI SE,e sa ni o pee ŋɛ o bapti zimisi,0.5455,0.3214
52,Wa Suɔ Yehowa Nɛ Ji Wa Tsɛ ɔ Wawɛɛ,wàsùn wọn yèhó wà níjú wàcẹ ọ wà wẹ́ẹ̀,1.0,0.7308
53,Ngɛ mɛni blɔ nɔ nɛ he blɔ nɛ wekuyihi ngɛ ɔ ngɛ slɔɔto ngɛ he blɔ nɛ asafo mi nikɔtɔmahi ngɛ ɔ he?,ŋgɛ mini blônu ne heblô ni weku yii ŋgɛwɔ ŋgɛ slôto ŋgɛ heblô niasafomini kôtômai ŋâwô he,0.9565,0.3067
54,Mɛni blɔ nɔ wa maa gu kɛ ye bua wa Baiblo kaseli ɔmɛ konɛ a ya a hɛ mi?,mini blɔnɔ wamaa gu kɛ yebuawa baiblo kaseliɔmɛ kuna yaa hɛm,0.8421,0.0769
55,MOO YE BUA NI KPAHI NƐ A SUƆ WA TSƐ Ɔ,moyeboa ni kpani nɛ aswɔn wa kɛ ɔ,0.6364,0.2593
56,"Ke o pue o yi mi tɛ ngɛ sɔlemihi nɛ a ngma ngɛ Baiblo ɔ mi ɔ a he ɔ, kɛ e maa ye bua mo ha kɛɛ?",ké opúoyimtɛ́ŋɛ́ sɔlɩmiiné aŋmaŋɛ́ baɩblɔ mɩɔɔ ahɩɔ kɛ ɩmáyɩ bʊ́á mʊhá kɛɛ,0.9286,0.3939
57,NƆ́ NƐ E SA NƐ O LE NGƐ HE NƆ JƆƆMI KƐ BAPTISIMI HE,esa ne ole ñga heno jó mi ká baptisi mi heuk,1.0,0.3514
58,Mɛni lɛ wo nyɛ he wami nɛ nyɛɛ kɛ nyɛ he wo be tsuo sɔmɔmi ní tsumi ɔ mi?,ni lawuo nyehewoam na nyee kɛ nyehewo betuo somɔ minitumiɔ mi,0.8947,0.2778
59,"Ke waa kɛ kahi ngɛ kpee ɔ, mɛni maa ye bua wɔ nɛ waa ya nɔ nɛ wa ná bua jɔmi?",ke waa kẹka iŋẹ kpeyọ mini ma ye bọwọ nɛwa y anu nɛwa na bua jọm,0.8095,0.3091
60,Anɛ e sa nɛ waa hao kaa nihi nɛ a yeɔ abolo ɔ nɛ a nuɔ wai ɔ ngɛ Kaimi ɔ sisi ɔ a yibɔ ngɛ hɛ mi yae lo?,ane i sa ne wa hao kan nii ne ayeɔ aboloɔ ne anuɔ waiɔ ngɛ kai miɔ sisuɔ ayebɔ ŋɛhɛm yaelo,0.9,0.1757
61,MOO YE BUA O BAIBLO KASELƆ Ɔ KONƐ E WA NGƐ MUMI MI,mooyebua o baiblokaselɔɔ ko nɛ e waŋgɛ mumu mi,0.7692,0.0526
62,NƆ́ NƐ WA MA NYƐ MAA KASE NGƐ MATSƐ DAVID HE,nonu ŋwaa ma nyima kaa seŋɛ ma chɛ david heŋ,0.8182,0.3636
63,Kɛ wa ma plɛ kɛ suɔ Yehowa ha kɛɛ?,ɛkɛ soa ye ho a han kɛkwas,1.0,0.64
64,O Kɛ Bua Jɔmi Ma Nyɛ Maa Da Kahi A Nya,o kɛ bua jɔm ma nyima da kai anya,0.5455,0.1429
65,SUƆMI NƐ WA NGƐ KƐ HA WA NYƐMIMƐ ƆMƐ YEƆ BUA WƆ NƐ WA NYƐ DAA NINYƐ NYA,suɔmi na wa ŋgɛkɛa wa nyimi mɔɔmɛ yiɔ bua wɔ na wa ɲɛ daa niɲyɛnya,0.6111,0.1852
66,KOO YE GBEYE KAA O MAA SƆLE KƐ HA YEHOWA,woye gbeye kao maa sɔle ken ha ye howa,0.7,0.1613
67,Mɛni nyagbahi nɛ ma nyɛ ma puɛ bua jɔmi nɛ wa ngɛ ɔ?,mini nyagbai nɛma ɲyɛma puɛn buajɔmi nɛ waŋgɛo,0.9231,0.1538
68,Mɛni e sa nɛ o pee ngɛ o baptisimi se?,isa ni o pii ŋâ ú baptismisi la,0.9,0.5357
69,Ngɛ mɛni blɔ nɔ nɛ blema ningma ko maa nɔ mi kaa Baiblo ɔ mi munyuhi ji anɔkuale?,ngemini blo no ne blemanimmaku mano mi kan bai blo mimunui ji'ano kwali,0.9444,0.2698
70,Kɛ nɔ ko ma plɛ kɛ le kaa a pɔ lɛ nu ha kɛɛ?,kɛ nukoma plɛ kɛ lekaa a pɔlɛ nu han kɛɛ,0.5714,0.0667
71,MO SƆMƆ NI KPAHI KAA BƆ NƐ MARKO PEE Ɔ,mò sómó́ nì páyi ka n bọní mákò pe ọ,1.0,0.5172
72,YEHOWA JI TSƐ NƐ NGƐ SUƆMI NƐ SUSUƆ NƆ HE,yehua ji chɛ ni ŋa suom ne susuwo nu he,0.8,0.4375
73,Nyɛ pɔɔ fiɛɛmi ngɛ zugba kpɔhi nɛ a tsɔ a he banee ɔ a mi. Anɛ nyɛ kai nɔ́ ko nɛ sa kadimi ngɛ nyɛ blɔ hiami ɔ eko mi lo?,gkpne acho ahebanio ami ane nyekai noko ne sa kadim ŋe nyebrohi amio eko mila,0.9355,0.4773
74,MOO KASE HE SI BAMI NƐ O BUA NƐ JƆ NÍHI NƐ O NGƐ Ɔ HE,mokase hesibami ne o bua ne jɔ niine o ŋɛɔ he,0.6875,0.2105
75,NGƐ MƐNI BLƆ NƆ NƐ YEHOWA TSƆƆ KAA WA HE JUA WA HA LƐ KE . . .,nya mini blɔnɔnɛ yehua thɔn kan wahejua wua han lɛ,0.9333,0.2857
76,YE HUNO Ɔ GBO,ye wunu wọ gbo,0.5,0.4
77,fiɛɛlɔ ko fɔ mo nine kaa o piɛɛ e he nɛ nyɛɛ kɛ nɔ ko nɛ ya kase Baiblo ɔ?,k'e fiɛ lôku fomuni ndekaan o piɛ hi nɛ nyɛɛ kɛ nuku nɛ ya kase baiblo,0.6,0.2778
78,MOO SUƆ WA TSƐ Ɔ NƐ O BUA NƐ JƆ,mo suɔ wacɛɔ nɛ o buanɛ jɔ,0.6,0.1364
79,NÍ KOMƐ NƐ MAA YE BUA MO,ni kome ne ma ye buamo,0.8571,0.2222
80,ANƐ NYUMU FƐƐ NYUMU JI YI KƐ HA YIHI TSUO NƐ A NGƐ ASAFO Ɔ MI Ɔ LO?,ani nyumu fɛɛn nyumu ji yi kɛ han yin choo na ŋgaasafôↄmio lo,0.6667,0.2857
81,"Tɛ sa nɔ zu: Nɔ ko kaa jã a haa nɛ nɔ nyɛmi loo si temi kɛ womi nɛ huɛmɛ loo weku li kɛ baa e nɔ ɔ ha nɛ e nyɛ we nɛ e bu Yehowa tue, nɛ e kɛ je mi bami he mlaahi nɛ Yehowa wo ɔ tsu we ní.",nokoka jaan ha ne nɔnyɛmi lo sitem kɛwo mi nɛ huɛmɛ leowekuli kɛ bai nɔɔ ha ne nyɛwe ne ebu yeho atoe nɛ ekɛ jemi bami he mlai ne yeho awoɔ cue ni,0.8679,0.2331
82,JACK KƐ MARIE-LINE BERGAME A NYA MI MUNYU,marilim begam anyamunyu,1.0,0.3939
83,FIAA O PƐƐ SI KAA O MAA WO NI KPAHI A BUA,fia wɔ pɛ sikan o ma wuo ni kpai a bua,0.6667,0.2333
84,NÍHI EKPA NƐ MAA YE BUA WƆ NƐ WAA PEE KPOO,ní é pà ní mọyé bọ ọ nú wápe póo,1.0,0.5938
85,WA NINE SU OTI NƐ WAA KƐ MA WA HƐ MI Ɔ NƆ,wani nesuwo tine wa kemma wa hemiono,0.9231,0.2759
86,WA HE JUA WA HA YEHOWA,waxejua wuwua hanyi hoa,1.0,0.4118
87,Kane Mawu Munyu ɔ daa nɛ o pue o yi mi tɛ ngɛ he,monyuo daa nɛ o pe o yimtâåâ he sl daa,0.7143,0.6
88,MƐNI JI YI YEMI?,mini ji yiyem,0.75,0.1667
89,"Mɛni níhi nɛ peeɔ ta buli a he piɛ pomi ní ɔmɛ ɔ? (Hyɛ daka nɛ ji, “ Mɛni Ji Ta Buli A He Piɛ Pomi Ní Nɛ Je Mawu Ngɔ ɔ? ”)",mini nii nepiɔ tabuli ahepiɛpomini ɔ mɛ hiɛ daka ne di mini ji tabuli ahepiɛpominii ne jemao ŋɔɔ,0.9355,0.2289
90,MƐNI MA NYƐ MAA NGƆ HƐKƆ KƐ BA?,mini manyɛmaŋɔ hen kon kɛba,1.0,0.3478
91,"Mɛni o kase ngɛ bɔ nɛ Yehowa, Yonatan kɛ David je suɔmi kpo ha a mi?",mini o kaseŋa bɔne yoho wa yo na tankɛ david je son kpo haami,0.75,0.1961
92,Marie-Line: E be gbɔjɔɔ kaa nɔ ko maa hia kɛ ya he ko. Se e he hia kaa o ma ná he ko nɛ o he maa jɔ mo ngɛ ke ji o je fiɛɛmi kɛ ba.,beigbɔjɔ kan nokoma hia kɛya heko se ee hian kan o mana heko nɛ o hema jɔmuŋgɛ keji o jefiɛ mi kɛba,0.8378,0.2418
93,Kɛ e sa kaa nihi nɛ a pɔ mɛ nu ɔ nɛ a na a he ha kɛɛ?,kɛi sakan nii ne a pɔmi nuɔ ne a naa he ha kɛɛ,0.7222,0.1714
94,Mɛni he je nɛ wa ma nyɛ ma ná nɔ mi mami kaa wa Tsɛ ɔ be wɔ kuae gblegbleegble?,mini heje wa manyimananɔ mi mam kaa wa chɛ ɔbe wɔkwai gblegblee gble,0.8,0.1695
95,“Nyumu Fɛɛ Nyumu Yi Ji Kristo”,nyumu fɛ nyumu iji kristo,0.5,0.087
96,Nyɛɛ Pee Kpoo Nɛ Nyɛɛ Ngɔ Nyɛ Hɛ Kɛ Fɔ Yehowa Nɔ,nyɛ pe kpoo ni nyɛŋɔnyɛikɛ fun yi hua nu,0.9167,0.3784
