sample_id,reference,hypothesis,wer,cer
0,"Ni di osuɔtɔ nwu nkpo lakaalɛ nwɔ alɛ, “Kɔmɛnfiofa?”",nidi osuɔtɔnwu nkpo lakaalɛ nwa alɛ,0.6667,0.275
1,"Bitambla lɛsaa le nimakpɔnɔnfɔsa ye ni kuninwii,",bitambla lɛsa lee nimakpɔnɔvɔsa yɛ ni kuninwi,0.7143,0.1463
2,"Bɛɛkpana di Kɔkpana Klekle Kukũ kamɛ alɛ, Saate nwu labu alɛ,",bɛɛkpana di kɔkpna klekle koko kamɛ alɛ saate nwu labu alɛ,0.1818,0.0612
3,"Bitanta diate nkpo okle di kamɛ lee. Nse onwii lee komiɛ alɛ ale ɔnɔɔfo kaamɛ lee yi, ni dikpe ni eele kpɛmblatɛ ɛɛta babule.",fitanta diate nkpo okle di kamɛ lee nse onwi i lee komiɛ alɛ ale ɔnɔɔfũ kamɛ lee yi ni dikpe nii eele kpɛmblatɛ ɛtababule,0.3333,0.0505
4,Lɛsaa le di Kristo labuɛ aatɛ alɛ abata wo ni ninle nkpa be ninnaa ni kaloo.,lɛsaa ledi kristo labuɛ aatɛ alɛ abata wo ni ni le nkpa be ninaa ni kaloo,0.3125,0.0333
5,"Yesu lakaalɛ ma alɛ, “Be lɛsaa di Yaa kafa nwu nkpo ledie?",yesu lakaalɛma alɛ belɛsaa di yaa kafa nwu nkpo ledie,0.3333,0.0
6,"Ninfɛ di Yesu latɔkɔ nwɔ alɛ, “Nkpikiti nkpe atuɛ ya kamɛ mansiɛ nii, bakansiɛ nkpe ayo mante nii. Kafɔɔ ami Otii Obi, nnaa lɛba katɛ ni disi.”",ninfɛ di yesu laatɔkɔ nwaalɛ nkpikiti nkpe atuɛ ya kamɛ mansiɛ nii bakansiɛ nkpe ayo mante nii kafɔɔ ami oti obi nnaalɛ bakatɛ ni dii,0.2963,0.0364
7,"Kafɔɔ nse buobuɛ bulɛ ‘otii nfũ kuokye’ yi, buɔyɛkɛ bulɛ batii ba mmle mabla wo lɛsaa, diekye bamuu lɛma beefũ beenu alɛ Yohane yi, Yaa ɔlaa buɛtɛtɛ aale.”",kafɔ nse buobuɛ bulɛ otimfũ kuokye yi buɔyɛkɛ bulɛ batii bammle mabla wo lɛsaa biekye bamuolɛma beefũ beenu alɛ yohane yi yaa ɔlaa buɛtɛtɛ aale,0.2857,0.0413
8,Baakpaa okosopo nwu kafɔɔ baasɛnkɛsa ni baasifiko leyo. Nioso otu late ma.,baakpaa okosoponwu nkafɔɔ baasɛnkɛsa ni baasifinko leyo nioso otulatema,0.5833,0.0328
9,"Di alɛɛ anyɔ kamɛ, aatuo asaa, ni di ɔlaa biene wɔ mmle labiɛ kuakyaka Asia kasɔ kamuu nɛ. Nioso batii ba ninle ni Yuda batii ku mba ninanle ni Yuda batii kafɔɔ baanu ɔlaa nwu.",di alɛ aanyɔ kamɛ aakyu asaa ni di ɔlaa bie ni wɔmmlela biɛ kuakyaka asia kasɔ kamuu nɛ nioso batii baninle ni yuda batii kunbaninanle ni yuda batii kafɔɔ baanu ɔlaa nwu,0.3429,0.0435
10,"“Ninfɛ di banumbentɛ nwu nkpo latɔkɔ ma alɛ, ‘Oo, nnɔfɔ be bukle ni dilabawo awo ku aye. Nkpo oso bitɔɔkyɛ basunsutɛ nfũ biɛlaaya.’",ninfɛ di banumbentɛ nwu nkpo latɔkɔma alɛ oo nnɔfɔ be bukle ni dilɛbawo awo ku aye nkpo oso bitɔɔkyɛ basunsũntɛnfũ biɛlaaa,0.2609,0.0392
11,"Kafɔɔ obi lɛfɔ wɔ mmle nintɔɔlalaasa fɔ ni asaa ku basanko basɔnɔkpeetɛ lekple ɛɛwa nii, fatoolo nankyue wɔ ninsi ni lɛla fɛɛtɔɔ nnwɔɔ!’",kafɔ obi lɛfɔwɔ mmmle nintɔɔ lalaasa fɔ ni asaa ku basanko basunɔkpeetɛ lekple ɛɛwa nii fatolo nankyue wɔ ninsini lɛla fɛɛtɔɔ nnwɔɔ,0.3913,0.036
12,"Ninfɛ di Yuda wɔ niadiki nwɔ aata ni kafɔɔ lakaalɛ nwɔ alɛ, “Saatuotɛ, nwaa n-ye nlɛ diele ami falaka, sɛɛ ami dile?”",ninfɛ di yuda wɔ niadiki nwɔ aata ni kafɔɔlakaalɛ nwɔ alɛ satuotɛ wɔa nye nlɛ dele amifalaka siamidile,0.4545,0.0674
13,"Kuntɛ Kristo ditabla okpile kuonwii yi, Yaa lata aabayila siikpile loo kanya aata wo. Alɛ nse buɔbla onwii ku nnwɔɔ yi, ni Yaa kabu wo fɛ babienetɛ di anu nɔɔ.",kuntɛ kristo tutabla kpule kuonwii yi yaa lata abayilasii kpileloo kanya aata wo alɛ nse buɔbla onwii ku nnwɔɔ yi niyaa kabu o fɛ babie netɛ di anu nɔɔ,0.3333,0.0476
14,"Nfanwu basaanyuntɛ nɔɔfo ku batii nɔɔ lataka baakyɛ Yaa Olekatakɔ baalaamufũ ma baawako. Batayɔ osie baakpaa ma, diekye baatɔɔyɛkɛ alɛ, batii nwu masafɔ ma afuɔ.",nfa nwu basaanyuntɛ nɔɔfũ ku batii nɔɔ lataka baakyɛ yaa olekataakɔ baalamufo ma bawako bata yɔ osie baakpaa ma diekye baatɔɔyɛkɛ alɛ batii nwu masafɔ maafuo,0.4,0.0451
