sample_id,reference,hypothesis,wer,cer
0,"Balasua m'ɔ kɔ ja bian'n, ɔ nʋn yɩ́ hun bɛ wɔ nun dede yɩ́ hun wu. Sɛ ɔ wu a, ɔ le atɩn ɔ kʋala kɛ ɔ ja belenzua m'ɔ kulo ɔ. Nan kʋsʋ, ɔ le man atɩn kɛ ɔ ja belenzua m'ɔ falɩ man yɩ́ nwʋn manlɩn man Kilisi ɔ.",bɔlɛsʋa m'ɔ kɔja bian'n ɔ nɩn yɩ́ hun beyenun dede yɩ́ hun wu sɛ ɔ wu a ɔ le atɩn ɔ kʋala kɛ ɔ 'ja belenzuan m'ɔ kule ɔ nán kʋsʋ ɔ le mɔ atɩn kɛ ɔ 'ja belenzua m'ɔ falɩ man yɩ́ nwʋnma'n man kilisi ɔ,0.2549,0.1034
1,"Ɛhɩ, bian'n nwunlin kɛ dɔɛ'n mɔ Zozi hanlɩn kɛ: “Kɔ awulo nán wɔ́ wa nɩn anwʋn a sa.” Dɔɛ sɔ nɩn asʋ yɛ̂ yɩ́ wa nɩn anwʋn salɩ ɔ. Ɔ fi mɛlɛ sɔ'n, ɔ nʋn yɩ́ awulo amma'n-mɔ kʋalaa bɛ kɔ le Zozi bɛ kɔ li.",ɛhɩ bianɩn nwunli kɛ dɔɛ'n-mɔ zozi hanlɩn kɛ kɔ awulo nan ɔ́ wa nɩn anwʋn asa dɔ sɔnɩn asʋ yɛ yɩ́ wa nɩn anwʋn salɩ ɔ ɔ fi mɛlɛ sɔ'n ɔ nʋn yɩ́ awulo amman-mɔ kʋalaa bɛ kɔ le zozi bɛ kɔ li,0.2391,0.0357
2,"Anɩn bian kʋn wɔ Betanin kulo nɩn asʋ, bɛ fɛlɛ yɩ́ Lazaa. Lazaa sɔ'n nʋn yɩ́ nianman mmalasua nnyuan yɛ̂ bɛ tɩ Betanin ɛbɛlɛ ɔ. Kʋn li Mali yɛ̂ kʋn kʋsʋ li Maatɩ.",anɩn biann kʋn wɔ betanin kulo nɩn asʋ bɛ fɛlɛ yɩ́ laza a laza sɔ'n nʋn yɩ́ nianman mala sɔa nyuan yɛ̂ bɛ tɩ betanin ɛbɛlɛ ɔ kʋn li mali yɛ̂ kʋn kʋsʋ li maatɩ,0.2121,0.0413
3,"Kaan cɛ, sʋanlan kʋn kɔ a kɔ tʋ bɛ́. Yɩ́ nwan: “Ɛmɔ nɩ́an, menian'n-mɔ mɔ ɛmɔ gualɩ bɛ́ fiadɩ'n, bɛ gua Nyanmɩan awulo ɛlɔ, bɛ lɛ kekele menian'n-mɔ ninnge.”",kaan cɛ sʋanlan kʋnkʋala kɔ tʋ bɛ́ yɩ́ nwan ɛmɔ nɩnan menian'n-mɔ mɔ ɛmɔ gualɩ bɛ fiadɩ'n bɛ gua nyanmɩan awulo ɛlɔ bɛ lɩkɩkele menian'n-mɔ ninnge,0.2069,0.0541
4,"Bɛ́ nun bie fɩ́ɩ́ mmian man like anwʋn. Afɩ, bɛ́ kʋalaa mɔ bɛ le ebo anaan sua'n, bɛ tɔnɩn yɩ́ bɛ fa yɩ́ esika'n",bɛ́ nun bie fɩ́ɩ́ mmian man like anwʋn afɩ bɛ́ kʋalaa mɔ bɛ le ebo anan sua'n bɛ tɔnlɩn yɩ́ bɛ fa yɩ́ esika'n,0.0833,0.0256
5,"Ɔ sanlɩn kɛ kanga mɔ yɛ́ Mɩn kɔ fɛlɛ yɩ́'n, anɩn yɛ́ Mɩn a man ɔ'a nyan fanwʋndi. Sʋanlan kʋsʋ m'ɔ di yɩ́ ti anwʋn mɔ yɛ́ Mɩn kɔ fɛlɛ yɩ́'n, anɩn ɔ'a kaci yɛ́ Mɩn kanga.",ɔ sanlɩn kɛ kannga m'ɔ yɛ́ mɩn kɔ fɛlɛ yɩ́'n anɩn yɛ́ mɩn a maan ɔ'a nyan fawʋndin sʋanlan kʋsʋ' m'ɔ di yɩ́ ti anwʋn mɔ yɛ́ mɩn kɔ fɛlɛ yɩ́'n anɩn ɔa kaci yɛ́ mɩ́n kanga,0.0811,0.0342
6,"Nan mɩɩn kan sɔ mɩn kele ɛmɔ, yɩ́ dɩɛ cɩan mɔ bɛ 'yɔ ɛmɔ sɔ'n, anɩn ɛmɔ kacɩ kɛ n ganlɩn n gelelɩ ɛmɔ. M'an ngan m'an ngele man ɛmɔ daba, afɩ anɩn mɩn nʋn ɛmɔ y'ɔ san ɔ.",mɩɩn kan sɔ mɩn kele ɛmɔ yɩ dɛ cɩan mɔ bɛ yɔ ɛmɔ sɔ'n anɩn ɛmɔ kacɩ kɛ ngalɩn ngelelɩ ɛmɔ man nga man ngele man ɛmɔ daba afɩɩ anɩn mɩn nʋn ɛmɔ yɛ̂ ɔ san,0.2821,0.075
7,"Ɛnɛ nʋn ɛnɛ, bɛ 'kɩnnga Moyizɩ mala kalata'n-mɔ a, bɛ tɩ kɛ menian mɔ b'a hyɩ bɛ́ ajʋnlɩn ɔ.",ɛnɛ nʋn ɛnɛ bɛ 'kɩnnga moyizɩ malakalata'n-mɔ a bɛ tɩ kɛ menian mɔ b'a hyɩ bɛ́ ajʋnlɩn ɔ,0.1053,0.0
8,"Afɩ, sʋanlan m'ɔ nne Baa'n nni man'n, anɩn sʋanlan sɔ'n, ɔ nne man Sɩɛ'n kʋsʋ nni man. Nan sʋanlan m'ɔ de Baa'n di'n, anɩn ɔ de Sɩɛ'n kʋsʋ di.",afɩsan mɔ ne ba'n nin man'n anɩn sʋanlan sɔ'n ɔ ne man sɩɛ'n kʋsʋ nnin man nan sʋanlan mɔ ɔ de ba'n di'n anɩn ɔ de sɩɛ'n kʋsʋ di,0.3103,0.1212
9,"Ɛmɔ kácɩ kɛ sʋanlan biala, sɛ ɔ tɩ kanga o, sɛ ɔ tɩ man kanga o, yɩ́ junman kpa m'ɔ kɔ li'n, ɔ 'nyan yɩ́ nwʋn ahatua m'ɔ fata'n yɛ́ Mɩn asa nun.",ɛmɔ kacɩ kɛ sʋanlan biala sɛ ɔ tɩ kannga o sɛ ɔ tɩ man kannga o yɩ́ junman kpa'nmɔ kɔ lí'n ɔ 'nyan yɩ́ nwʋn ahatuan m'ɔ fata'n yɛ́ mɩn asa nun,0.2121,0.0606
10,"Mɔ Pɩɛlɩ tɩlɩ ɛjɔlɛ sɔ'n, ɔ kɔ su akpʋlʋwa. Yɩ́ nwan: “Zozi sɔ'n, mɩn nzɩ man yɩ́.”",mɔ pɩɛlɩ tɩlɩ ɛjɔlɛ sɔ'n ɔ kɔ suakpʋlʋwa yɩ́ nwan zozi sɔ'nmɩɩmanyɩ,0.4118,0.0536
11,"Mali jʋnlɩn kɛ sʋanlan'n m'ɔ di tola nɩn anun junman nɩn ɔ. Yɩ́ nwan: “Yɛmɩnlɩn, sɛ wɔ́ yɛ̂ a yɩ yɩ́ ɛwa a, anɩn kele mɩ́n lɩka mɔ ɛ sielɩ yɩ́'n maan n gɔ́ n vá.”",mali junlan kɛ sʋanlan-mɔ di tɔla nɩn anun junman nɩn ɔ yɩ́ nwan yɛ́ mɩ́n nɩn sɛ wɔ́ yɛ̂ ayɩ ɛ ɛw a anɩn kele mɩ́n lɩga mɔ ɛ sielɩ yɩ́ man ngɔnva,0.5,0.1091
12,"Kɛmɔ ɛmɔ nne man sʋanlan'n mɔ Sɩɛ'n sʋanlɩn yɩ́'n nni man'n, ɔ man ɛmɔ nva man yɩ́ ɛjɔlɛ'n bɛ nzie man.",kɛmɔ ɛmɔ ne man sʋanla'n-mɔ sɩɛ'n sʋanlanlɩn yɩ́ ni man'n ɔ man ɛmɔ n va man yɩ́ ɛjɔlɛ'n bɛnzie man,0.4762,0.0811
13,"Nan ɔ tɩ mala wɔ ɛmɔ afian ɛwa, sɛ bɛ 'di *Pakɩ biala a, bɛ́ mɔ bɛ kɔ gua bɛ́ fiadɩ'n, mɩn yɩ kʋn. Yɩ́ ti, asʋ ɛmɔ kulo kɛ mɩn yaci Zufʋ'n-mɔ belemgbin nɩn ɔ?”",nan ɔ tɩ mala wɔ ɛmɔ fɩ an wa sɛ bɛ di pakɩ di ala a bɛ́ mɔ bɛ kogua bɛ́ fɩadɩ'n mɩn yɩ kʋn ɩ́ tin asʋn ɛmɔ kulo kɛ mɩn yaci zufʋ-mɔ mbelemgbi nɩnɔ,0.4167,0.1101
14,"Ɛhɩ a, bɛ tɩ ɛbɛlɛ kaan mɔ ɔ 'kɔ bie'n, Zozi 'tʋ yɩ́ nyɩn nɩan an, menian dɔʋn kpa lɛ ba yɩ́ nwʋn, nán ɔ'a bisa Filipʋ kɛ: “Filipʋ, ninhan yɛ̂ yɛ 'nyan like yɛ to yɛ man menian nwala ɛhɩ di ɔ?”",ɛhɩ a bɛ tɩ bɛlɛ kaan mɔ kɔ bie'n zozi tʋ yɩ́ nyɩn nɩn an menian dɔʋn kpalɛ b'a yɩ́ nwʋn nán ɔ'a bisa filipʋ kɛ filipʋ nihan yɛ yɩ́ nyan like yɛ to yɛ man menian nwala ɛhɩ diɛ,0.2093,0.0448
15,"Ɛmɔ tɩ Nyanmɩan anwʋntɩɛ mma, yɩ́ ti, nán man bɛ tɩ satɩlɩfʋɛ nyɔlɩɛ fɩ́ɩ́, anaan basa-basa ɛyɔlɛ ɔ nʋn anyɩnbʋlʋ bɔbɔ ɛmɔ afian ɛlɔ.",ɛmɔ tɩ nyanmɩan anwʋntɩɛ ma yɩ́ ti nán maan bɛ tɩ satɩlɩfʋɛ nyɔlɩɛ fɩ́ɩ́ anan basa basa ɛyɔlɛ ɔ nʋn anyɩnbʋlʋ bɔbɔ ɛmɔ afian ɛlɔ,0.2083,0.0294
16,Ɛmɔ a nɩan yɛ́ nʋn yɛ́ Mɩn asɩtanlan sɔ nɩn asʋ. Ɛhɩka ati yɛ̂ bɛ helelɩ ɛmɔ ahʋlʋwa kpa tɛmʋn mɔ ɛmɔ lelɩ Nyanmɩan Anʋan Ɛjɔlɛ'n bɛ lili nɩn ɔ. Nan kʋsʋ Wawɛ Nwannzan-nwannzan nɩn a man ɛmɔ le fɛ elie.,ɛmɔ anɩan yɛ́ nʋn yɛ́ mɩn asɩtan sɔ nɩn asʋ ɛhɩka ati yɛ̂ bɛ helɩ ɛmɔ ahʋlʋwa kpa tɛmʋ mɔ ɛmɔ lele nyanmɩan anʋan ɛjɔlɛ'n bɛ lili nɩn ɔ nan kʋsʋ wawɛ nwannzan-nwannzan nɩn a man ɛmɔ le feli,0.1951,0.0584
