sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Sukho de me,0.5,0.3
1,Akwadaa wei,Akwadaa wei,0.0,0.0
2,Mafe wo,Mafe wo,0.0,0.0
3,Yɛ wɔ,Yɛ wɔ,0.0,0.0
4,Ɔmee ne Ɛfeɛ,Ɔmee ne Ɛfeɛ,0.0,0.0
5,Mɛtɔ credit 5 cedis,Meto credit 5 cedis,0.25,0.125
6,ɛkɔm de me,ɛkɔm de me,0.0,0.0
7,Hyɛɛ n'anim teɛ,Hyɛn nnwom teɛ,0.6667,0.3333
8,Medaase mensa aka,Medaase mensa aka,0.0,0.0
9,Dum kanea no,Dumkanea no,0.6667,0.0
10,Na ɔkɔe kowui,Nó Ɔkɔe kɔe ɔe ɔe ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔa ɔaɔa,9.3333,5.1818
11,Neho ayɛ fi  paa,Neho ayɛ fi  paa,0.0,0.0
12,Me pɛse me tɔ credit na me de gu mtn number so,Me pɛse me tɔ credit na me de gu mtn number so,0.0,0.0
13,Mepaa’kyɛw me number no yɛ 059,Aepaa’kyew may number no 059,0.5,0.25
14,Ko buu no,Ko buu no,0.0,0.0
15,Woka borɔfo,Woka borɔfo,0.0,0.0
16,Tuu no,Tuu no,0.0,0.0
17,ɛyɛ,ɛyɛ,0.0,0.0
18,Mepaa’kyɛw ma sesa m’adwene,Mepaa’kyɛw ma sesa m’adwene,0.0,0.0
19,To nnwom,Ska man ha,1.5,1.1429
20,Yɛ wɔ,Yɛ wɔ,0.0,0.0
21,Bra ha,Bra ha,0.0,0.0
22,Nsuo,Nsuo,0.0,0.0
23,Mame bebree,Mame bebree,0.0,0.0
24,Ma me bi,ma me bi,0.0,0.0
25,Dadeɛ bi twa dadeɛ bi mu,Dadeɛ bi twa dadeɛ bi mu,0.0,0.0
26,Hyɛɛ n'anim teɛ,Hyɛɛ n'anim teɛ,0.0,0.0
27,Tuu no,Tuu no,0.0,0.0
28,Dan mu,Dan mu,0.0,0.0
29,Mepaa’kyɛw me number no yɛ 059,Mepaa’kyɛw me number no yɛ 059,0.0,0.0
