sample_id,reference,hypothesis,wer,cer
0,Mo̱ne̱ i ŋu mbo̱gya na de̱e̱kpa na e̱bɔɔre̱e̱ bwe̱e̱tɔ.,Mini moŋ gya na de kpa na e bo ori gbwtii,1.1111,0.4167
1,Kukyure kake ko̱ be̱e̱ ne̱ Yeesuu a be̱e̱ yɔ ke̱bware̱ko̱re̱kyaŋ‑nɔ ya kaapo̱ abware̱se̱ŋ. Saŋ amo̱‑ɔ ɔnyare̱ ko̱ mɔ bo̱ mfe̱ŋ na mò̱ kigyisesare̱e̱ a wu.,"Ojiuka kɔbe ne gi sa bee wɔ wɔɔle kyeŋ nɔ ya kapɔ abɔasɔŋ, tsaŋa mɔ ɔnyarɔ kɔ, mɔ a bɔŋfɔŋ na mɔ kyeji Sesaria wɔ.",0.88,0.4476
2,"Ne̱ Ɔbɔnsam ne̱ bo̱ be̱e̱ ba te̱e̱ mò̱ ɛ Ɔkyɔrɔpo̱‑ɔ a ba mò̱ ase̱. Ne̱ ɔ yɛ, “Fo̱ i nyi fe̱yɛ Wuribware̱ mò̱ gyi‑o e̱ gye̱ fo̱ kase̱ŋtiŋ, amo̱ fe̱raa sa a abu mɔ buruwi bodobodoo sa fo̱ a fo̱ gyi.”","né ɔbánsám nɛ́, ɔbɛ́bá tí mɛ́, ɔkyɔ́rɔ́bá m'ásé, né ɔyɛ́ fínyifíyé órúbáré nkyɛ́kyɛ́fó kásintím, ánfrástá ábúmóbúró dóbódó séfáfíjí.",0.9512,0.381
3,"Se̱sɛ ne̱ Wuribware̱ a kufwiiŋe‑o te mò̱ kakpo̱nɔ‑rɔ‑ɔ e̱ taare̱ a o nu atɔ mɔ pɛɛɛ kaase̱, amaa ɔko̱ ne̱ mò̱ kufwiiŋe‑o mo̱ŋ te mò̱‑rɔ‑ɔ maa taare̱ a o ŋu ke̱tɔ ne̱ ke̱ bo̱ ane̱ŋ a se̱sɛ‑ɔ kakpo̱nɔ‑rɔ‑ɔ.","Sa ne uruba a kofinwɔ temɔ kapɔnɔrɔ e tara onu ata mɔ pɛ kase, ama okoni mu kofinwɔ m'ntemɔrɔ ma tara oŋu k'tane k'bo anaŋa soso kapɔnɔrɔ.",0.8947,0.3778
4,"Mo̱ e̱ tɔwe̱ mo̱ i gywii mo̱ne̱ fe̱yɛ fo̱ i di tiikpa mfe̱ŋ ane̱ŋ‑aaa bo̱ fo̱ saŋ ne̱ fo̱ e̱ ka fo̱ ko̱kɔ a fo̱ lo̱we̱‑ɔ, na paso̱wa gbaa mo̱ŋ saŋ‑ɔ.”","M'tɔwaa ŋŋimini fie, b'idiika m'fɔŋ anina, b'obota na fɛka, kukoɔ a floɔ, na kɔbɔ gba mansaŋ o.",0.9355,0.5109
5,"Saŋ ne̱ Yeesuu e̱ tɔwe̱ amo̱‑ɔ, ne̱ kabɔɔ ko̱ a le̱e̱ Yayerus a lɔŋ‑ɔ‑rɔ bo̱ tɔwe̱ gywii Yayerus fe̱yɛ, “Fo̱ kakye̱e̱sɛɛ‑ɔ a wu, amo̱se̱‑ɔ fo̱ ma lɛɛ sa a ɔkaapo̱po̱‑ɔ kpo̱ne̱ mò̱ e̱ye̱e̱.”","Sanni yee stool mo, n ka bɔ kɔɔ lii yaa yuu saa, lɔŋ ɔɔ rɔ, bɔɔ tooji yaa yuu sifiɛ. Bɔɔ ka kyesee wuu, a mɔɔ sɔɔ fɛmbalɛɛ tsa ɔ ka kpo bɔɔ kwee nɛ mo ee.",1.0606,0.5
6,"Ne̱ Yeesuu yɛ, “Mo̱ne̱ ya ko̱re̱ Wuribware̱ atɔ, mo̱ne̱ e̱ nya ke̱tɔ ne̱ mo̱ne̱ e̱ kpa‑ɔ. Mo̱ne̱ ya buwi kpa Wuribware̱ a e̱kpa‑ɔ, mo̱ne̱ i ŋu ke̱tɔ ne̱ mo̱ne̱ e̱ kpa‑ɔ. Mo̱ne̱ ya ye̱re̱ kawu te̱e̱ mò̱, ɔ taye̱ po̱ne̱‑ɔ, na mo̱nꞌ nya lweero.","Nyeɛ sweɛ. M'nya kuro baara to, M'nya kɛtareɛ m'ne kpo, M'nya abu kpoɔ wura baara kpo, M'ne ingwoo kɛtareɛ m'ne kpo, M'nya yirika ute mɔ, Ɔtayipɔɔ na m'nya lɔɔro",0.9773,0.4765
7,Ne̱ agyase̱po̱ anyɔ amo̱ a ya waa ane̱ŋ ne̱ Yeesuu a tɔwe̱ gywii bamo̱ fe̱yɛ bo̱ waa‑ɔ.,Nnɛ adyasɔpɔɔ anyam anyawa anene Yesu ato gyi bɔmɔ fyaɔ buweee.,1.0,0.4576
8,"Amaa ke̱tɔ ko̱ e̱ bo̱‑rɔ na ko̱ kyɔ ne̱ mo̱ne̱ e̱ kpa fe̱raa, amɔ mo̱nꞌ lɔŋŋɔ mfe̱ŋ ne̱ maŋ agyi e̱ gyaŋŋe̱ ba waa mbraa ba sa maŋ‑ɔ.","Ama kutɔkwibura na kukyɔne mənə kpa fra, amo amɔlɔngɔ kpa eji mfənne mman aji ijange bawa mbra basa mman.",0.9286,0.4483
9,"Amo̱ fe̱raa, bamo̱ ne̱ bo̱ mo̱ŋ gye̱ Yudaa awuye‑o a nu ane̱ŋ‑ɔ, ne̱ baa kyo̱rɔ ke̱tɔ ne̱ Wuribware̱ a tɔwe̱‑ɔ. Ne̱ bamo̱ ne̱ Wuribware̱ a kyɔ lee fe̱yɛ bo̱ nya ŋkpa na kukyure ne̱ a mo̱ŋ de kɛɛ‑ɔ a kii Yeesuu akɔɔre̱gyipo̱.","bammɔne bɔmɔnjee Yuda awɔɔ annungɔɔ, na baatrow kataa ne wurubara tɔɔ, ne bammɔne wurubara tsɔɔ leefie banya nkpana kuturun amandɛɛɔ akii Yesu akpɔrgye.",0.9524,0.4305
