sample_id,reference,hypothesis,wer,cer
0,"Yaayaa seettii, wii: —Mi yii Ruuhu hono wuugaandu ana jippoo iwde dow kammu faa hoɗi dow makko.","Yaa saatii wii, mi ruuhu hono wugaandu ana jippoo, iwde dow kam muufahi dow makko.",0.4118,0.1733
1,Homo woni duroowo mo yarataa kosam sewre mum?,Omo wondi e roweromoo yaretaa qasam seewre muum,1.0,0.3514
2,"Jamaa keewɗo filii mo, o haalani ɓe ngol banndol: —Aawoowo yalti sankoyde.","Yammake ɗoo filimu, o haalaani bee ngol ɓandul. Awa o yalti sankoyi.",0.8333,0.322
3,Sabi min laatike fijirteeɓe yeeso aduna oo fuu: yeeso malaaikaen e yimɓe fuu.,"Sabi mii laatake feggirteende Yeesu aasiinoowo fuu, yeeso malaa'ika'en Yalla fuu.",0.6154,0.3016
4,"Oon wakkati fuu, o yamiri hoore Yaayaa taƴoyee ley kasu too.","Oon wakkarii fu, o yamiri hoore maaya ta ɗaƴoye, lee kasutu.",0.6364,0.2083
5,"Haala dokke ɗe Ruuhu Ceniiɗo hokkata ɗee, sakiraaɓe, miɗo yiɗi paamon ɗe faa gasa.",Haala dokke ɗe ruuceni ɗo hokkata ɗee sakiraaɓe mi yiɗi paamon e faagaso,0.4286,0.1061
6,"Taalibbo anndondirɗo e Jottinoowo Sadaka Mawɗo oo, yalti haaldi e debbo doomoowo damal ngal oo, naanni Piyeer.","Taaliboando ndirndo e jottinoowo sadaka mawɗo o, yanti halde e debbo doomowo damal ngal o, Naani Pierre.",0.5294,0.1538
7,"Gooto e yanooɓe ɗiɗon tontidaaɓe e makko ɓee ana ɲiŋa mo, ana wiya: —Wanaa aan woni Almasiihu naa?",Goɗɗo ƴeenoyidii ton tuundi makko bee e nder ɲiiƴam. A no wi'a: Wonaa on woni Almasiihu naa?,0.8333,0.4156
8,"Ɓe njehi, ɓe tawri hono no o wii ɓe nii, ɓe lanndinii hiraande Paska ndee.",beñehi be tawri hono no o wi'i ben ni be landini hiiraande paaska den,0.6667,0.2281
9,"Pool ɓami naɓi worɓe ɓee, yaadi e mumen.","ool, o wi'i warɓe ɓe yaaje mun e",1.0,0.4194
10,"Celliniraaɗo haaynde ndee oo, duuɓi muuɗum ana ɓuri capanɗe nay.","Silli ni rada hay ni ɗa ɗoo, ɗuubi muɗum ana ɓuri cappanɗe nai.",1.1,0.3208
11,"Yimɓe leydi Gerasa fuu ndaardi Iisaa yoppana ɗumen leydi mumen, sabi kulol manngol nanngi ɗumen.","Ümbe ɓe leydi Ŋasafunndaarndi Iisa, yoɓannoɗo en leydi mum e. Sababu ɗum mo ngol naŋŋi ɗum e.",1.0667,0.35
12,"Ɗal min ndarna ɗoo buguuji tati: aan wooturu, Muusaa wooturu, Iliyaasa wooturu.","Almendar na ɗo booguuji tati. An wooturu, Musa wooturu, Iliyaasa wooturu.",0.5833,0.1406
13,"Nden Iisaa wari darii hakkunde maɓɓe, wii ɓe: —Onon e jam!",Neyi e waali darii hakunde mabbe. Wi'i be,0.8182,0.4318
14,"Kaa Iisaa, o waɗi ɗum e juuɗe maɓɓe, faa ɓe ngaɗa ɗum ko weli ɓe.","kaa Iisa, o waɗanaama du'ayeedi maɓɓe, faa ɓe ngartidun kadi",0.6667,0.4792
15,"Jamirooje makko nganaa donngal, sabi ko iwi e Laamɗo fuu, jaaloto giɗaaɗe yonki.","Jamiraa jam maako ŋga na doŋgal, sabu ko iweeji lamɗo fuu, jaalato giɗaaɗe yonki.",0.8462,0.2308
16,"Ana yiɗaa taalibbo wuurda no moobbo mum wuurdi fuu, maccuɗo duu no kalfaaɗo mum wuurdi.","A neɗɗaali ɓurɓo ɗaanooma ba mo wuurdi fof, maccuɗo ɗoo no kalfaado mum wuurdi.",0.6667,0.3662
17,"Homo ɓuri teddude, jooɗiiɗo faa ɲaama naa ɓattinoowo ɲaamdu?",Jooɗii ɗo faa ñaama na ɓatino ñaamde,0.8889,0.46
18,"Nde Iisaa nani kaa haala ndee, haaynaa e hooreejo sordaasien oo, yeeƴii yimɓe jokkuɓe e mum ɓee, wii: —Miɗo haalana on, mi yiyaali hono ngal goonɗinal e sellude fay e Israaiilanke.","Iisaa no haalannde, hay nii hoore soldasii'en oo, yehi jikki e mum eɓe wii, Miɗo haalana on, mi yi'aali hono ngal goondinal e ley ɗer faaye Isiraa'ilaa'en fuu.",0.6452,0.3566
19,"Nde Iisaa yii inniraaɗo oo ndee, yurmii ɗum, wii: —Pati woy!",Ii sa yii nii ra'on dey yurmido wi'i,0.8182,0.4889
20,"Balɗe ɗiɗi caggal mum, kuurtungu waɗi ley ngalluure wiyeteende Kaana ley leydi Galili.","Balle ɗiɗaɓal ɗum, kuurtumbaaji baɗi leengal lure wiyetende Kaana leydi Galili.",0.7692,0.2639
21,Njehee ndoomiroyee yanaande ndee no mbaawru-ɗon fuu!,"ko ɗum le yanaanande, no mbaarurɗon fuu",0.7143,0.4545
22,"Kaa Iisaa wii: —Piyeer, miɗo haalane: fade ndontoori jogginde hannde a wiyan a anndaa kam cili tati.","Ga Isa wi'i Pierre, mi ɗon haalana ma: ko faɗɗi ndontoori joginde hande, a wi'an a anndaa kam cilitate.",0.8235,0.2532
23,"Ɗum saabii homo e mon fuu waaltina hakkille banndum, gooto fuu faaboo goɗɗo banngal goonɗinal, hono no ngollirton nii.","ɗum saabi hono e mon fuu waltiima hakkille bandum, goɗɗo fuu faabii goɗɗo bangal gondinal, hononon gollirtonnoo",0.6316,0.1546
24,"Mo goonɗinaali fuu tilike sareede, sabi goonɗinaali Ɓii Laamɗo bajjo oo.","Mo goɗɗo ina alifi tigi sareɗe, sabi goɗɗo ina alifi i lamɗo bajjo.",1.0,0.2833
25,"Nguleefi kii yaltini e majje mboddi, ndi soppi junngo makko.",woleefike yaltinii e majje ɓoodeeɗi ɗi soppi ɗanngoma,0.7,0.3673
26,"Kaa Pool jippii, hippii e makko, ɓami mo e juuɗe muuɗum, wii: —Mbaaltee!","Kapo e jippi, hippi e makko. Ɓammo-mo e juuɗe muudum. Wi'i",0.6154,0.2963
27,"Ɓee ana ngullana ɗum ɗoo, ɓee too ana ngullana ɗum gaa.",a na ngullana ɗum ɗoo bee to a na ngullana ɗum gaa,0.5455,0.1163
28,"Walaa ko o wiiri non, sinaa Iisaa yamirii seyɗaani oo yalta e neɗɗo oo.","Walaa ko o wiirino, sina Iisa yemri seɗaani o yanta e neɗɗo",0.6429,0.1964
29,"Saabe ɗum, miɗo wiya on: ɲannde darngal, jukkungo mon ɓuran ngo Tirus e Sidon ngoo naawde.","Sabbiduon, mi e wi'a-on, nyande darngal, juungommon ɓuran ngo tiruse e si ɗon gonaa ɗoo.",0.8125,0.2958
30,"Ana tilsi pelle-pelle ngaɗa hakkunde mon, yalla hoolniiɓe jaati wonɓe e ley mon ɓee ana annditee.","Aɗa tawi pille-pille ɗaɗa ɗe hakkunde ɗom. Yalla hoore nde yaati wamɓe ley momɓe, aɗa andite?",0.875,0.3291
31,Sabi miɗo nii golla golle e ley wakkati mooɗon.,"Sabi mi ɗananno golle golle nder wakati mooɗon, golle ɗe on ngoondintaa so neɗɗo haalanino ɗon. Caggal Paul e Barnabas njalti waajordu, jamaa on ɗaartii ɓe yo ɓe ngartu fowteteende waroore yalla e ɓe njokko e",3.6667,3.6842
32,"Laaci maggal wuuwi tatoɓere koode kammu, wedii ɗum e leydi.","laati ma gal wuyta to ɓe rewee koode kam, weɗii ɗum e leydi",0.9,0.2292
33,On fuu yo on keɓu jam onon yimɓe Iisaa Almasiihu ɓee!,"On fuu, ɗon keɓi jam? Ono niiyino be Iisaa Masiihu ɓe.",0.7273,0.2619
34,"Kaa neɗɗo fuu jiɗɗo Laamɗo, Laamɗo ana anndi ɗum.","Kaa nette fo yiɗo laamɗo, laamɗo ana andi ɗum",0.4444,0.2051
35,"Ɓe fuu ɓe mbemmbaa, ɓe cikkitii, ɓe mbiyondiri: —Koɗum ɗum foti laataade?","Fuuh mbo mbeembaa, mbe tikkiti, mbe mbiyi on nii:",1.0,0.614
36,Oɗon njiɗi mi yoppitana on kaananke Yahuudiyankooɓe oo naa?,Oon joomum yo fittina on kaananke yaahuudii'en ko be oonna,0.8889,0.34
37,"Nde ɓe tilinoo ɲaagaade Laamɗo ndee, nokku ɗo ɓe kawritinnoo ɗoo dimmbii.",nde bii tiri laanaaga lamɗo ɗen nokku ɗo ɓe kawurtirnoo ɗoo dimbi,0.5833,0.3333
38,"Nelaaɓe sappo e ɗiɗon ɓee noddi jamaa goonɗinɓe oo fuu, mbii: —Minen, yoppude konngol Laamɗo, min kiinnoo jakkaade hiraande, sellantaa min.","Nellaaɓe so poyɗinoomɓe noddiyama goondimɓe ɓe fow, ɓee bii: ""Minen, yo puure congo lamɗo, min kinno jalkaare hiirande sellan kami.""",0.9524,0.3036
39,O waɗi ɗum hakke ɲalaaɗe ɗe jomen annde ɓee ndokki mo taƴoral mum ɗee.,woodi no hake nyalaade e jom e ande ɓe ɗokkimo tayoral mun ɗe,1.0,0.3571
40,"No anndirten ko woni jilli dee, Almasiihu hokkitirii yonki mum kammari men.","no andirtee ko woni jillide, Almasiahu hokkitirii yonki mum kamari men",0.4167,0.0806
41,"Saabe majjum, haala mbonka ɓe kaalata, aduna oo ana hettinanoo ɓe.",Saawi majjum e maala bonka bekalaata. Aduna o ana hettinanoo.,0.6364,0.2075
42,"O jaabii ɓe, o wii: —Onon nee, koɗum waɗi so oɗon luutta yamiroore Laamɗo ndee faa njokkon neesu mooɗon?","Jaabiibi, eey! Oonon ne, ko ɗum waɗi so ɗon lutta yamiroore laamɗo ɗen faa njokkon e sumoɗon?",0.6842,0.1975
43,"Ɓoornotooɓe kaddule lobbe so nguura nguurndam lobbam ɓee, e cuuɗi kaanankooɓe tawetee.","ɓornotooɓe kaɗoo e lobbe, suuɗaa-suuɗondiram lobbam ɓe, e cuuɗi Kanaananko'en ɓe tawete.",0.8333,0.2877
44,Ɗiin luutti kaɲumen njippinta tikkere Laamɗo e dow saliiɓe goonɗinde mo ɓee.,ɗiin luuti kayinmen jippinte tikke lamɗo eɗo saali ɓe gondinɗemo ɓen,0.9167,0.2656
45,"Sabi ɲalaaɗe ngaran nde yimɓe mbiyata: «Rewɓe rimarɓe e deeɗi ɗi caawaali abada e enɗi ɗi muyninaali, mbelii hoore!",Tebbinaaɗa en garaa ɗeyimɓe mbiyata rewɓe rimarɓe e ɗeɗiɗi caawaali abada e endiɗi muyninaali mɓeli hoore,0.5263,0.1613
46,"Miin Pool e Timote, maccuɓe Iisaa Almasiihu, mbinndi oo ɓataaki faade e deental goonɗinɓe Iisaa gonngal ngeenndi Filipa.","Min Paul e Timote, maccube Iisaa Masiihu, min ɗo ɓataki fii reedaal gonndeɓe Iisaa gongal ngendi Filippi",0.7778,0.28
47,Ɓe ngaɗanii kam ko onon on mbaawaa waɗande kam saabe waasude mon taweede.,en ga dannikam ko onon ombawa liwadannde kam saabe waasude montaawede,0.6154,0.1833
48,"Iisaa yalti, fai waamnde haayre wiyeteende Jaytun no o woowiri nii.","fu si a yalti, foo waamnde hayre woyeten e jaytun no woowi rini.",0.9091,0.2
49,"Jooni eɗen njeyaa e goongaraajo oo, sabi eɗen ɲiiɓi e Ɓiyiiko Iisaa Almasiihu.",Onun e denji-en e gonga rajo o. Sabe denji be bii ko Isa Almasihu.,1.0,0.3906
50,"Kasen duu, Baabiraaɗo nelɗo kam oo hoore seettantoo kam.","Kasa e duu, baa biraaɗo neldakam hoore settan ɗoo ka.",1.0,0.1957
51,"O darni koyngal makko ɲaamal dow geeci, o darni nanal dow njoorndi, o eewnii daande toownde no rawaandu ladde uggirta nii.","O darnii koyŋgal maako ñaamo e dow geeci, o darnii nannaal e dow njoorndi. O ewnii daande toownde, no rawaandu ladde uggiirte nii.",0.4762,0.1313
52,Sabi ɗum gasataa no kasunke neldirtee kaananke mawɗo oo tawee ko nanngiraa koo hollitaaka faa laaɓa.,sababu noon gasata no katunke neldirte kaa ɗen e mawɗo o tawe ko naangira ko hollita faa laaba,0.875,0.25
53,"Publiyus, hooreejo ruunde ndee oo, ngesa muuɗum ana e sera nokkuure ndee.","O bbilii uss, hoore nde rooni ɗe'o, ngeesa muudum a ƴesere no kuurende.",1.0833,0.3898
54,"Yoga e hooreeɓe leydi Asiya, yiɓɓe makko, neli e makko ana ndaarda mo pati o naata boowal too.","Yo gaya hooreɓɓe leydi Asiya, yimɓe makko, na neɗɗo makko ana ndaarda ɓe pati ɓe naata bowal ɗoo.",0.5556,0.2027
55,"Nde wonnoo jaangol ana heewi, gollooɓe e doomooɓe kuɓɓiino yiite ana ƴuwloo.","no wano jaangol ana heewi, goɗɗo e ɗomboom e kubbi no yiite ana juulo.",0.6667,0.3175
56,"Iisaa yeeccitii, yii eɓe njokki e mum, wii ɓe: —Koɗum tewtaton?",I saayiti nde eɓe njokki e mum wi'ɓe,0.6364,0.4792
57,"Yahuuda nanngu lonngere ndee tan, yalti oon wakkati fuu.","Yahuda en ngala engeree tan, yalti e on wakati fuu",0.7778,0.2391
58,Annii ko mbiyan-mi felooɓe kam ɓee: min kaandaa e heɓude ɲaamdu e yardu e ley golle amen naa?,"Aani ko mbiyammi felloɓe kamɓe, min kaanda e heɓɓude ñaamdu e yardu e le golle amin na.",0.6111,0.1507
59,"Ɗum hawri e wakkati lanndinal Yahuudiyankooɓe, tawi yanaande ndee ana ɓadii, ɗum waɗi so ɓe ndesi Iisaa ɗon.","Ɗum hawri e wakatillaanji naalyaahuuɗi 'yankoobe, tawi yannanee nde ana badi. Ɗum waɗi so ɓe ndesi Iisa ɗon.",0.3889,0.1591
60,"O yii malaaikaen ɗiɗon ɓe kaddule daneeje ana njooɗii ɗo tew Iisaa oo resanoo ɗoo, gooto ɗo hoore ɗoo, goɗɗo oo to koyɗe too.","O yi'i malayka'en ɗiɗoɓe kadɗuɗe daneeje ana jooɗii ɗo tewu Iisaa oo resanoo ɗoo, goɗɗo ɗo hoore ɗoo, goɗɗo oo to koyɗe ɗoo.",0.3333,0.101
61,"No Joomiraaɗo yaaforii on nii, njaafondiron.","Njoyo mi radɗo yaafuuri on nii, njaafundiron.",0.8333,0.1892
62,Eka ɲeɲaa ɲeɲugol Tooruuji Puneeji.,"E ka ɲeɲa, ɲeɲuɓol tooru ɓuneeji.",1.2,0.2
63,"Debbo oo dogi yehi ley ladde, nokku ɗo Laamɗo moƴƴinannoo ɗum.","nde ɓe addoyi ɗum Lade, nokku ɗo lamɗo moƴƴinanno ɗum",0.7273,0.32
64,Oɗon noddira kam «Moobbo» oɗon noddira kam «Kalfaaɗo».,O ɗon noddira kam Mboobo. O ɗon noddira kam Kalfa.,0.75,0.119
65,"Kaa nde wonnoo omo anndi miilooji maɓɓe, o wii mo junngo mum waati oo: —Imma, dara hakkunde yimɓe!","Kanko noon mo anndi miilooji mabɓe, wi'i mo juŋngo muum waatii o: «Imma, dara hakkunde yimɓe.»",0.5556,0.1447
66,O haalanaa inna makko e miɲiraaɓe makko ana ndarii sella ana njiɗi yiide mo.,Haalaani ko mi yiɗa ko a nanndiri sella a njiɗi yiyde,0.8571,0.4194
67,"Nden binndoowo ngalluure ndee deƴƴini jamaa oo, wii: —Onon Efeesunkooɓe, homo woni mo anndaa ngalluure Efeesu ndee woni hayboore rewrudu Artemis deweteeɗo mawɗo oo, kaɲum e natal muuɗum iwrungal dow kammu ngal?","Nden bindowo gallure nden jetti jamaa oo wi: «Onon Efesunkooɓe, homo woni mo andaa gallure Efesunde woni hayboore rewruɗo Artemis deweteeɗo mawɗo oo, kañum e natal muudum iwrungal dow kaamumuŋal?",0.4688,0.1445
68,"Balɗe seeɗa caggal muuɗum, Agirippa kaananke oo e Barniki ngari Kaysariya jowtude Festus.","Walla balɗe seɗɗa garmooɗum, Agrippa kañum e Berniki ngarii Kaysariya jowtiide Festus.",0.7692,0.3333
69,Nden moƴƴere o hokki en saabe Ɓiyiiko korsuɗo oo.,"Nden boo ƴetta ɗoo hoore makkon, saabi ɓiiko korsa makko",1.0,0.55
70,Sabi nii Binndi ɗii mbiiri: «Homo anndi anniya Joomiraaɗo oo?,Sabi nii biini mbiri kono mi andi-andi a Jomiraawo,0.8,0.3469
71,"Tama on anndaa daɗondirteeɓe ɓee fuu yo dogooɓe, kaa gooto tan heɓata deesewal?","Ɗaama on anda, ɗon ɗoo teeɓeɓe fuu yo dogoɓe, ka woɗan heɓaɗe sewa.",0.8462,0.3385
72,"Njoɓdi am, ɗum woni seyo am ko mbaajotoo-mi Kabaaru Lobbo meere meere koo, tawti e ko mi lamndataako ko waajotooɓe Kabaaru Lobbo oo ɓee poti heɓude.","A midiyem, ɗon woni seyno umm, ko waajotoomi kabaru lobbo meere meere koo. Tawti e ko mi lamndataako, ko waajotooɓe kabaru lobbo o ɓe poti heɓude?",0.3846,0.1429
73,Tama on anndaa halfinaaɓe golle ittirde sadaka ɓee ana keɓa ngeɗu mumen e mayre?,"A'on anda, hoore mon e golle ittirɗe sadaka ɗe, ana keewi e mumen e moolare",0.7143,0.3939
74,Iisaa yalti ana roondii leggal mum bardugal faa yottii nokku biyeteeɗo Laalagal Hoore .,I saayaati anaronnde leggem bardugal faayooti no kubieteree ɗalagal hoore,0.8462,0.2466
75,"Yimɓe wonɓe e aduna oo ɓee fuu cujidanan taktakol ngol, ɗum woni neɗɗo fuu mo innde mum tawaaka ana winndii gila e diidugol aduna oo e ley dewtere nguurndam ndee, dewtere Njawdiri kirsanoondi ndii.","yimɓe aduna ɓee fuu ɗiɗi ɗantaagatakulikuli. Ɗum woni nedɗo fuu mo inde mum tawaka ana windi gila e ɗiɗugol aduna ɗoo e nder deftere nguurndam nde, deftere jawdiri kirsanoondi nde.",0.5294,0.2422
76,Sawru naa jilli e newaare?,Sawurna gille ne waare.,1.0,0.2381
77,"Nde ɓadinoo weetude ndee, Pool ndaardi ɓe fuu ɓe ɲaama, wii: —Hannde woni balɗe sappo e nay oɗon kettii on ɲaamaali fay huunde.","Ɗum wati no wi'etee rinde, ɓooyndaari ɓe fuu ɓe nyaama. Wi, haa no woni balɗe sappo e nay oɗon keetti oɗon nyaama alifaahuna.",0.6522,0.3
78,"Sinndo mi gollaalino ɗii golleeji ɗi fay gooto meeɗaali gollude yeeso maɓɓe, ɓe ɲiŋataakeno.",Sinde goɗɗo lallinaali golle ɗii fay gooto meeɗaali gollode yeeso maɓɓe ɓe ɲiŋataa ɗen,0.6429,0.2208
79,"Sakiraaɓe am horsuɓe, pati torra ittoowa koro mon naawnoowa hono no yiite nii haayno on, hono no huunde nde haanaa wardi e mon nii.",kiraaɓam hoore suba pattiraangal ito koromwon na o noowa honono yiiteni hay noon honno huunde nde haana waardii e mwon ni,0.875,0.2667
80,"Ɗum metti ɓe sanne, hedde eɓe piya dabare no ɓe kaani waɗude Iisaa.","ɗum metewaa sanni, haani e ɓe piya daawire no ɓe kaani ko ɗum e iisa",0.7692,0.3019
81,Hono non Yaakuuba e Yuhanna ɓiɓɓe Jebede reentuɓe e Simon ɓee duu kaayniraa.,"Onon noon, Yaakuba e Yuhanna, ɓiɓɓe Jebede, reentooɓe e simooɓe ɗum Kaynira.",0.6154,0.1905
82,Durooɓe ɓee ndogi njantanoyii ngeenndi ndii e seraaji mum ko hewtii ɗumen koo.,ɗum ɗoo bee bee no ɗoo giƴatnoo yeyenendee e seeraaji mum ko heewti ɗuum e ko,1.0,0.4615
83,Daande nde nan-mi ndee ana wai no dillere fiyooɓe kolli mumen nii.,ɗanɗanennam min nden ana wayno dillere fiyobe koli munen ni,0.8333,0.283
84,Piyeer sunaa sabi jooni woni cilol tataɓol ko Iisaa wii mo «Aɗa yiɗi kam naa?,"Bi'aguno, sabi o no kilol tatabo ko Iisa wi'i mo: Ada yiɗi kam naa?",0.5333,0.3115
85,"Faa hiiri, gorko arsukunte jeyaaɗo Arimatiya wari.","Faahiiri, gorko arsukuinte jiyaaɗo ari maciyo warii",1.0,0.119
86,"Nde weetunoo ndee, ɓe coynii leydi, kaa ɓe annditaali ndi.","De wetenoode, ɓe ƴooynii ladde, kadi ƴenditayni.",0.9,0.413
87,Aleksandere huncani ɓe junngo faa jinngana yimɓe muuɗum ɓee.,Alaasandere huunco ni ɓe jungo faa jinga ni yimɓe muudum ɓe.,0.8889,0.1765
88,"Piyeer wii mo: —Kalfaaɗo, mi lanndinike naɓdeede e maa kasu e wardeede e maa!",Fiiruumu kalfado ɓe landinii ke naade e ma kasso e waarde e ma.,0.7857,0.4333
89,"Saruku ɓii Ragawu, Ragawu ɓii Faleka.",Saruu mi raguu raguu i fale koo,1.1667,0.3667
90,"O jaabii: —Goonga, Moobbo, aɗa anndi miɗo yiɗu maa.","O jaabi. Gonga, mobbo, aɗa andi miɗo yiɗuma.",0.6667,0.1316
91,"Kaa laatike tilsere ngolliran-moo-mi, mo golle mo kalfinaa-mi.","Kala tege tilise goɗɗo rammoomi, mo goɗɗo mo kaalani.",0.875,0.42
92,"Ndennoo, ko min njii e ko min nani min kaalanta on onon duu, yalla oɗon ndeentira e amen hono no min ndeentiri e Baabiraaɗo e Ɓiyum Iisaa Almasiihu nii.",nde no ko min gii e ko min nani men kaalanta on onon ɗo. Yaalla on dentira e amen hono no min dentiri e baabiraaɗo e ɓiyum Iisaa Almasiihu nii.,0.3103,0.124
93,"Fay so yettugol maa ngol ana wooɗi sanne, ngol nafataa joomum.","Ko e saayaatuggubal manggol ana woɗi saangne, ko naa fataajol.",0.9091,0.48
94,"Ɓii Neɗɗo oo duu warii ana ɲaama, ana yara, yimɓe mbii ɗum: «Ɲaamde e yarde tan woni e hakkille mum, o giɗo duwaaɲeen e luuttooɓe hono mumen!",ɓeii ñaɗo o ɗoo warii ana ñaama ana yara. yimɓe mbii ɗum: ñaamde e yarde tan woni e hakkille mum. o giɗo ɗuaagñen e luttooɓe hono mun en.,0.3704,0.1468
95,ɗe podannoo-mi Daawuuda ɗee.,e podanno mi ɗawdude ɗon waɗi so wi'i,2.0,0.6957
96,"Jooni kaa, o waddii fay Yunaninkooɓe e ley Suudu Dewal Mawndu nduu.",jooni kay o waddi faa yuu'ninii kobe e ley suudu deewal mawnoondir,0.6667,0.2407
97,"Jamaa garnooɗo ƴeewde oo fuu, nde yiinoo ko waɗi koo ndee, wirfitii terɗe mum ana mbaati.",Jamaa garnooɗo jewoyde o fuu ɗiin ko waɗi koonne wirfiti terɗe muum ana baače.,0.5625,0.2535
98,"O ɓattii Pool, o yamiri Pool nanngee, o wii haɓɓiree calali ɗiɗi, o lamndii kaɲum yo homo e koɗum waɗi?","Woodi ɓoolo, o yamir ɓoolo nangee, o wi'i habɓiree calali ɗiɗi, o lanni kañum yo hoommo e ko ɗum waɗi",0.6,0.2375
99,"Hirudus yiɗi warde mo kaa suusaano yimɓe ɓee, sabi ɓe fuu eɓe njogorinoo Yaayaa yo annabaajo.",hiiridusee wardemu khasusa no yimɓe ɓe semmbe fu e ɓe njogorino yaayaajo annabaajo,0.875,0.2368
100,E junngo am jaati mbinndiran-mi ngoo ɗoo jowtaango: miin Pool miɗo jowta on.,oo joomum jaati mii ñaami goo ɗo joota ngoo min pol mii ɗo joota oo,1.1538,0.3934
101,"Gaɗoowo ko boni fuu, heɓan mbarjaari golle mum bonɗo oo, sabi Laamɗo ɓurdintaa yimɓe.","Gartoowo ko bonifu, heɓan barjaari golle mum bonɗo o, sabi laamɗo ɓurdintaa yimɓe.",0.3571,0.0725
102,"Kaa jaɓɓiiɓe mo so ngoonɗini mo ɓee, o hokkii ɗumen baawɗe laataade ɓiɓɓe Laamɗo.","Kadi jaɓɓiɓe mo, suŋgoondinɓe mo ɓe, o hokki ɗum en baawel laatade ɓiɓɓe Laamɗo",0.7143,0.197
