sample_id,reference,hypothesis,wer,cer
0,Esiane mʼankasa mʼanuonyam ne mʼakoa Dawid nti.,esa ne mankasa manuonyam mma akwa dawid nti,0.8571,0.175
1,” Ɔyɛɛ saa de adagyaw a nʼanan nso sisi fam dii akɔneaba.,ɔyɛɛ saa de adɛgya a nanan nso sisi fam dii akaneaba,0.2727,0.0909
2,"Munnue, mo a mode nnaadaa nhoma twetwe bɔne.",monnue mo a mode nnaadaa ahoma twetwe bɔne,0.25,0.0571
3,"Mommma mo werɛ mmfi sɛ mobɛyɛ mo ho mo ho papa aboaboa mo ho mo ho, efisɛ ɛno ne afɔrebɔ a ɛsɔ Onyankopɔn ani.",mmo wre mfi sɛ mobɛyɛ mo homo ho papa abobo mo ho mo ho ewuru sɛ ɛno ne aforɛ a asɔ onyankopɔn n,0.5,0.2471
4,"Eye, na afei ananafo ano ne kasa foforo.",eye na afei ananafo ano ne kasa fofor,0.125,0.0323
5,Eyi di ho adanse sɛ na ɔyɛ onipa kɛse a Agya Abraham mpo tumi ma no nʼasade mu nkyɛmu du mu baako.,yi di ho danse sɛ na ɔyɛ nnipa kɛse a agya braw mpotumi ma no na sa de mu nkyemu du mu baako,0.4545,0.1184
6,Nkɔmhyɛ A Etia Arabia.,nkɔmsa a ɛtua arebea ade hua fa arebea,1.75,1.0556
7,na wɔde wɔn anofafa hyɛ me anuonyam.,mka kyerɛ no si mesrɛ ɔ kenkan yɛyie a ɔbɛbua ase mennim akenkan awurade ka se saa nnipa yi de anohunu tuu bɛn me na wɔde wɔn ano fafa hyɛ manuonyam,4.0,3.1379
8,Yuda rehwe ase; wɔn nsɛm ne nneyɛe tia Awurade.,yudarehwe ase wɔ nsɛm ne ne yɛ tua awurade,0.6667,0.1081
9,Afei nguan bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea; nguantenmma bedidi wɔ asikafo amamfo so.,afe nwan bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea nwantemma bɛdidi wɔ asikafo amamfo so,0.2667,0.0946
10,Monnka Hebri na nnipa a wɔwɔ ɔfasu no so no bɛte ase.,monka hibiri na nniba a wɔwɔ ɔfasu no so bɛte ase,0.3333,0.1463
11,abɛpete trenee agu wo so.,abɛpɛte tenene awuwu so nanso woadua atirmɔden aba na woatwa ababɔne wodnadaa ba ɛbiri sa wode wo ho ato ahoɔden na wapofo mebri o s,4.8,4.55
12,"fii nʼakyirikyiri ntwea so, na mefrɛɛ wo.",fii nagyirigyiri ntwea so na mefrɛɛ w,0.2857,0.1212
13,Ɔde dua no mu fa sɔ ogya; so na ɔnoa nʼaduan.,ɔdidua ne mu fa sɔ ogya so na ɔnoa naduan,0.3636,0.0909
14,“Nanso Israelfo bɛyɛ sɛ mpoano nwea a wontumi nkan wɔn.,na nso ifsafo bɛyɛ sɛ mpoano nnua a wontumi nka wo,0.6,0.2045
15,Wɔyɛɛ afoforo bi nso ayayade sɛ anka wɔmpa Onyankopɔn na wonnyaa wɔn.,wɔyɛ ahohoro bi nso ay ado sɛ anka wɔmpa onyahopɔn na wonya wɔn,0.5,0.1754
16,"Muntwa nkɔ Tarsis; muntwa adwo, mo a mowɔ supɔw no so.",montwa nkɔtarses montwa adwo mo a mowɔ supɔ no so,0.4545,0.0976
17,"Memaa wɔn aduan no, wodi mee; wɔmee no, wɔyɛɛ ahantan; na wɔn werɛ fii me.",maa wo n aduan no wodi me wome no ɔyɛ ahantan na wonwir fim,0.6667,0.2364
18,"oguamanfo a wɔnnkae wo; bɔ sankuten no yiye, to nnwom bebree.",guamanfo a wɔnkae wo bɔsakutin yiye to ndwom bebree,0.5455,0.1458
19,"” Nanso na ɔhene no redwene sɛ, ne bere so de, obenya asomdwoe ne bammɔ.",nanso na ɔhene no redweni sɛ ne bere sode obɛnya asondwoe ne bammɔ,0.3571,0.0556
20,a ɛrentwa mu da.,a ɛre ntwa m da,0.75,0.0833
21,"” Ɛnyɛ ɔno na ɔhene Hesekia atutu nʼabosonnan ne afɔremuka nyinaa, ahyɛ Yudafo sɛ wɔnsom wɔ afɔremuka a ɛwɔ Yerusalem ha nko ara so no?",ɛyɛ ɔno na ɔhene hezikia atu ti no aboso nan ne apfɔrimuka nyinaa ahyɛ yudafo sɛ wɔnsom wɔ fɔlimuka a ɛwɔ yerusalem ha nko ara so mo,0.4167,0.1111
22,ahemfo somfo no; “Ahene behu wo na wɔasɔre.,ahemfosomfo no ahene bɛhu wo na wasɔre,0.5,0.0606
23,"Wɔka kyerɛɛ no se, “Sɛnea ɔhene Hesekia ka ni: Saa da yi yɛ ɔhaw, animka ne animguase da.",mɔka tyerɛ no si sɛ nea ɔhenehɛ dɛ tia ka ni saa da yi yɛ ɔhaw animuka ne animuguase da,0.5556,0.1493
24,"“Mommoaboa mo ho ano na mommra; munhyia mu, mo aguanfo a mufi amanaman so.",mommoboa mo ho no na mommra monhyia mu mo aguanfo a mofi amaaman so,0.3571,0.0877
25,Mɛma Kores so wɔ me trenee mu; meteɛteɛ nʼakwan nyinaa.,mɛma korɛsoso wɔ me tennee mu matɛteɛn nakwan nyina,0.6,0.1818
26,ɔfasu tenten bi a ahyɛ kam na akyea.,pɛsuu tenten bi a ahyɛ kam na akye,0.25,0.1786
27,Afoforo bi nso wɔ hɔ a wama wɔn kwan sɛ wonnya ɔhome no.,ya nka mede wo rekɔ so omu da won a wɔdi kante asɛmpa no nyɛ saa ahome no ebiri sɛ wanyaani ahohoro bi nso wɔ hɔ a wɔmɔ wo nkwan sɛ wonnyɛ ɔhomeno,2.1538,1.7907
28,"Hesekia buae se, “Wohuu biribiara a ɛwɔ mʼahemfi ha.",edzitye bue se wɔhuu biribiara a ewɔ mahin fhɔ,0.6667,0.3659
29,Momma yɛntwe yɛn ho mfi akwanside nyinaa ne bɔne a akyekyere yɛn denneennen no nyinaa ho na yɛnyere yɛn ho wɔ mmirikakansi a ɛda yɛn anim no mu.,ma yɛntwe yɛn ho mfi akwansido nyinaa ne bɔne a adedye yɛn denee ne ho nyinaa ho na yɛ yere yɛn ho wɔ mirika akansi a da yɛn anim mum,0.4643,0.1724
30,"na wɔkari dwetɛ wɔ nsania so; wɔbɔ sika dwumfo paa, ma ɔde yɛ onyame bi.",na wakari dwetɛ wɔ nsania so wobɔ sika dwomfo pa ara ma ɔde yɛ onyame bi,0.3333,0.0909
31,"Asomdwoe kwan no, wonnim; atɛntrenee nni wɔn akwan so.",asomdwoeɛ kwan no wɔnim atɛntenenni wɔn akwan so,0.4444,0.1163
32,nnyigyei no maa mʼano poo biribiri; ɔporɔw hyɛn me nnompe mu.,digyee nom a ma no po biribri ɔporɛ wohyɛn mennompe m,1.0,0.2245
