sample_id,reference,hypothesis,wer,cer
0,"Mu yaa funɛ tum ya kunyan ti tuma awa jɛɛgisi nɛɛ. Hali Ju tim ta funɛ na nyinbaanasa di mu namsi kinkan chen ni mu zi wiu, nannɛ mu funɛ tum.",mu yaa funɛ tum ya kunyan ti tumwa awa jɛrigisa nɛɛ hali ju tim ta funɛ na nyinbaansa di mu namsi kinkan chen ni mu zi wiu nannɛ mu funɛ tum,0.0968,0.0459
1,"O na kinkin naa yogla kpokee a kaali a maga, o la yogli o kina maga a bur kaali baŋyɔɔka ti tiin wati a la yau un.”",o na kinkin naa yogla kpokee a kaali a maga o la yogli o kina maga a bur kaali banyɔɔga ti tiin wati a la yau un,0.037,0.0233
2,Koosa fun naami ya di ya la o bara falɛ na. O funɛ kpa o siim weri ti a nyɛ ya di o ya o purigiri bɔɔli di o sir zi ya chenu.,koosa fun nagmi ya di ya la o bara falɛ na o funɛ kpa o siim weri ti a nyɛ ya di o ya o purigili bɔɔli di o sir zi ya chenu,0.0606,0.022
3,a dɛu nyinbaan ba duŋduŋ chenani ba zi ya a kpak Yesu a kpu un.,a dɛu nyinbaan ba duŋduŋ chenani ba zi ya a kpak yesu a kpu un,0.0,0.0
4,"Ma zaami nɛnɛ, amaa ba bambe wa to ma wati.",maa zaami nɛnɛ amaa ba bambi wato ma wati,0.4,0.0625
5,"Chen saha ti Yesu gantɛl tiŋsi ta fun wa o wati a pɛɛsi un, “Ba naa maga Koosa dɔ, anti ya ba nihɛɛ?”",chen saha ti yesu gantɛl tiŋsi ta fun wa o wati a pɛɛsi un ba naa maga koosa dɔ anti ya ba nihɛɛ,0.0,0.0
6,Ya kunyan ti fun vɔu di o zi nyɛ ya o mi fali naa vɛ kpak bɔu.,ya kunyan ti fun vɔu di o zi nyɛ ya o mi fali naa vɛ kpak bɔu,0.0,0.0
7,"Yesu fun ŋɔ ba naa nyɛn doon maga ni, “Ba naa maga nu Koosa laaboor weri ti a tiŋ un, ba waa ya mu numa awa mu niinbisa.”",yesu fun ŋɔ ba naa nyɛn dooni chen maga ni ba naa maga nu koosa laaboor weri ti a tiŋ un ba waa ya mu nima awa mu niinbisa,0.1071,0.0674
8,Domi i kpak jirima awa chaani wa kpok kinkan hali saha naa vɛ kpak bɔ. Ami.))’,domi i kpak jirima awa chaani wa kpok kinkan hali saha naa vɛ kpak bɔ aami,0.0625,0.0172
9,"‘Mu kunyana Koosa funɛ ŋɔ mu kunyan ni,",mu kunyana kun sa funɛ ŋɔ mu kunyan ti mu kunyan ni,0.625,0.4
10,"Ba fun a saksi bun yuga a lagmi dɔŋ ni a nyɛ nara chuŋi a, amaa ba wa fun kpa ba nisa a gbaŋsi bun tima.",ba fun a saksi bun yuga a lagmi dɔŋ ni a nyɛ nara chuŋi a amaa ba wa fun kpa ba nisa a gbaŋsi bun tima,0.0,0.0
11,"Jɔn fun ŋɔ un, “Mu kunyana, ya funɛ na baal digirɛ ka o kpa i sɔn aa duŋni alizin tagna a li nara ni. O wa fun ya ya nidigi. Chendaha ya fun ŋɔ un di o gil.”",jɔn fun ŋɔ un mu kunyana ya funɛ na ba digirɛ ka o kpa i sɔn a duŋni alizin tagna ali nara ni o wa fun ya ya nidigi chendaha ya fun ŋɔ di o gil,0.1316,0.0442
12,"Yesu funɛ zim chenani ba ŋɔ dɔŋ niu, o fun jɛɛgi jɛɛgɛ a ŋɔ ba,",yesu funɛ zim chenani ba ŋɔ dɔŋ niu o fun jɛɛgi jɛɛgi a ŋɔ ba,0.0667,0.0213
