sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.","good afternoon, aunty. It was me na bi tɔ fi ɔ tɔ bi mɛse. I feel like everything is just fine enough on me. It is my uncle",1.125,0.931
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.","Apoa, ma me wo ho Apoa no ho Yɛ Deu Apoa ho Yɛ Deu Apoa no Yɛ So ma no dea ma yɛ Deu Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa Apoa",2.9434,3.0678
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",Maybe I'm not sure if I'm good at it.,1.0,0.9053
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",Nante yɛwɛ nso yɛ nso yɛ yɛ dua na ayɛ medYɛ ma na me sɛ yɛ wo yɛ adeɛ yɛ hu me sɛ me yɛ abran tiɛ me wɔ mmo dea yɛ na ɔtumi wo mpo dea mma me nnsa yɛ no credit yɛɛ hu yɛ kuo da wo yɛ wo mkran yɛ na ɔɛ me tɔ wo nnyɛ yɛ yɛ yɛ,1.2667,0.5519
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",Betulnya kasa faham ngebi siapa kada bi mu? Ayo adonnya. Mereh ma no Ayo adonnya mengebi sesuatu mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya me piaan mepokamnya mepokamnya me piaan mepokamnya me piaan mepokamnya mepokamnya me piaan mepokamnya mepokamnya me piaan mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokamnya mepokam,2.7955,5.0397
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",Me ho tɔ me sɛn sɛ yɛ deɛn adeɛn kuo mua na wo sɛ me kɔ soo bi pɛse wo sɛ me sɛ ma me yɛ adeɛ me pɛse me yɛ se mpo wo nnyɛ sɛ me ayɛ na guɔfoɔ ka sɛ so bi ka sɛ da bi ayɛ me pa pa tɔ sɛ da bi medaase wo fa me wo tɔ me ayɛ huɛ buu ebinada,0.9298,0.377
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",Wote nkɔsee ɔɔ nkɔ numbera ɔsuɔsee ɔbebɔ suku mu aka bɛn na ɔbefa su ante da bi ɔbekɔ nn yɛ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.8621,1.8407
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.","Even if I did not do nothing immediately, you are a person who is the hero of self-advocacy. That is a transferable life deal. I never thought about it in my class.",1.0,0.8879
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",Nanea Nanea says Aanea tɔ bad mu Nanea says Nanea tɔ nenea says Nanea pɛse paa Nanea tɔ nenea pɔ nanea pɔ Nanea pɔ nanea pɔ Nanea pɔ nanea pɔ Nanea pɔ nanea pɔ Nanea pɔ nanea pɔ Nanea pɔ nanea pɔ Nanea pɔ nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea pɔ Nanea p,3.3043,2.4362
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",Wobɔ su sue sɛn mea wɔ dua dua mkɔ tɔ hoɔ fae sɛn mea sɔ sue sɛn yɛɛ tɔ di sɛn mea ma yɛ sɛa efe sɛ na ɔɔ fae nina wo dea atea sɛn mea didu ma sɔkyɛ me ma ɔɔ kɔɔ yɛ dehyira wo yɛ fɛ su na ɔɔ fae,0.9796,0.5657
