sample_id,reference,hypothesis,wer,cer
0,"Mevɔ̃na ɣesiaɣi be ame aɖe akpɔ wo le nugoe me. Afikae matsɔ wo ade? Ɣeaɖewoɣi la, mekpɔnɛ wogblẽa wo ɖe anyigba le sukua ƒe nugododeƒewo. Zi geɖe la, ɖeko metsɔa wo ƒua gbe ɖe gbeɖuɖɔ gbogbo si le gota la me. Makpɔ egbɔ be mekpɔ nugoe si sɔ tso fifia dzi.",mɔvɔ na nyi sia yi be ame aɖe kpɔ wo le nugoa me afi kae matsɔwɔ aɖe aɖewo yi la ekpɔ nɛ wogblɔ beha wo ɖe anyigba le sukuƒe nugoɖoɖeƒewo zigeɖe la ɖe kometsoawo ƒɔ agbe ɖe kbeɖoɖoawo gbogbo si le gɔta la me makpɔa gbɔ be mekpɔ nugo si sɔ tso fifia dzi,0.6275,0.1566
1,"Ne míedze ŋudzedzekpɔkpɔ ɖe amewo ŋu ɖe nusi wowɔna alo alesi wowɔa nu ɖe ​​ame bubuwo ŋui ŋu le esi teƒe be míakpɔ ŋudzedze ɖe alesi wodzena ko ŋu. Aɖe vi ne ame tsitsiwo gblɔ na mí be míesɔ gbɔ abe míawo ke ene. Le nyɔnuviwo gome la, nusi wokpɔ mɔ na enye be woadze tugbe ahabɔbɔ wo ɖokui.",numedze ŋudzedzekpɔkpɔ ɖe amewo ŋu ɖe nu si wowɔna alo ale si wowɔa nu ɖe ame bubuwo ŋuyi ŋu le esi teƒe be ma kpɔ nu dzedze ɖe ale siwo wodzena kuŋu aɖevi ne ame tsitsiwo gblɔ nami ɖbe me sɔgbɔ abe biwo ke ene ɖe nyɔnuviwo gome la nu si wokpɔ mɔ na enye be woadze tugbe aha bɔbɔwo ɖokui,0.4746,0.0661
2,"Mesena le ɖokuinye me abe ɖe mele ŋutsu zum ene, gake megasena le ɖokuinye me abe ɖevi ene ɣeaɖewoɣi. Edzɔ dzi nam be teƒe sia le asinye maƒo nu. Ena nyemegasena le ɖokuinye me be nye ɖeka koe li o. Nyabiase aɖe le asinye ku ɖe dzidzenuwo ŋu. Aleke mawɔ atso nya me le wo dometɔ siwo nye tɔnye kple esiwo nye dzinyelawo tɔ ŋu?",be sina le ɖokuinyeme abe mele ŋutsu zum ene gake meɖasina le ɖoƒoe nyɔma abe ɖevi ene aɖo yi edzɔ dzi nam be teƒe sia le asi nye maƒonu ena nyamegasina le loʋinye me be nye ɖekakoiliwo nyaviasa aɖe le asinye ku ɖe dzidzenuwo nu aleke mawɔ atso wonya me le wo dometɔ siwo nye tɔnye kple esiwo nye dzinelawo tɔ nu,0.3692,0.1172
3,"Nyemedi be mawɔ nu ŋudzɔmanɔmanɔtɔe o. Ɣeaɖewoɣi la, mesena le ɖokuinye me be mele geɖe zãm akpa. Ðe esia nyoa? Madze ɖeka tsɔtsɔ kpee ɖe nye akplo me gɔme gbesiagbe. Ke tsilele ya ɖe? Ðe wònyo be woazã adzalẽ le afima? Nukatae tso ŋgɔgbe yi megbe? Nyemenya ema kpɔ o.",medzibemawɔnu nudzɔmɔanɔmenɔtɔe o me aɖewo yi la vɔsena le ɖokui nyeme ƒe mele geɖe zm aƒea ɖe esia ŋua wadze ɖeka tsɔ tsɔkpe ɖe nye akplɔ me gɔmegve sia gbe etsi ɖe le ya ɖe ɖewo mo be woaza adza la ɖe afi ma wo kate tso ŋgɔgbe yimegbe nemenya emakpɔ o,0.8,0.1714
4,"Nye menya o. Mebu eŋu be matutu nye agbalea ko, gake mehiãe be maƒo nu kple tɔɖinyeyɔvi siwo le duta. Mehiã kokoko be nàtutu wò agbalea o. Ènya be mɔ aɖewo li siwo dzi nàto akpɔ ɖokuiwò ta evɔ nàgalé wò mo ɖe tea?",nyamenya o mebu ewu be matutunye agbala ko gake mehi be maƒono kple tɔɖinye yɔvi siwo le ɖu ta mehi kɔ kokɔo be ntitiwo agbala wowo enyabe mɔ aɖewo li siwo dzi nto akpɔɖokuiwo ta evɔ nagal womu ɖe ta,0.6364,0.1576
5,"Ŋdɔ na wò, Tasi. Mele nyuie, ɖeko ɖeɖi te ŋunye vie le suku vɔ megbe. Ẽ, danye gblɔe nam vie, gake le nyateƒe me la, ena ŋu kpem.  Ame siwo le nye kɔƒea me gblɔna be enye dzesi be nyɔnuvi le nyɔnu zum, gake wogblɔna hã be ele be nàɣlae.",ŋudɔ na wotasi mele nyui ɖekoɖeɖiteŋunye vie le sukuvɔmɔgbe eye ɖanye gblɔla nam vi gake ɖe nyateƒeme la ena ŋu kpem ame siwo le nye kɔƒeme gblɔna be enye dzesi be nyɔnuvi le nyɔnu zum gatsewogblɔma h be elegbe nɣli,0.52,0.1193
6,"Nye me di be vinye na tsi abe nye ene, anɔ agbagba dzem anɔ ŋukpem o. Ne me fɔfu la, ɖe ema fia be wo ɖoe be ma nye amedahe tegbea? Ke ŋukpe lae, aleke ma dze ŋgɔ xɔ̃nye wo? Ɖeko mesusu be meyae wu nyuie. Ne ɖe nye me ɖo toe o la anye ne enyo ŋutɔ.",yimeti be vinye natsi abe nye ene anɔ akpagba dzɛ anɔ kpem o eme fɔfula ɖe ema fia be woɖoe be manye amedahe tegbea ke ŋugbe lae aleke ma dze ŋgɔ xɔnyewo ɖeko me susu ɖe menye wo nyui nede nyemeɖo toe wo la aŋye ne enɔ ŋtɔ,0.569,0.1264
7,Mesusu be ame geɖe siwo le afisia menya ema o. Àte ŋu ava ƒo nu kple sɔhɛwo ƒe ƒuƒoƒo si le sɔlemexɔa mea? Woaɖo to wò. Ðeko medi be etsɔme nyui aɖe nanɔ xɔ̃nyewo si. Ðe wòle be míaƒo nu tso gbɔdɔdɔ ƒe dɔlélewo hã ŋua? Nyɔnuvi aɖewo vɔ̃na be yewoabia nya.,mesusu be ame geɖesiwo le afi sia menya ema wo atenua va ƒonu kple sɔɣɛ woƒe ƒuƒoƒo si le sɔlemexɔa me wol to o ɖe komedzi be etsɔme nui aɖe na nɔ xɔnyawo si ɖewo le be miaƒo nu tso gbɔdɔdɔxeɖɔ lelewo h ŋua nyɔnuvi aɖewo ʋɔna be yewoabia nya,0.5577,0.1122
8,"Mezãa internet tsɔ wɔa numekuku tso nyatiwo ŋu na nye dzɔdzɔmeŋutinunya ƒe klass, gake zi geɖe la, menɔa hadomenyatakakadzraɖoƒewo le dze ɖom kple xɔ̃nyewo. Ema ɖi nya sia be esɔ. Smartphone le nye klass ɖesiaɖe si fifia, eye míezãnɛ na nusianu kloe. Le nyateƒe me la, ẽ.",pezintanes tsɔ wɔa enekuo tso nyatsiwo ŋu nanye tɔdzɔme ŋutinunyaƒe klasi ɖaka zigeɖa la menɔa aɖo me nye kaka dzeɖoƒewo le dze ɖum kple xɔnyewo emaɖi nya sia abe sɔ smatfuon le nye klas ɖesea ɖe si fifia eye mieza nɛ yna nu sia nu kple kple nyateƒe ma la eye,0.766,0.2083
9,Menye dzimesesẽ wonye be na di be ya kpɔ wo ŋutɔ ƒe etsɔme ta o. Eƒo nu tso nya sia ŋu na nɔ woa? Nɔnye gblɔ be ye mateŋu atsitre ɖe fofonye ŋu o.Evɔ̃ na na nusi nutoametɔwo agblɔ ne nye me wɔ nusia o. Enya sia nye nya geɖe fuu.,menye dzimesese wonye be nadzi be yeaƒɔ wo ŋtɔ ƒe edsɔmeta o avɔnutso nya siawo nanɔwɔa nɔnye gblɔ be yemateŋu atsitre ɖe fofunyemu o evɔ na nanu si ŋutsu ome tɔwo agblɔ ne nyemewɔnu sia o enya sia nye enya geɖe fu,0.6275,0.1221
