sample_id,reference,hypothesis,wer,cer
0,alolo ɔbo la kɔ no ɛfuɛ boa ko owu edze afɔku owue anyamado uvi di ya no ayɛto ka zɔ ɔlɔdi,alolo ɔbò la kɔ no ɛfuɛ boa ko owu edze afɔku owue anyama do uvi di ya no ayɛto ka zɔ ɔlɔ di,0.2381,0.0143
1,"adʊ use dini, alʊɛdɩnɩ kɔ nʊ ɛfɛ ɛdɩnɩ adʊ awu fue, ɛdɩnɩ adʊ awu vɛ, ɛdɩ adʊ avavlitsɛ, kʊ adʊ use dɩnɩ yɛ, kʊ akaɣa use",adʋ ʋse ɖɩŋɩ alʋɛdɩnɩ kɔ nʋ ɛfɛ ɛɖɩŋɩ aɖʋ awʋfue ɛɖɩŋɩ aɖʋ awʋvɛ ɛɖɩŋɩ aɖʋ ɛblɔ kʋ aɖʋ ʋse ɖɩŋɩ kʋ aka wʋsɩ,0.9231,0.4725
2,"Alʋ ɛdini ya n'udzali Ɛdi adʋ aɣla n'idu, ɛdi adʋ aɣla nʋ akpɔ Atɛ ɛkʋyɛ nʋ atami alɔ, ɛdi zati n'atam'idu kʋ atɛ abidzo dʋ n'atamidu",aluɛdini ya nu udzali ɛdi adu ala nu idu ɛdi adu ala nu akpo atɛ ɛkuyɛ nu atamialɔ ɛdi zati nu atamidu ku atɛ abidzo bi nu atamidu,0.8462,0.1584
3,owʋ alɔ kʋ owʋalɔɛ eƒiodu Kʋ alʋme ivʋe abehui ɛfʋɛ kasɛsɛ aba owʋetʋ kama kɔdsu ɛsɛ kadzɔ iv owʋe kakɔnaeme ivʋebi ɔyanʋdue kalʋɛdini kɔ kakakɔsʋ nukunu sɛ kadzɔɛ,owue alɔ kʋ owue ayʋ alɔ yɛ efiodu kʋ alɔme ivue abeyui ɛfʋɛ kasɛsɛ aba owue ayʋ ɛtʋ kʋ aba kɔsʋ ɛsɛ kʋ adzɔ ivue kʋ akɔnɔme ivue bi ɔya nʋ udu e kʋ alʋɛdini kɔ kakakɔsʋ nukunusɛ kadzɔ yɛ,1.1071,0.2279
4,Alʋ ɛdini kana ɔlʋ kʋ ayɔ gagba dini lɛ kʋ ɛkʋti kʋ akana ɔlʋ ɛdini adʋ awʋfue nʋ ava edini adʋ awʋvɛ nʋ ava kʋ alʋ ɛdini akɔ ɛkɔmɔtɔ ofue nʋ ava kʋ ekʋ uti kʋ akana ɔlʋ iwui dini bibi dʋ atmi ava nʋ ɛfɛ,aluɛdini kanɔlʋ kʋ ayɔ gagba dini lɛ kʋ ɛdini kɛ kʋti kʋ akanɔlʋ ɛdini adʋ awʋ ƒʋɛ nʋ aɣa ɛdini adʋ awʋ vɛ nʋ aɣa alʋɛdini akɔ ɛkɔtɔ ƒʋɛ nʋ aɣa kʋ ɛkʋti kʋ akanɔlʋ wʋ kʋ ʋvi dibi dʋ aɣa nʋ ɛƒɛ,0.6957,0.2532
5,Ɛmɛ lɛ ɛfʋɛdɩ kʋ na mʋ asɩ ɛla dɩnɩ akewele ɛkʋRɔba wɛ li la kʋ akewele ɛkʋɛ,ɛvɛ lɛ ɛfʋɛdɩ kʋ namʋ asɩ ɛla dʋnɩ akewele gaze nʋ ɔɣɔkʋnɩ la kʋ namʋ rɔbawɛ la kʋ akewele ɛkʋɛlɛ li kʋ ɔɣɔkʋ dɩnɩ bɩ kɔ nʋ ɛmɛ,1.1765,0.7833
6,"Edɩnɩ dɩ li la nʋ tɛ kʋ ɛtʋfue alʋ tsʋe Ɔsɩ kʋ ɔdʋ atamɩlɩ yɛ mʋa, ozǝtɩ nʋ uluvi dɩ bʋa kʋ adʋ aɣʋ ʋblɔ nʋ uti nʋ ɔwɛ nʋ ava Ɔsɩ yɛ mʋa akɔ tsɩtsɩ kʋ kɔpʋ ɔnʋlɩ dɩ yadʋ nʋ ɛkplɔ yɛ bʋakʋ ɔlɛ nʋ ayʋ ɛtʋ ava Uluvi ɛfua emlɩ ya nʋ atamɩlɩ kʋ atanɩ emʋ nʋ ʋwɔ ɣafa nʋ ava",edini di ni lantɛ kʋ ɛtʋfue alʋ tsue ɔsiɛ akɔdʋ atami iili mʋa ɔzati nʋ uluvi di bʋakʋ adʋ awʋ ʋblɔ nʋ uti nʋ ɔwɛ nʋ ava ɔsiɛ mʋa akɔ tsitsi kʋ kɔpʋ nʋli di yadʋ nʋ ɛkplɔ yɛ bʋakʋ ɔlɛ nʋ ayɛtʋ ava uluvi ɛfʋa emli ya nʋ atami iili kʋ atani emu nʋ ʋwɔ hafa nʋ ava,0.4844,0.1814
7,"Alʋka dini ʋsealʋ dʋ usedza kʋ akamʋ inʋ Ɛdini kɔnʋ ava, ɛdini adʋ ɛkʋvɛ, kʋ adʋ ɛkʋfue yadʋ kʋ adʋ ʋblʋ awʋ, ɛkʋwɛ yadʋ kʋ awʋ Kʋ awɛgɛbi azɛ ɛkʋxɛsɛ dʋnʋ ayili kʋ ɔkaxɛsɛ",alʋka dini ʋse alʋdʋ ʋse dza kʋ akamʋ inʋ ɛdini kɔnʋ ava ɛdini adʋ ɛkʋvɛ kʋ adʋ ɛkʋfue yadʋ kʋ adʋ ʋwlɔ awʋ ɛkʋwɛ yadʋ kʋ awʋgɛbi azɛ ɛkʋɣɛsɛ dʋnʋ ayili kɔ kaxa ɛsɛ,0.3529,0.0809
8,Ɛtʋfue alʋ wani lanʋtɛ kakpɔ ʋtokʋ adʋ awʋ ɔvɛ nʋ ava ɛdigbo ayavɛ kʋ ɔyakpɔ ʋtokʋe adʋ ɔwɛ nʋ ʋti kʋ akakpɔ ʋtokʋe atani aya ɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kʋ aka kɔsʋ ma nʋ alɛnɛ kʋ akakpɔ ʋtokʋe,ɛtʋfʋe alʋwani lanʋtɛ kakpɔ ʋtokʋ adʋ awʋ ɔvɛ nʋ ava ɛdigbo ayavɛ kʋ ɔkakpɔ ʋtokʋe adʋ ɔwɛ nʋ ʋti kʋ akakpɔ ʋtokʋe atani ayɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kakakɔsʋ ma nʋ alɛnɛ kʋ akakpɔ ʋtokʋe,0.2195,0.0263
9,Alɛ ɛku vɛ dunu uti kɔluwui ni di ku ɔyeli nu ayava ku akɔ agbavlɛ adu awu ofue adu ufa nu uwɔ kpɔlusi dibi ya nu itsɛdi akɔ ɛkɔtɔ ɔwɛ ku akɔ ɛku du nu unuku,alɛ ɛkʋvɛ dʋ nʋ ʋtɩ kʋ ɔlʋwɩnɩ dɩ ɔyeli nʋ ayava kʋ akɔ agbavlɛ kʋ adʋ awʋfue adʋ ʋfa nʋ ʋwɔ kpolusi dɩ bɩ ya nʋ ɩtsɛdɩ kʋ akɔ ɛkɔtɔ ɔwɛ kʋ akɔ ɛkʋ dʋ nʋ unuku,0.75,0.2951
