sample_id,reference,hypothesis,wer,cer
0,"Yasum ndɛ ɔsɔfɔnɔkɔɛ̃ aye nɛ Kakɔ Kpalɛwa Flee a kĩ kɛnyɛ lima patampa wĩ a kamɛ, kĩ nnɛ́ otidziwa lɛbɔa de, mbom boe Ɔlate a lɛbɔa de.",yasũm ndɛ ɔsɔfɔnɔkɔɛ̃ aye nɛ kakɔkpalɛwa flee a kĩ kɛnyɛ limakpatampa wĩ a kamɛ kĩ nnɛ otidziwa lɛbɔade mbom boe ɔlate a lɛbɔade,0.3333,0.0192
1,"Fɔtsa flee kawũna lɔkɔ fuã, foesũ mipi mi akũ kapi wĩ, mina nɛ kukũmanɛ kamɛ, ayekĩ míapuli mibɔa mpaɛ.",fɔtsa flee kawũna lɔkɔ fuã foesũ mipi mia kũ kapi wĩ minanɛ kukumanɛ kamɛ ayekĩ miapuli mibɔa mpa,0.3684,0.037
2,"Badi bɛma be basaɛ, babɛbã bati lɛkɛna be basaɛ, ade badi lɛmɛ lákɔã batsɔ̃ nɛ ode lɛgãkanyakɔ̃ a sũ.",badi bama be basaɛ babɛbã bati lɛkɛna be basaɛ adi badi lɛmɛ lakɔa batsɔ̃ nɛ ode lɛga kanyɛkɔ aso,0.3158,0.0897
3,"Kitonɛkĩ ntɛ mideĩ bati mpim ewua kĩ batsa mi fɔtsa nɛ Kristo akũ malo ni, ɔlɛga mɔapɛ mideĩ.",kitonɛkĩ ntɛ mideĩ bati mpi mewu a kĩ batsa mi fɔtsa nɛ kristo akũ malo ni ɔlɛga mɔapɛ mideĩ,0.1667,0.0
4,"Lɛmɛ ntɛ mi kamɛ badi deĩ adzuni bɛbã ni, Baguma aakpalɛ foe malo kamɛ ɛtsa mi.",lɛmɛ ntɛ mi kamɛ badi deĩ adzuni bɛbã ni baguma aakpalɛfoe malo kamɛ ɛtsami,0.25,0.0
5,"“Odi nyɛ odi kĩ yaakɛna sɛmɛ kalɛ ɛkpa obisɛ̃ kĩĩ odu nɛ yĩ dĩ akũ ni, yĩ ɛkɛna ɛkpa.",odi nyɛ odi kĩ yaakɛna sɛmɛ kalɛ ɛkpa obisɛ kĩ yĩ odu nɛ yĩ di akũ ni yĩ ɛkɛna ɛkpa,0.1579,0.0317
6,"Ntɛ bɔnya lɔtɔ bɔnaa boe tɔwɔlɛ kamɛ ni, Baguma lɛláadzɛmɔ boe.",ntɛ bɔnya lɔtɔ bɔnaa boetɔwɛlɛ kamɛ ni baguma lɛlaadzɛ mɔ boe,0.3636,0.0392
7,Ade oti a kĩ ye kamɛ hũhũ a deĩ a wo nɛ be akũ ebo be a!,kĩbdntwlɛkamɛade ebibe kĩ bɛtɛ oti a kĩ yaaya nɛ ye yohanes liti a bido ade oti a nyɛ yesu a kĩ binu fɔlɛtsa kĩĩ a bɛfɔ̃ paulo kɛna be mui kawɔla maniɛ nɛ boe ɔlate yesu di akũ,1.8235,2.8462
8,"Kĩ boe kadzakũ wo ɔtɔ a, batɛ badonɛ a mɔ batsɔ̃ mɔ babi flee yi boe osi bɛnawo mpo abuĩ.",kĩ boe kadza kũwo ɔtɔ a batɛ badonɛ a mɔ batsɔ̃ mɔ babi flee yi boe osĩ bɛna wompo abu,0.3,0.0299
9,"Ade be lɛtásum ɔyaɛ kpa ĩye ye kutidu a kĩ bɛmɛ a, ĩye bɛtɛ ye sɔkpɔ̃na nɛ be nnyɛ ĩye nɛ awɛ a.",ade belɛtasũm ɔya ɛkpa ĩye ye kutidu a kĩ bɛmɛ a ĩye bɛtɛ ye sɔkpɛna nɛ be ĩnyɛ ĩye nɛ awɛ a,0.2609,0.0563
