sample_id,reference,hypothesis,wer,cer
0,Tega kam maama koge mo ye ka ta leere.,tɛga k'an mama kɔgɔ ye mɔ ye ka ta leere,0.6667,0.2414
1,Ko nam bá dáane se abam tiini á keeri.,kunan ba dane sai abantini akeri,1.0,0.3448
2,pa se ba teene dem zwɛ de daare di-dwonnu yerane.,pasi ba tiini din zɔɛ di daari di donnu yirani,1.0,0.3158
3,Konto mo wó pa se á jwoori á na yazura ye á daare á lɔre kolo ŋwaane o na tiini o pa ko zo á yera to.,konto mo wo pa se ajwora na ya zura ye a daaraa lɔre kolo ŋwaane o na tiini o pa ko zɔa yera to,0.4074,0.1351
4,Abam wó kwei gare-fefale mo á ma ke Aron gare-dedɔrɔ kom de o yuu gare-yi dem.,abam wokpei gara fofale mo amaa ke aron garadɔra kon de wo yuo gera yiira,0.6875,0.3051
5,amo Wɛ wó pa ba na amo verem dem.,amawɛ wɛpa ba na am verindim,0.7778,0.25
6,"Dɩ́ ko-biǝ-ba, abam daa ba taá lagɩ sɩ dɩ́ pʋpʋnɩ dɩ́ ta dɩ́ brɩ abam maŋa kalʋ wǝǝnu tɩntʋ na wʋ́ kɩ tɩn.",dé koo bia-ba abam daa baa ta-á lagese de popone de ta de bere a bam maŋa kalo wonnu tonto na wó keta,0.8696,0.32
7,"Abam dwi dem wone, bu-kwe sem de á vara maama wone cheeri-bia bam ye amo nyem mo.",abam dwui dem ŋwone bokwe sem de a varaa maama wone cheiribia bam ye amo nyem,0.4118,0.1311
8,Asiria pɛ wom ma toŋe o dedɛɛra bam yiga tu se o zege Lakisi ne o nwoŋi de jar-keira kɔgɔ dedɛ o vo Jerusalem o gware Hezekia.,asiria pɛ wom maa toŋe o dedɛ rabam yiga tu se o zege lakisi ne o nwuŋi de jare kera kɔgɔ dedɛ o vu jerusalam o gwaare hezikia,0.3704,0.0918
9,Muni delo na daare to se á bibili-de memene ye á laam ma nuga á taare-te.,mom delo na daare to se a bebelli memem ye a lam maa nuga a taate,0.5625,0.3091
