sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt","Ɛduru anadwo no asɛm ɔrekɔ da a, monnum mo phone anaa mo tablet.",0.6667,0.2222
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,Ma Onyankopɔn mmara ne ne nyinasosɛm ntete wʼahonim.,0.25,0.0455
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?","Sɛ yɛde ntenesoɔ mma a, yɛbɛyɛ dan suasua yɛhoa ne ne ba no.",0.3846,0.1702
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,Yɛbɛyɛ dan nyini wɔ gyidie no mu.,0.4286,0.16
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",Nsakra bɛn na wo ne ɔhokafoɔ bɛpɛ sɛ moyɛ sɛdeɛ ɛbɛyɛ a mobɛtumi de lɛtonic mfidie ayɛ adwuma yie?,0.4,0.1829
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?","Bible ka sɛ, “Yei ne Yesu anam akyi a, ɛkyerɛ sɛn?”",0.3,0.1282
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,Yehoah hyɛɛ n’asomfoɔ a wɔtenaa ase tete no nkuran.,0.2222,0.075
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.","“Da wɔn ase! Wobɛtumi aka sɛ, ‘Yɛ da woase sɛ ɛberɛ a anka wo ne wo kuo de bɛyɛ biribi no, wode abɔ afɔre sɛ ne ɛbɛyɛ wɔbɛtumi abɔ asafo no. Asɛm tia wʼasaa abɛtumi ahyɛ wo nkuran pa ara.’ ”",0.4359,0.1357
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,Tete wo mma wɔ Yɛhoa ntenesoɔ mu.,0.2857,0.2
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,Magye wɔn afiri wɔn a wɔbuu animtia no nsam.,0.5,0.2222
