sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Suquom de me.,0.5,0.4
1,Akwadaa wei,Akwadaa Way.,0.5,0.2
2,Mafe wo,Mafeu.,1.0,0.3333
3,Yɛ wɔ,yewo.,1.0,0.5
4,Ɔmee ne Ɛfeɛ,Amayin ne efye.,0.6667,0.8
5,Mɛtɔ credit 5 cedis,Metal Credit five series.,0.75,0.625
6,ɛkɔm de me,Air-conditioning.,1.0,1.75
7,Hyɛɛ n'anim teɛ,Hyerene anam tuyeye.,1.0,0.75
8,Medaase mensa aka,Bedase mmi saako.,1.0,0.3333
9,Dum kanea no,D'une caneane.,1.0,0.4
10,Na ɔkɔe kowui,Na ɔkɔɔ ɛkɔɔ ɛkɔɔ ɛwi.,1.3333,0.9091
11,Neho ayɛ fi  paa,Mme Hɔ ayait fii pas.,1.25,0.6667
12,Me pɛse me tɔ credit na me de gu mtn number so,M'aprima de m'entraire la crue de la tente de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de la machine de machine de la machine de la machine de la machine de la machine de la machine de la machine de machine de machine de la machine de machine de machine de la machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine de machine,36.0833,47.9429
13,Mepaa’kyɛw me number no yɛ 059,"Pakyaw, number number no. 059.",0.5,0.4167
14,Ko buu no,Kubuuno.,1.0,0.1429
15,Woka borɔfo,or camera or phone.,2.0,1.1
16,Tuu no,Zunu.,1.0,0.6
17,ɛyɛ,Egyet.,1.0,1.3333
18,Mepaa’kyɛw ma sesa m’adwene,"Mepatriom, Wasesama Dwen.",1.0,0.3182
19,To nnwom,Cześć.,1.0,1.0
20,Yɛ wɔ,"Yea, Wo.",1.0,0.75
21,Bra ha,Baa ha.,0.5,0.2
22,Nsuo,ensuo,1.0,0.25
23,Mame bebree,Mommy Beberi.,1.0,0.6
24,Ma me bi,Mame bi.,0.6667,0.0
