sample_id,reference,hypothesis,wer,cer
0,"Ka maa bare ba ne a kɔŋ ka ba kulo, ba na yĩĩe la a sobiriŋ, bonso, ba mine yi la tentɔbɔ a wa.","Ka man bar bannin a gong, ka bo kulo. Banna yie la a sobiri, bon so. Bamma n'yie la tinga tubu a",0.7083,0.3676
1,"Yɛ puoro korɔ te meŋ a yɛ puoruu poɔ ka Naaŋmen yuo sori ko te ka te moɔle a Kirista yelsɔglaa na eŋɛ N naŋ be a nempagdie poɔ, ka ka N na toɔ̃ manne a weliweli ka a sãã a seŋ N naŋ na manne a lɛ.","A ya puruo kora te min, a ya puruo puo. Kana mu na yuo sori kote. Kana muol a kris a yuo sorana ŋa, ŋe. Inna mbe, a ne nbo die puo. Kaka na tɔma na wɛle-wɛle, ka a sa a sa na na ma na a le.",0.8125,0.3904
2,"A Yeezu naŋ da gɛrɛ Gyɛruzɛlɛm, O da kpɛ la a teŋkponni ane a tembilii poore a kanna a noba gɛrɛ.","Ye zuna n da gɛrɛ Jerusalem, o da pɛlɛ a ten-kponni, a ni a ten-biiri pɔre a kanna a noba gɛrɛ.",0.5238,0.24
3,A Naaŋmen Bagmaale Wederebɛ Nembɛrɛ Zusoba Naŋ Soore Yeezu Soorebie.,Sorbala ang la ka yaboro ka ba de yele Jesu na yi Nazarene ka Jesu,1.5,0.8103
4,"A yelderebɛ naŋ yi a be naŋ da wa woŋ a te yɛlɛ, ba da yi la Apeyo Daa Poɔ ane Teree Taavens ka ba tuori te.","A ye la nanda yi a be nanda woong a ti yale, ba da yi la a pe yoo daa pwo a ne teri taa vings, ka ba tuorite",0.7407,0.2875
5,"Azuiŋ, yɛ ta daŋ di sɛrɛɛ kyɛ ka a saŋ ba ta; kyɛ ka a Daana waabo naŋ ba ta sɛre.","Azii yeta daa disere, cɛka a sang bata, cɛka a daana waabun naambata sere.",0.8571,0.3051
6,"O naŋ da wa pɔge te a Azɔ poɔ, o da kpɛ la a gbori ka te gaa Mitelen.",Nang na wa porte a azapuo o da kuola gbori ka te gaa mitili,0.5789,0.3265
7,"Ba da lɔɔ o la bare ka o sigi wa a teŋɛzu, a lɔɔ a o malekere meŋ poɔ o eŋɛ.",Bada lora baraka osigiri wa atinye zu alo a umal kire men pua o eng,0.8571,0.3704
8,"Ka a toŋkpeɛne ama naŋ toŋ fo poɔ, da toŋ Sodom teŋɛ poɔ, o da na kyɛnɛ bebe la wa ta zenɛ.",ka tung pe ne ama nan tung fo pwo da tung so dom ti nga pwo o da na neng bebe la awa to zinu,0.7273,0.4179
9,"Azuiŋ, yɛ tɔglɔ Naaŋmen yɛ naŋ waa O poyɛŋ biiri, a taa nɔmmo aŋa lɛ a Kirista naŋ da nɔŋ te lɛ, a de O meŋɛ tere ka ba maale ne bagre naŋ nyuuro noɔ Naaŋmen zie.","Azi, ye tɔla na angmɛɛ ni, ye na wa opo yɛn biiri. A taa nɔmmu angmɛɛ le a krisita. Na da nɔn ti le adu omɛɛ tere kaba mbaala ne baari na n yoro nuɔ na angmɛɛ ni.",0.9189,0.3607
10,"A banaŋ naŋ da zo yaare da yi yoɔrɔ la, a moɔlɔ a yelbiri.",an nan de zoyare de yiu ala amuola ayelbere,1.0,0.4186
