sample_id,reference,hypothesis,wer,cer
0,"Ɔluwɛ̃ ne, manɔ kulu lɛ ɔwiri nto ɔkpɛ̃ teteree kubɔrɛ i kato.",ɔluwɛ̃ ne manɔ kulu lɛ ɔwiri nto ɔkpɛ̃ teteree kubɔrɛ i kato,0.0,0.0
1,"Yesu ɔre iti i sosina gu iwola ame, ɔbo maturi gu Ɣaa ɔɖuɖu anɔ.",yesu ɔrui iti i sosina gu iwela ame ɔbo maturi gu ɣaa ɔɖuɖu anɔ,0.1429,0.0612
2,Ne ɔso ito me ɔkã teteree sɔ loasese wũ mi kɔrɛ sɔ so aaɣɔ mi si minya wũ fiɛ mme wũ wũ nnya ka miaro.,ne ɔso ito me ɔkã teteree sɔ loasese wũ mi kɔrɛ sɔ so aaɣɔ mi si minya wũ fiɛ mme wũ wũ nnya ka miaro,0.0,0.0
3,Boto bopɛ Ɣaa gɔ nɖe Bosate Yesu Kristo Ɔse siba sɔ ɔtã bo siwarã ame kusɛkusɛ biara gɔ lobɔrɛ i kato iki i bo mawɛ̃ ibaragu Kristo ame.,boto bopɛ ɣaa gɔ nɖe bosate yesu kristo ɔse siba sɔ ɔtã bo siwarã ame kusɛkusɛ biara gɔ lobɔrɛ i kato iki i bo mawɛ̃ ibaragu kristo ame,0.0,0.0
4,Alasɔ ɔwi gɔmɔ to ɔ̃aɖe kutsue ikpadzɛ̃ ɔwi lɛ kumɛgɔ i Ɔko Sekelea Ɔɣɛ ɔsɛ awe.,alasɔ ɔwi gɔmɔ to ɔ̃aɖe kutsue ikpadzɛ̃ ɔwi lɛ kumɛgɔ i ɔko sekelea ɔɣɛ ɔsɛ awe,0.0,0.0
5,Mme Yohanes lotsɛrɛ ɔko gɔgbe nto lotã mi mafɔɖedze akuri akɔdzɛ wa mpia i Asia karɔ̃ iso.,mme yohanes lotsɛrɛ ɔko gɔgbe nto lotã mi mafɔɖedze akuri akɔdzɛ wa mpia i asia karɔ̃ iso,0.0,0.0
6,"Gbaã ne, itɔ̃me bielea mama kuiwɛ̃ siina, ɣɛɛ mawɛ̃ to mabie sɔ makpɔkpɔtɔra mi si mafinikira Kristo Itɔ̃me Bielea.",gbaã ne itɔ̃me bielea mama ku iwɛ̃ si ina ɣɛɛ mawɛ̃ to mabie sɔ makpɔkpɔtɔra mi si mafinikira kristo itɔ̃me bielea,0.2105,0.0
7,"Gɔ manya sɔ Yesu masiaidze nɣɛ mato maɣɛ abuiti ɔɖuɖu wa ame mabɔrɛ siɖe ne, ibara ma ɣii.",gɔ manya sɔ yesu masiaidze nɣɛ mato maɣɛ abuiti ɔɖuɖu wa ame mabɔrɛ siɖe ne ibara ma ɣii,0.0,0.0
8,"Ne Yesu ɔkarɛ ma sɔ, “Ɔnɔ miinɔ igbã nɛ karɔ̃?",ne yesu ɔkarɛ ma sɔ ɔnɔmi inɔ igbã nɛ karɔ̃,0.2,0.0
9,Ɔɖi bo ɔbɔrɛgu i Ɔbosam ɔle gɔ nɖe idududu ame ɔbɔ ɔ̃ Ɔbi ɖɔɛse sigarakaɖekɔ̃ ame.,ɔɖi bo ɔbɔrɛgu i ɔbosam ɔle gɔ nɖe iduduudu ame ɔba ɔ̃ ɔbi ɖɔɛse sigarakaɖekɔ̃ ame,0.125,0.0312
