sample_id,reference,hypothesis,wer,cer
0,Me ho ye paa ara,Me ho yɛ paara.,0.6,0.1667
1,Yaw ne Ama,Yɛw ne ama.,0.3333,0.125
2,Nsu,” insu.,1.0,0.3333
3,Okuu adubɔfo,Okum adubɔfo,0.5,0.0909
4,Ma ɛtwee aboa bi,Ma atwee aboa bi,0.25,0.0769
5,Mefi Ghana,Mifredana.,1.0,0.4444
6,Dɛɛbi dɛɛbi me pɛsɛ me tɔ,“Dɛ bi Dɛ bi mepensa me to” ”,1.0,0.3
7,Number bɛn na wo pɛse wo tɔ gu su,Na mba bɛn na wopɛ sɛ wotogu so Na mba bɛn na wopɛ sɛ wotogu so,1.5556,1.16
8,Nokware di tuo,Nokori de Etchew,1.0,0.75
9,ɔkɔtɔ nnwo anomaa,Ɔkɔtɔ nwo anomaa.,0.3333,0.0667
10,Mepawokyɛw,Mepa ɔtsɔm,2.0,0.6
11,Sɔ kanea no,Sɔ Kaneano,0.6667,0.0
12,Wɔ ńkwankyɛn,Wɔn kwankhɛn,1.0,0.1818
13,Tuu no,tsuw no.,0.5,0.4
14,Mtn,Mtn,0.0,0.0
15,ɛye,,1.0,1.0
16,Gye di,Gyidi.,1.0,0.2
17,Wofi he,Wolfi hɛn,1.0,0.5
18,Abofra yi,Ɔbofrae ye.,1.0,0.375
19,Saa ɔkɔre no,Saa ɔkware no,0.3333,0.2
20,Esian sɛ,,1.0,1.0
21,To so ma me,Tosoma me.,0.75,0.0
22,Gyeene abiɛsa,Gye ne ebiesa,1.5,0.25
23,Me nsa aka,,1.0,1.0
24,Meredwen wo ho,“Merry Jane with her.,1.3333,0.8333
25,Wɔn ti,Wont.,1.0,0.4
26,Mepaw’ kyɛw yiw  (spoken - informal),Mepa a ɛtow yiw. Mepa a ɛtow yiw.,1.4,0.6538
27,Tu amirika,So America.,1.0,0.4444
28,Mepawokyɛw ma sesa madwene,Bepatchew Masisa Maadje,1.0,0.4783
29,Woka brɔfo,Wokab brothel,1.0,0.6667
30,Medɔ wo,Middle,1.0,0.6667
31,Ɛsoe pɛ,Esuin Pe Ɛnyɛ Esuin Pe Ɛnyɛ Esuin Pe Ɛnyɛ Esuin Pe Ɛnyɛ Esuin Pe Ɛnyɛ Esuin,8.0,9.1667
32,Wofi he,Wo fie hɛ,1.5,0.3333
33,Ɛsow aba pii,Ɛsoo Abapi,1.0,0.2
34,Woforo dua pa a na ye pia wo,” ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnwa anomaa ɔkɔtɔnbebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebebe,2.125,36.2857
35,Fa to hɔ,Mfato hɔ,0.6667,0.1667
36,Bra ha,,1.0,1.0
37,Merehwehwɛ Yaw,Mere hwehwɛ yɛn,1.5,0.1538
38,To so ma me,“Toso ma me.” “Toso ma me.”,1.0,1.0
39,Abofra yi,† †††††††††††††††††††††††††††††††††††††,1.0,1.0
40,Nokware di tuo,Nokware de etiu.,0.6667,0.3333
41,ɔkɔm de me,’ ” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.” ɔkɔm de me.”,8.0,8.0
42,Tow nnwom,Tɔ nyɛm,1.0,0.625
43,ɛno akyi no,Ɛno echi no.,0.3333,0.3333
44,Emu biara,“Mmo biara.” “Mmo biara.”,1.5,1.25
45,Kyerɛw ma me,Traummami.,1.0,0.7
46,Sɔ kanea no,Sɔ Kanea no,0.0,0.0
47,Woadi Ńkɔmmɔ mprɛnsa,Wɔadi ɛnkɔmmɔ ɛmprɛnsa. Wɔadi ɛnkɔmmɔ ɛmprɛnsa.,2.0,1.3333
48,Wo pɛsɛ wo yɛ dɛn ɛnɛ,Wo pɛ sɛ wo yɛ den nne.,0.6667,0.1875
49,Mepawokyɛw Yiw,Mepawtow you.,1.0,0.4615
50,Me ho ye paa,Me ho yɛ pɛ. Me ho yɛ pɛ. Me ho yɛ pɛ. Me ho yɛ pɛ.,3.5,2.7778
51,Tew so ma me,Till sober me.,0.75,0.6667
52,Me ho ye paa ara,Me ho yɛ para.,0.6,0.25
53,Network bɛn,Network Bing????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0.5,0.2
54,Me nsa aka,“Mensaka” “Mensaka” “Mensaka” “Mensaka” “Mensaka” “Mensaka”,2.0,4.25
55,Fa to hɔ,Fatahor,1.0,0.5
56,Mepawokyɛw Yiw,” † † ’,1.0,1.0
57,Medaase,Metase,1.0,0.2857
58,Medaase,“ ‘Midaa ase. “ ‘Midaa ase.,4.0,1.2857
59,Kɔɔ dua bi akyi,Cordua bi ekyi.,0.75,0.3333
60,Yaw ne Ama,Yaw ne ama.,0.0,0.0
61,Kyerɛw ma me,“ ‘Yɛomma me.’ ‘Yɛomma me.’ ‘Yɛomma me.’ ‘Yɛomma me.’ ‘Yɛomma me.’ ‘Yɛomma me.’ ‘Yɛomma me.’,4.3333,4.9
62,Mefi Ghana,Mifigana,1.0,0.2222
63,Kɔɔ dua bi akyi,Cordiabi echi,1.0,0.5833
64,Mepaw’ kyɛw Yiw,Mepawtow yiw.,0.6667,0.25
65,Ma me bi,Mommy B.,1.0,0.6667
66,Me nsa aka,Mensaka,1.0,0.125
67,Tenten no,Tintino,1.0,0.375
68,Woretɔ agu number bɛn so,Owretɔ agunan babɛn so,0.8,0.3
69,To so ma me,Tosomame,1.0,0.0
70,Wofi he,Wu fii hɛ.,1.5,0.5
71,Mayera,Maiara,1.0,0.3333
72,Yiw,“ ‘‘,1.0,1.0
73,Yiw,YOU,1.0,0.6667
74,Wo pɛsɛ wo yɛ dɛn ɛnɛ,O pɛ sɛ wo yɛ den nnɛ.,0.8333,0.1875
75,Tenten no,“tɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntɛntntɛntntɛntntntntntntntntntntntntntntntntntbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbtbt,1.0,94.375
76,Na biribiara dwoi,Na biribiara dwoe. Na biribiara dwoe.,1.3333,1.0
77,Nnipa yɛ bad (informal) Nnipa nnye (formal),Nipa yi a bird.,1.0,0.7273
78,Ɔmee ne Ɔfe,“Ommee ne ɔfe “Ommee ne ɔfe,1.3333,1.2222
79,Meda wo ase,Mmedawa ase.,0.6667,0.2222
