sample_id,reference,hypothesis,wer,cer
0,Fi dan pai nisa a tiri ku fi teeri gigelika ate fi kan ŋman nye dila.,के दाम पनीसा अत्रुकु फितियरे गलगलका अते फकांग मने,1.0,1.0
1,"Dila nyiŋ Wen a dan bo ba buusa ayen ba lo ya, ba an ŋman baga a weeni wari ale wa.","De l'année, maintenant, à tant de bobas.",1.0,0.7705
2,"Yɔgyɔgla de piilim tuini, Naawen a bo le fu.",.,1.0,1.0
3,"Ba le tɔgri ka, a tiak ziimu gela a sa Aaron ale wa nidoabilisaŋa juga tueŋa kie ale ba juga nandub doataŋa ale ba nandub doataŋa.",بالتوراكا أتيزيمو غالا أسا أرون ألو ندو أبلسنا جوكاتشينكي ألباجوغا نان دو بودا,1.0,1.0
4,Ti kan maa nya gebiga yaase kɔmmoa.,de kamanya geba yasi,1.0,0.5
5,"Waai a dan poom a yaali ayen wa nak nanpaga ale wa, wa kan baga a tulisi wa bunyi tusidi po.",وا أدم بوم أيا ل أ و نك نمرة ألو و وكم بكر أ تلسوا باني تسي,1.0,1.0
6,Filistia demma yaa wom ayen Izirali demma a tu chaab Mizpa.,فليستادما ياوم ايزرا دما اتيكيا ميز,1.0,1.0
7,"Num ŋan nyuntisaŋa lɔklɔk ase zom la a nyo nɔiyeŋka dakanni ale Tuka Viuku niŋka, juijui ate mi ale tu fu la.","Num, an yunta sina, lo lo, a su somla, an yanka da kani, a lo tuka jiku ninka, jiji atimi, a lo tuka.",1.0,0.3372
8,"Mi ale wi la, fi tulisi mu kama, fi basi kama ate m tua ale ta suinum pagrik.","मी आळुईला, टुलिसुमुका मा, बास्कुमा, हॅटेंट्रा, अलेटा, सुनुमपा.",1.0,1.0
9,"Ti waba tii meena ale ŋmarisi doa ale ŋa sinsaŋŋa meena la, Kirisitawa ko ŋa meena a basi kama a pai ŋa kpi maŋ Kirisitawa kummu jabarimu nyiŋ.",To wa bati mina alama su do alanga san sanga mina la krista wa kona mina abas kama apanga pi mang krista wa kumu ya darmi.,0.9286,0.3421
10,"Deevid nuruma ale ga paari du la, ba yaa weeni Nabal Deevid ale weeni ba diila alege a limisi.","David Numa, alega pare, Dula. Baia we ne naba, David, ale we ne naba, Dula, alega ale.",0.9474,0.3108
11,"Ase Naawen biisiteerɔ a dan bo ni po, m te pai m dek sak wa kama, m le biisi ale wa gɔdaasima po.","I see now we're busy to, and I'm about to, and the pie, and the saw, come, and the busy, I'll want, what does it mean?",1.1304,0.7778
12,"Ni a nye wieŋa de meena dii nyiŋla, nama dek seba ku ale ka dii yɔgyɔgla de la kama.","Nine years ago, I met Jin Young, a man that I've known for 7 years. I've known him for 7 years.",1.1053,0.8594
13,"Ti tiirimu dan ka ti chim Wen biisiteerɔba a weeni wa tuntomika, ti a weeni a magsi chaab ale ti siaka ale soa diila.",تتيرمون دان كات تجم نا وين بيس تيروا او وين واتون تومكا دا وين اماسي شاب اليت سياكا اليت ساد,1.0,1.0
14,Betel ale Ai tɛŋsaŋa demma a jam ka kobsiye ale pisiye ale bata.,"Betal al-i, tensinadema, ajamka, kopsiye, al-pisiye, al-bar.",1.0,0.2549
15,Ni ale magsi ni ŋɔbi lammu diila ale nna.,"Niamh, I'm sorry.",1.0,0.8125
16,Kpagni Nebuzaradan a jam pai ba meena kama a ta ba jam Babilon naawa jigi Aribla.,Tani da wo zaranda a jamba ba mi na kama a taba jamba ba l'onawa jigi,0.875,0.3385
17,Ba jam tu chaab ka Sokoyo ale bo Juda po la.,I'm not sure what you're asking for. Could you please clarify?,1.0,1.0909
18,Ba jam dɛ tigini Naawen ti Wenni niŋ ka daa ŋayopɔi a ŋman pa daa ŋayopɔi a vi du ate ŋa meena a chim daa pi ale ŋanaansi.,I can't hear any audio in the provided file. Please provide an audio file for transcription.,1.0,0.8085
19,Wa jam ta ka piisa tusa pi ale ŋanaansi ale laalaakomiba tusa ŋayuebi ale lalik kpaansa beŋsa tusidi ale bonsa tusidi.,"A janta ka pisa tu sa palamang na nasi. Alela, ako ba, tu sa nu yeb. Alela, laka pansa. Bangsa, tu si di. Ale, bonsa, tu si.",1.1905,0.268
20,"Ba gela a jam a weeni ayen, <<Tama ale ti nidoabilisaŋa ale ti liema a piisi kama, ku a fɛ ayen ti ta ŋanbie a dɛ ate ti vua.",بقلة ياما وين ايتم تمام على تنو دبل سنغ على تليما ا بيس كمار كوا فاي اي انت تانغ ام بياد د اتو,1.0,1.0
21,Wa jam pai ka ligmɔniŋ a kuri mɛ ŋanta ase ŋanvuta baye la nanlikka noawaaŋa.,ويا انبا كالي ومانا,1.0,1.0
22,"Yeezu yaa weeni ba ayen, <<Mi Kowa a basi kama ate mi tom tuimaŋsa nna yegayega ate nama nya.","Yesu, ayawu yeneba, ayen, mokoa abas kama atemtom kumansa, nayeyera, atenama.",0.8947,0.2958
