sample_id,reference,hypothesis,wer,cer
0,"Mose ɖo nya sia ŋu na Yehowa be, “Ameawo mava Sinai toa dzi o, elabena ède se na wo be womekpɔ mɔ ava o.","Mase ɖo nyasi amukɛ ye va, ama wo mava sina etɔ adzio, alabana ɖeɖe sɛna o be wo mekpɔ mɔ ava o.",0.75,0.2468
1,le dowòme.,La ɖo ma,1.5,0.625
2,"Esi Sanebalat se be míele glia ɖom la, eku dzi nɛ.","Eya ta, tsẽmiba la, tso gbe me va le gblea dɔm la, eku dɔ",1.1818,0.5526
3,"” Nyɔnua kɔ vidzĩa dzoe, eye wòɖakpɔ edzi.","Nɔnɔwo kple vǐawoe, eye woaɖabɔɖe",0.8571,0.625
4,"Fia Dario ɖe gbe be woayi dɔa dzi, eye wowu gbedoxɔa nu.",fifiadenuwo adegbewo anyi adzi eye woawu wodo xwanu,0.9167,0.4186
5,"Míawo ɖeɖe míatui na Aƒetɔ, Israel ƒe Mawu la abe ale si Persia-fia Kores ɖoe na mí la ene.","Ene wòalée, m̀atwina Afeetɔ, Israela Mawula, abe alesee wòafia Kores duenamila, enye:",0.8947,0.3143
6,Ale wona gae tso esi wodzɔ le trɔ̃ Baal Berit subɔƒe la me eye fia Abimelek tsɔ ga sia ƒo gbevu aɖewo nu ƒu ɖe eɖokui ŋu.,"Alɔ na gbe, tsɔ sɔ yɔle trɔ ba alɔbɛritikpo va lɔ mi, efia biama lɛtsɔ gbeasia, fogue vɔade o, nufodedo kple",0.963,0.4731
7,Dzudzɔ de dzi ʋĩi abe dzudzɔti me wòle dodom tso ene; to blibo la le ʋuʋum sesĩe ŋutɔ.,duɖoɖevi abɛ duɖoɖima ole ɖaɖom tsɔ ɛna tɔ blebula le fo vɔm sɛnsiɛnto,0.9444,0.5821
8,"Eya ta azɔ la miʋu miaƒe nuvɔ̃ me na Aƒetɔ, mia tɔgbuiwo ƒe Mawu la, eye miawɔ eƒe lɔlɔ̃nu.","Azɔ la, mivɔ̃mia afenɔ vɔ̃ mɛ na afetɔ, mia tɔ gbebio Mawu la, eye mia wɔ afe lɔlɔ̃ɖe",0.6842,0.3088
9,Ewɔ ɖeka kple Ahab to via nyɔnuvi ɖeka ɖeɖe me.,Ea wɔ dɛ kpakpla aha tɔvia nyɔnuvi dɛka dɛm,0.9,0.3784
10,"Nuku bubuwo ge ɖe ŋu me, eye ŋu vu tsyɔ wo dzi woku.","Nukubu gbɔ agba ɖe nu ma, ayea nuvɔ̃ɖiawo dzi wo",0.8462,0.4737
11,"Ɣe ma ɣi la, Gaal, Ebed ƒe vi, ʋu kple nɔviawo yi Sekem eye wòzu ame ŋkutawo dometɔ ɖeka le dua me.","Ma yi la ga, e be eƒevi, bu ple nɔviɔwo ikem, eyo zɔ amenkuta ɔdɔmɛ tɔɖekale dua m.",0.8636,0.2973
12,"Eɖo Selax tá la ƒe gli si le fia ƒe abɔ kple atrakpui si ɖiɖi tso David ƒe du me, dome la.","Eɖo silasi ta fe gli, silasi fe abɔ kple atrakpui, siliditɔ Dawid fe dume, dume",0.7727,0.2836
