sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt","Edoa na dwuna sɛ mɔ kɔ da a, munu mu phone anamo tablet.",1.0,0.2667
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,"Mawɛnyɛn kɔpɔn mere a ni ne nyinaa so sɛ m, ntetɔ ahonim.",1.375,0.2727
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?","Sɛ adɛn tene soɔ a maa a, yɛbɛ adɛn suun suia yɛ hoa ne ne ba no.",0.8462,0.3404
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,Yɛbɛɛ dae nyi wɔ gyede no mu.,0.5714,0.28
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?","Nsakrae bɛ na wɔ na wɔ hɔka fo bɛpɛ sɛ mũ yɛ, sɛ nea bɛyɛ amu beti midi letro ne kintfidie ayɛ adjuma yi e.",1.0,0.2439
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",Bible ka sɛ yɛn ne yɛ so anam wɔ yi a ɛkyerɛ sɛn.,0.7,0.2051
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,Yɛ ho ahyɛ na somfoa wɔtena ase te te no nkorae.,1.0,0.15
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.","Dɛn wɔ ase? Wubetumi a ka sɛ e, yɛn da wasese bere a nkawne wkwodi bee bi no, wɔde abo a fore sɛ nebe wubetumi abo asa fo ne. Ase metia wasa abetumi asewum krae paa.",0.8462,0.3071
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,Tɛte wo mawae ho antene so wo no.,1.0,0.44
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,Mergyi wɔ ef yi wɔ na awo bu wɛ nimtea no nsɛm.,1.1,0.3333
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,Dɛn ne betumi ayɛ ma yɛhua ho sɛ yɛpɛ sɛ bɛka na busu anoha.,0.6429,0.2075
