sample_id,reference,hypothesis,wer,cer
0,"Zugsɔb la da yɛl Josua ye, “M zaŋ Jeriko teŋ la niŋi ya nuusin, laan nɛ ba naab nɛ ba zabzabidib la wʋsa.","Zugsɔb la da yɛl Josua ye, ‹Zam Jeriko teŋ la niŋ fʋ nʋ'ʋsin, la'al nɛ ba na'ab nɛ ba zabzabidib la wʋsa.›",0.2609,0.1013
1,ka kuom la kpɛnɛd o nɔɔrin nɛ kpieuŋ siem.,Ku'om la kpɛn'ɛd o nɔɔrin nɛ kpi'euŋ chi'em.,0.2222,0.1212
2,Ala ka fʋ na baŋ ye manɛ sid an Zugsɔb la.,"Ala ka fʋ na baŋ ye mane sid a Zugsɔb la,",0.1818,0.0645
3,Ka David nɛ o zabzabidib la wʋsa lɛb Jerusalem.,Ka David nɛ o zabzabidib la wʋsa lɛb Jerusalem.,0.0,0.0
4,Zugsɔb la da bɛ nɛ Naab Jehosafat bɔzugɔ o naam la pinilʋgʋn la o da dɔl nɛ suobanɛ ka o yaab David da dɔl la.,Zugsɔb la da bɛ nɛ o na'ab Josefat bɔzugɔ o na'am la pin'ilugin la o da dɔl lee suer banɛ ka o yaab David da dɔl la.,0.24,0.1294
5,"” Moses da yɛl Zugsɔb la ye, “M Zugsɔb Winaam onɛ an ninsaal wʋsa vʋm, gaŋim sɔ ka o an nidib nwa tuongat ka gati ba tuon tanpin.","Moses daa yɛl Zugsɔb la ye, ‹M Zugsɔb Wina'am onɛ a Ninsaal wʋsa vum. Gaŋim sɔ' ka o a nidib la nwa tuon gat, ka gati ba tuon tanpin.›",0.2593,0.0619
6,Hali fʋ na nyɛ yɛlkisa linɛ gaad ala.,"Hale, fʋ naae nyɛ yelkiisa lini gaad ala.",0.5,0.2069
7,"M yaa ti duoe ka nyɛɛ fʋ nindaa, lin maaa siakim.","Ya ti due ka nyɛ fʋ nindaa, lin ma'aa siakim.",0.3636,0.1081
8,Ba da pinil piinkaŋa tisib nɛ nwadkanɛ paas atan la ni ti paae nwadis ayɔpɔi la ni.,Ba da pin'il piinkaŋa tisib nɛ nwadikan paas atan' la ni ti paae nwadisa ayopoi la ni.,0.1765,0.0758
9,"Amaa nidib la sʋnf da duonɛ pamm suorin la ka ba pian zɛrig Winaam nɛ Moses, n yɛt ye, “Bɔ ka ya mɔri ti yi Egipt teŋin kena ye ti kpi mɔɔgin kpɛla?","Lima nidib la sunf da due nɛ pa'am sueren la ka ba pian' zerik Wina'am nɛ Moses n yɛt ye, ‹Bo ka ya mɔri ti yi Egipiti teŋin na ye ti kpi mɔɔgin kpela?›",0.3333,0.1429
10,"Ka Winaam naam paŋ nɛ Pɛbil la nyɛɛnnɛ li ni, ka li nie nyain.",Ka Wina'am na'am paŋ nɛ Pɛ'ɛbil la daa nyeen li ni ka ket ka li a nyain.,0.4286,0.3191
11,"Ka m wʋm ka siel vuudi nwɛnɛ kʋkɔr linɛ yi bʋnvʋya anaasi la sʋʋgin yɛt ye, “Ki makir ligidi na zem nidi na tʋm daar yinne tʋʋma yɔɔd.","Ka m wʋm linɛ vuud wenne kʋkɔr linɛ yi bunvoeya anaasi la soogin ye, «Ki' ligidi zem nid daar yinni tʋʋma yood.»",0.5,0.3269
12,"Paŋ nɛ kpieuŋ bɛ nɛ fʋ nuusin, ka sɔ kae na nyaŋi zienɛ fʋ tuonnɛ.","Paŋ nɛ kpi'euŋ bɛ nɛ fʋ nʋ'ʋsim, ka sɔ' kae' nɛ nyaŋe zi'en fʋ tuonɛ.",0.3333,0.14
13,"Saam la yaa zinin Israel dɔsia wʋsa teŋin, ani ka ya na tisi baa ba faar.","Saam la ya'a zin'in Israel dosiya wʋsa teŋin, ani ka ya na tisi ba, ba faar.",0.125,0.0536
14,"Saŋa kenna ka ba na tam Taya yɛla yʋma pisyɔpɔi, li na nwɛnɛ naab nyɔvʋr bɛllim saŋa nɛ.",Saŋa kanɛ ka ba na tam Taya yɛla yuma piisyopoi. Li na wenne na'ab nyovur benim saŋa ne.,0.3889,0.2464
15,Naab Joas da pʋ tiɛn tʋʋm sʋma banɛ ka Zakaria saam Jehoyada da tʋm tis o la ka kʋʋ o biig.,Na'ab Joas da pʋ tiɛnr tʋm suma banɛ ka Zakaria sa'am Jeho yadda da tʋm tis o la ka kʋ o biig.,0.2857,0.0714
16,Solomon mɛ da bʋlig dɔbanɛ bɛɛ agɔla la nɛ sanlima.,"Sulimur mɛ da bulug, dɔ banɛ bɛ agɔla la nɛ salima.",0.6,0.1951
17,"Li na vi suokennib suor bɔzugɔ, ba na mum Gog nɛ o nidib la wʋsa anina.",Li na vi' suekenn nɛ suer bɔzugɔ ba na mum gok nɛ o nidib la wʋsa anina.,0.25,0.0926
18,"Ka Josua nɛ Israel dim kpɛɛmnam la sʋʋnr sanam ka ba vanbin teŋ Zugsɔb la Nɔnaar Daka la tuon, ka digin ani ti paae zaam, ka bugu ba zut nɛ uusʋg ye li paali ba sʋnsaaŋ.","Ka Josua nɛ Israel dim kpɛɛnmnam sʋʋnr sa'am, ka ba vuanbin teŋ Zugsɔb la nɛ o na daka la tuon, ka digin ani ti paae zaam, ka buguu ba sut nɛ uusug ye li pa'ali ba susa'aŋ.",0.3056,0.1069
19,O mɛ pʋm pʋ gɔsi nyɛ banɛ ye ba anɛ yaam dim laa.,"O mɛ pʋm pʋ gɔsid nyɛ banɛ ye, ba anɛ ya'am dim laa.",0.0769,0.0278
20,"Ani ka Reuben dim, nɛ Gad dim, nɛ Manase dim pʋsʋk la da lɛbisi yɛl Israel tuongatib la ye “Zugsɔb la an Paŋtitaar Sɔb!","Ani ka Rubin dim nɛ Gaad dim nɛ Manase dim pusuk la da lebis yɛl Israel tuongatib la ye, ‹Zugsɔb la a paŋtita'ar sɔb.›",0.2083,0.087
21,"Gad dɔɔg la, banɛ ka ba da kaal da anɛ tusa pisnaasi nɛ kɔbisnu .",ga'a doog la banɛ ka ba da kaal da anɛ tusa piisnaasi nɛ kobusnu.,0.2857,0.1224
22,"Nuus wʋsa na kpi zɛba, ka duma wʋsa nyɔsid ka bʋk wʋʋ gungum nɛ.","Nʋ'ʋs wʋsa na kpi zeba, ka duma wʋsa nyeosid ka bo kuugum gumne.",0.5,0.2245
23,Zinibanɛ ka ba na dɛligid asau na bɛɛ ani.,Zin'ibane ka ba na deligid a sa'anam bɛɛ anina.,0.5556,0.1818
24,Ka vʋm an bɔɔ tis onɛ bɛ tɔɔg pʋʋginɛ?,Ka vum a bo? Tis onɛ bɛ toog pʋʋgine.,0.5556,0.2414
25,Ya bɔnɔsʋma la pɛɛl nɛ zaba tɛrekonam.,Ya bon'osuma la pɛ'ɛl nɛ zaba terikonam.,0.2857,0.1613
26,"M na yʋʋm yʋʋm paalli tisif, O Winaam; M na nwɛ kɔnne yʋʋm yʋʋma tisif.",M na yʋ'ʋm yʋ'ʋm paal n tis uf oo Wina'am. M na nwe' kon nɛ yʋ'ʋm yuuma tis uf.,0.7333,0.1852
27,Bɔ ka fʋ na kɛ ka Winaam sʋnf duoe nɛf ka o sanami fʋ nuug tʋʋma?,"Bo ka fʋ na kɛ ka Wina'am sunf due nɛ uf, ka o sa'am fʋ nu'ug tʋʋma?",0.375,0.1224
28,ka ba na tune sanami ba hali gaad ban sanamid zʋnzʋnr siem la!,Ka ba tun'e sa'am ba hale gaad bansan'amid zunzunr si'em la.,0.4615,0.1429
29,Winaam pʋ kɛlisidi ba fabilyɛɛd la; Onɛ an Paŋtitaar sɔb la baa pʋn kae nɛ baa.,"Wina'am pʋ kelisid diiba fanbil yeed la. One a paŋtita'ar sɔb la, baa pʋn kae' nɛ baa.",0.375,0.129
30,ka bugum pielim na dit o naam girima laad la wʋsa.,Ka bugum pilim na dit o na'am girima la'ad la wʋsa.,0.0909,0.0256
31,” Amaa banɛ lɛɛ da ye ba sʋŋnɛ lug on nɛ Israel dim wʋsa.,"Amaa banɛ lee, da yi ba sʋŋ nɛ Luke on nɛ Israel dim wʋsa.",0.3846,0.119
32,Alazug da kɛ ka o Zugsɔb Winaam bas suor ka Aram naab kena nyaŋ o.,la zug da kɛ ka Zugsɔb Wina'am bas suer ka Aram na'ab kena nya'aŋ o.,0.3333,0.0784
33,"Ka Pɛbil la lak titabir linɛ tabili paas ayɔpɔi la, ka arezana ni an baanlimm saŋa biela.","Ka Pɛ'ɛbil la yoog tabilig linɛ pɛ'ɛs ayopoi la, vuud daa kae' arazana la ni saŋa bi'ela.",0.7059,0.4789
34,ka nɔk sanlimmɛŋir zupibigi pil o zug.,"ka nɔk salim mɛŋir zugpibigir pil o zug,",0.4286,0.0968
35,"Jotam da maal kaalim ka ba mum o yaanam yaadin, David tempʋʋgin.",Jotam da ma'al Kaalim ka ba muud o yaanam yaadin David teŋ pʋʋgin.,0.25,0.0588
36,Kɛlisimi mam mɛ mɔr kʋkɔsia ye m lɛbis.,Kɛlisimi mam mɛ mɔr kukosia ye m lɛbis.,0.125,0.0645
37,"Ba da yɛl ye, “Zugsɔb la da tisif nɔɔr ye fʋ maalim bʋgʋlʋm-bʋgʋlʋm pʋdig teŋ la tis Israel dim la, ka yɛlif ye fʋ nɔkimi ti baabiig Zelofehad faar la tis o bipumis la.","Ka da yɛl ye, ‹Zugsɔb la da tis uf nɔɔr ye fʋ maalim, bugulum bugudigim, pudug teŋ la tis Israel dim la, ka yɛl uf ye fʋ nɔkimi ti ba'abiig, zel uf Fehat Faar la tis o bipumir la.›",0.3529,0.1385
38,"Ka m gɔsi nyɛ Zugsɔb naam pipilim ka li pɛɛl Zugsɔb Pʋʋsim Dɔɔg la, ka sʋʋnnɛ m nindaa teŋin.",Ka m gɔs nyɛ Zugsɔb na'am pipilim ka li pɛ'ɛl Zugsɔb pʋ'ʋsum doog la ka suni m nindaa kpa' teŋin.,0.2632,0.1507
39,Moses onɛ an Winaam nid la da niŋ Israel dim albareka siem nwa ka nyaan kpi.,"Moses onɛ a Wina'am nid la da niŋ Israel dim al bareka si'em nwa, ka nyaan kpi'e.",0.25,0.0333
40,"Ka daba ayɔpɔi daar la, ya na gilig teŋ la nɔɔr ayɔpɔi ka maanmaannib la piebidi ba naatana la.",Ka daba ayopoi daara ya na gilig teŋ la nɔɔr ayopoi. Ka maalmaanib la piebidi ba na'atana la.,0.2632,0.0933
41,"Ya siaki die Jezebɛl, pua kanɛ yɛl ye o anɛ Winaam nɔdies la.",Ya siak Gizibel onɛ a po'a ka yɛl ye o anɛ Wina'am nɔdi'es la.,0.4615,0.234
42,"Ba da keŋ yɛl o ye, “Li ka suor ka fʋn Uzia, nyuoe bʋnnyubisa tis Zugsɔb la.","Ba da keŋ yɛl o ye, ‹Li ka'a suer ka fʋn ozi'a nyu'ed bunyubisa tis Zugsɔb la.›",0.2941,0.125
43,O na nɔk zuobid la niŋ bugum kanɛ bɛ maan bimbimin dit o maan linɛ an taaba laasʋg maan la.,O na nɔk zuobid la niŋ bugum kanɛ bɛ maan biŋgbim mɛn dit o maan linɛ a taaba la'asʋg maan la.,0.15,0.0704
44,Sieba bɛɛ ya ni ka dɔl Balaam onɛ da paal Balak on na niŋ siem kɛ ka Israel dim tʋm tʋʋmbɛɛd la paalʋg.,"Sieba bɛɛ ya ni ka dɔl Balaam pa'alug, onɛ da pa'al Balak on na niŋ si'em kɛ ka Israel dim tʋm tʋʋmbɛ'ɛd.",0.1304,0.175
45,"Jehoram da ba nyaa sʋʋŋa o saam sʋʋlim la ni la, o da kʋʋ o pitib la wʋsa laan nɛ kpɛɛmnam banɛ bɛ Israel la sieba.","Joram da pa'a nya'a sʋ'ʋŋa o saam sʋ'ʋlim la ni la, o da kuu o pitib la wʋsa la'as nɛ bikpɛɛnmnam banɛ bɛ Israel la sieba.",0.1923,0.1136
46,"Sanauŋ tansi yi paalʋ na, ka zabbɔɔdib la busid wʋʋ tutuud nɛ, ka titaalim nɔbigid wʋʋ mɔɔd puum!","Sa'uŋ tansi yi paalo na, ka zanb boodib la'ab busid wʋʋ tituudne, ka tita'alim nobugid wʋʋ mood puum.",0.5,0.1818
47,"Zion nidiba, ya Winaam la na bɛɛ tis zʋmaana wʋsa.","Zayon nidiba, ya Wina'am la, na bɛɛd tis zumaana wʋsa.",0.3,0.1026
48,"Ka linɛ paas awai la gaŋ Jesua, ka linɛ paas piiga la gaŋ Siekania.",Ka linɛ pa'as awai la gaŋ Jesua. Ka linɛ pa'as piiga la gaŋ si'ek Kaania.,0.1429,0.0385
49,"Amaa ba da kaasi buol Zugsɔb la bɔɔd sʋŋir, ka o kɛ ka lik kɛn ban nɛ Egipt dim la teŋsʋk na.","Amaa ba da kaas buol Zugsɔb la bood sʋŋir, ka o kɛ ka lid kena ban nɛ Egipiti dim la teŋsuk na.",0.2727,0.1286
50,"Yiiga bʋgʋlʋm-bʋgʋlʋm la da gaŋnɛ Jehoyarib, ka linɛ tiaal la gaŋ Jedaya.","Yiiga bugulum bugulum la da gaŋi Jeho yadib, ka linɛ ti'a ala gaŋ Jedaya.",0.5833,0.1695
51,Zadok onɛ an Eleazar yaaŋ la nɛ Ahimelek onɛ da an Itamar yaaŋ la da sʋŋ Naab David ka o pʋdig tʋʋma la kɔnɔb kɔnɔbi tis Levi dim la ka paali ba ban na tʋm siem.,Zadug onɛ a Elija yaaŋ la nɛ Ahimilek onɛ da a Itamar yaaŋ la da sʋŋ na'ab David ka o pudug tʋʋma la kɔn'ɔb kɔn'ɔb tis Levi dim la ka pa'ali ba ban na tʋm si'em.,0.1944,0.096
52,"Nwɛnɛ ti saalibi mɔr niŋgbiŋ yinne, ka li mɔr luos bɛdegʋ, ka luos wʋsa mɔri ba tʋʋma gʋn-gʋn, ala mɛn, ti anɛ yinne nɛ Kristo ka nwɛnɛ niŋgbiŋ yinne nɛ, laan nɛ tinamɛ an bɛdegʋ la.","a si'em la. Nid mɔr niŋgbiŋ yinni, ka li mɔr luas bɛdegʋ. Ka luas na mɔri ba tʋʋma gun gun. Ala mɛn, ti a yinni nɛ Kiristo ka wenne niŋgbiŋ yinni ne, la'am nɛ tiname a bɛdegʋ la.",0.5278,0.2357
53,"O yʋʋr na buon ye Solomon, ka m na tis Israel suguru ka ba zin baanlimm o naam saŋa.",O yʋ'ʋli na buon yir Solomon ka m na tis Israel suguru ka ba zin'i baanlim o na'am saŋa.,0.2105,0.0938
54,Naab Joas n maligim maal Pʋʋsim Yir la siem.,Na'ab du'as maligim maal pʋ'ʋsum yir la si'em.,0.3333,0.1143
55,Ka m lɛn nyɛ bʋnsia yaas linɛ maan dunia nwa ni.,Ka m lɛn nyɛ bun si'a ya'as linɛ maan dunia nwa ni.,0.1818,0.027
56,"Naab sʋnf yaa duoe nɛ naayikpɛɛm, on da bas o kpɛuŋɔ.","Na'ab sunf ya'a due nɛ na'ayi kpɛnm, on da bas o kpɛ'ɛŋo.",0.4545,0.122
57,"ka wʋm Naab la sɔsʋg, ka nɔk o paŋ titaar la sʋŋ o.",ka wʋm na'ab la sosug ka nɔk o paŋ tita'ara sʋŋ o.,0.2308,0.0811
58,"Ba na zunod o ka maan maana nɛ zʋʋd piini, ba na ziel nɔɔri tis Zugsɔb la ka dɔlisi li.",Ba na zun'od o ka maal maana nɛ zuud piini. Ba na zi'el nɔɔr tis Zugsɔb la ka dɔlisi li.,0.15,0.0606
59,"Manɛ tisi ya teŋ linɛ ka ya pʋ namisi li yɛllɛ nɛ tempʋʋd banɛ ka ya pʋ mɛɛ, ka ya bɛɛ ani ka dit vain nɛ olif pɔɔd la nyɔɔd ka lɛɛ pʋ sɛɛ ba.","Mane tisi ya teŋ linɛ ka ya pʋ namisi li yelle, ne teŋpʋʋd banɛ ka ya pʋ mee, ka ya bɛɛ ani ka dit veen nɛ olive pɔɔd la nyɔɔd ka lee pʋ see ba.",0.2571,0.1415
60,"Laan nɛ wala, o sankpanas David zugɔɔ, Zugsɔb la da pʋ siak ye o sanam Juda teŋ laa.","La'ar nɛ wala o saŋkpan'as. David zugɔ, Zugsɔb la da pʋ siak ye o sa'am Juuda teŋ la.",0.3333,0.0938
61,"Ya yaa maali li kasi naae, ya na nɔk naarapɔl nɛ pɛɛrabanɛ ka ya na gaŋi ba ya bʋnkɔnbid la sʋʋgin ka babayi la pʋ mɔr dɛŋ la maal maan.","Ya ya'a maali li kas ye naae ya na noŋ na'ar Apol nɛ Perabane ka ya na gaŋi ba ya bunkɔnbidin la soogin ka babayi la mɔr pʋ mɔr dɛŋa, ka maal maan.",0.3667,0.1714
62,"Saŋa la paae ya, dabisir la liel ya, dabiem na bɛ zuoya la zug, ka li kʋ lɛn an sumalisim.","Saŋa la paaea, daafir la li'eliya. Dabiem na be zueya la zug, ka li kʋ lee a sumalisim.",0.45,0.1493
63,ka o nidib mɛ kʋ an fiin nɛ.,"Ka o nidib la mɛ ka o a fiine, ka yɛl Juuda yɛla ye, ‹Zugsɔb kelisim Juuda ka'asig. Mor o lɛb na, o mɛŋ nidibin na.› Kel ka o zaabne",3.25,3.9
64,"Bugum titaar kaŋa na kanbi ti, ka ti yaa lɛn wʋm Zugsɔb onɛ aan ti Winaam la ti na kpi.","Bugumtita'ar kaŋa na kabi ti. Ka ti ya'a lɛn wʋm Zugsɔb onɛ a ti, Wina'am la, ti na kpi",0.2,0.0455
65,"Linɛ tiaal pii nɛ anii la da gaŋnɛ Hanani, ka on nɛ o yidim da laas pii nɛ ayi .",Line tial piini anii la da gaŋi Hana ni. Ka on nɛ o yidim da la'as piini ayi.,0.4737,0.1017
66,"Saŋkan la yaa ti paae, suoratitaar na yi Egipt kennɛ Asiria.","Saŋkan la ya'a ti paae suetita'ar na yi Egipiti n kɛn Asirea,",0.4545,0.1875
67,Laan nɛ fʋn maal suguru tis bugusnam la.,"La'anɛ fʋn maal suguru tis bugusnam la,",0.25,0.0312
68,"M da paam anzurifa nɛ sanlima bɛdegʋ ka dies arezaas tɛɛns bɛdegʋ naanam sanan tisim mɛŋ; ka mɛ laas dap nɛ pua banɛ yʋʋmmi tisidim, nɛ puab bɛdegʋ banɛ na maae dau sʋnf.","Da pa'am anzurifa nɛ salima bɛdegʋ ka di'es araza'as tɛɛns bɛdegʋ na'anam sa'an tisi m mɛŋ, ka mɛ la'as dap nɛ po'abane yʋ'ʋmi tisidi m nɛ po'ab bɛdegʋ bane na ma'ae dau sunf.",0.3939,0.0741
69,"Laan nɛ Aram dim la da mɔr soogianam biela kena la, Zugsɔb la da kɛ ka ba nyaŋ soogianam bɛdegʋ.","Lanee Aram dim la da mɔr sogianam bi'ela kena la, Zugsɔb la da kɛ ka ba nyaŋ sogianam bɛdegʋ",0.2,0.0667
70,Ba da gaŋ nid yinne Eleazar gbinnin ka gaŋ yinne mɛn Itamar gbinnin la.,Ba da gaŋ nid yinni Elija gbinin ka gaŋ yinni mɛn Itamar gbinin la.,0.3571,0.1404
71,"David da yɛl Levi dɔɔg tuongatib la ye ba gaŋimi ba baabiis banɛ na yʋʋmid, ka ba nwɛɛd kɔna nɛ siyaaris nɛ galana ka piebid wiisi yʋʋm sumalisim yʋʋma.","David daa yɛl Levi doog tuongatib la ye, ‹Ba gaŋim ba ba'abiis bane na yuumid ka ba nwɛ'ɛd Kona nɛ Siaaris nɛ Galana ka piebil wiis yuum sumalisim yuuma.›",0.3793,0.123
72,Uzia da tʋm nɛ linɛ an sʋm Zugsɔb la tuon wʋʋ o saamme da tʋm siem la mɛn.,O zi'a daa tʋmne linɛ a sʋ'ʋm Zugsɔb la tuon wʋʋ o saami da tʋm si'em la mɛn.,0.3889,0.125
73,ka ya pɛɛl Teŋir Bɛuŋ la nɛ kuom.,Ka ya'a pɛ'ɛl teŋir beuŋ la nɛ ku'om.,0.25,0.08
74,"Ka dau kanɛ yɛ fupiel ka zanl linɛ sɔbid o sakpidirin la lɛb na yɛt ye, “Man tʋm wʋʋ fʋn yɛlim siem la naae.","Ka dau kanɛ ya fupiel ka zan'al linɛ sɔbid o takpididin la lɛb na yɛt ye, ‹Man tʋm wʋʋ fʋn yɛlim si'em la.›",0.1667,0.0976
