sample_id,reference,hypothesis,wer,cer
0,TA WA TERƐ SORI KA NEƐZAA VƐNƐ KA SAGEDIIBU HO NAŊ TAA A LAŊNOƆRE PUORUU EŊƐŊ NA SIGRE TEŊƐ,tawɔtere sori ka neɛzaa vene ka sagdebo o naŋ taa a la noore puoro eŋɛ na sigre teŋɛ,0.5263,0.1918
1,YƐLƐ TE NAŊ NA ZANNE,yɛlɛ te naŋ na zanne,0.0,0.0
2,VƐŊ KA HO TEƐROŊ GAŊ KA HO NAŊ KYƐNƐ SIGRI HO MEŊƐ MEŊ,vɛn ka o teɛroo gaŋ ka fo naŋ kyɛnɛ sigri oomeŋa meŋ,0.4615,0.1429
3,YƐLƐ TE NAŊ NA ZANNE,yɛlɛ te na na zanne,0.2,0.0625
4,"A maŋ kyɛrɛɛ fẽẽ ka N nyɛ accident, kyɛbee N maŋ de la a lɔɔre te va boma mine naŋ are?",a maŋ kyɛrɛɛ fēē ka ene asedɛn kyɛ bee man de la a lɔɔre teva boma mine naŋ are,0.4286,0.1846
5,GYOOB YƐLƐ ŊA NA BAŊ SOŊ TEŊ KA TE NYƆGRƆ TE MENNE,gobiele a dabasonteŋ ka tenyɔgrɔ temene,0.9167,0.2564
6,Bon nanso ka Naaŋmen tere sori teŋ dire dɔgɛɛ,bon nasɔɔ kaŋaamaŋ tere sori tendire kɔgɛ,0.6667,0.2703
7,"Sobuoŋ ka a Baabole vɛŋ teŋ baŋ peɛlaaŋ ka ka Jehoovaŋ wa di suuri ko te, a ba la seŋ ka te vɛŋ ka a dɔnnɔ te?",sopoŋ kaa babo vae bapeɛlaŋ ka ka goo a wa desuurekoea ba la seka deɛ ka a dɔnɔe,0.7778,0.3049
8,Hulda Da Toɔ̃ Ta La Yɛlɛ Na Oŋ Da De Biŋ O Nimitɔɔreŋ Na,kouda datoɔ tala yɛlɛ na o da de biŋ o nimitɔɔreŋ na,0.4286,0.0952
9,Jehoova da wuli teŋ ka o sereŋ eɛ siri ka o kaa te zu. Yɛlɛ yoŋ aŋ da seŋ ka te e la ka te de o Naaloŋ yɛlɛ de weɛ te zemmo poɔŋ.,ɔɔba dawulo seŋae ɛire kao kaae zuyɛlɛyoŋ andaseŋka o e la aa  de o naaloŋ yɛlɛ e weɛ tezɔmo poɔ,0.7647,0.2979
10,Bonso aŋ e nimizeɛ ka noba naŋ waana ka ba kultaa de emmo ko Jehoova ba kultaa bebiri?,bonsaaeŋ nimizeɛ ka noba naŋ waana ka ba kultaa de eo koguo a ba kultaa bibire,0.3889,0.1765
11,WALA HOŊ NA IRI A NOƆRE?,waayaho na iri a noɔre,0.3333,0.1667
12,Bonso aŋ ba fɛre ka te baŋ bieu yɛlɛ sɛre kyɛ na baŋ taa popeɛloŋ?,bonsu ambafere ka te baŋ bie o yɛlɛ sɛrɛ kyɛ na baŋ taa opeɛloŋ,0.5333,0.1176
13,WALA HOŊ NA IRI A NOƆRE?,walao na iri a noɔre,0.3333,0.1111
14,Maŋ Moɔrɔ Ka Ho Manne Yɛlɛ Na Hoŋ Zanne Na Ko Ho Taaba,boma moora ka o mane yɛlɛ naao zana la kɔge taaba,0.7692,0.3571
15,LƐ TEŊ NA BAŊ E TAA POPEƐLOŊ KYƐ NAŊ KYƐNLƐ,lɛ te na baŋ e taapopeɛloŋ kyɛ naŋ kyɛllɛ,0.4,0.0588
16,"Te na zanne nyɛɛ tɛɛtɛɛ naŋ be yelmeŋɛ na te naŋ zanne yi Jehoova zie, ane zirii na Setaana ane te dɔndɔnne naŋ ŋmaara na kpakyagaŋ.",te nazanne nyɛɛtɛɛtɛɛ naŋ be yelmɛɛ te na za yigaova zie ane zirei la sitana ane te dɔndɔne naŋ ŋmara na kpakyagaŋ,0.5769,0.1714
17,"Ka ba naŋ yelka Jehoova de la o yuori na ko Yezu, wala ka lɛ wuli?",ka ba naŋ yɛle ka hova de la o yuoro na ko ezu ɔla ka ɛ wule,0.5,0.2245
18,Gyoob Gane Na Na Baŋ Soŋ Boŋ Ka Ho Terɛ Kawaŋ-Sonne,gyo gane na na baŋ soŋ bon ka o terɛ ka aŋ soŋne,0.5455,0.15
19,NAŊ KYƐNƐ TU PUORE SƆROO EŊƐŊ A TAGRA PEƐLƐ JEHOOVA,naŋ kyɛnɛ tupuori sɔroo eŋɛŋ a tagra peɛle gihova,0.4,0.119
20,Sobuo ka Jehoova da maŋ tu kyɛ korɔ a Izerayɛl biiri sowuli?,sopoɔ ka gyaova damaŋ tuo kyɛ kora a iseraa biri sogle,0.75,0.3542
21,De Apoɔsori Ho Naŋ Taa Ka Ho Puoro Jehoova O Siiloŋ Ŋmenpuoredie Naŋ Tegroŋ Yaga Zaa,de a posori hu naŋ taa ka o puoroga o seeloŋ menpuori die naŋ tigero yaga zaa,0.625,0.2319
22,"Aneazaa ka a Kyɛrite noba, a Pɛlite noba, ane a Giti noba da ba e Izerayɛl biiri, kyɛ ba da taaɛ gyeremɛ naŋ e zuluŋ a ko Jehoova a yelmeŋɛ Naaŋmen, a neŋ neɛ na Jehoova naŋ sɔ naaloŋ kãã na. Deevid niŋe da paalɛɛŋ yaga zaa neŋ lɛ na a dɔbɔ ŋa naŋ da be o zieŋ a dire yelmennoŋ koroo na!",a zanno o yɛlɛ baareŋ,0.9683,0.9224
23,Sori A Daŋyelbo Naŋ Tu A Nyɛ Eebo,sori a daayɛlɛ bonnaŋ tu a nyɛ ebɔ,0.375,0.2308
24,TƆNƆ NOBA NAŊ BE A SIILOŊ POƆ PARADIISI NAŊ NYƐRƐ,tɔna noba naŋ be a seeliŋ poɔ karadiese naŋ nyɛre,0.4,0.2
25,MOƆRƆ HO MOƆBO ZAA A SONNƆ HO TAABA,moɔrɔmobo zaa a sonna ko taaba,0.625,0.1786
26,"“Naaŋmen naaneŋ maale boma, boma la leɛre a menneŋ a wa bebe.”",naagmennaane maale boma boma la leɛre a meniŋ a wa bebe,0.25,0.0851
27,YEZU POƆ MAŊ PƐLEŊ KA TENEEŊ WA PUGIRO JEHOOVA YUORI,yiezu poɔ maŋ pɛleŋ ka tenɛ o puorɔgi koo ba yuori,0.6,0.3023
28,YƐLƐ TE NAŊ NA ZANNE,ɛla tena na zanna,0.8,0.25
29,WALA HOŊ NA IRI A NOƆRE?,ɔla o na iri a noɔre,0.3333,0.2222
30,"Mɔɔ kyɛ kanna gama na zaa ba naŋ maŋ iri teŋ de pono korɔ noba na, a maŋ kaa vidiori ane boma na zaa ba naŋ maŋ de eŋ jw.org zuŋ na.",moɔ kyɛ kaŋnaa gama nazaa banaŋ maŋ iri tendipono korɔ noba na a maŋ kaa vidiore ane boma nazaa banaŋ maŋ de egiedɔbledɔɔ zu na,0.5312,0.1837
31,SOŊ HO BAABOLE ZANNEZANNA KA O ZƆƆTOƆ̃ YELKPEƐNE NA OŊ TUORO NA,sooho baabo zane zanna ka o zɔɔtɔ yɛre kpɛnena o tooro na,0.75,0.2157
32,Wala ka a ŋmenpuoredie na Soolomoŋ naŋ da mɛ na varanda da do seŋ?,wɔlɔ ka ŋmenpuori die na solmɔ nadɛmɛna vara da eo do sɛŋ,0.7857,0.2692
33,Sori A Daŋyelbo Naŋ Tu A Nyɛ Eebo,sori a daa yɛlɛ bon naŋ tu a nyɛ eɛ bɔ,0.625,0.2308
34,Naaŋmen Nɔmmo Bebeŋ Tegitegilɛ,naamɛ nɔmo bebetetige lɛ,1.0,0.3333
35,bo yɛlɛ teŋ na baŋ sagedi peɛlaaŋ?,bo yɛlɛ te na baŋ sagde peɛlaŋ,0.4286,0.1481
36,BON NANSO AŊ SEŊ KA TE SAGEDI KA JEHOOVA NƆNƆ TEŊ,bon na soaŋ sɛŋ ka te sɛde kagioova nɔnɔ teŋɛ,0.6364,0.2564
37,yɛlɛ Jehoova naŋ erɛ pampana?,yɛlɛge ba naŋ ɛrɛ fampana,0.8,0.2917
38,Te na zanne nyɛɛ ananso te naŋ maŋ pugiro Jehoova yosoŋ na wagre zaa te naŋ wa nyɛ a vuo ka te e lɛ.,te nazaane nyɛ ana  te naŋ maŋ pogrogooa ysɔŋ na wagre zaa te naŋ wa nyɛ a vuo kataelɛ,0.4583,0.1842
39,"WALA KA NOBA DA MAŊ E TAKOREŊ SAŊA NA, KYƐ TOƆ̃ PƐLE JEHOOVA POƆ?",ɔla ka noba daman e takoroŋ sɛŋ na kyɛ toɔ pele gyaova poɔ,0.5,0.2245
40,YƐLƐ TE NAŊ NA ZANNE a,yɛlɛ tema ma zaa ne,0.8333,0.2941
41,Bo tɔnɔ teŋ nyɛrɛ yire a yɔɔdeɛbo eŋɛŋ pampana?,keɛrɛ yiri a yɔɔdeɛbo eŋɛ paŋpanɛ botona tenɛ,1.0,0.6053
42,"Azuŋ “a malekere ba naŋ kaa-iri” ka Pɔɔl yel ba yɛlɛ na eɛ malekere naŋ be sazuŋ a tonɔ toma sonnɔ “Naaŋmen ane . . . Krista Yezu,” a lɛ sɛgre na boɔlɛɛ Naaŋmen ane Krista Yezu meŋ.",a zuŋ malkire na ba naŋ kaa ire ka pɔɔl yeli ba yɛlɛ na eɛ malkire naŋ be sazuŋ a tonɔ toma sona naaŋmene ane krista yezu a lɛ sɛre na boɔleŋ naaŋmone ane kirista yisu meŋ,0.4286,0.1493
43,c A FOTO POƆ YƐLƐ: Te yɔɔpɔge kaŋa naŋ e woŋo la teɛrɛ a Baabole nɔ eŋnee yɛlɛ a ŋmeɛrɛ a yiele vidiori na kaŋa ka a somoo ka o ŋmaa lɛ zemmo naŋ na waa a Paradiisi poɔŋ yɛlɛ foto o teɛroŋ poɔŋ soŋ.,yelbie naŋ kyaaraa foto kannɛka tepɔge kaŋa naŋ womo la teɛrɛ a baabo na eŋnee yɛlɛ a ŋmeɛrɛ a yile video na kaŋa kaa somo kao ŋmaalɛ zumo na na waa a paredese poɔŋ yɛlɛ foto o teɛroo poɔ soŋ,0.5556,0.2829
44,bo yɛlɛ mine la teŋ ba baŋ?,bo yɛlɛɛ mine la teba baŋ,0.4286,0.1
