sample_id,reference,hypothesis,wer,cer
0,“Beso biamfo budufǝ lǝ asa kǝmiǝ kabe lɛsɛ nǝ ele bǝ biyifo?,"Bɛsoo, b'ámfóbudufa la ásákámya kabelesana elebabi.",1.0,0.4255
1,Nya báto kakadiɛ kpǝ bǝtsyǝ lǝ abanslo eto diyo nǝ ǝsuǝ bótsya mfó.,"N'aba to ka kaniye bo, n'atɛlɛ aba nsulo. Ɛto diɔna ɛsɔ bo tsamfu",1.0,0.4444
2,Itsyise Utidi Eto Ubi ǝbǝ nkǝ lǝ ofo betidi ba lénya kusu lǝ nkpǝ.,utsitsɛ utire ɛtobi abaŋkala ofobetiriba leŋyakusu lɛmpata,1.0,0.4231
3,"Nya lǝ utsyuǝ ásɔ fǝ lǝ kotosii, tsyi nkonse tsya ǝtǝ wǝ. Nya lǝ utidi utsyuǝ éfi fǝ awu katoo, tǝ lǝ ufi nnya kalɔ tsya lǝ woala.","Nya lɔ utya asɔfɔla kɔtɔsi, tsi n kɔnsɛtsa ətɔwɔ. Nya lɔ utilu utya afifa abukato, tɔ lɔ ufi nya ka lɔtsa lɔwa la.",0.8929,0.3333
4,Boanla boǝ kuutsyuǝ saa nyǝ kabua lǝ bo keyifo ǝsuǝ. Lǝ nyaso boanla boǝ boeyifo kulesa nǝ luuti kuutsyuǝ saa bofokanɔ eto kusu.,"Bwandabu a kukiɔ sa, nyaa bwale boke fɔɔ swa. Leniaso, bwandabu a bwefɔ ku lese a na, lu ti kukiɔ sa bɔ fɔ ka noɔ to ku.",1.1739,0.4519
5,Nyaso Yosef áfo ɔkɔ ǝmǝ nya úfi kafia flubia kǝtsyuǝ úmli wǝ.,"Natsɔ Yosef afɔ ɔkɔ ɔmɛ, na ɔfika fyafrua bia kɛtsywɛ umunyuwɔ.",0.8333,0.4286
6,"Nya lǝ Awɔnisa Kɛnkɛ eto Kukue ǝsuǝǝ, Boanto Onanto átɛyi nkǝ,",A nlaa wɔɔ nya sa nkɛnkɛ tsukuɔ aswa,1.0,0.7
7,"Nya Yesu lɛtɔ wǝ nkǝ, “Be fanlɛ bɔbɛbɛ?”",Nya Yesu lɛ tɔwɔnkɛ bɛfannɛ bɔbɛbɛ,0.625,0.1379
8,"Nya lǝ Ɔnwɛditsyǝyi lɔni ǝsuǝǝ, Yesu ákɛ mfó úkate asa lǝ Yudafɔ eto katsyakɔ kǝtsyuǝ.","l'ɔmɛditsya lɔnni, ɛswɛ Yesu akɛmfo, ukatyasa l'Udaafɔ, eto ukatyako kɛtsyaki.",0.8667,0.4
9,Ɔ́yɛ buɛɛ lǝ Yesu eto kama lǝ betidi nti nya útidi wǝ awu eto kotosi. Lamfolamfo kɔtɔ komǝ áyɛ wǝ bokpo.,"Ɔnyawɛ lɛ Yesu etukama, lɛ bɛtidi nti, na utidi w'awu etukutosi. N'amfɔ n'amfɔ o, nkɔtɔ nkɔma ayɛ w'abɔpɔ.",0.9048,0.3333
10,Nyaso bɛlɛ ɔkuɛnsate ǝmǝ lekpakpa lǝ otsyese beyifoyifo lǝ bǝbǝ bawunsǝ lǝ bǝlǝkǝ bɛkuɛnkǝ biamǝ.”,N'asɔbɛlɛ ɔkwɛnsa tiəma lə kpaakpa. Lɔɔtsise bɛ ifo ifo lə ba baawunsə lə ba lətəbɛ kpəngbiamə.,1.0667,0.3659
11,"Nya biatɛyi biǝ, ‘Lǝ nnya ete busiǝ nkpǝ lǝ lefe nǝ bo banamǝ dísiǝǝ, eni bienyifo lesa nǝ béyifo, balo Onanto eto bǝnyɛlǝkǝtidi.’","Yaa biateɛ bi o. Laa nya etebusiɛn'kpɛlɔ lɛ feena, boɔ banaame di siɛn. Enii bienji fo lɛ sɛna, bɛifo. Baalo una'te otubanyɛ lɛ kanti",1.0435,0.3824
12,"Bomu lesa nǝ nlɛ bubǝ mfoo, eyifo lesa nǝ Onanto eto Unyɛlǝkǝtidi Yoel lɛtɛyi utsyǝ kokooko nkǝ,","Ɔmɔ lɛ sana la bu bamfɔ o, Afo lɛ sana ɔnanto, eto ɔnyala katidi yɔ wɛlɛ tɛ, ""Ukyaku koko!""",1.0588,0.4103
13,"Ɛnɔ ba leeninǝ étsyi kakandiɛ, fɛɛ béntsyi nnuǝbi lǝ asa ǝsuǝ báwunisǝ.",ɔnoɔba lɛɛni na ɔkyikandeɛ fɛɛ bɛntsyee nɔbi lɛ asaasɔ bansɔ,0.9167,0.431
14,"Lefe ditsyuǝ se betidi kpǝ bǝtsyuǝ dítǝkǝko Yesu, ɔ́tsyi ɔ́wuninsǝ nya ɔ́tɛyi mɛ nkǝ,",Lɛfɛdi tswa sɛɛ bɛtiri ku ba tswa ditakankɔ Yesu ɔtsyi ɔwunyisɛ nya ɔtɛmankɔ.,0.8571,0.403
15,Tɛyi mǝ fǝ bekeyifo kasɛɛ nya luutǝ boofiani batabinyǝ bǝnyǝ atsyɔkpokpo lǝ nnya buuyifo ǝsuǝ. Nya lǝ bǝkǝtǝ betidi asa kafo faa.,"Dimaa fɔ, bəkə fɔ kasɛ, nyanluatɔ buɔ fyaa ni baatabya banyaa atsyɔpɔpɔ lə nya bui fɔɔ sɔɔ, nya lə bəkətɛ betidi atsakafɔ fa.",1.0,0.4245
16,"Mfó nya Petro ku batɔnkpe bamba bamǝ dílǝkǝ kɛnyɛ bátɛyi bǝ, “Etiki eto ɔnukualɛ ni bǝ Onanto ni futsyǝ ele bǝ butsyue koto, inni utidi.","fo, nya pɛ to, ko ba tɔmpe ba mba. Ba mba ri lɛɛ kaka yɛ, ba tɛɛ ibɔ. Etiki etu ɔnuka lɛ, ibɔ. Onanto ni futya eleba bu tyo koto, ini utidi",1.04,0.2778
17,"Sitintii, mémfi Onanto eto sekakedikɔ eto kusu eto asa nkula mi.","dĩmdĩi, mɛmfi Onanto eto, sekakedinkɔ etokusu, eto asa, nkulami",0.6364,0.1731
18,Barnaba átɔnɔ nya óla nkǝ lǝ okpa Yohanes nwǝ tsya besi baakpo Marko ɔyɛnko.,"Ba na ba ato no, na Olankala okpao Yohane, nwɔɔ kyabi e ba kpɔ Marko ɔye nk...",1.1429,0.3226
19,"Nya Festo lɛtɛyi wǝ nkǝ, “Ɛbɔnɔ ditiki nǝmfo kusɛɛ!”","Na fɛtɔlɛ daywənkə, ɛbɔnɔ ditikina nvokuse?",0.8889,0.35
20,"Mfó ǝmǝ nya Yesu lɛtɔ mǝ nkǝ, “Be ɔkuɛnsate ǝmǝ luuyifo beyifoyifo bamǝ mfo?","Nfwoema nya Yesu leɔtɔɔ mankəl, bɛ ɔkwɛnsatɛ ama Luifwo bɛ ifwo bɛ ifwo ba mɔmfɔ",1.0,0.45
21,"Owo lo! Inni nko ini kon! Nlɛ mi bɔtɛyi minkǝ lǝ bientsyi mi akɔɛsi bɛwuninsǝ, nko ke mimblɛ kenke luubǝ bikpǝ fe mǝ ke nɛ.”",ɔ wolo ininko ininkoŋ lɛmibɔtɛmi ka lɛbyɛnkyimi akwasyibea onisa nkɔkɔmi mbele kɔnkɔ luba bi pɛ fɛma kəne,1.0,0.3789
22,"Nya mɔmɔɔ, O Bonamute, be sikpi sia banlɛ bo bokpe, lǝ ǝtǝ bo fǝ beyifoyifo lɛkɔɛsi nǝ luutǝ boofo fǝ Ditiki Sɛɛ nǝmǝ budi.","Nya mɔ mɔ-ɔ, ɔbu na mu tsi. Bɛtsibtsi a b'anɔ-ɛ, bu bu-pɛ. Lɛɛ atəbwo fa b'əfwo lɛ kwɛsi, na 'lu tsi. B'ofwo fa ditikisi a na 'mɔ, bu di...",1.1667,0.4062
23,"“Lǝ sitintii, Onanto eto bǝnyɛlǝkǝtidi kenke idu lǝ Samuel ɛntɔɔ, ébɔtɛyi asa nnya nlɛ bubǝ mfo mmi bǝtsyǝ.","Lati tii! Ɔnanto eto bɛyɛ lakatidi, kɔnkɔ idula samwɛ. Entɔ, abwətɛ asanya nnabuba mfo, mi ba...",0.8889,0.3721
24,lǝ Galilea eto kasɔ kaka betidi,"Ō, Galilea etukasaŋ, kakabe tri",0.8333,0.2692
25,"Lǝ mi utsyuǝ ǝǝnyǝ kanyii, yenyifo bǝ uyifo uwudifɔ, uyu, obuayifo, nye nwǝ laakpe ditiki nǝ dimanle wǝ kɛnyɛ eso.",Lami utua anyakanyi yɛngyifɔ ba ɔyifɔ udipɔ uyu obuayifɔ inye n'waakpe litikina dimale wɔkɛyɛ isu,0.95,0.3111
26,"Yesu ǝtǝ mbuayɛ nkǝ, “Sitinti ele bǝ Elia ka bubǝ ɔtɔnsǝ bǝ lǝ ɔlɔ lesa saa utsyǝ.","Ye su atəm waŋka fitinti, ələ bale akabu bə ɔtɔnsə. Bale ɔlɔle sasa utye.",1.0,0.3333
27,Yesu átɛyi lekpa nǝmfo utǝ betidi ba leebu bǝ mǝ kakle hã ni basɛɛ nya bensi embunyǝ utidi sa wǝ ntǝ fǝ mǝ.,"eso a ta ilekpa daŋ fo, u te bɛ tri ba lɛ bu bɔ mɔ ka kle ha ni ba sɛ, nyaŋ be nsi ɔmu ya o tili tsa, o nte fe m",1.3478,0.369
28,"Se lefe léyo bǝ balɛ eyibibi nyamǝǝ, ɔkuɛnsate ǝmfo ákpe wǝ ndomufɔ nkǝ besu bafo wǝ kedikɔ baboko wǝ.","Sɛ́lɛ́fɛ́ lɛ́ yubuɔ, bálɛ́ ébíbíyámɛ. Ɔkpɛnsa tɛ́ɔmfo, akpwé wando mufɔ. Nká bɛsu báfó wɔ́ kedí kɔ bábokó.",0.8947,0.2805
29,"Nyaso lǝ utsyuǝ lǝ mi nti aala nkǝ weeyifo ututɛɛ, ele bǝ uyifo wǝ ǝsuǝ uyifoyifo utǝ bafɛfɛ kenke.","Nya so lɛ utu alami alankpɛ oyifo utu tɛ, eleba oyifo wa asɔ oyifo ifo utu ba fɛkɛng",1.0,0.3544
30,"Betidi bǝtsyuǝ ákpe ute utsyuǝ lǝ diyo nǝmǝ eto lekple, nya Petro tsya dísu úsiǝ lǝ mǝ nti.","Be tiri ba 'ywa akpe ute utwa, la adyo na ma eto le ple. Nya petro ta, di su usala m'",1.0,0.3889
31,Mfi mɔ lelabi tinti nlɛ mimblɛ kenke butǝ lǝ Kristo Yesu eto diye ǝsuǝ. Ibǝ itǝ.,"N'yɛ mɔ 'la bi tintiinnɛ, mi'mblɛ kɛkɛ 'bu tsɔla Kristo Yesu, itodiyasua, iba'ita.",0.75,0.3016
32,"“Beso biakpadi mɛ biǝ Bonamute, Bonamute, fɛ bienyifo lǝ lesa nǝ maatɛyi mi ǝsuǝ?","Bɛɛsuabia baa dima ibi ambounamintɛ, ambounamintɛ. Fɛɛbiangyifolaa lɛsa na maatɛɛmi, ɛsu",1.0,0.4844
33,"Nya se bófe mfóo, bɔ́yɛ lǝ Kilikia ku Pamfilia eto lekpo kɛnyɛ, nya búsu búńyǝ lǝ umǝ wǝ baakpo Mira lǝ Likia eto lekpake.","N’asɛ́ bófóó, bɔ́ yɛ́ Likia, Kupanfilia etole kayẽ, nyã́ busubusyã, lɛ́ ɔmɔ́ɔ bápó Mira, lɛ́ Likia etole kpákpá.",0.875,0.3368
34,"Nya se wǝ banamute dínyǝ bǝ mǝ kudisu étii, bǝmuǝ Paulo ku Silas nya bǝnǝ mǝ bésuko umǝ ǝmǝ eto beninǝ ɔflɔ lǝ obia nti.","Nyaa, bá lá mo tê, díyé bá má kú dí sú etii, bá mo Paulo ku Silas, nyá bá nɛ́ má bɛ́ sú kó ó má ama, ɛ́tɔ́ bɛ́ ní nɔ́ flɔ́, lá óbíá ńtí.",1.16,0.2979
