sample_id,reference,hypothesis,wer,cer
0," Bibiiri bayɔpoi la zeŋ, ba mine leɛ la ba nime kyaare taa, ka ba mine meŋ leɛ ba nimie a kaara zie kaŋa. Ba mine seɛ la teraza, ka ba mine meŋ seɛ kurigbɛŋaara. Kaŋa seɛ la kurigbɛŋmaa naŋ e bondoɔ ",biiri bayopoi la zeŋ bamina lie la baniŋe kyaaretaa kyika bamina meŋ lie baniŋe a kaara zie kaŋa bamina sie la tura zaa ka bamina meŋ sie kuregbaŋmaara kaŋa sie la kuregbaŋmaara na e bunduɔ,0.6829,0.2303
1,eŋfoɔne na poʊ bibile la zeŋ ka a kang a lɛ de a o bibile tɔsobo a dogle o gbɛɛ zu ka a kanga kanga ba su kparo kyɛ ba kyɛlee ne suɛ kang ka kang sul o zu kyɛ ba kyɛlee nɛ kyɛ ka baa zeŋ dokɔge bonyeni zu,n fo neŋ a poua bibili la zeŋ ka kaŋa a le de o bibili tɔ soba a dɔɔle o gbɛɛ zu ka a kaŋa ba su kparoŋ kyɛ ba kyɛ le na suga kaŋ ka kaŋ suli zu kyɛ ka ba kyɛ le na kyɛ ba zaa zeŋ ta koo bunyɛnɛ zu,0.68,0.3032
2,"Dɔbɔ la a be lɔɔre zuŋ, a pɛgele malfa ane felakere. A dɔɔ kaŋa sue kparenuwogi pelaa. A malfabie mine meŋ biŋ a pareŋ.",dɔba la a be lɔɔre zoŋ a pɛgele marefa a neŋ felaker a dɔɔ kaŋ see kparene wɔge pela a marefa bie mine meŋ a biŋ a pareŋ,0.5833,0.163
3,Nobaa yaga la zeŋ ba waa pogeba naŋ zeŋ teŋɛ mine yɛrɛ kparzeere mine yɛrɛ kparpeɛle ka mine meŋ yɛre kparŋmonnɔŋmonɔ kyɛ ka ba eŋ boma mine orɔbareŋ ka mine de ba nuuri eŋ a boma poɔ a boma mine waa la kamaana mine waa bɛŋɛ ka mine meŋ waa simie meŋ.,nuba yaga la ziŋ ba waa pɔgeba naŋ ziŋ tiŋa mina yɛre kpara zeere mina yɛre kpara piɛle ka mina miŋ yɛre kpara ŋmunyɔ ŋmunyɔ kyɛ ka ba iŋ buma mina wura bariŋ ka mina die ba nuuri n iŋ a buma puan ka buma mina waa la ka maana mina waa biŋɛ ka mina miŋ waa simbie miŋ,0.7692,0.2261
4,Dɔɔba bayi ka pool dare ba ka kuri eŋ ka wire dɔre a be be ka wire ziɛ a be be ka ba vɔgle kpo peɛle ayi a mare a.,dɔbɔ bayi ka pool daare ba ka kure a eŋ ka waaya duare a bebe ka waaya zeere a bebe ka ba hɔɔle kpo piɛl ayi a mare,0.5,0.2857
5,Bondimaale die poɔŋ la ka pɔɡelee kaŋa are a seɛ kurwoɡi bonzeɛ a kyɛ su kparnuwoori meŋ bonsɔɡelaa kyɛ ka kɔpo ane felaawɛre a parepare tabul kaŋa nuuriŋ kyɛ ka o pɛɡele boma mine.,bondimaale die poan la ka bogle kaŋa are a seɛ guri wog boŋ zeɛ a kyɛ so barenɔ goore mɛŋ boŋ sɔgɔ la kyɛ ka kɔpɔ ane flaaware a parepare table kaŋa zu kyɛ ka o pɛgele boma mine,0.5294,0.2381
6,Dakogigyamaa la biŋ biŋ ka dakogro ayi zaa maŋ taa la tabol a nimitɔɔre ka teere are lɔmboe ka poolo meŋ baba a lɔmboe.,dakoo jamaa la biŋ biŋ ka dakoore ayi zaa mantaa la tabul anumitɔɔre ka tiire are a lamboe ka poolo me ba ba a lamboe,0.625,0.1579
7,"Biiri bata la zeŋ die poɔ kogi-yenaa zu k'a bombile kaŋ zeŋ a boŋkpoŋ puoriŋ a eŋ nɔɔte doɔ a su kpare kyɛkyɛrɛɛ nu-ŋmaara, k'a sonsogere soba a boŋkpoŋ k'o seɛ mɔŋkuri sɔgelaa a ba su kparoŋ kyɛ de a bombile a dɔgele o gbɛɛ zu k'a bombile su kpare pelaa.",yire ba ta la zeŋ dio puɔ ko yina a zu ka a bombile kaŋ zeŋ a bomkpɔŋ pooreŋ a eŋɛ o te duɔ a sukpare kyɛrkyɛra ŋmaara ka a sunsoore suge a bomkpɔŋ kusemu kusɔɔ la ba sukpare o see de a bombile a dɔle o gbɛɛ zuo ka a bombile su kparepilaa,0.7059,0.2589
8," Dɔɔ la de o soola yi biŋ ŋmenaa poɔ. A soola eɛ kpoŋ ka o la de kaŋa meŋ a lɛle. A baateɛ niŋ la a soola lamboriŋ, kyɛ ka o puori sɛŋ ka noba mine meŋ gaa are yiri poɔ.  ",dɔɔ la de o soola yibiŋ me naa poɔ a soola yie kpoŋ ka o la de kaŋa meŋ a lɛlɛ a baa tia bini la a soola loŋ boriŋ kyɛ ka o poore sɛŋ ka ne ba mina meŋ gaa are yiri poɔ,0.3415,0.129
9,sɛɛre la ka ba sɛɛrɛ ka pɔge naŋ de weɛ a vara kyɛ ka a onaŋ naŋ be a puoreŋ meŋ noŋnɔ eŋnɛ. Naasalba ane niŋsaalsɔglɔ zaa la pullitaa.,seɛrera ka ba seɛrɛ ka a pɔɔ naŋ di weɛ a vara ka o naŋ meŋ naŋ be a pooreŋ ko meŋ nɔŋnɔ eŋnɛ nasaaleba ane nensaale sɔɔlebɔ zaa la puli taa,0.6207,0.2667
10,Dakoge pilaa la biŋ ka kapuro dɔgle o zuiŋ kaa sɔgsɔgliŋ ka tabol dɔgle kyɛ ka dakoge kyaŋ sɔglaa meŋ biŋ ka kapuro dɔgloo zu kyɛ koo lambori meŋ ka tabol bile meŋ biŋ kɔge o.,da koo pelaa la biŋe ka kapuro dɔgɔ la zoo ka sonsogeleŋ ka teebile dɔɔle kyɛ ka da koo kyake sɔgɔ la meŋ biŋe ka kapuro dɔgɔ la zoo kyɛ kullambore meŋ ka ta wulbile biŋ pɔgoŋ,0.75,0.3165
11,"Lɔɔre arɛɛ lɔɔre kãã emmo zie, pɔlbili kaŋ meŋ are la a be, o deni a lɔɔre kãã ennɛ a lɔɔre kaŋ poɔ, a lɔɔre mine e la bonsɔgelaa, o de la gbɛre kaŋ bare a kãã emmo dankyini.",lɔɔre are lɔɔre kaa nyaŋfo zie pobile kaŋ me are a beŋ o de ne a lɔɔre kaa nyaŋo ne a lɔɔ kaŋ poɔ a lɔɔre mena eŋne bonsɛbola o de ne o gbɛɛ kaŋ pare a kaa nyaŋfo da kyiŋ kaŋ zu,0.6923,0.4275
12,Nasadɔbɔ ne nasapɔgebɔ la a are ka bamine su kpare zeere ka bamine su kpare giriin a hɔɔle kpogilo naŋ e peɛle k'a mine e zeere ka yikpoŋ kaŋa naŋ e sɔgelaa a are a ba puori sɛŋ.,nasaadɔba ne la sapɔgeba la a are ka bamina so kpare zeere ka bamina so kpare green a hoole kpoglo naa e peɛle ka a mina e zeere ka yikpoŋ kaŋ naa e sɔgelaa a are a ba puore sɛŋ,0.4211,0.1439
13,Pɔgsarre bilii seɛ la wajeri kaa wajeri pɔg ba nyaã kye ka ba en lɛɛ ba kɔkɔɛ pou ba tuo la buma a gɛrɛ ni.,pɔgɔ sarebilii sia la wajari kaa wajari pɔgɔ banyaa kyɛ ka ba iŋ lɛɛ ba kɔkɔɛ puan ba tuo la bo ma a gɛra neŋ,0.6,0.2195
14,Dɔɔ la su kparewoge koo pɔgoo eŋɛ zaa kyo ko vɔgle zu kpogle pelaa la yie meŋ are peɛloo ka teere meŋ yɛ are are a kɔge a yie.,dɔɔ la su kpara wogi guu pɔgɔ eŋɛ zaa suku-vɔɔle sukpoole pilaa ka yie meŋ are piɛle o ka tiire meŋ yɛ are are a koga a yie,0.5172,0.2268
15,"Noba yaga arɛɛ la kaŋ are la a niŋeŋ a su kpare zeɛ naŋ kyoɔne peɛle, ba taaɛ filakiri, a zie waɛ sɔgelaa lɛ.",noba yaa a dɛɛ la kaŋ a dɛɛ niŋeŋ a sukpare zie naŋ kyuɔŋ peɛle ba taa e felaker a zie waa sɔgelaa lɛ,0.5833,0.2048
16,"Nasapelaa la eŋ o nimikyaane kyɛ su o kpare pelaa ka bibiiri ŋmaa gili, a bibiiri nyɛ maale la ba zu kyɛ ka dɔɔlee kaŋa naŋ leɛ gyɛŋ yi are de o nuuri lantaa kyɛ are kaara zie kaŋa.",sapelaa la eŋ o nimekyaane kyɛ so parapelaa ka bibeere ŋmaa gyele a bibeere nyɛ maali la pazu kyɛ ka doole kaŋa naŋ leɛ gyɛŋ ye ara de o nuure lantaa kyɛ are kaara zie kaŋa,0.4103,0.1631
17,Naa la a zeŋ wiri zu a su dagakparoo ane kuree ka a wiri e sɔgelaa ka ba su kaaya peɛle a ŋmeɛrɛ gaŋgare a tuuro o ka pɔge are o nimitɔɔreŋ a seɛ kaayɛ daga wagya kaaya peɛle ane vaare ka pɔgelee a are o puoriŋ ka o pɛgle zoore ka naabo a gaŋ a be.,naa la a zɛm weri su a su daga kparuŋ ane kure ka weri esɔgela ka ba su kaaya piɛle a ŋmeɛra gangare a tuuru ka pɔgɔ are o nimitɔɔreŋ a sia kaaya daga wegya piɛle ane vaare ka puu lee a are o puoriŋ ka o pɛgele zuure ka naabo a gaŋ a kpe,0.4561,0.178
18,Dɔbɔ la are waa gyamaa lɛ. Ka teere are ba poore seŋ. Ka bole be a dɔbɔ mene nimisɔgoŋ. Ka a dɔbɔ mene vogle zupule kyɛ ba mene meŋ ba vogle a zupule,ba bɔɔla are waa gyɛmaalɛ ka tiiri are ba puor sɛŋ ka bɔɔl be a dɔ ba mine nimisogɔŋ ka a dɔ ba mine hɔɔle zupile kyɛ ba mine meŋ ba hɔɔle a zupile,0.6061,0.2456
19,Bondirii la zɛvaare zeɛre ane paɛ boma anuu ane gyɛlɛ ayi a de bɔɔdemoɔmo sɔl sɔl ata la be potoyua poɔ.,bundiri la zɛvaarɛ ziɛrɛ anee pɛɛ buma anuu anee gyɛlɛ ayi a de bɔɔdemuumɔ sɔlsɔl ata la bee pɔtɔyua puan,0.619,0.2169
20,Yie ayi la are ka ba pili kaŋa moɔ a pili kaŋa meŋ kyɛnse kyɛ ka bipɔgelee a tuo baagi.,yie ayi la are ka ba pile a kaŋa mɔɔ kyɛ pile a kaŋa meŋ kyaŋ se sɛ ka pipoole a tuo baage a are,0.65,0.3284
21,"Noba la are, ka kaŋa seɛ wogyɛ ka talarɛɛ ane orabasɔglɔ ane gyɛɛreka ane orabapeɛle, a biŋ, ka a pɔge kaŋa a ɔnnɔ kõɔ yire oraba kpoŋ kaŋa poɔ ennɛ bogti kaŋ poɔ. ",nɔba la are ka kaŋa sia wuyɛ ka talare ane rɔba sɔɔlɔ ane jerika ane rɔba piɛle a biŋ ka a pɔɔ kaŋa a ɔnɔ kuaŋ yire a kurɔba kpoŋ kaŋa puan iŋɛ bo kikaŋ puan,0.5758,0.2992
22,"Deɛmo zie la, ka dɔbɔ mine zeŋ a ŋmeɛrɛ gaŋgare, ka ba mine yiele yiele, kyɛ ka ba mine pãã be ba nimisogɔŋ a seɛrɛ kyɛ kpaara ba nuuri.",diɛmo zie la ka dɔbɔ mine zeŋ a ŋmeɛra gangare ka ba mine yele yele kyɛ ka ba mine meŋ paa be ba numisogoŋ a seɛra kyɛ kpaara ba nuuri,0.3103,0.125
23,Vūū la di ka laafiiloŋ tontuma meŋ kaare a vūū Zie a wa de ba kõɔ a kpine a vūū ba su la kaaya doɔre kyɛ vɔgle zupele doɔre noba mine meŋ be la a be ba meŋ su la kaaya sɔglɔ.,zia la di ka laafeeloŋ tum timbegɔ ne n kare a vuu zie a wɔ ti ba kua a kuu ne a vuu ba su la kaaya dɔɔre ta hɔɔl sapik dɔɔre duba mina me be la a bee ba me su la kaaya sɔgelɔ,0.5952,0.3485
