sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.","Good afternoon Aunty, it has been a bit difficult, to be honest, I feel like everything is just piling up on me, it is my ankle.",1.0833,0.9655
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",ampa mmarima no bi wɔ hɔ a wɔn nan mu yɛ du na wɔn ho nso yɛ den nso mmaa no deɛ wɔayɛ dinn asɛ wɔde mmeras ahyɛ wɔn so na maame a taare akasa ne nua baa no deɛ ne ho dzo ɔte n'afie ɔbu aduaneɛ ɔnkasa ntia mpanimfoɔ.,0.4906,0.2203
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.","mmrebi a wɔrenante afa ne sukuu dan nkyɛn anaa esesan ne edi esukuu dwumadie ɛɛ ɛmano. Ɔka nneɛma afa ne nnipadua ho, na ɔka nneɛma a ɛɛma me ɛɛma me ho ntome te sɛ ɛsɛ nyeɛma ne ɔbaa ne ntentenso.",0.8182,0.4911
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nanso seree na se aduane no ara yɛ mmaa adwuma na mbesia mmerɛ wɔ gyaade a yɛn ho mbesia mmea aberanteɛ a wɔwɔ ahoɔden anaa atu mmea wɔ mpɔtam ha mmenimsa anya no korɛ hwɛahemfoɔ akukunda a ɛwɔ nkran anaa mmeranteɛ a wɔnoa nnuane tɔn.,0.5556,0.1967
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",ɛbasimya kasaafa sɛnea ɛbɛsi akadaa bi ɛtɔda ayahana ɛdɛn ɛsansan mmarima no ayahana wɔn gye pene ɛyɛn medɛsɛ ɛnyɛma pɛ ɛna medɛn saa nneɛma yi ho na wɔatwe abɛnyimma saa mba biem.,0.7955,0.298
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",nhom atɔm esan sɛ yɛredi adeɛ yi mu nkɔmmɔ den na wɔsa mɛka so obi pɛsɛ ɔhyɛ mɛ soma mɛ yɛ adeɛ a menpɛsɛ mɛ yɛ a sɛ mpowoni nsɛm mea ɛyɛ anaa nkrɔfoɔ kasaɛ so bi kasa daa bi a mpa nkyerɛ sɛ daa bi mɛ daa so wɔ fa ebi atumi ahyia bua mu ɛbɛn adaa.,0.8421,0.2147
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.","Wɔte nkase a wɔayɛ akonnwa mu, na wɔsoro sɛ wɔbɛba sukuumfo. Akwan bɛyɛ na wɔbɛfa so anti. Daa bi a ɔbɛka no, nyɛ mmerɛ. Brɛ nyinaa. Brɛ a obiara reyɛ adeɛ a nteɛ no. Bepɛ sɛ mma yɛ ɔkyerɛkyerɛfoɔ da bi. Nti, mmɛbɔ mmɛbɔ m'ɔden sɛ mmɛtwe mmehu firi ɔha ho. Mmɛbɔ mmɔden sɛ mmɛkɔso",0.7414,0.2743
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.","Even if I did a do not lesson immediately, you are practicing the skill of self-advocacy, that is a transferable life skill, I never thought about it like that.",0.9688,0.9138
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",mmadu ono sɛ ekunu nyinaa bɛsesa ano anadu baako mu na nsonituma ne mmadu si asease. ne pesɛɛ no ɛhunu sɛ ɔdwan sɛ mmadu nyinaa yɛ adeka si ana. na atɔmmɛ bia saa ɔha yi ayɛsɛ na ɛsosɛn nnipa baako foɔ.,0.8261,0.4149
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.","Wɔsoso sɛ, saa meawa da wɔn ho dodoɔ a mpɔntɛ mpoɔfoɔ bɛhwɛ ase. Wɔsoso sɛ a ɛyɛ kyilisɛ, ɛsɛ sɛ nneɛma yɛ saa, ɛfisɛ nea ɛte saa brɛ nyinaa. Wɔde atete sɛm de dwuma sɛ kyɛm. Ne ma nkorɔfoɔ yɛ kɔn mu. Wɔde hwɛ a, wɔhwɛ so na ɛfiri ase.",0.6531,0.2743
