sample_id,reference,hypothesis,wer,cer
0,"Niribi.n ʒiya bɛ chanila demostresion ,bɛmi galisiya, ka ŋubila ye liiga yelɔw kapiri shuu, ka sɔ jinjam sabinli , ka zaŋ liiga piɛli lɔ ɔ sheeni ka ŋun bala zaŋ dɔɣi tirɔ",ninvuɣu bɔbgu n chani palli sunsuuni bi paɣaba ni dabba do so mii gbubila o bibil n bɛ niraba maa ni bi niŋdila dɛmɔn shituɛshɛ ka gbubi fulaaya nima,0.9677,0.7481
1,paɣa mini o bihi ayi n za ayisikirim koha sani ka bɛ zaa ye chinchini nɛma ka di nyɛ yaayɛ ka bihi maa nyɛ bidib bili yino ni bipuɣinbia kaa ma ŋɔ gbubi ayisikirim n tiri o bipuɣim bili so ŋun be o nuuni ŋɔ,paɣa mini o bihi ayi n za ayisikirin kohari sani ka bɛ zaa ye chinchini niɛma ka di nyɛ yaayi ka bihi maa nyɛ bidib bila yino ni bipuɣin bila ka ma ŋɔ gbibi ayisikirin ŋɔ n tiri o bipuɣin bila so ŋun do o nuuni ŋɔ,0.3111,0.0988
2,lijimanim laɣ' gim ʒɛ moɣini jarabisa nyɛla din ʒɛ bɛ nyɛŋa yino nyɛla ŋɔ ʒɛ ka zaŋ o nuu patabi ʒɛya ka so ʒɛ o nyɛŋa tihi gba nyɛla di bɛ bi kuɣigani,linjima nim n laɣam ʒɛ moɣali jiranbiisa nyɛla din ʒɛ bi nyaanga yino nyɛla ŋun ʒɛ ka zaŋ o nuu n pa tabi ʒɛya ka so ʒɛ o nyaanga ka tihi gba nyɛla din bɛ bi luɣa ni,0.5152,0.2288
3,Mɔɣuni n bɔŋɔ ka bini kɔbiri bɛ ni maa ni bini kɔbiri maa guurimi ka loori bɛ bini kɔbiri maa sunsuuni ka niriba bɛ loori maa ni ka vobisira yuuni bini kɔbiri maa na ka tihi bɛ mɔɣu maa ni.,mɔɣini mbɔŋɔ ka binkɔbiri be ni maa ni binkɔbiri maa guurimi ka loori be binkɔbiri maa sunsuuni ka niriba be loori maa ni ka vabisiri yuuni binkɔbiri maa ni ka tihi be mɔɣi maa ni,0.45,0.094
4,salo ŋɔ nyɛla nivuɣibɔgu shɛbi ban galisi be laɣim mi n ʒɛya be mi yi ʒɛya maa shɛbi ʒɛmi ka shɛb za zuɣ saa ka do so ʒɛ be sunisuuni ka yɛ kutu sabinli n pa liga pɛli zuɣ ka lo tayi ka tayi maa nyɛ zaɣ ʒiɛ ka o tɛi o noli n yɛba yɛtoɣ',salo ŋɔ nyɛla nivuɣibɛriguɣibɛ galisiya bɛ laɣim mi n ʒɛya bɛ mi ʒɛya maa shɛb ʒɛmi ka shɛb ʒɛ zuɣ saa ka do so ʒɛ bɛ sunisuuni ka yɛ kotu sabinli n pa liga pɛli zuɣ ka lo tayi ka tayi maa nyɛ zaɣ ʒiɛ ka o tɛi o noli n yɛba yɛtoɣ,0.1964,0.1111
5,paɣ' baayi n ʒɛ kuɣisi zuɣ ka tɛbuya ʒɛ be tuuni be zaa yɛla nɛnpiɛlla tɛbuli maa zuɣ' tabilɛtɛ paya kabukunim paya ka kpalɛɛnim paya ka so mi za be tuuni zuɣ saa ka yɛ liga bankomi ka zaŋ o nu zaɣiyin pa o nyɛŋaha ka ashɛbitɛ karitɛ paya,paɣaba ayi n ʒi kuɣusi zuɣu ka teebuli ʒi bi tooni bi zaa yɛla neen piɛla teebuli maa zuɣu tabilɛt paya ka buku nim paya ka kpaalɛ nim paya ka so mii ʒɛ bi tooni zuɣusaa ka yɛ liiga baŋkom ka zaŋ o nuu zaɣ yinga n pa teebuli maa zuɣu bi nyaangi ha ka ashibiti gariti ʒiya,0.8367,0.3404
6,Palli zuɣu n boŋo sarati nyɛla din niŋ palli ŋo zuɣu moto mini chɛchɛ nyɛla din kirashi taba paɣa yino nyɛla ŋun gbubi ŋun nyɛ sarati ŋo n ʒɛya n kuhura do yino nyɛla ŋun kuriya n lihira ka yino nyɛ ŋun ŋmaariba Anfooni bihi ayi nyɛla bin kpabi tabi ʒɛya,palli zuɣu n boŋo saratɛ nyɛla din niŋ palli ŋo zuɣu moto mini chɛchɛ nyɛla din krashi taba paɣa yino nyɛla ŋun gbubi saratɛ ŋo n kuhura do yino nyɛla ŋun kuriya n lihiro ka yino ʒɛya n ŋmaari o anfooni bihi ayi nyɛla ban kpabi baaji ʒɛya zuɣusaa,0.2941,0.1569
7,Niraba n nyɛ sarati ka paɣa gbubi o bia n ʒiya ka kuhura ka moto do doo tooni ka doo maa ŋmaaro foto ka so kuriya ka kuhura ka shikuru bihi ayi nyaɣa bi baaji n ŋmaari foto,niriba n nyɛ sarati ka paɣa gbubi o bia n ʒiya ka kuhira ka moto do doo tooni ka doo maa ŋmaari foto ka so kuriya n kuhira ka shikuru bihi ayi nyaɣi bɛ baaji n ŋmaari foto,0.1842,0.0593
8,Jiranbiisa zuɣusaa n boŋo paɣa nyɛla ŋun ʒi kuɣu zuɣu ka yɛ liiga sabinli ka labtop tam o tooni ka kolba tam teebuli zuɣu loori nim nyɛla din bɛ jiranbiisa maa gbuni palli zuɣu chɛna loorinima ŋo nyɛla zaɣ sabinli ni zaɣ piɛlli,jirambisa zuɣusaa n boŋo paɣa nyɛla ŋun ʒi kuɣu zuɣu ka yɛ liiga sabinli ka labtop tam o tooni ka kolba tam teebuli zuɣu loori nim nyɛla din bɛ jirambisa maa gbunni palli zuɣu chɛna loori nim nyɛla zaɣ sabinli ni zaɣ piɛlli,0.1163,0.0432
9,Daani n boŋo daa maa ni ka shab ʒiya ka shab mii chɛna shab ʒila anbirɛla nim gbuni ka shab ʒi kpakpa gbuni ka do so chɛna ka yɛ daliya pink ka so jinjɛm ŋmaa ka gbubi foon yɛlo o nuuni ka pili zipili piɛlli,daani n boŋo daa maa ni ka shab ʒiya ka shab mii chɛna shab ʒila anbirɛla nim gbuni ka shab ʒi kpakpa gbuni ka do so chɛna ka yɛ daliya pinki ka so jinjɛm ŋmaa ka gbubi foon yɛlo o nuuni ka pili zipili piɛlli,0.0222,0.0061
10,Paɣiba paɣiba so zila mɔri o zuɣu ni ka yɛ liiga sabinli ka so zi dari o zuɣu ni paɣiba maa bi shɛba sola chinchina loori piɛlli kanna mi ka loori sabinli gba ziya ka taabo nim donndoya ka tihi bɛ bi tooni,paɣiba paɣiba so ʒila mɔri o zuɣu ni ka ye liiga sabinli ka so ʒi dari o zuɣu ni paɣiba maa bɛ shɛba sola chinchina loori piɛlli kanna mi ka loori sabinli gba ʒiya ka taabo nim donndoya ka tihi be bɛ tooni,0.1628,0.0429
11,duu puuni ka bin kpulli yili dikpuni teebuli ʒɛla duu maa ni jiŋlaa mini ŋmana ni kapu ka di biɛni fulaawa nim biɛla fulaaawa pot ni ʒɛya ka kuɣu shɛli gba ʒɛ teebuli maa gbuni,duu puuni ka bin kpulli yili dikpuni teebuli ʒɛla duu maa ni jiŋlaa niŋ ŋmana ni kapu ka di biɛni fulaawa nim biɛla fulaawa poot ni ʒɛya ka kuɣu shɛli gba ʒɛ teebuli maa gbuni,0.0857,0.0352
12,do'so m-bari cheche ka loodi bɔɣisinima o m-bari cheche maa shɛli polo di nyaanga ka du'piɛlli zaya ka dariga tili li ka o nu'zaa polo mii gba ka du'shɛli mii gba zaya ka di dundoli maa polo nyɛ zaɣ'dozim,do so mbari cheche ka loodi bɔgisinima o ni bari cheche maa shɛli polo maa di nyaaŋa ka ka dupiɛlli zaya ka dariga tili li ka o nuzaa polo mi gba ka dushɛli mi gba zaya ka di dundoli maa polo nyɛ zaɣ dozim,0.3077,0.0692
