sample_id,reference,hypothesis,wer,cer
0,"Akon mɔ a don mɔ-abaa so mɔ, nengyene fɛɛ ɔ nyɛ akuuri mɔ ilaa gyisɛ gbaa mɔ, nkana ɔ kya laarɛ kyɔde. Imɔ gɛnen mɔ, ɔko mɛŋ kya sa mɔ imɔ iko‑rɛ iko.",أقوم أدو ما بازمو نينلفي أين أكروم أيلجيت باما أكنو أتلار تشاد. أما رقم أكمن جاسم أيماركو.,1.0,1.0
1,"Imɔ‑rɛ imɔ gɛnen gbaa mɔ, Wurubuaarɛ gi kii kyingi mɔ. Ɔ lɛɛ mɔ lii lɛwu anyanyan dɔ. I kya nyiile yɛɛ iŋ bo no yɛɛ ɔ laa wuꞌ sii isɛ dɔ.",我來給你一個。,1.0,1.0
2,Gɛnen kee ne fɛye-sɛ Wurubuaarɛ dɛ ne. Iŋ gyɛ mɔ-gɛlaarɛ yɛɛ apiipii adɛ dɔ ɔko ɔꞌ fuɛ Wurubuaarɛ ɔkpa mɔ de mɔ-ɔkyenaten Wurubuaarɛ asɛ ɔꞌ lii mɔ-gibaa.,,,
3,"Nꞌ tɔgɛ fo yɛɛ mɔ-ilaa nyɛnyɛn ibono i nyaakyɔ ne nɛ kyu kyɛɛ mɔ mɔ ne n yɛgɛ ɔ nyɛ gɛlaarɛꞌ belɛ sa me faa. Isa ɔbono, mɔ, mɔ-ilaa nyɛnyɛn iŋ kyɔ ne ɔko gi kyu kyɛɛ mɔ mɔ, gɛlaarɛꞌ pi‑i ne ɔ laa nyɛ sa kaasɛ kee.”",Ich darf hier.,1.0,0.9557
4,‘Gɛŋ sa foꞌ daasɛ fo-Wura Wurubuaarɛ kerɛ yɛɛ ɔ laa wɔra fo-gɛlaarɛ sa fo.’ ”,"I'm sorry, but I cannot fulfill this request. The provided audio is not in a language I can transcribe.",1.3571,1.193
5,"Meŋ bo ɔkpa de nꞌ kyu me-aterenbi kyu wɔra ilaa ibono n kya laarɛ mɔ? Abɛɛ fo wu me-gidɛnsɛ gibono nɛ wɔra mɔ, i kya loo fo daa?’ ”",مومباو بارت انتمالتي جوال الابن انترالارمو ابي فومك دانتار بونارما ايتلو فودا,1.0,1.0
6,"Me-sɛana, n kya ŋmarasɛ fɛye ɔwolɛ baarɛ n kya tɔgɛ fɛye",متى أنا؟ متى أقدر أروح وأرجع؟ متى أقدر أروح وأرجع؟,1.0,1.0
7,"“O nu gɛnen mɔ, ɔ sɔɔ ginyadon ne o kine yɛɛ ɔ maŋ baa loo gɛten dɔ. Mɔ-sɛ gi nu yɛɛ mɔ-bi belɛnsɛ mɔ gi sɔɔ ginyadon mɔ, ɔ lii kpe mɔ asɛ, ɔ kya buɛɛlɛ mɔ.",오노가 넘버. 어서 오셨어요. 오늘은 노크네에 오만발루가 쓴도. 마소그니에 메비플랜스마고 수아그네아도마. 올리프코마세 아자비에.,1.0,1.0
8,"Owi ɔko dɔ mɔ Yesu kya dalaa mɔ wolɛ, ne mɔ-akasɛbo mɔ mɛ bo mɔ asɛ. Nfono mɔ ɔ taasɛ mɔmɔ yɛɛ, “Sakpii mɔ asɛ mɔ, menɛ nyamesɛ ne nꞌ gyɛ?”",و أكرى ما يسي تشادلا ما ولاي. نعم أكسي بومون ما بومون أكسي. أون فلومون أوتاس ما ما ي. سكيما أسمو منان يمسان.,1.0,1.0
9,"Gɛsintin mɔ, ɔtɛgɛsɛ mɔ gi koso, ne ɔ naa kyon kpe mɔ-gɛwi.",,,
