sample_id,reference,hypothesis,wer,cer
0,alolo ɔbo la kɔ no ɛfuɛ boa ko owu edze afɔku owue anyamado uvi di ya no ayɛto ka zɔ ɔlɔdi,Ilo Ilo obo Lakono efu boaku eja fuku owe anyamado uvi diyanai to kazolodi.,0.9048,0.2857
1,"adʊ use dini, alʊɛdɩnɩ kɔ nʊ ɛfɛ ɛdɩnɩ adʊ awu fue, ɛdɩnɩ adʊ awu vɛ, ɛdɩ adʊ avavlitsɛ, kʊ adʊ use dɩnɩ yɛ, kʊ akaɣa use",Kadou o sedini.,1.0,0.9121
2,"Alʋ ɛdini ya n'udzali Ɛdi adʋ aɣla n'idu, ɛdi adʋ aɣla nʋ akpɔ Atɛ ɛkʋyɛ nʋ atami alɔ, ɛdi zati n'atam'idu kʋ atɛ abidzo dʋ n'atamidu",ألا دني يانو جالي أدي أدرالا نيدو أدي أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر أدر,4.8846,3.8317
3,owʋ alɔ kʋ owʋalɔɛ eƒiodu Kʋ alʋme ivʋe abehui ɛfʋɛ kasɛsɛ aba owʋetʋ kama kɔdsu ɛsɛ kadzɔ iv owʋe kakɔnaeme ivʋebi ɔyanʋdue kalʋɛdini kɔ kakakɔsʋ nukunu sɛ kadzɔɛ,,,
4,Alʋ ɛdini kana ɔlʋ kʋ ayɔ gagba dini lɛ kʋ ɛkʋti kʋ akana ɔlʋ ɛdini adʋ awʋfue nʋ ava edini adʋ awʋvɛ nʋ ava kʋ alʋ ɛdini akɔ ɛkɔmɔtɔ ofue nʋ ava kʋ ekʋ uti kʋ akana ɔlʋ iwui dini bibi dʋ atmi ava nʋ ɛfɛ,"I'm sorry, but I cannot transcribe the audio because it is not provided. Please provide the audio file or a link to it.",1.0,0.8291
5,Ɛmɛ lɛ ɛfʋɛdɩ kʋ na mʋ asɩ ɛla dɩnɩ akewele ɛkʋRɔba wɛ li la kʋ akewele ɛkʋɛ,إفراغ و أنا موسى أسي الادم أكي بولي قازي نوكونو أكون أمو وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا وربا ورب,5.2353,5.8667
6,"Edɩnɩ dɩ li la nʋ tɛ kʋ ɛtʋfue alʋ tsʋe Ɔsɩ kʋ ɔdʋ atamɩlɩ yɛ mʋa, ozǝtɩ nʋ uluvi dɩ bʋa kʋ adʋ aɣʋ ʋblɔ nʋ uti nʋ ɔwɛ nʋ ava Ɔsɩ yɛ mʋa akɔ tsɩtsɩ kʋ kɔpʋ ɔnʋlɩ dɩ yadʋ nʋ ɛkplɔ yɛ bʋakʋ ɔlɛ nʋ ayʋ ɛtʋ ava Uluvi ɛfua emlɩ ya nʋ atamɩlɩ kʋ atanɩ emʋ nʋ ʋwɔ ɣafa nʋ ava","Et en disant, ""Tu as tout fallu tuer."" ""Oh, si à quoi tu as mis les mains."" ""Oh, si tu as tenu le vide de Bakado à au au. ""Nuti"" ""No au renava."" ""Oh, si est moi à quoi tu tu"" ""Ko"" ""Coupe"" ""No le de"" ""Et du n'a pas le Bakaleno"" ""Ayato"" ""Ava"" ""Ou le vide est fois"" ""Et m'a dit à mi le coup"" ""Attenir"" ""Et mou"" ""No au renava""",1.1094,0.75
7,"Alʋka dini ʋsealʋ dʋ usedza kʋ akamʋ inʋ Ɛdini kɔnʋ ava, ɛdini adʋ ɛkʋvɛ, kʋ adʋ ɛkʋfue yadʋ kʋ adʋ ʋblʋ awʋ, ɛkʋwɛ yadʋ kʋ awʋ Kʋ awɛgɛbi azɛ ɛkʋxɛsɛ dʋnʋ ayili kʋ ɔkaxɛsɛ",,,
8,Ɛtʋfue alʋ wani lanʋtɛ kakpɔ ʋtokʋ adʋ awʋ ɔvɛ nʋ ava ɛdigbo ayavɛ kʋ ɔyakpɔ ʋtokʋe adʋ ɔwɛ nʋ ʋti kʋ akakpɔ ʋtokʋe atani aya ɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kʋ aka kɔsʋ ma nʋ alɛnɛ kʋ akakpɔ ʋtokʋe,et touché à l'eau et la technique pour utuku. Adou a au au et dit que a pour utuku. Adou a au et kakaka pour utuku. Atané a au et a au pour utuku.,1.0,0.8026
9,Alɛ ɛku vɛ dunu uti kɔluwui ni di ku ɔyeli nu ayava ku akɔ agbavlɛ adu awu ofue adu ufa nu uwɔ kpɔlusi dibi ya nu itsɛdi akɔ ɛkɔtɔ ɔwɛ ku akɔ ɛku du nu unuku,Ikposo Ikposo Call 1 and D O yelini ayaza kako abanle Go ado aufe Nado ofa no o Bolisidi biano etchede Kako ekoto Owe Ko ako ekodu no onuku,1.0,0.5656
10,Ɛmɛ lɛ ɛfuɛdi alʋ Yovo di keyi ɛkʋ gɛdɛɛ Okeyi kusi ka atani ayɔkele bagi Okeyi ɔ tʋnʋgavi nʋ ɔ ɛkʋ gɛdɛɛ nʋ ɛkplɔ ava,के मेल ए फौडालो जो वो दी के ई एको के दे। ओ के ई कुसी कातनी के ले बागे। ओ के ई ओतनो गवी नो एको के दे। नो एक प्लवा।,1.28,1.0
11,"Ɛmloɖini ana aɖʋ ɔbɛli,atani azɛ bokiti n'ahla, atani akɔlu keno Ivieɛɖini azɛ kpolu n'ahla, ɛɖi aɖʋ ɛkɔtɔ",I'm not doing anything. I'm doing a belly at the next. Look at the nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I'm doing a nagla. I,7.7647,4.5412
12,Tʋ kɔdzɩnɩ wa aba suku dɩ li kʋ abakakɔsʋ evidzenɩ kʋ akɔsʋ yɛ bʋa mɛ aka yɛ atike Alʋtɛ ɔlʋkɔsʋ ɔ evidze wanɩ dɩ bɩ edigbo evidze nʋ aɣla la kʋ ɛdɩ bɩ zati nʋ ɩtsɛdɩ kʋ ɔkeŋlo ɛkʋ nʋ ɛkplɔ yɛ ava kʋ ɔkeŋlo atike ka ma kʋ kabakʋtʋ nyuǝ kʋ ɛtʋ kɔbese ma,ko ko de ne wa abasu ku dili kabaka ko sewi jeni ko akosiba makaya tike alote oloko ko ko jo ni ni igua sewi jeni la akede bi se ni se de ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko ko ni lo ko,4.3818,2.2525
13,Ɛvɛ lɛ alu ɔfue sɔŋ la za uti alu ɛfua aza uti nu itsu kika di wu akatulu owu di ma atami owu ma nu ayɛtu  Yovo wani bi ɛkplɔ ma nu atamiili Ku ɛkplɔdini atupa nu ɔfidini ma nu ɛkplɔ yɛ ava ku ezati katɛ ulu,elle a le poisson la zetti à la fois.,0.9787,0.8938
14,"Ɔsɩ ɛla dɩnɩ kɔ nʋ ɛmɛ, akɔ nʋ kpafo kʋ akewele ɔɣɔkʋ kʋ edogbo adʋ ɔvlɛawʋ kʋ ewu duku nʋ ɛlʋ kʋ ayɔ aɣla yɔyǝdu nʋ ɛlʋ kʋ edigbo awʋwɛ kʋ ewu dukuwɛ kʋ edigbo bɩ kewele kɔpʋ nʋ gagba li kʋ atigo lɛ nʋ atamɩɛtʋ nʋ bokiti nʋ rɔba botitinɩ","I feel like I'm going to be a cono up for, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I can't wait to go, I",3.1765,1.9305
15,"Alʋɛdɩnɩ dʋ ɛfʋɛ, ito dʋ atamidu ; apʋ adʋ bagɩ n'atamidu  Sno bɩ otsue n'ɛfʋɛ ","Allora, nel 2000, e tutto a canidù. Adniado bag, natanidù. Snow be, e c'è ne fu.",1.1429,0.6102
16,Not clear atani adu awu kuaka la Aka la ɔɔ ata mi ala Ɛdini ayɔ ɛwu duku nɛ luKu ata tsi yɔ ɛvlɛ yɔ wu nu li,今、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、,1.0,1.561
17,"Alʋɛdìní la ntɛ kʋ atadza, atani adu awu ɛlu ɛlu ɛlʋ kʋ ɛdigbo adu ugbatawla kʋ azɛ ʋwovi 'u nʋ aɣla kʋ atani azɛ ɛtu",I'll let the land be.,1.0,0.9121
