sample_id,reference,hypothesis,wer,cer
0,“Beso biamfo budufǝ lǝ asa kǝmiǝ kabe lɛsɛ nǝ ele bǝ biyifo?,بأسو ديام ف بودوفا لا أسا كيميا كابلي سانا إلباب.,1.0,1.0
1,Nya báto kakadiɛ kpǝ bǝtsyǝ lǝ abanslo eto diyo nǝ ǝsuǝ bótsya mfó.,Na ba tu ka kan die.,1.0,0.7963
2,Itsyise Utidi Eto Ubi ǝbǝ nkǝ lǝ ofo betidi ba lénya kusu lǝ nkpǝ.,Ich gehe heute ab 10 Uhr bei Abankala auf der Betriiba in Yakusu.,1.0,0.6731
3,"Nya lǝ utsyuǝ ásɔ fǝ lǝ kotosii, tsyi nkonse tsya ǝtǝ wǝ. Nya lǝ utidi utsyuǝ éfi fǝ awu katoo, tǝ lǝ ufi nnya kalɔ tsya lǝ woala.",يلا اوتة أصفى لا كوتو سي 56 أتاو يلا اوتة أفيفا أوكاتو تالا أوفى نيا كالو تشا لا وا,1.0,1.0
4,Boanla boǝ kuutsyuǝ saa nyǝ kabua lǝ bo keyifo ǝsuǝ. Lǝ nyaso boanla boǝ boeyifo kulesa nǝ luuti kuutsyuǝ saa bofokanɔ eto kusu.,ワンナボクケサ ヤカボラボケワソ ライヤソ ワンナボクウェイフォクレサナ ルティクケサボフカノトク,1.0,1.0
5,Nyaso Yosef áfo ɔkɔ ǝmǝ nya úfi kafia flubia kǝtsyuǝ úmli wǝ.,"Na so Joseph, I for o come. Na o fit ka fi for bia.",1.1667,0.5918
6,"Nya lǝ Awɔnisa Kɛnkɛ eto Kukue ǝsuǝǝ, Boanto Onanto átɛyi nkǝ,",,,
7,"Nya Yesu lɛtɔ wǝ nkǝ, “Be fanlɛ bɔbɛbɛ?”","Ja, ja, es wird da auch",1.0,0.8621
8,"Nya lǝ Ɔnwɛditsyǝyi lɔni ǝsuǝǝ, Yesu ákɛ mfó úkate asa lǝ Yudafɔ eto katsyakɔ kǝtsyuǝ.",いや、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、あの、,1.0,3.6571
9,Ɔ́yɛ buɛɛ lǝ Yesu eto kama lǝ betidi nti nya útidi wǝ awu eto kotosi. Lamfolamfo kɔtɔ komǝ áyɛ wǝ bokpo.,あ、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、いや、,1.0,3.1481
10,Nyaso bɛlɛ ɔkuɛnsate ǝmǝ lekpakpa lǝ otsyese beyifoyifo lǝ bǝbǝ bawunsǝ lǝ bǝlǝkǝ bɛkuɛnkǝ biamǝ.”,La balla ka be kwan kbiama.,1.0,0.8049
11,"Nya biatɛyi biǝ, ‘Lǝ nnya ete busiǝ nkpǝ lǝ lefe nǝ bo banamǝ dísiǝǝ, eni bienyifo lesa nǝ béyifo, balo Onanto eto bǝnyɛlǝkǝtidi.’",يا بي أتا بيو. لاني أتا بيو شين كول ألي فينا. بو بنام أديش. أني بيو جيفول ألي سانا بيو فيو. بالو أون أنتي أوتوب ألي كاتي.,1.1739,1.0
