sample_id,reference,hypothesis,wer,cer
0,To wan eŋɛ la wani le tara pupeelum?,tɩ wan yeŋ la n wane le tara pupeelum,0.5,0.1786
1,Kɔ’ɛ Ho Puti’irɛ Ti Yehowa Puurɛ Pee,kꤢꤪꤟꤨꤕꤢ꤭ꤡꤢꤩ꤭ꤜꤢ꤬ ꤡiꤢ꤬wꤢ ꤕꤥꤜꤨ꤬ ꤕꤢꤩ꤭,1.0,0.8929
2,Mabiisi La Eŋɛ La Wani?,daka la zu n de mabiisi la eŋ la ŋwani la yetii,1.8,1.1111
3,Yelese’a Ti Ho Pɔsɛ Zamesɛ Baabule Poan La Wan Ta’an Kelum Soŋɛ Hɔ,yelsi'e ti fu pɔsi zamsɛ baayibu kuan la wan ta'am kelim sɔŋɛfo,0.7692,0.3462
4,To wan zamesɛ baŋɛ Kristakɔma n wan eŋɛ se’em ta’an na’asɛ Yehowa ba pɔɣedire daarɛ.,ti wan zam baŋɛ krista kɔman nwan eŋɛ se'eŋ ti an na'asi yehowa bapɔgediri daarɛ,0.7333,0.1515
5,PETER N YUUN TUE SE’EM GE KELUM NYƐ KÃ’A,pita n yun tuuse'e gekel nyɛ̃ kãha,0.7778,0.3
6,"To wan eŋɛ la wani ta’an ze’a kankaŋi nana Yehowa lɔɔ, la a pa’alegɔ?",ti wa ɛŋɛ la wani ta a zɛ' kaŋkaŋɛ nana ye hu wa lɔɔ la a kpa'legɔ,0.7857,0.2157
7,TIREGƐ MAALƐ YELE LA,ceraka male jela,1.0,0.5294
8,TI’ISA TAƔESA NAAYINƐ PUTI’IRƐ,tẽ'esa tagsa naan yine pu tẽ'erɛ,1.5,0.32
9,SOŊƐ HO BAABULE ZAMESEGƆDAANA TI A TA’AN ŊMIBE YAARƐ POAN,suŋfu baaba zaŋfu ku daana ti a tan ŋmibe ya'ara puann,0.8,0.3617
10,geele na’am mɔɔlegɔ tuuma la se’em?,geeli na'a molege tuu ma la si'em,1.0,0.2222
11,Ho dɛna Kristabia n bi kãsegɛ vo’osum poan vuurɛ?,o dana krista bia m bikasa ki vu'usum puan vuurɛ,1.0,0.2564
12,SODENI POAN TI KEENDOMA WAN TA’AN TƆƔESA GIDEON  . . .,sodene puan ti kẽendma wa ta' n togsa giideon,1.0,0.2564
13,Puliŋa tabelɛ gu mam la mam n tukeri se’em la zuo?,pooleŋa tabli gumam la man tukiri se'em la zuo,0.6364,0.1842
14,Soŋɛ Baabule Zamesegɔdoma Ti Ba Kɔ’ɛ Ba Puti’irɛ Pu’usa Yehowa,soŋ baabo za o ka duma ti ba kooba pu tin'ere poosa ye hua,1.2,0.4
15,Sarɔtuni poan ti Nazardoma la yuun eŋɛ pa’alɛ ti ba ãregeri bamea ge me tara sukpe’ene?,sɔdɔ tune puan ti naza duma la youn iŋɛ kpa'al ti ba aaregare ba mia geme tara sukpe'ini,0.8125,0.2464
16,Bisɛ ya vidiyo jw.org poan ge nyaa sɔsɛ ya de yele bii gulesɛ yan zamesɛ sɛla vidiyo la poan.,bese ya video jedobidɔt ɔɔg poan ge nyaa sɔhe ya di yele bii golese ya n zame sɛ la video la poan,0.6842,0.3014
17,LA SAN NARA TI TO KA’AM NƐRA,nɛra kaalegɔ zi'a bu wa,1.0,0.7619
18,"Malemadoma la n yuun boi Yerusalem pu’usegɔ yire la poan la san ni kaabɛ dusi la ba’asɛ, ba ni ka’ɛ ziim la basɛ la bɛ?",malma duma la n yunbo yerusalɛm pu'osgo yil la puan la san ni kaabi dunsi ba'asa ba ne ka'a zie na bas la be,0.72,0.2556
19,TON WAN EŊƐ SE’EM KELUM TARA PUPEELUM,tin wa eng se'e kelm tara pu peeleŋ,1.0,0.2667
20,ANA DU’A DU’A LA HO NƆŊERƐ NAAYINƐ LA,a na dua dua lahu nɔŋeri naayen la,0.75,0.1429
21,Ho san basɛ ti ho puti’irɛ bɔna hon nɔŋɛ Yehowa la nɛreba la poan,fu sambasti fu puti'iri bɔla hun nuŋ yihuwa la nɛreba la pua,0.7857,0.2941
22,TI’ISA TAƔESA YEHOWA PAŊA LA YELE,ti'isa tagesa yefu wa paŋa la yele,0.5,0.1111
23,BA YUUN DITI LA SƐƐRA BƆ’ƆRA YEHOWA,bayunditi la sɛɛra bɔ'ɔra ye huwa,0.7143,0.0714
