sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",Adwoa no adwoa so mkwadaa,1.0,0.7333
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,But the number of people in the world are not so good,1.5,0.8864
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?","Are you sure that way or not, then you can do that",1.0,0.766
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,There's no other way,1.0,0.92
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",Nsa credit na wo no hɔ kɔfeɛw pɛse wo yɛ sɛ nebe yɛ mu bi twerɛ mu de yɛ tɔ n'anim ki yɛ fɛ yɛ adeɛ me yɛ,1.2,0.5
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",Mepaa’kyɛw Aanee’sɛ na m’kyɛ Aanee’kyɛ na m’kyɛ Aanee’kyɛ na m’kyɛ Aane,1.1,1.0
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,Ye hɔɔ nnwɔ so far ɔɔ nnase tɔ de nnwɔ mkran,1.2222,0.575
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",Wobɛtumi a ka sɛe yɛ eda wo se sɛ brɛn ka wo no yɛwɛ debe bi bi no wo dea buɛ fɛse na ebe buɛ tɔ me abɛ sofo me ase me ti abɛ so abɛ tɔ me ase wo mkran pa,1.0256,0.4786
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,Tepetepa mawa Tepetepa ma walaupun sebuah tentu sebuah me,1.2857,1.4
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,Ahooboa no hoobie,0.9,0.8333
