sample_id,reference,hypothesis,wer,cer
0,Mo̱ne̱ i ŋu mbo̱gya na de̱e̱kpa na e̱bɔɔre̱e̱ bwe̱e̱tɔ.,meni ŋu n bo ja na de kpa na ebôôre bwetô,1.0,0.3056
1,Kukyure kake ko̱ be̱e̱ ne̱ Yeesuu a be̱e̱ yɔ ke̱bware̱ko̱re̱kyaŋ‑nɔ ya kaapo̱ abware̱se̱ŋ. Saŋ amo̱‑ɔ ɔnyare̱ ko̱ mɔ bo̱ mfe̱ŋ na mò̱ kigyisesare̱e̱ a wu.,o kyore kakeko̱ be̱e̱ ne̱ yeesu a be̱ e̱ yɔɔ ribware̱ ko̱re̱ kyaŋ nɔ ya kaapo̱ abware̱se̱ŋ saŋ amɔ ɔnyare̱ko̱ mo̱ ɔ bo̱mfe̱ŋ ne̱ mò̱ kigyisɛsareyawu,0.88,0.1238
2,"Ne̱ Ɔbɔnsam ne̱ bo̱ be̱e̱ ba te̱e̱ mò̱ ɛ Ɔkyɔrɔpo̱‑ɔ a ba mò̱ ase̱. Ne̱ ɔ yɛ, “Fo̱ i nyi fe̱yɛ Wuribware̱ mò̱ gyi‑o e̱ gye̱ fo̱ kase̱ŋtiŋ, amo̱ fe̱raa sa a abu mɔ buruwi bodobodoo sa fo̱ a fo̱ gyi.”",ne̱ ɔ bɔŋsa mo̱ ne̱ bo̱ be̱e̱ ba te̱e̱ mò̱  ɔkyɔ-rɔpo̱ a ba a mò̱ ase̱ ne̱ ɔ yɛ fo̱ e̱ nyi fe̱yɛ wuribware̱ mò̱ gywe e̱gye̱ fo̱ kase̱ŋtiŋ amo̱ fe̱raa sa  abumo buriwu bodɔbodo sɛ fa̱a fe̱ ge̱,0.561,0.1746
3,"Se̱sɛ ne̱ Wuribware̱ a kufwiiŋe‑o te mò̱ kakpo̱nɔ‑rɔ‑ɔ e̱ taare̱ a o nu atɔ mɔ pɛɛɛ kaase̱, amaa ɔko̱ ne̱ mò̱ kufwiiŋe‑o mo̱ŋ te mò̱‑rɔ‑ɔ maa taare̱ a o ŋu ke̱tɔ ne̱ ke̱ bo̱ ane̱ŋ a se̱sɛ‑ɔ kakpo̱nɔ‑rɔ‑ɔ.",se̱sɛ ne̱ wuribware̱ a kufwiiŋo temò kakpo̱nɔ-rɔ e̱ taare̱ a o nu atɔ mɔ̱ pɛɛɛ kase̱ amaa ɔko̱ne̱ mò̱ kufwiiŋo mo̱ŋ' temo-rɔ mo̱a taare̱ a o ŋu ke̱tɔ ne̱ ke̱bo ane̱ŋ a se̱sɔ kakpo̱nɔ-rɔ,0.4211,0.0741
4,"Mo̱ e̱ tɔwe̱ mo̱ i gywii mo̱ne̱ fe̱yɛ fo̱ i di tiikpa mfe̱ŋ ane̱ŋ‑aaa bo̱ fo̱ saŋ ne̱ fo̱ e̱ ka fo̱ ko̱kɔ a fo̱ lo̱we̱‑ɔ, na paso̱wa gbaa mo̱ŋ saŋ‑ɔ.”",mo̱ e̱ tɔwa a njywii mo̱ne̱ fe̱yɛ fo̱ e̱ di tiikpa mfe̱ŋ ane̱ŋ aa bo̱ fo̱ sa ne̱ fo̱ e̱ ka fo̱ ko̱kɔɔ afo̱ lo̱we̱-ɔ na kɔ ba gbaa mo̱ŋ saŋ-ɔ,0.4194,0.1522
5,"Saŋ ne̱ Yeesuu e̱ tɔwe̱ amo̱‑ɔ, ne̱ kabɔɔ ko̱ a le̱e̱ Yayerus a lɔŋ‑ɔ‑rɔ bo̱ tɔwe̱ gywii Yayerus fe̱yɛ, “Fo̱ kakye̱e̱sɛɛ‑ɔ a wu, amo̱se̱‑ɔ fo̱ ma lɛɛ sa a ɔkaapo̱po̱‑ɔ kpo̱ne̱ mò̱ e̱ye̱e̱.”",sa ne̱ yeesuu e̱ tɔwe amo ne̱ kabɔɔ ko a le̱e̱ yayuro sa a lɔŋɔ-ɔ-rɔ fo̱ tɔwe̱ gywi yayu̱riso fe̱yɛ fo̱ kakyiisi a wu amo̱se̱fe̱ŋ baalae̱sa a ɔ kaafo̱pɔ-ɔ kpo̱ ne̱ mò̱ e̱ye̱,0.5758,0.225
6,"Ne̱ Yeesuu yɛ, “Mo̱ne̱ ya ko̱re̱ Wuribware̱ atɔ, mo̱ne̱ e̱ nya ke̱tɔ ne̱ mo̱ne̱ e̱ kpa‑ɔ. Mo̱ne̱ ya buwi kpa Wuribware̱ a e̱kpa‑ɔ, mo̱ne̱ i ŋu ke̱tɔ ne̱ mo̱ne̱ e̱ kpa‑ɔ. Mo̱ne̱ ya ye̱re̱ kawu te̱e̱ mò̱, ɔ taye̱ po̱ne̱‑ɔ, na mo̱nꞌ nya lweero.",ne̱ yeesuu yɛ mo̱ne̱ ya kure wuribware̱ atɔ mo̱ne̱ ̱ nya ke̱tɔ ne̱ mo̱ne̱ e̱kpa̱-ɔ mo̱ne̱ ya bue kpa wuribware̱ aye̱kpa̱-ɔ mo̱ne̱ ŋu ke̱tɔ ne̱ mo̱ne̱ e̱kpa̱-ɔ mo̱ne̱ ya yi̱ri kawe̱ te̱e̱ mò̱ ɔ taa ye̱po̱nɔɔ na mo̱ nya lee-re,0.3864,0.1074
7,Ne̱ agyase̱po̱ anyɔ amo̱ a ya waa ane̱ŋ ne̱ Yeesuu a tɔwe̱ gywii bamo̱ fe̱yɛ bo̱ waa‑ɔ.,ne̱ agyase̱ po̱ anya maa yawaa ane̱ ne̱ yeesuu atɔw gywii bamo̱ fe̱yɛ bo̱wɛ̱e,0.6471,0.1186
8,"Amaa ke̱tɔ ko̱ e̱ bo̱‑rɔ na ko̱ kyɔ ne̱ mo̱ne̱ e̱ kpa fe̱raa, amɔ mo̱nꞌ lɔŋŋɔ mfe̱ŋ ne̱ maŋ agyi e̱ gyaŋŋe̱ ba waa mbraa ba sa maŋ‑ɔ.",amaa ko̱tɔkw̱e̱ bo̱rɔ na ko̱kyɔ ne̱ mo̱ne̱ e̱ kpaa fe̱ra amɔ amo̱ lɔŋɔ kpa e̱ gye̱ mfe̱ŋ ne̱ maŋ a gyi e̱gyaŋe̱ ba waa mbra baasa maŋe,0.6786,0.2184
9,"Amo̱ fe̱raa, bamo̱ ne̱ bo̱ mo̱ŋ gye̱ Yudaa awuye‑o a nu ane̱ŋ‑ɔ, ne̱ baa kyo̱rɔ ke̱tɔ ne̱ Wuribware̱ a tɔwe̱‑ɔ. Ne̱ bamo̱ ne̱ Wuribware̱ a kyɔ lee fe̱yɛ bo̱ nya ŋkpa na kukyure ne̱ a mo̱ŋ de kɛɛ‑ɔ a kii Yeesuu akɔɔre̱gyipo̱.",mf̱ra bamo̱ne̱ne̱ bo̱ mo̱ŋ gye̱ yuda awuye-o anu ane̱ŋ-ɔ ne̱ baa kyo̱rɔ ke̱tɔ ne̱ wuribware̱ a tɔwe̱ɔ ne̱ bamo̱ ne̱ wuribware̱ a kyɔwɔ lee fe̱yɛ bo̱ nya ŋkpana ko̱kyore ne̱ amo̱ŋ dekɛɛ-ɔ a kii yeesuu akɔɔre̱gyi̱po,0.3571,0.0728
10,"Bo̱ le̱e̱ fe̱yɛ ɔke̱maa ne̱ o bu mò̱ e̱ye̱e̱ ke̱dabe̱‑ɔ, mò̱ ne̱ Wuribware̱ e̱ baa kaase̱. Ne̱ ɔke̱maa mɔ ne̱ ɔ baa mò̱ e̱ye̱e̱ kaase̱‑ɔ, Wuribware̱ e̱ sa mò̱ ke̱dabe̱.”",bo̱ le̱e̱ fe̱yɛ ɔke̱maa ne̱ o bu mò̱ e̱ye̱e̱ ke̱dabe̱-ɔ mò̱ne̱ wuribware̱ e̱ baa kase̱ ne̱ ɔke̱maa mɔ ne̱ ɔ baamò̱ e̱ ye̱e̱ kase̱-ɔ wuribware̱ e̱ sa mò̱ ke̱dabe̱,0.3,0.0583
11,"Mo̱ne̱ a mo̱ŋ taare̱ ba kase̱ŋtiŋ bo̱ kra kaye̱‑rɔ atɔ timaa‑o, e̱me̱ne̱ ne̱ Wuribware̱ e̱ waa na ɔ taa so̱so̱ a atɔ timaa kase̱ŋtiŋ‑o bo̱ sa mo̱ne̱ a mo̱nꞌ kra?",mo̱nɛ̱ amo̱ŋ taare̱ ba kaseŋtiŋ be̱ kra kaye̱ra atatimaa-o ebonɛ̱ nɛ̱ wuribware ye̱ wa na ɔ taase̱so̱ atɔtim a kaseŋtiŋo be̱ sa mo̱ne̱ amo̱ŋ kra,0.6,0.1495
12,"Amo̱se̱‑ɔ, mbe̱yɔmɔ, mo̱nꞌ nare̱ me̱naŋ me̱naŋ ya tɔwe̱ gywii mò̱ agyase̱po̱‑ɔ fe̱yɛ Wuribware̱ a kyiŋŋi mò̱ le̱e̱ lowi‑ro, ne̱ mbe̱yɔmɔ ɔ gye̱ bamo̱ ŋkpɛɛ o yii Galile̱ya swe̱e̱re̱ se̱. Mfe̱ŋ‑ɔ ba ŋu mò̱. Mo̱ ase̱ŋ a lo̱we̱.”",amoso̱ mbɛ̱yɛ mɔ mo̱ŋ nare̱ mena mene yaa tɔwe̱ dwi mo agyase̱pɔ fɛ̱yɛ wuribwarɛ̱ a tuni mo lɛe̱ lowuro ne̱ nbɛ̱yɛ mɔ ɔ kye̱ bamo nfɛ o yi garade aswe̱e̱re se̱ nfoŋɔ ba ŋu mò̱ maa teŋ a lɔbɛ,0.7027,0.2973
