sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,nsu kɔm dimɛ,0.5,0.2
1,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wopɛ sɛ woyɛ dɛn ɛne,1.0,0.1176
2,Awi no rehwehwɛ ahu,ɛwi no rehwehwɛ ɛhu,0.5,0.125
3,Wɔ nnwomkorɔ kuo bi mu,wa ennom kru koobimu,1.0,0.3333
4,Nante yie,nan ti yie,1.0,0.125
5,Te so ma me,si somami,1.0,0.375
6,Wobɛtumi akyerɛ me hɔ,wobetimi akyerɛ me hɔ,0.25,0.1111
7,Afenhyia pa,afishi apa,1.0,0.3
8,Nokware di etuo,nukwari di etuo,0.3333,0.1538
9,Maa wɔn ho yɛɛ huam,máwọ huye ephia,1.0,0.6667
10,Kafra,kafa,1.0,0.2
11,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nipa ye bad,0.8571,0.7576
12,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nipaya bada,1.0,0.7273
13,"Kosɛ, manhyɛ da",kuse ma n seda,1.3333,0.4167
14,Woforo dua pa a na yɛ pia wo,wofr udiapa a na epia wo,0.625,0.2381
15,Wote borɔfo,what ebrot fol,1.5,0.6
16,Neho ayɛ fi  paa,ne ho ayɛ fi paaa,0.75,0.0833
17,Me ho yɛ paa,mhu yaບ pa,1.0,0.5556
18,Ko buu no,kobunu,1.0,0.2857
19,Mefri Ghana,miswigana,1.0,0.4
20,Me ho yɛ pa ara,yɛ paara,0.8,0.3636
21,Na biribiara dwoi,na bubia ra joe,1.0,0.4
22,Ɔmee ne Ɛfeɛ,omini efie,1.0,0.7
23,Me nsa aka,mesaaka,1.0,0.125
24,Nsuo,nco,1.0,0.5
25,Wo se sɛn,وسسن,1.0,1.0
26,Meda wo ase,meda wase,0.6667,0.1111
27,Hello good morning. Mepaa’kyew mɛ tɔ credit (Maakye mepaa’kyew mɛ tɔ credit),hallo good monin ma patcho meta credit,0.8333,0.55
28,Mame bebree,mani debe,1.0,0.5
29,Nti ɔtɔɔ afe fa bi,inti ọtọ afifa bi,0.8,0.3571
30,Akwadaa wei,akwada a wei,1.0,0.0
31,Me sika no aka sɛn,misik kanoka kaksain,1.0,0.4286
32,Apoobɔ nnyɛ,apoobo nye,1.0,0.3
33,Wo pɛ deɛn,otage,1.0,0.75
34,Pia no bio,piani biu,1.0,0.25
35,Me sika no aka sɛn,misi ka no a ka sɛn,0.8,0.0714
36,Yɛbehyia biom,yɛ besia biom,1.0,0.1667
37,Hwɛ soro,ce sơ,1.0,0.8571
38,Hyɛɛ n'anim teɛ,se nenimtie,1.0,0.5833
39,Na biribiara dwoi,anabri biaa jo yi,1.3333,0.4
40,Yoo medaase,yiwo me daase,1.5,0.2
