sample_id,reference,hypothesis,wer,cer
0,1 KRONIKA 10.,kronika pak bala banto ta uliya.,0.6667,0.2
1,Saul wu eɖokui.,چاہو اڈو کی.,0.3333,0.0833
2,"Azɔ la, Filistitɔwo dze aʋa la wɔwɔ gɔme kple Israelviwo eye Israelviwo si le wo nu.",ajola philistito ja bala o gome place ravio siyla un.,0.0625,0.0085
3,Wowu Israelvi geɖewo le Gilboa to dzi.,"oh, we's ravi gada ole gil boato oji.",0.1633,0.0125
4,"Filistitɔwo ɖe Saul kple viawo ɖe nu eye wowu viawo; Yonatan, Abinadab kple Malki Sua.",philis ito dow saakple viao dow noye u·u viao jonathan a·binadha ople marki suar.,0.0667,0.0055
5,Aʋa la nu sẽ ŋutɔ na Saul eye esi aŋutrɔdalawo tui la wode abi eŋu vevie.,apalangun seng utorna saw ei aci angun rodala utwila udda biangu babi.,0.0625,0.0095
6,"Saul gblɔ na eƒe akpoxɔnutsɔla be, “Ɖe wò yi ɖe go nàƒoe ɖem, ne menye nenem o la, Filistitɔ, aʋamatsomatsoetɔ siawo ava wum eye woado vlom.",sao glona apak po hono cholaba dow yee dow gona pwedam namenna namo ola philistito apa machu machu tosiao ava gome yey wat duvlum.,0.037,0.0045
7,Ke vɔvɔ̃ ɖo eƒe akpoxɔnutsɔla la ŋutɔ eye melɔ̃ be yeawɔ Saul ƒe gbe dzi o.,kabobo doa pak po hono chola lango toy e man lomba ia uo saw pak bachio.,0.0625,0.0114
8,Eya ta Saul tsɔ eya ŋutɔ ƒe yi hedze enu.,अया ता साव चोय यांगु तो पई हजनु।,0.1,0.0323
9,"Esi eƒe akpoxɔnutsɔla la kpɔ be eku la, eya hã wu eɖokui nenema ke.",ah see a papo hono chola aala bob a koola aai yaha ua roki nane market.,0.0816,0.0118
10,Ale Saul kple Via ŋutsu etɔ̃awo ku gbe ɖeka eye ƒome blibo la tsrɔ̃.,alasak opley biangu juo tau kukub bharaka aai phumabili bolachro.,0.0714,0.0115
11,"Esime Israelvi siwo nɔ balime la le toa te se be wowu yewoƒe aʋawɔlawo eye Saul kple viawo hã ku la, wosi dzo le woƒe duwo me eye Filistitɔwo va nɔ duawo me.",asimai jua visi o no bali mela lato a te sabao uyeo paa ba olao aie sao klai viao haakula o sijo leo paa duu oman aie philisi tauva no duu oman.,0.0303,0.0035
12,"Esi ŋu ke eye Filistitɔwo yi be woaɖe nuwo le Israel ƒe ame kukuwo ŋu la, wokpɔ Saul kple Via ŋutsu etɔ̃awo ƒe kukuawo le Gilboa to la dzi.",asimukka ye philis siy to i baua danu oley jrapa aamba kukku ongola. uks posa ople biangunchua taw pa kukku ao lage o bo ato lage.,0.0345,0.0048
13,"Woɖe Saul ƒe aʋawu le eŋu, tso ta le enu eye wotsɔ eƒe ta kple aʋawɔnu fia amewo le woƒe anyigba dzi godoo.",pura saopa apau le·a un chotala nua ye uchop taak l apau nu siyamau le·a upa nipa ji gudu.,0.0435,0.0071
14,Wotso aseye le dzidzɔnya sia ŋuti le woƒe legbawo kple dukɔmetɔwo ŋkume.,oh cho as seyayla jee jonia siyang uti lao pwala ek ba upla dokko ma to ongko ma.,0.125,0.0108
15,Wotsɔ Saul ƒe akpoxɔnu da ɖe woƒe mawuwo ƒe gbedoxɔ me eye wotsɔ eƒe ta ku gli ŋu le Dagon ƒe gbedoxɔ me.,o cho sao pak po hono darey o pak ma·o uo pak ba du homa aai o choi pak ta kuglingo lal daagon pak ba du homa.,0.051,0.0076
16,"Esi Yabes Gileadtɔwo se nu si Filistitɔwo wɔ Saul la, woƒe aʋawɔlawo katã yi aʋagbea dzi eye wotsɔ eƒe kukua kple viawo tɔwo gbɔ va Yabes.",ah siyabez giliyat tog senus si philisi tog ossa ola upa baolau kata ia pak bua ji aai eyo chor poa kukukukuk ple biyau tog boba iabez.,0.0385,0.0047
17,Woɖi wo ɖe ati gã aɖe te le Yabes eye wofa wo ŋkeke adre sɔŋ.,o di oda athi gaar telle ya bes aye o fao unka kaadra song.,0.0667,0.0099
18,Saul ku le eƒe tomaɖomaɖo Yehowa kple ale si wòyɔ ŋɔli bia gbee se ta.,sao koola oppa tomadu madu ye hoak pl aal siyot yongoli biak beth sata.,0.0667,0.0089
19,"Ke esi mebia Yehowa be wòafia nu si yeawɔ o la ta, Yehowa na wòku eye wòtsɔ eƒe fiaɖuƒe la na David, Yese ƒe vi.",gar siy me biai hoa baua fiano siy ao o olata e hoa nao koo a ye o chor p fiar ufa lana david ye se pavi.,0.04,0.0047
20,KRONIKA I 10.,Guri kaipu ag baanak baato tao.,0.6667,0.21
21,Fia Saul ƒe ku.,the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the sound of the,19.0,8.3306
22,"Filistitɔwo wɔ aʋa kple Israelviwo, eye Israelviwo sí le wo nu.",ஷिलिसिटो आफाक पुले इस्रावियो इस्रावियो सील उनु।,0.0909,0.0196
23,Wo dometɔ geɖewo tsi aʋa le Gilboa-toa dzi.,Odome togede o chi ava le giboba toa jim.,0.125,0.0104
24,"Filistitɔwo nya Saul kple viawo ɖe nu, eye wowu Yonatan, Abinadab kple Malkisua siwo nye Saul viwo.",philistowo nia saul pule viao denu ei o u jonathan abenadab pule marki suwa siyonye saul vio.,0.0519,0.0036
25,"Esi aʋa la nu sẽ ɖe edzi la, futɔwo ƒe aŋutrɔ va te Saul, eye wòxɔ abi.",a siyapala no sende ejila phutopo an troo vatte saoul eye boho abi.,0.0519,0.0092
26,"Eya ta Saul gblɔ na eƒe aʋawɔnutsɔla be: “Ðe wò yi ƒo ɖem, ne bolobolotɔ siawo nagava ɖi gbɔm o.",இয়াতে আছো লুকব্লনা এপে আবাওনো চলাবে দেওই ফোদেম নে বলো বলো তসীয়াও না গাবা দিক্বম ওয়াই।,0.05,0.0137
27,” Ke eƒe aʋawɔnutsɔla la gbe elabe ele vɔvɔ̃m ŋutɔ.,kepe a pao no tola la be elabe elevo bomto.,0.1111,0.0099
28,"Ale Saul tsɔ eya ŋutɔ ƒe yi tu ɖi, eye wòdze enu.",ale saul cho eyan topeye chudi eye o jen.,0.0625,0.0131
29,"Esi aʋawɔnutsɔla la kpɔ be Saul ku la, eya hã dze eƒe yi nu heku.",ஸ்த்தி அப்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்துத்த்துத்துத்துத்துத்துத்த்துத்துத்த்துத்துத்துத்த்துத்த்துத்த்த்துத்த்த்த்த்த்த்து,0.0667,0.0704
30,Ale Saul ŋutɔ kple via ŋutsu etɔ̃awo kpakple eƒe ƒomea katã tsrɔ̃ ɖekae.,ale sao luntor plee zianutu etu ao bag plee pe pomey akata chro dega e.,0.0828,0.0071
31,"Esi Israelvi siwo le balia me kpɔ be aʋawɔlawo sí, eye Saul kple viawo ku la, wosí, gblẽ woƒe duwo ɖi, eye Filistitɔwo va xɔ duawo henɔ wo me.",ஸেছে ইজ্ৰাই বিশ্তিওলে বালিয়ামে বৱে আবাওলা চি এই চাওলক্পে হ্যাও কোলা হোছি ব্লেওপে জুয়দি এই ফিলিচিতো বাঁহ্ষ দুওয়াও হেন্নো মে।,0.0345,0.0092
32,"Le ŋkeke evea gbe, esi Filistitɔwo va be yewoaɖe nu le ame tsiaʋawo ŋu la, wokpɔ be Saul kple viawo ku ɖe Gilboa-toa dzi.",lenkeke viagbe e si philisi tov abe ewa denu le ame tia baon nula oppo be sao lukule viagukko de gilboa toa jit.,0.0365,0.0034
33,"Woɖe nu le eŋu, eye wotsɔ eƒe ta kple eƒe aʋawɔnuwo ɖo ɖe Filistitɔwo ƒe anyigba dzi godoo hetsɔ ɖe gbeƒã dzidzɔnya la na woƒe mawuwo kple dukɔ blibo la.",odano le·enno eye uo choi fey taak bley efe aaba onu o dode fili sito o fey anikbanji goddo hei chodegbeffa jijonia lana o fey mao uo pley jukko bley bolan.,0.0344,0.0041
