sample_id,reference,hypothesis,wer,cer
0,1 TARIHI 10.,Tarihi tadaa sura guma.,0.4444,0.1728
1,Shawulu ya ɗauke ransa.,"Shaulu, yaadawikiransa.",0.25,0.0166
2,"To, fa, Filistiyawa suka yi yaƙi da Isra’ilawa; Isra’ilawa kuwa suka gudu a gabansu, da yawa kuma suka mutu a kan Dutsen Gilbowa.","Tupa, polisiyawosoka yaaiki da Israelawa. Israelalkua, soka godu agabansu, deyawa kuma, soka mutu. Akan dosa ng dilibowa.",0.0378,0.0025
3,"Filistiyawa suka matsa sosai suna bin Shawulu da ’ya’yansa maza, suka kuma kashe ’ya’yansa maza Yonatan, Abinadab da Malki-Shuwa.","Fulistia wasoka masasusai sunabinsha hulu de ya ensa maza, tiko kumakachi ya ensa maza, jona tang. Abinadab damarikishwa.",0.0471,0.002
4,"Yaƙin ya yi tsanani kewaye da Shawulu, kuma sa’ad da maharba suka rutsa shi, sai suka ji masa rauni.",ياكي يسانني كيوير شاولو كما ساعد مهربا سكا روس عيشي سوسكا جيما سراوني,0.0526,0.0128
5,"Sai Shawulu ya ce wa mai riƙe masa kayan yaƙi, “Zare takobinka ka soke ni, in ba haka ba waɗannan marasa kaciya za su zo su yi mini ba’a.",Saisha uliyachiwa mahi riki masa. Kaya nyaki. Zaratako vinka kasukeni. Imba hakaba watana marasaka chia. Zasadosi jimini ba'a.,0.0321,0.0019
6,Amma mai ɗaukar masa kayan yaƙi ya ji tsoro bai kuwa yi haka ba; saboda haka Shawulu ya zāre takobinsa ya fāɗi a kansa.,"Amahumatau karamasa kaya nyaki yajituru baikwei haka ba. Sabori haka, shawulia jari tukubensa. Yapahadi, akansa.",0.0365,0.0032
7,"Da mai ɗaukar masa kayan yaƙi ya ga Shawulu ya mutu, sai shi ma ya fāɗi a kan takobinsa ya mutu.","Damedawukarmasa kanyaki yagasha uli ya mutu. Saichi maya paadi, akan takuobensa ya mutu.",0.0385,0.0029
8,"Ta haka Shawulu da ’ya’yansa maza uku suka mutu, dukan gidansa kuwa suka mutu tare.",Taka shahulu dea ensamaza huku. Sukamutu. Dukangidansa. Kwa Sukamutu. Tari.,0.0667,0.0024
9,"Sa’ad da dukan Isra’ilawa a cikin kwari suka ga cewa mayaƙansu suna gudu, kuma cewa Shawulu da ’ya’yansa maza sun mutu, sai suka bar garuruwansu suka gudu.","Saada doka Israela wa atikungkwali, tsuga chewa mayakansu sunagudu. Kumachiwa shahulu dea ensamaza sumutu. Sae suka bargaruruwansu suka gudu.",0.0329,0.0015
10,Filistiyawa kuwa suka zo suka zauna a cikinsu.,"Kwa kufilistia wa kua, sukaduosuka dawna, atikinsu.",0.125,0.0083
11,"Kashegari, da Filistiyawa suka zo don su tuttuɓe waɗanda suka mutu, sai suka sami Shawulu da ’ya’yansa maza sun mutu a Dutsen Gilbowa.","Kachigari, dafili sia asuka do, do sututupe wa dan asuka mutu. Siasuka samisha ulu, dea ensamaza sumuta adoza ngilibowa.",0.0416,0.0022
12,"Suka tuttuɓe shi suka yanke kansa suka ɗauka duk da kayan yaƙinsa, suka kuma aika ’yan aika ko’ina a ƙasar Filistiyawa, a yi shela labarin a cikin gumakansu da kuma mutanensu.","Suka tutubishi, suka yanqi kansa, suka dawuka, tukudakaya nyakinsa, suka kuma ayika, tanga ayika, koo ina kasarapolisi yawa, aishi la, labarang asichung kuma kansu, dakuma mutanansu.",0.026,0.0016
13,Suka sa kayan yaƙinsa a haikalin allahnsu suka kuma rataye kansa a haikalin Dagon.,"Suka saka nyaakinsa ahayikaling alantsu, tsuka kumarate yikansa ahayikaling dagon.",0.0612,0.003
14,"Sa’ad da mazaunan Yabesh Gileyad suka ji dukan abin da Filistiyawa suka yi wa Shawulu, sai dukan jarumawa suka tafi suka ɗauki jikunan Shawulu da na ’ya’yansa maza suka kawo Yabesh.",ساعد ماذا يباشجاليات سوكا دي دوكا عبند فلسياء سوكا ايه وشاولو سادي دوكا جارماوه سوكا تابي سوكا توكي جيكونان شاولو دانا اعين سا ماذا سوكا كاو يباش,0.0323,0.0068
15,"Sa’an nan suka binne ƙasusuwan a ƙarƙashin babban itace oak a Yabesh, suka kuma yi azumi kwana bakwai.","Saa anna nsoka buni kasusuwan agadikashimbo bang itachangok ayabish, soka kumai azumi kwa naabakwa.",0.0525,0.0036
16,"Shawulu ya mutu domin rashin aminci ga Ubangiji; bai kiyaye maganar Ubangiji ba, ya ma nemi shawarar mace mai duba, bai kuwa nemi nufin Ubangiji ba.",شعور يمتو. دوم راسن امنت ايقا اوبا انجدی. با ايكا اياما قانا الابا انجدی با. ایاما این مشاور ماتمیدوبا. با اخوان ایمی نبی اوبا انجدی با.,0.0385,0.0084
17,"Saboda haka Ubangiji ya kashe shi, ya miƙa mulkin ga Dawuda ɗan Yesse.","Sabu da haka, ubange jiyakashishi. Iyamiikamu nikinsaga dauda, da nyese.",0.0769,0.0041
18,1TAR 10.,Τάρηχη,0.5,0.1667
19,Mutuwar Sarki Saul da ta Yayansa.,"mtuarar sarki shawlu. Ananon,",0.1389,0.0178
20,"Filistiyawa suka yi yaƙi da Israilawa, Israilawa suka gudu a gaban Filistiyawa, aka karkashe su a Dutsen Gilbowa.",ស្ម្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម្ ស្ម�,0.1235,0.0108
