sample_id,reference,hypothesis,wer,cer
0,"Ɔbɛdii hene no, na wadi mfeɛ aduasa nnum, na ɔdii hene mfirinhyia aduonu nnum wɔ Yerusalem.",ɔbaa de rehɛn no na ɔde mfie aduasa nnum na ɔde ne mfɛhyia aduonunum wɔ yarisalɛm,0.6875,0.3151
1,Na Manoa ka kyerɛɛ AWURADE bɔfoɔ no sɛ: Wo din de sɛn?,namanoa kɛkyere ɛradbɔfoɔ no sɛ wɔdi ndesɛn,0.8333,0.1707
2,"Na Konania nso ne ne nuanom Semaia, Netanel, Hasabia, Yeiel ne Yosabad, Lewifoɔ asafohene no yii Twam nnwan mpemnum ne anantwie ahanum maa Lewifoɔ no.",nakɔnɛrmiɛ nso ne ne nua no mu sɛmayɛ netaneɛ kasabea yɛ ne yɔsa baab lɛwifoɔ asafoɔ no yɛretwa mu nnwae mpim no mu ne anantwie aha num a lɛwifoɔ no,0.92,0.2893
3,"Na afoforɔ bi nso yɛɛ adwuma sɛ atwerɛfoɔ, mpanimfoɔ ne aponoanohwɛfoɔ.",na ahofɔ bi nso yɛ adwuma sɛ atwerɛfoɔ mpanimfoɔ ne apono ano hwɛfoɔ,0.4545,0.0678
4,"Na wɔrefiri adie no, Yehosafat gyinae na ɔkaa sɛ: Yuda ne Yerusalemfoɔ, montie me.",na wofri adeɛ no yɛhosa pot gyina na ɔka ase ɛda ne yɛresalamfoɔ,0.7857,0.3692
5,Ɛnna Amasia bisaa Nyankopɔn nipa no sɛ: Na ɛdeɛn na yɛnyɛ dwetikɛseɛ ɔha a mede ama Israel asafo no?,ɛna amɛɛsia bi saa nyɛnko pɔnnipa no sɛ nea deɛ no anyɛnye gyeene kɛseɛ ɔha a me de ama ɛdzrae asafo no,0.7895,0.225
6,"Afei, me Nyankopɔn, ma w’aniwa mmue ɛ, na yɛ aso ma ɛha yi mpaebɔ.",trafilm anya agopɔn ma wɔaniwa mmeɛ a ɛyɛ asoɔ ma ɛhae mpaeɛ bɔ,0.8571,0.3125
7,"Na adeɛ biara a AWURADE Nyankopɔn agye de ama yɛn sɛ yɛnni soɔ no, ɛno na yɛbɛfa adi soɔ.",nadeɛ bi a ɛreadan yɛnko pɔn agye de ama yɛn sɛ yɛnisuo no ɛno na ɛbɛfrɛ de suo,0.5789,0.2754
8,"Ɛberɛ a wɔhyɛɛ mo so no, mosu frɛɛ me na megyee mo.",ɛbra wɔ hyɛn mu so no mosin frem namagya mu,0.8333,0.3421
9,"Na ɔfaa bi kura kɔe, na ɔrekorɔ na ɔredi, na ɔkɔduruu n’agya ne ne na nkyɛn, na ɔmaa wɔn bi dii; nanso wanka ankyerɛ wɔn sɛ gyata no yam na ɔyii ɛwoɔ no.",na ɔfɛɛ bi kura kɔɔ na ɔrekɔ na ɔredi na okoduru nagya ne ne nkyɛn na ɔbaa a ɔmɛ a ɔmɛ de yi nanso wɔn kantene a ɔhyɛ gyata no yɛm na ɔyiyi ɛwɔ no,0.5758,0.2783
10,"Ntotorobɛntohyɛnfoɔ ne nnwomtofoɔ no nyinaa bɔɔ mu too dwom de kamfoo Awurade, daa no ase.",totorobɛnto shɛmfoɔ ne nnwontofoɔ no nyinaa bɔ wɔn mu toɔ dwom de kafoɔ erade dan no ase,0.6,0.1892
11,"Yehoram nuanom mmarima a na wɔyɛ Yehosafat mmammarima foforɔ bi no ne Asaria, Yehiel, Sakaria, Asaria, Mikael ne Sefatia.",gyehu a mmea no mmarima a ɔyɛ yi wosafadima mmarima foforɔ bi ne asawia yɛhier sakareɛ a asawia nika ne safrataa,0.8421,0.2755
12,"Na Samson frɛɛ AWURADE sɛ: AWURADE Nyankopɔn, afei kae me, na hyɛ me den prɛko pɛ yi nko ara, Onyankopɔn, na mentɔ m’ani mmienu yi so were prɛko Filistifoɔ so.",na samsɛnfrɛ rade sɛ ɛrade nyanpo pɔn afei kaa me na ahyɛ me de mpɛɛkupɛ yi nko ara wɔn a nkupɔn no ntɔ mɛne mmienu yi nso repreprɛpɔn fiti foɔ so,0.7,0.2602
13,"Ɛnyɛ wo so na mebaa nnɛ, na mmom efie a ɛne me di ako no so na Onyankopɔn aka sɛ menyɛ ntɛm.",anya wɔ so na me bae no emu efie a enim di akɔn no so na ɔyɛ angopɔnkasa,0.6364,0.4493
14,Na ne ba Manase bɛdii n’adeɛ.,na ne ba mma no ase bi di nadeɛ,0.8333,0.1818
