sample_id,reference,hypothesis,wer,cer
0,"Sasak ma doho nɩaa nɛ: Ɩsɩpaŋ, Ɛba, Ɛlɩɛl,",sasak ma dihuuniaa nɛ isipan iiba iliau,0.625,0.4194
1,"Má ŋmoo niiŋ a tɩŋ girep nɛnɛɛ sɩ-falɩɩ-la wɩaa,",má ŋmoo niiŋ a tiŋ girip nɛnɛ si-falii-la wiaa,0.6667,0.2162
2,"Nɩaa bʋɩ banɛsɛ ma jaŋ pʋpɔ Wɩa dɩɩ-bal-la boi baalaa, dɩ nɩaa bʋɩ banɛsɛ ma du kʋduulo-la mɩ sɩ chɛ bil dɩ ba kaa dɩdɛnnɛ La TƖƖNA.”",niaa bui banasi maa jaŋ pupↄↄ wia dee baala buei baalaa di niaa bui banasi maa du kuduuluo mi si chɛ bel di ba kaa didanni la tiina,0.7778,0.3465
3,Doŋ pɩnɩŋ kɩŋkɛŋ jaŋ leŋ dɩ ba laalɛ gɛrɩ-kɔsʋmɔɔ.,doŋ piniŋ kiŋkɛŋ jaŋ leŋ di ŋ laalɛ gɛri-kↄsumↄↄ,0.5556,0.275
4,"Hamaŋ sɩ kʋ jɩŋ dɩ Modikaaya ŋaa Juu tɩɩna nɛ, ʋ beŋ dɩ ʋ nɛ kpʋ ʋ dʋndʋŋa, ŋɩɩ ha bɩ magɛ. Ʋ lɛɛlɛ chɩchɛ wombiiŋ dɩ ʋ kpʋ Juu tɩŋŋaa kala sɩ hɔŋ kuoro Zɛzɛs tinteeŋ lɛ.",hɛmaŋ si ku jiŋ di mↄↄdikaya ŋaa j uu tiina nɛ u beŋ di u nɛ kpu u duŋduŋa ŋii ha bi maga u lɛɛlɛ chichɛ woŋbiiŋ di u kpu j uu tiŋŋaa kala si hↄŋ kuoro zɛzɛ tiŋteeŋ lɛ,0.8158,0.2558
5,ŋɩɩ nɛ ŋ yaraa ma yie fɩɛlɛ dɩ ŋ nɛ nɩɩ wʋzɔmʋŋ sɩ lɩɩ,ŋii nɛ ŋ yaraa ma yie fiɛlɛ di n nɛ nii wu-zↄmuŋsi lii,0.5714,0.3171
6,"Dɩ ʋ nɛ pɩɛsɛ wɩaa bʋɩ, ŋ bɩ jaŋ wuo laa wʋbala ma a bʋl.",di u nɛ piɛsɛ wiaa bui aŋ mi jaŋ wuo laa wu-bala ma a bul,0.6,0.2683
7,"Pʋlʋmʋŋ tʋɔŋ nɛ nɩaa ŋɩŋaa wʋzɔŋŋɔɔ, tʋɔpʋl wɩaa arɩ wʋtɩtɩɩba.",pulimiŋ tuↄŋ nɛ nia ŋiŋaa wu-zↄŋŋↄↄ tuↄ-pul-via ari wutitiiba,0.9,0.4423
8,Zɛzɛs kuori kpaha fa hɛ taŋ-la ba sɩɩ yɩrɛ Susa lɛ nɛ.,zazɛs kuori-kpasa fahɛ taŋ-la ba sii yirɛ susa lɛ nɛ,0.5833,0.122
9,"dɩ mɩ kala birisi, dɩ mɩ gɛnnɩŋ ma paala bɛrɛmɛ.",di mi kala birisi di mi gɛnniŋ ma paala bɛrimɛ,0.6,0.1622
10,"Nɩarɩa ma hambolibiisiŋ ŋaa batori nɛ: Elionai, Hizikia arɩ Azirikam.",niyaria ma hamboli-wiisiŋ ŋaa butori nɛ iliyↄ naai hazikia ari azirika,0.8,0.2105
11,"Kirisito tɩtɩa nɛ leŋe la sɩŋ, ʋ nɛ kɛŋ nɩalɩŋ sɩ ŋaa Juu tɩŋŋaa arɩ nɩalɩŋ sɩ bɩ Juu tɩŋŋaa ŋaa kala hɛ dɔŋɔ lɛ ba kʋ ŋaa kʋbala. Ʋ sɩ sʋʋ daagɛsɛ nyuŋ nɛ giri dʋndɔnnɩɩ-la fa sɩ hɛ la pɛgɛ ta.",kirisito ditia nɛ leŋe la siŋ u nɛ kɛŋ nialiŋ si ŋaa j uu tiŋŋaa ari nialiŋ si bi j uu tiŋŋaa ŋaa kala hɛ dↄŋↄ lɛ ba ku ŋaa ku-bala u si suu daa-gɛsɛ nyuŋ nɛ giri diŋdↄnnu-la fa si hɛla pɛ ka ta,0.6047,0.2095
12,Ʋ nɛ ŋaa baga kɩaa kala kuoro.”,u nɛ ŋaa baga kiaa kala kuoro,0.2857,0.087
13,"Dɩ nʋʋ tʋɔŋ nɛ cheye, ʋ maga dɩ ʋ nandɔnsʋŋ nɛ chɩna gbɛrʋ,",di nuu tuↄŋ nɛ cheye u magɛ di u naŋdↄŋsuŋ nɛ china gbɛrɛ,0.7692,0.3333
14,"Arɔŋ doho nɩaa dɔnsʋŋ nɛ ŋaa Kohaf nyɩŋ-nɩaa, ba nɛ fa ŋaa nɩalɩŋ ba sɩ laa sɩpaaŋ joŋ tasɩŋ pa.",aaraŋ doho niaa dↄŋsuŋ nɛ ŋaa kohaf nyinniaa ba nɛ fa ŋaa nialiŋ ba si la sipaaŋ joŋ tasiŋ pa,0.45,0.2027
15,"Ɛlɩfas hambolibiisiŋ nɛ ŋaa: Tɛmaŋ, Omaa, Zefo, Gatam, Kɛnas arɩ Amalɛk. Amalɛk naaŋ nɛ fa Tɩmɩna.",ɛlifaas hɛmboli-wiisi nɛŋa tɛmaan umaar zeefu katam kɛnas ari amalɛk amalɛk naaŋ nɛfa timina,0.75,0.2105
16,"bɛɛ wɩaa, mɩ dʋndʋŋa nɛ Wɩa, Wɩa dɔŋ bɩra tuo.",bɛɛ wiaa mi duŋduŋa nɛ wiaa wia dↄŋ bire tuo,0.7,0.3235
