sample_id,reference,hypothesis,wer,cer
0,Le be ndegboŋ nɛ awurbi kikɛ e daa wɔ kasawule nɛ Dan be yiri to ebi nya fanɛ bumo be kapetɛ na so.,Lɛbɛ ndəgboŋ ŋɔɔ wure kɛɛ Ɛda woka Saawul na daŋ bɛ yirito ebi nyɛfana bɔmɔ ba kapatena so.,0.913,0.3289
1,nɛ e wɔtɔ a kɔ kenya be kebaawɔtɔ gbagba chap.,Nna wɔɔtɔ a kɛ nyɛ ba kabawɔɔtɔ gba gba tya,1.0,0.3889
2,meeŋ shin nɛ b ti ma njɔnɔ so a keni ma mbolpɔ so gba.,mínchee ebee tee m'an gyan nɔ so ɔ kene mɔ ɔmbɔlpɔ sa gbɛ,0.9286,0.575
3,Ŋkpal loŋ so nɛ Enyɛnpe Ebɔrɛ nya agbo ga n wɔtɔ Israɛlebi na.,Mɔ kpa lɔnso nɛ ɛnyɪnpɔ Ebɔrɛ nya agbaga ɔnwote Israyɛle gbɪne,0.7692,0.3265
4,Loŋ be saŋɛ na nɛ b ta Enyɛnpe Ebɔrɛ be ŋkre be deka na ashi Kiriaf Jearim m ba yili wajɛbu nɛ ewura Deevid wora ashi Jerusalɛm na to.,"Lumbosangna, nə bə ta 'yaŋəpə eboorə bə aŋkərə bə dəkənə əshii Kiryaf-Jiryam mbii yili wəjibu nə e wurə David wurə əshii Jerusalem na.",0.931,0.4381
5,"” Kanyɛn na ka nu loŋ nɛ mbe kagbene kaa nɛ e kilgi n yɔ nɛ kagbenejija, ŋkpal manɛ so, e daa kɔ asɔ ga.","Kanyiɛ ne kɛnuloŋ ne ambakagbanaka, ne ekilige eŋyo ne kagbanejija. Aŋkɔlɔmɔnɔ so, ɛdaako asɔga",0.9583,0.3421
6,Saŋɛ na so kachako Ebɔrɛ beeŋ tiŋi ma alɛ gba ashi luwu to.,"Saa naŋ so, kacha ko wor biŋ tiŋŋi maalagbɛ a shiluu to.",0.8462,0.2826
7,Amoso men sa maŋ kaa fɛ fanɛ menyi gbagba be eleŋ nɛ ketiŋwora so nɛ men nyalɛ nseŋ dii dama na.,"Amo so, minsa mankaa fefene, me nyegbe gbe eleng, ne kitooworoso ne me nyaale nsiindi dampana.",1.0,0.3333
8,Enimu sasopo e daa la Zikri pibinyɛn Amaziya nɛ mo alɛ daa keni benapo ŋgboŋ alfa anyɔ so.,"E n na mo sa sa pe e da le zikri bi be nyen Amazia, na m mu a le de ke ne be na po ngbon alfa anyueso.",1.5,0.3056
9,Gbiti nɛ shuwa nɛ ntishaŋ peper nɛ kusɔ kama nɛ b ta kebɛlso n wora kikɛ la Enyɛnpe Ebɔrɛ na peya nna.,"Bitin ni shuwa na an tesa m pupər, na kasakəma na bə takə belso ɔwɔrɛ kəle eŋin pə ɛbɔrɛ na piən.",0.9091,0.4375
10,fo kebaawɔtɔ kikɛ to; nseŋ shin nɛ Jerusalɛm be.,fɔkabawɔ tɛkɛkɛ to nsɛŋshɛnɛ Yɛrusalɛm,0.8889,0.3158
11,Ndibi koŋwule na be ako nɛ e beeŋ ta m puga edɛ n tɔ eblaŋ n we m moɛ.,"Nde bi koŋli na, ba a ko, ne e be nta, mpɔge ɛdɛ, nto ɛbəlɛŋɔi ɔmɔ.",1.0,0.4118
12,"Esa pɔtɛ kama malɛ nɛ e pɛl n sɔ Mosis ŋko Ɛɛrɔn be kushuŋ a shuŋ, b mɔ mo.",Asɔ pɔtekema ma lɛne ɛpɔle enso Mosis enko Aaron bu kuŋ ɔshuŋ wɔmɔ,0.9474,0.4182
13,"mbe nnɔ naseso na be asheŋ, nɛ e sa maŋ teŋ amo so kikɛ.",N ba ananasa som na bo e shin na e sa m'n tiŋ a ŋo so kɛkɛ,0.9286,0.3902
14,Kede be kaman nɛ ewura Abija juŋkpar bumo n ya kɔ kena na nɛ Ebɔrɛ chɛ bumo to nɛ b pɔɔ Jeroboam nɛ Israɛlebi be benapo na so m mɔ bumo.,"Kaba kaman, n'e wur abi ja jən kərɔbɔ mɔ n'ya kɔ kana, na, n'e bɔr'icə bɔ mɔ, n'o pɔjerobu am, n'e Ijira e bibə b'anapu na sɔ ɔmɔ ɔbɔ mɔ.",0.9032,0.3714
15,Menyee yɔ abee jeŋgreŋ so nna n ya kaa lara esarga nsaa di abar keche nɛ kenyɛn ndoŋ.,"Mɔnyɛɛ yɔɔ bɛɛgyɛŋ grɛnsɔɔ naa, ɛnyakallɛra ɛsarga. Nsɛɛ dɛ abar kichi na kaŋɛn ɔndoŋ.",0.9444,0.4179
16,Eleŋ koŋwule nɛ e beeŋ ta n ji kusɔ kikɛ so kuwura na nɛ e beeŋ ta n chɛrga anyi.,"Eleŋ koŋle ne e be ta e ji koso ke ke sukuu ro na, ne e be ta e charge anye.",0.7,0.3279
17,nseŋ ku kananɛ teku beeŋ baa sa n sa kumo na.,Osunkuko ka nne teku bemba sa nsɔkɔmɔna,0.8182,0.3824
18,"Ade be kaman nɛ Enyɛnpe Ebɔrɛ na kaŋɛ le: “Israɛl be basa, ma e lara menyi fanɛ ma nyɛrbi.","Adaba kamange nyaŋpe ebor na kaŋgele, Israel babaasa, ma eler me nye fene ma eŋyerbe.",0.8421,0.3235
