sample_id,reference,hypothesis,wer,cer
0,Yɩ kaara ma na yɩ turo nɩtãa lɛ ɩn mɩ na kaara a Yesu Kɩrɩsɩto naa turo wʊ.,"yε kara ma, na yii tu, na taana ε me na kara a Yesu Kristo na tu",0.0401,0.0068
1,N ma kpir yɩn jaa a lɛ yɩn chɛnɛ tara a n tɩɛr na yɩ turo a yele ala a jaa ɩn dɔ̃ɔ wiil yɩ.,E ma kpuri yin ja ale yin kyen tara a intier. Na yitiri ayi ala a ja en don wiili.,0.0304,0.0062
2,"Pʊ̃pãanyã n bʊɔrɔ naa ɩka yɩ bɔ̃ɔn ɩka, daba jaa ju lɛ a Yesu Kɩrɩsɩto, ka a pɔɔ jaa ju mɩ ɩ a wʊ sɩrɛ, ka a Yesu Kɩrɩsɩto ju mɩ ɩ Nãaŋmɩn.",kampaŋa ŋmaa na ɛka yiboon ɛka dabo ja jule a Yesu Kristo ka a po ja jume i awosere ka a Yesu Kristo jume i na mo,0.0239,0.0041
3,Daba jaa wa sʊɔrɔ Nãaŋmɩn bɩɩ 'yɛrɛ Nãaŋmɩn 'yɛr tɩ na wʊ pɔɔ a ju wʊ 'yɔ̃ɔn a ju vã.,"daba jaa wosoro naagbin, bii yer naagbin yaa tunawupoo aju wooyon ajuu",0.045,0.0075
4,"Ka pɔɔ jaa mɩ wa sʊɔrɔ Nãaŋmɩn bɩɩ 'yɛrɛ Nãaŋmɩn 'yɛr tɩ mɩ ba pɔɔ a wʊ ju mɩ 'yɔ̃ɔn a ju vã, a kaara fɩka wʊ põn jukpãakpol.","kapo ja me wasora na mwe biere na mwe gyara, tene mba po awuju metyɔn ajufi. Akara fuka wupɔn jupa nkɔ.",0.0345,0.0054
5,"Ala ɩ a pɔɔ kʊ̃ pɔɔ a ju ɛ, wʊ ŋma a ju, ala ɩ a mɩ ɩn vã pɔɔ na põ jukpãakpol wʊ ma pɔɔ a ju.",Ala e a pokum por a due wonga a due ala e a me in vi por na ponju pa nkpol woma por a due,0.0255,0.0076
6,"Daba ba sɛɛ ɩka wʊ pɔɔ a wʊ ju ɛ, bojũu 'lɔ lɛ nyɛtãan a Nãaŋmɩn nɩ a wʊ tɩɩr. Tɩchɛ ka a pɔɔ mɩ ɩ a sɩrɛ tɩɩr.",da ba ba se eka o po o wu due bo ju nda le nya tan anna ngwen ne awe te te ce ka po mi e a se ra ti,0.0345,0.0066
7,"Bojũu daba baa dɔ̃ɔ yi a pɔɔ pɔ ɛ, tɩchɛ pɔɔ lɛ dɔ̃ɔ yɩ a daba pɔ.",Wodaa dababa donyí apopoii. Tije polle donyí adababa.,0.0588,0.0118
8,"Nãaŋmɩn mɩ ba dɔ̃ɔ mɛ daba pɔɔ jũu ɛ, tɩchɛ wʊ mɛn pɔɔ daba jũu.","Naa ma, na da dombe da ba po juo. Tikee wunmen po da ba juo.",0.0667,0.0113
9,"A nɩtɔ̃nɔ̃ jũu nɩ a malakasɩ jũu, a pɔɔ sɛɛn ɩka wʊ tara a tʊ̃ɔfʊ jãnɛ a wʊ ju pɔ.","Anitono juo ne amalkasijuo, aposen eka wotara atowafo jine ewujupo.",0.05,0.0074
10,"A sɩ Soro 'yɔ̃ɔ, pɔɔ ba so wʊ mãɛ ɛ, daba mɩ ba so wʊ mãɛ ɛ.",a si sor yon po ba so o mian da ba men ba so o mian,0.0415,0.0118
11,"Bojũu daba pɔ lɛ a pɔɔ yi, ka pɔɔ mɩ ma dɔɔ daba. Tɩchɛ a yele a jaa yin Nãaŋmɩn sɛ̃.","Bɔjuu, dɔbɔpɔlɛɛ apuɔ yi, kapaɔ mɛɛ ma dɔɔ dɔbɔ. Tɛkɛɛ ayiiri ajayi yi namɔɔ.",0.0408,0.0073
12,Yɩn mãɛ yɩ pɛkaa. A sɛɛn ka pɔɔ na sʊɔrɔ Nãaŋmɩn tɩ ba pɔɔ a ju bɩɩ?,yɛn mɛ yɛ pɛ kɑ ɑ sɛn kɑ pɔnɑ sɔrɔ nɑ ŋmɛn tɛ bɑ pɔ ɑ dʒu bɛ.,0.0623,0.0084
13,"A befʊ nyãna mɩ ba wiil yɩ ɩka ala ɩ daba mɩ tur jukɔɔl, a ɩn vã kʊ wʊ ɛ?","A de vin yɛn a min ba wile eka, ala e daba mitul jukor. A in vinko we.",0.0425,0.0081
