sample_id,reference,hypothesis,wer,cer
0,"Ka u yi ti nya ka n‑naai, u nin booli u zɔdima ni u kpeerintaaba ni ba la'am na, ka yɛli ba, ‘Ya paasim n zugu m‑mari sufupeelli, dama n nya n la'aseaa kan da bɔrigi la!’",ka u yi ti nyɛ kan naai u nimbooli u zↄ dima ni u kpeeri n taaba ni ba la'amna ka yɛliba ya paasima zugu m marisi u peeli dama n-nyɛ n-la'asea ka n da bↄrigi la,0.7027,0.0813
1,"U daa gɔ n‑dɔli bɛni tinsi maa zaa n‑tɔ'asiri pam ka kpamsiri niriba, halli nti paai Griika tingbaŋŋu,",o daa gↄ n-dↄli bɛni tinsi maa za n-tↄ'asiri pam ka kpamsir niriba hallin ti paa girik tingbaŋŋu,0.5556,0.125
2,Ka u daa doaai yuŋŋu n‑zaŋŋi u pɔ'a ni bii maa n‑yisigi n‑kyaŋŋi Igyipti.,ka u daa doaa yuŋŋu n-zaŋŋi u pↄ'a ni u biimaa n-yisigi n-kyaŋŋi egyipti,0.3571,0.0727
3,"Tɔ, di saha maa bumburiseesi daa lu la kuga ziiya; ka an daa ti buli sahanseaa la, kuga maa daa kyɛ ka a bu nyaŋŋi n‑zoaai ka a gba daa gyɛkki n‑kpi, an daa kɔŋŋi tammaasiri maa zugu.",lisahi maa bumburiseensi daa lu la kuga zugu ka an daa ti buli saansea la kuga maa daa kyɛ ka a bu nyaŋŋun zↄaai ka a gba daa gyɛkki n-kpi an daa kↄŋŋi tam maasiri maa zug,0.3158,0.1079
4,"Ka di nyɛ la Naawunni namboo zugu ka ti tumni wa, ti ku toaai n‑kyɛ tama.",ka di nyɛ la naawunni nan boo zugu ka tu tumni wa ti ku toa n-kyɛ tama,0.25,0.0727
5,"Dinŋɔ daa kyɛ ka anabi Aizaaya ŋɔn daa yɛli seem la niŋi yɛlimaŋni, ni#:-",din ŋa daa khɛ ka an nabe azaaya ŋↄn daa yɛl seem la niŋyɛlmaŋ ni,0.7143,0.1964
6,See ka bunseelikam niŋi suŋŋa ka dɔli soori deede.,syɛ ka bunseeli kam niŋni suŋŋa ka dↄli soore dede,0.7778,0.1463
7,"Ka duniya wa paari ka naari ni, kan ni ka kɔrisi yɛla zaa. Amaa ban tumni Naawunni ŋɔn boori ni ba tum seem la - lala niriba nin kpalim m‑bɛ ni halli saha kan ka naari.",ka duniyawa paarika naari ni ka ni ka kↄrisi yɛla zaa amaa bantumni naawunni ŋↄnboori ni ba tum seem la la la niriba ninkpalim m-bɛ halli saha kan ka naari,0.4286,0.0391
8,"Tɔ, ka bii maa yi yɛli u, ‘M ba, n tum Naawunni taalli ni nyin taalli gba, m bu laa n‑sumni ni n nyɛ i biiya ...’, amaa ka u ba daa yɛli u tuntumniba, ni,",ka bii maa yi yɛli u m baa n tum naawunni taali nin nyintaali gba m bu laa n sum nin nyɛ i biiya amaa ka u ba daa yɛli u tumtunni ba,0.3143,0.1132
9,"Ka ba daa wum Naawunni kukɔri saazugu ni na, ni, “M bii n nyɛ i, ka n wuri i ni pam. N nini n tigi i.”",ka ba daa wum naawunni kukↄri saazugo ni na ni m- bii nyɛ i ka n wuri ipam n ni ni n-tigi,0.3846,0.0857
10,"Ya nin wumni tɔppu damni, bee di lahabaya; ya gɔsima! - yan di kyɛ ka yam-ŋmaa gbaai ya, dama lala nin niŋi pɔi, amaa pa naari maa nla.",ya ni wumni tↄpu damni beedi lahabaya ya gↄsima yan di kyɛ ka yan ŋmaa gbaaya dama lɛla ninniŋ pↄi amaa pa naarin la,0.5556,0.12
11,"Ba kyɛ ti tiŋŋa wa na, halli ka Gyeesɔni deaai ba n‑kpeesi u yiri ni. Ba galimni la NaaTitaari zaaligu la, dama ba yɛliya, ni, Nasɔ m bɛ ni, ka u yuuri boonni Yisa.”",ba kyɛ ti tinŋↄna halli ka yesↄni dea ka iteesuyiri ni ba galim la na ti taari zaaligu la dama ba yɛli ya ni na sa m bɛ ni ka u yuri boonni yi,0.5588,0.1707
12,"Ka Yisa daa yɛli ba, ni, “Ya di zɔri dabeem. Ya kyɛma nti yɛli m mabiisi la, ni, ba kyɛm Galilii tingbaŋŋu ni - bɛni ka ba nin nya ma.”",ka yisa daa yɛli ba ni ya dizↄri da beem ya kyɛmaan ti yɛli m ba biisi la ni ba kyɛm galili timgba ŋuni bɛni ka ba ninyama,0.4483,0.0722
13,"‘Tɔ! M baŋŋiya man nin niŋi seem din nin kyɛ ka niriba nin deaai ma ba yiya ni, ba yi ti kari ma n kpa wa tuma wa ni m‑basi sahanseaa la!’",m-baŋŋi ya ma nin niŋ seem din nin kyɛ ka niribu nindiama ba yiya ni ba yi ti karima kpa wa tuma wa ni m-basi saanseala,0.4375,0.1089
