sample_id,reference,hypothesis,wer,cer
0,Esiane mʼankasa mʼanuonyam ne mʼakoa Dawid nti.,Isa ne mma kasamma nnua mu ne mmaa kura dewedenti.,1.2857,0.4
1,” Ɔyɛɛ saa de adagyaw a nʼanan nso sisi fam dii akɔneaba.,Ɔyɛ saa ade adagyao a n'anan nso sisi famu de akɔneaba.,0.5455,0.1591
2,"Munnue, mo a mode nnaadaa nhoma twetwe bɔne.",Mmonie mmaa a wɔde nnadeɛ ahoma atwitwi bɔ ne.,1.0,0.4286
3,"Mommma mo werɛ mmfi sɛ mobɛyɛ mo ho mo ho papa aboaboa mo ho mo ho, efisɛ ɛno ne afɔrebɔ a ɛsɔ Onyankopɔn ani.",Wɔn a wɔrempi hyɛ wɔn bɛyɛ ma ho papa aboaboa ma ho. Ɛbi hyɛ ɛnonin aforɔ so Nyanko pono ani.,0.7917,0.4706
4,"Eye, na afei ananafo ano ne kasa foforo.","Eyi, na ɛfee ananafo ano ne kasafoforo.",0.5,0.0968
5,Eyi di ho adanse sɛ na ɔyɛ onipa kɛse a Agya Abraham mpo tumi ma no nʼasade mu nkyɛmu du mu baako.,"Eyi de hɔn adansese na ɔyi onipa kɛseɛ a egya aborɔfo mpo tu mma no, na sɛde mu nkyɛn mu du mu baako.",0.6364,0.2105
6,Nkɔmhyɛ A Etia Arabia.,Nkɔmm hyɛ a etua alabia. Adehu a ɛfa alabia no.,2.25,1.0556
7,na wɔde wɔn anofafa hyɛ me anuonyam.,Nnipakuo no si. Mmesiaw kentan yi a wɔabue asi. Ne nneɛma kentan. Awuradze ka ase. Saa nnipa yi de anonwunu twere bɛn mu. Na wɔde wɔn ano fɛɛfɛ ahyɛ ma no anyam.,4.1429,3.4483
8,Yuda rehwe ase; wɔn nsɛm ne nneyɛe tia Awurade.,"Widarehwɛ ase. Wɔn nsa ho no, nea yɛtea wura ade.",1.0,0.3514
9,Afei nguan bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea; nguantenmma bedidi wɔ asikafo amamfo so.,Efei ngua bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea. Nguantin mma baadi wɔ asikafo amamfo so.,0.3333,0.0811
