sample_id,reference,hypothesis,wer,cer
0,"Mu yaa funɛ tum ya kunyan ti tuma awa jɛɛgisi nɛɛ. Hali Ju tim ta funɛ na nyinbaanasa di mu namsi kinkan chen ni mu zi wiu, nannɛ mu funɛ tum.",we have not yet come to a final decision.,1.0,0.844
1,"O na kinkin naa yogla kpokee a kaali a maga, o la yogli o kina maga a bur kaali baŋyɔɔka ti tiin wati a la yau un.”",و أنا كين كين أيوغلا كوكا كاله أمالا أيوغلي أوكين أمالا أبوركاله بانيوغلا تيتين واتي ألايا,1.0,1.0
2,Koosa fun naami ya di ya la o bara falɛ na. O funɛ kpa o siim weri ti a nyɛ ya di o ya o purigiri bɔɔli di o sir zi ya chenu.,قوزاف ناميا دي يالا او برفالنا.,1.0,1.0
3,a dɛu nyinbaan ba duŋduŋ chenani ba zi ya a kpak Yesu a kpu un.,I don't know.,1.0,0.9167
4,"Ma zaami nɛnɛ, amaa ba bambe wa to ma wati.",ما أزمنة أمارة بيمبيو تو ما و,1.0,1.0
5,"Chen saha ti Yesu gantɛl tiŋsi ta fun wa o wati a pɛɛsi un, “Ba naa maga Koosa dɔ, anti ya ba nihɛɛ?”",,,
6,Ya kunyan ti fun vɔu di o zi nyɛ ya o mi fali naa vɛ kpak bɔu.,la connante un vol de ozenia a omifale naver par.,1.0,0.4667
7,"Yesu fun ŋɔ ba naa nyɛn doon maga ni, “Ba naa maga nu Koosa laaboor weri ti a tiŋ un, ba waa ya mu numa awa mu niinbisa.”",Tampulma Tampulma.,1.0,0.8764
8,Domi i kpak jirima awa chaani wa kpok kinkan hali saha naa vɛ kpak bɔ. Ami.))’,,,
9,"‘Mu kunyana Koosa funɛ ŋɔ mu kunyan ni,","Мукуня на кусаппа, гомо кунянти, мукуня.",1.0,1.0667
10,"Ba fun a saksi bun yuga a lagmi dɔŋ ni a nyɛ nara chuŋi a, amaa ba wa fun kpa ba nisa a gbaŋsi bun tima.",बवन अता से बुंजु का अलामदोनने अये नाराचोनी अ अमा बवन का बनिसा अबन्से बुन्से,1.0,1.0
11,"Jɔn fun ŋɔ un, “Mu kunyana, ya funɛ na baal digirɛ ka o kpa i sɔn aa duŋni alizin tagna a li nara ni. O wa fun ya ya nidigi. Chendaha ya fun ŋɔ un di o gil.”",موكنيانا يا فني انا بعد كراكا اوكوا اسوان ا دونه اليزنتانا الي نران كوا فني يانا دكي جندها يافني وادي,1.0,1.0
12,"Yesu funɛ zim chenani ba ŋɔ dɔŋ niu, o fun jɛɛgi jɛɛgɛ a ŋɔ ba,","ये इस पर नतम, जीना ने बंवा डंग न्यो, ओफन जेके जेके आंग।",1.0,1.0
13,a pɔ di ma na Koosa waali tɛɛnɛ nɔ maga sɛria diili a kpak un ma bambe ni di o wa lalaga. Chen wuzu ti din zi wa chɔk buudahau.,Apadima na kosta wale tena no maka seria dili. A kwa on ma bambeni di owa la laka. Cheng wo de din ziwa qiao. Wu de ha.,0.8667,0.3125
14,"Ba ya chen, ba zi kotiu a chiŋsi ba kina saha naa la wa nan a koti a kpak Koosa wuti miisa naa o zi kpa nyɛ ba.","I'm sorry, but I cannot fulfill this request. The provided audio is not in a language I can transcribe.",0.9643,0.8537
15,a tuk min wa vurmsi ni a kpu min. Wuzu butora wuzu Koosa zi lɛli minu a li mu sou ni.”,أُتُكْمِنُوا عَنْ سَنَةِ أَبُومَنْ وَذَبُتُ رَأْوَزُلْ كُوسَازِيلْ دَلَمَنُو أَلَمَاسُونْ,1.0,1.0
16,"Ba funɛ sɛm peti, Koosa dam kɔkɔɔrsi ta awa sɛria nidiile ta maga funɛ nyini Stivin se ni a na ka o se chi Koosa malaikasi ta digi se.",バッファネチャペティコセダムココシタアワシヤリニディレタマカフェニニテビンフェニアナカウチチクザマレカセタデキシ,1.0,1.0
17,"Chenani o fun te ŋɔ ba di o wa zi bu na ba fun chɔk ba tusa kinkan, ka ba gil un o zu arŋ ti.",किनाना ओफन टियुंग ओबादी ओआसेको नबा फनचो बतसकन कान कबा गेलो ओसो आरेंटी।,1.0,1.0
18,Amaa Yesu funɛ na o titiu a val zɛmɛ ta bambaan ni a kaali.,"अम्मा, ये सुपुनना ओटीयो अवालिसि यमेटा बम्बनी अकाल।",1.0,1.0
19,Mu fun ŋɔ Koosa dam kɔkɔɔrsi ta awa tɔhɔn ti nihɛɛti ta di ba lagmi dɔŋ ni a kpa un kaali ba suwachak di mu zim chenani o ya Ju tim ta fiksi un.,بفهموا كويسة دة هو كورتة. أو أطول من هيتة. ده بالعامية. أو كوالك بس وشه. ده معظم جنانك أو يجي تمتا فيكس.,1.0,1.0
20,"Chenani ya ya bambi chaanɛ tima a zim Koosa nɛnɛ a kpak kanyita wa nara ni a ya jɛrgɛ tima, a kpak o siim weri ti a li ya bambe ni a la daŋni ya dɔŋtima wa tu bɛgim ni,",جانا يا بن بيشاتما ازم كوشاني يا اتكنيتا ونارني اي جركتما اتوسين ويرتي الي بنبني على داني دوتما واتو بيام,1.0,1.0
21,Waa la zi yisi ya a li ya tum tagna ni ya tiŋ un.,वा लाज़िन ने सी या अली या तना ने या तना,1.0,1.0
22,"Doone Yesu fun burgi a ŋɔ zɛmɛ ta ni, “Mu nyan ti funɛ kpa kina magau a nyɛ min. Mu wa mu nyan ti duŋduŋ zim dɔŋa. Mu nyɛ ba naa mu lisi zim o gbanko.",دون يزف بركة على ذمتي. مونيانتي فنيت كينماكاو انيمن. مونيانتي دون دون دونا. مونيابانا مولتي ذم اوبان.,1.0,1.0
23,"Ba fun na paan a du nitumɛ nara balɛ ta ni, domi ba waa ŋɔ zɛmɛ ta ni di Koosa lɛlɛ Yesu a li o sou ni. Nan funɛ biksi ba di Koosa zi wa lɛli narau wuzu digi a li ba sou ni.",بفن نأب أدو نيتما نرا باليتاني دومي باونغ جمتاني دي كوزالي ليوسالي أوسوني نانفني بيسبادي كوزا زوالالي نرا ووز دكي ألي باثو,1.0,1.0
24,"Agripa fun ŋɔ un, “Mu lisi di sɛm tam nɔ i sɛm min nan i daŋni mu ya Yesu nitiŋirɛ.”","आगर आप बोलना चाहते हैं, मुझे यह समझ नहीं आ रहा है।",1.0,1.0
25,"“Mu bur wa, Koosa koor ti zi wa chi baal naa la saksi di o li o dam ni a gbau. O fun yir o tumtumsa a fun a kpa o kina maga a du ba nisa ni.","Mabrua, kosa kosi zuwa chi, bana la sahi du ole udamne abao. Ofan yir otun tusa afan kaba okina maka ado banisa.",0.9211,0.303
26,"Ma waa funɛ kpa Yesu laaboor weri ti a wa ŋɔ ba o wɛ, ba naa nyɛn bawu maga ni funɛ nu ma wɛu di ma se su Koosa. Ya wa bur a daŋni ya sɛm kinkan.",ما أفتحني كايتسو لا بوييريتي أوا مبا أويي بانيان برماغني فينا نو ماي يودي ماجيس سوكوسا يا بري أدان ياشام كين,1.0,1.0
27,A wuzu ti Yesu fun li dam ti ni a bu wa bɛɛŋ ti nɔ a wa kani a biksi nara Koosa wɛ.,और विटे यू सफली डम्टनी अबुआ बेंगिनो और कने अबिसिनारा कुसी,1.0,1.0
28,"Nibine ka kpa o si a tum tum tagna, o yisi o si ti a yo ta. Nibine naa kpak si bɛgim a kpak Koosa miisa, waa bɔɛɛ wa o kpak se lɛ a la zu din dam ti.”",المنهج أقول في أتم تمتعنا ويثي ويثي أيوتة.,1.0,1.0
29,Zɛmɛ ta funɛ lisi ba bambe niu a gbaari di Jɔn funɛ ya Kristo naa Koosa fun ŋɔ di o zi tumu.,"The matter of the 1980s, the 1990s, the 2000s, the 2010s, the 2020s, the 2030s, the 2040s, the 2050s, the 2060s, the 2070s, the 2080s, the 2090s, the 2100s, the 2110s, the 2120s, the 2130s, the 2140s, the 2150s, the 2160s, the 2170s, the 2180s, the 2190s, the 2200s, the 2210s, the 2220s, the 2230s, the 2240s, the 2250s, the 2260s, the 2270s, the 2280s, the 229",3.0455,3.6571
30,"Hali saha zi wa telu di ma Yesu nitiŋɛ ta bɔnɛ zi wa siu a suni wɛ, chen ni bɔnɛ zi purigiu a la tiŋ ba.",حتى لو كنت لا أستطيع أن أقول لك ما هو الشيء الذي أبحث عنه، لكنني أبحث عن شيء ما.,1.0,1.0
31,"Naa wɛ Devid fun sɔbi chen awa Yesu ya nibɛgimnɛ. Ya funɛ nau awa ya se ni ka Koosa lɛli un a li o sou ni,","那, 耶, 德比, 芬, 索, 備, 珍, 啊, 耶, 蘇, 亞, 呢, 吧, 哥, 內, 耶, 芬, 內, 拿, 啊, 耶, 提, 尼, 卡, 哥, 薩, 列, 倫, 阿, 列, 奧, 索, 塔,",1.2692,1.0
32,"Amaa o vɛɛn ya chiksi falirɛ, domi lalaknɔ birsa saha kaalu, ka chaani saha ka wa di o wa chiŋi o bar chiŋi ni. Yesu wa ma tiŋ chiksi fali nɔwa.",アマ、オヴェンヤ、チャク、ファレレ、ドゥミ、デ、ラルノ、ブリタ、サン、カロ、カチ、アン、サン、カワ、デ、オワ、チン、オバ、チン、ニ、イエ、スワ、マ、トン、チャク、ファレレ,1.0,1.0
33,"Ba funɛ na namsi kinkan, amaa chenani ba funɛ na namsi, chene ba fun vɛɛn a na tu sɔɔna kinkan. Ba ya fara timwa kinkan, amaa ba funɛ lisiu a li ba kina tam ni a wa nyɛ nara ni.",बफने न नम फकन कान अमा चिनने बफने न नमसी चिनने बफन वियना न तसोना कंकन बयफरत मवा कंकन अमा बफने लसे ओले बकने तमने अवन्या नरा,1.0,1.0
34,"Yesu fun ŋɔ ba, “Ma titi nyɛ ba diwe ba di.”","यह सब कुछ अब मैं तो नहीं जानता,",1.0,1.0
35,"Waa la zi kpa o kpok a nyɛ ma maa tiŋ un nɛnɛ, chen ni o wa bur wa, o wa zi bu na ma galimsa.",,,
36,Ma funɛ li di ma na Koosa witinsi ta digirɛɛ? Mu funɛ ŋɔ mau di ma na nibine naa kaali Koosa witinsi ta magau.,Mofinayen guma dima nani binina kale kusta witin sita maka.,1.0,0.5294
37,Ma funɛ sɔbi tɔnnɛ a pɛɛsi min sela a naa ba yaa kɔrigi a nyɛ vursi ni chen wɛ.,ما فيني أطلب من أي شخص يجي لعندي.,1.0,1.0
38,Koosa dam kɔkɔɔrsi ta awa Farisi tim ta fun gil un a la daŋni ba mo o lo a na chenani o zi sɛm ka ba na nyinbaan a kpu un.,구사단 고스타 아와프라시 틈타 펀걸온 알라단네 부무울루 안나 치나네 오지샴 카반나 짐반 아프.,1.0,1.0
39,"O zi ŋɔ au di a kpa a nisa a chak hin,",,,
40,"Amaa ba naa la daŋni ba ya malɛ tima, sintana zi wa zaamsi bau a mo ba lo a li ba womsa awa ba tum tagna daŋni ni, chen ni ba zi wa chɔku kinkan.",أما بنالادان، بيامالأتسما، تينتانا، زو أزامتس باو أموباللو، ألي بومسا أوا بتمتانا دانناني، جيني، بازو أتشوكين.,1.0,1.0
41,O fun ya chen a kpaksi nyin damata cham ti daŋni o chɛɛsi.,アッパニチンアパハニミンダマタハレチャムテダンネオチ,1.0,1.0
42,"Koosa ya nibɛgimnɛ. Yesu Kristo gbanko ya nibɛgimnɛ a fun wa tɛɛnɛ nɔ maga a wa ya nibine, chen ni o zi la mo ninu Koosa wati a nyɛ ya.",كوزا يا نبي عملنا ينسكو سوكويا نبي عملنا افون واتي نون مرا اويا نبي نين جن اوزلمونينكو سوواتي ان,1.0,1.0
43,"Yesu nitiŋɛ ba naa nyɛn Azia pulum ni zaami mau. Akwila, Prisila awa Yesu nitiŋɛ ba naa yaa lagmi ba dam ni, ba gbanko zaami mau kinkan ya kunyan Yesu daha.",يسعدني أن أساعدك في ذلك.,1.0,1.0
