sample_id,reference,hypothesis,wer,cer
0,Nu Si Dea Ame Dzi Ne Ele Subɔsubɔm Le Wo De,nuside a megyi ne eles bɔso bɔmle wo de,0.7273,0.1515
1,EWƆ NU ÐE ÐEVI SUE AÐE ŊU AMEŊUBUBUTƆE,awɔnu ɖe ɖevi suya ɖeŋ ameŋ bu butɔe,1.0,0.2258
2,BIBLIA ME MƆFIAMEWO DZI WƆWƆ LE MÍAƑE GBE SIA GBE GBENƆNƆ ME,bibliame mɔ fia me wo dzi wɔ wɔ le miaƒe gbe sia gbegbe nɔnɔ me,0.75,0.0204
3,“Nye ɖeka nyemezɔna le gbeadzi o.”—Gisèle,nye ɖekanye mezɔna le gbeadzi o gisel,0.6667,0.0625
4,Ðe wòsesẽ na wò kpɔ be nàɖo ŋku nu si nèsrɔ̃ dzia? Edzɔna ɖe mí katã dzi ɣeaɖewoɣi. Nu kae akpe ɖe mía ŋu? Eyae nye be míagbugbɔ ato nya veviawo me.,tee o sesâ na wɔkpô bâna do nkuniinâ sô ji a âjôna dâmi kataa ji adâ oyi nu ka eyaa kpe dâ miawo âyae nye bâ mia gbugbo atonyaveviawo mâ,0.9375,0.4018
5,b Míetrɔ ŋkɔ aɖewo.,mye trɔnko ada o,1.0,0.4667
6,KAKAÐEDZI LE MÍAƑE MƆKPƆKPƆA ŊU!,ka kadedzi le mía fe mɔ kpɔkpɔ aŋu,1.4,0.0741
7,"NE MÍEDA VO GƆ̃ HÃ LA, MÍATE ŊU ‘ATE ÐE MAWU ŊU’",nɛ nye davu gu ha mia te ŋwa tɛ de mawoŋo,1.0,0.3939
8,Afɔku kae le nuwo dada ɖe Internet dzi hahoo kadoƒewo?,afe kuke le nu dada ɖe nyintane di ha ho kado ƒeo,0.9,0.2727
9,Aleke gbɔgbɔ vɔ̃wo kplɔa amewo trana egbea?,aleke gbɔgbɔvɔ̃wo kploa mewo trana egbea,0.5714,0.0571
10,DZINƆAMEƑO KPENA ÐE MÍA ŊU,dino meƒo kpenaɖe miaŋu,1.0,0.2273
11,"Le Gbetakpɔxɔ ƒe tata sia mea, míadzro nyati atɔ̃ siwo de nu wo nɔewo me la me. Woakpe ɖe mía ŋu míakpɔ ŋuɖoɖo na biabia siwo gbɔna:",legbetakpahoƒetata ya maa mi ajronyati ato yeo danu onui omaame waakpede miaåu miakpoåudodona biabia yio gbola,0.963,0.3235
12,ŊUSẼ SI WONA ƑOME ƑE TAWO KPLE HAMEMETSITSIWO,husen siwo na ƒomeƒe tawo kple xamemecicio,0.75,0.2368
13,“Medzra ga ɖo ale be nyemava nɔ amewo sinu kpɔm be woana ga kpekpeɖeŋum o.”—Géraldine,megyara gado ale bâ nyoma va nɔa me wo si nu kpɔm bâ woana gakpekpâ ɖe åu o geraalden,1.1333,0.209
14,NU SIWO NÀTE ŊU AWƆ BE WÒ KPLE YEHOWA DOME NAGANƆ KPLIKPLIKPLI WU,nu siwo naateŋu awɔ be wo kple ye xowado me naganɔ kpekplei kpleiwu n,0.6923,0.1698
15,Nu ka tae tafe si Mawu na to Yesu dzi la nye nunana nyuitɔ kekeake si ate ŋu asu mía si?,nu kata eta ƒe simawu na to yesu dyi la nyenuna na nyuitɔ kɛkeake si aton asumia sii,0.6667,0.1194
16,MƆ KAWO DZIE MÍATO ATSƆ ŊUTIKƆKƆE SI YEHOWA DZE NA LA ANƐ?,mmɔ kawoge miato aksɔ ŋuti kɔkɔe yi yeho wagzɛna ane,1.0,0.2609
17,Nu Vɔ̃,adakayiƒɛtanyaenye nuvɔ menyawohle bɛɛ,2.0,7.75
18,AME SIWO NƆ ABOYO ME TSÃ LA TSƆ NYATEƑEA VA KYRGYZSTAN,amesi yo nɔ aboyo metala tso nyate ƒa va kejistaln,0.7273,0.25
19,ALE SI MÍAWƆ BE MÍAKPƆTƆ ANƆ ŊUTIFAFA ME,alɛ si miawɔ bemiakpɔtɔ anɔ nwuti fafa amaɛ,0.875,0.2424
20,FIAÐUƑE AKPATAWO TUTU LE CENTRAL AFRICAN REPUBLIC,fiaduƒa akpatao tutu lɛ central afrikan republik,0.7143,0.1395
21,Nu kae míesrɔ̃ tso ale si Kristo kplɔ hamea le ƒe alafa gbãtɔ me la me?,nu kai míe srɔ̃tsɔ ale si kristo kplɔ hame ale ƒa lɔfa gbãtɔ me la me,0.4375,0.0741
22,Yohanes,yohanes,0.0,0.0
23,ALEKE KRISTO KPLƆ HAMEA LE ƑE ALAFA GBÃTƆ ME?,ale ke kristo kplɔ hame ale ƒa lɔ fagbãtɔ me,0.7778,0.0556
24,Míedaa Akpe Na Yehowa Be Etsɔa Míaƒe Nu Vɔ̃wo Kea Mí,miedaakpe na yeho a be tsoa mia ƒe nu vonwo kea mi,0.8182,0.2195
25,ÐE NƆVIŊUTSU ÐE SIA ÐE NYE TA NA NƆVINYƆNU ÐE SIA ÐEA?,deenọvinuchu de siade nyetaa na nọvinyonu de siade a,0.9167,0.3095
26,MÍEXƆ DƆDEASI YEYEWO,mí exɔ dɔ de a si ye ye wu,3.0,0.0556
27,talento ŋuti lododoa me?,talɛ́nto ŋɩ́ti lódódʊ a mɛ,1.25,0.3
28,Nu ka tae ‘wònyo be míate ɖe Mawu ŋu’?,nukatai wunyu be miatedemawu,0.8889,0.2593
29,Aleke Yehowa ɖee fia be yekpɔ ŋudzedze ɖe Maria kple Yesu ŋu?,aleke yehoa dii fia be ye kpoŋ gyagyarɛ maria kpla yesu ŋu,0.5,0.3061
30,"Ao, naneke mele Biblia me alo ŋutinyagbalẽwo me si ɖee fia be wowɔ nu ma tɔgbi o.",ao nameke mele bibla me alo ŋutinya gbãlɔwo meyiɖe fia be wowɔ nu matɔ gbio,0.5294,0.0952
31,NU SI VIDADAWO ATE ŊU ASRƆ̃ TSO MARIA ƑE KPƆÐEŊUA ME,nu si vidadawo ate ŋua srɔ̃ tso maria ƒe kpɔ ɖe ŋua me,0.4545,0.0244
32,NUNANA SIWO KPENA ÐE MÍA ŊU BE MÍADO DZI,nuna na si okpena ɖe mía ŋube mía do dzi,0.8889,0.0625
33,Aleke míate ŋu ade dzi ƒo na nusrɔ̃viwo be woanɔ kpekpeawo dem?,ale ke míate ŋuade dziƒo nanusrɔ viwo be woanɔkpekpeawo de m,0.9167,0.0
34,NU SI ŊU WÒLE BE NÀBU NE ÈLE NYA ME TSOM LE DƆWƆÐUI ŊU,noyiŋu wo le bena bu nɛɛle nyametsyom le dɔwɔ ɖoiŋu,0.9286,0.2195
35,"Nu ka dzie Yesu ka ɖo ku ɖe gbeƒãɖeɖedɔa ŋu, eye nu kae míate ŋu asrɔ̃ tso egbɔ?",nukajiye yesu kado kùdẹ gbẹpadẹdẹdo a wun ẹye nu ka emi atọnw asrọntho ẹgbọ,0.8889,0.45
36,ALE SI MÍATSI TSITRE ÐE GBƆGBƆ VƆ̃WO ŊU,ale si míatsi tsitreɖe gbɔgbɔvɔ̃ o ŋu memama aɖrelia nyabiase-a nyakaɣeye xo agblɔ na mi,1.5,1.4194
37,ÐO ŊU ÐE MÍAƑE KPLƆLA LA ŊU LE XƆSE ME,do ŋuɖe míaƒe kplɔla la ŋu le hɔse me,0.4,0.1034
38,ALEKE NÀÐO WO ŊUI?,alâkâ naa dô woåwin,1.0,0.6429
39,"DE BUBU SRƆ̃ÐEÐE ŊU, NE KUXI SESẼWO LI HÃ",da bubu sadadɛŋ na kuxisa sawo liha,0.8889,0.3871
40,Na wò nusrɔ̃via nakpɔe be èlɔ̃ Biblia ƒe nufiafiawo,nawò nusrɔvia nakpɔe be elɔ biblia ƒe nu fiafiawo,0.5556,0.0244
41,“WOWƆ ÐE YEHOWA ƑE NYA LA DZI”,wo wɔ de yɛhuwa ƒe nyala dzi,0.8571,0.1364
