sample_id,reference,hypothesis,wer,cer
0,"Ka maa bare ba ne a kɔŋ ka ba kulo, ba na yĩĩe la a sobiriŋ, bonso, ba mine yi la tentɔbɔ a wa.","Ka bam babaŋ neŋ a kɔŋ, ka bɔɔ kulo, ba neŋ yi la asobiiri, bɔŋso ba mēne yi la tentɔɔ ba.",0.5833,0.3088
1,"Yɛ puoro korɔ te meŋ a yɛ puoruu poɔ ka Naaŋmen yuo sori ko te ka te moɔle a Kirista yelsɔglaa na eŋɛ N naŋ be a nempagdie poɔ, ka ka N na toɔ̃ manne a weliweli ka a sãã a seŋ N naŋ na manne a lɛ.","Die poɔro kyerɛ meŋ, a ye poɔ puɔ, ka naŋ muni yo soɔrɔ kɔtee, ka re moɔle akresaye resoɔra na iŋɛ, iŋ naŋ be a nimpaa die puɔ. Ka ka naŋ tɔɔ maŋ na weliweli, ka a saa, a seŋ iŋ na na maŋ na ale",0.6667,0.363
2,"A Yeezu naŋ da gɛrɛ Gyɛruzɛlɛm, O da kpɛ la a teŋkponni ane a tembilii poore a kanna a noba gɛrɛ.","Ayeesi nanda gere Yeruusalɛm, o da pɛlla a teŋkpoŋ ni, ane a teŋbilie pore a kanna ane bagere",0.7143,0.2533
3,A Naaŋmen Bagmaale Wederebɛ Nembɛrɛ Zusoba Naŋ Soore Yeezu Soorebie.,"sɔɔra ba la, ""Ang la ka ba boɔrɔ?"" Ka ba de yeli: ""Yezu naŋ yi Nazaret."" Ka Yezu",1.7,0.8448
4,"A yelderebɛ naŋ yi a be naŋ da wa woŋ a te yɛlɛ, ba da yi la Apeyo Daa Poɔ ane Teree Taavens ka ba tuori te.","A yi lideŋ nandɛ y'a bɛ, nandɛ wɔwɔŋ ati yala, ba dɛ yila apɛ yo, daapuɔ ane Tree Star Wins Kabotiuri.",0.8519,0.375
5,"Azuiŋ, yɛ ta daŋ di sɛrɛɛ kyɛ ka a saŋ ba ta; kyɛ ka a Daana waabo naŋ ba ta sɛre.","Azee, yɛedaŋ di sɛɛ, kyɛ ka a saŋ gbata, kyɛ ka a daana wa boŋ naŋ gbata sɛɛ",0.5714,0.2203
6,"O naŋ da wa pɔge te a Azɔ poɔ, o da kpɛ la a gbori ka te gaa Mitelen.","N na waa poɔ te a azapua, o da kuelɔ gbori katɛ ga miitilene",0.7368,0.3878
7,"Ba da lɔɔ o la bare ka o sigi wa a teŋɛzu, a lɔɔ a o malekere meŋ poɔ o eŋɛ.","Balaa la ba ka u siruwa atingezuu, alaa a omaalkere m'mpoa o eng",0.8095,0.4444
8,"Ka a toŋkpeɛne ama naŋ toŋ fo poɔ, da toŋ Sodom teŋɛ poɔ, o da na kyɛnɛ bebe la wa ta zenɛ.","Katumpiena ama, naŋ tom fipuo, Datoŋ Sodom teŋɛ puo, o da na kyɛne bebela awotɔ zinn",0.6818,0.2836
9,"Azuiŋ, yɛ tɔglɔ Naaŋmen yɛ naŋ waa O poyɛŋ biiri, a taa nɔmmo aŋa lɛ a Kirista naŋ da nɔŋ te lɛ, a de O meŋɛ tere ka ba maale ne bagre naŋ nyuuro noɔ Naaŋmen zie.","Azee, yetaa la naŋ mɛne, yeŋ naa waa opoyeng biri, a taa nɔmɔ aŋa lɛ a Kirista nandaa nɔnti lɛ. A dɔɔ mɛŋɛ tree, ka ba baale neŋ ba re neŋ yɛuro nɔɔ naŋ mɛne zi.",0.7838,0.3197
10,"A banaŋ naŋ da zo yaare da yi yoɔrɔ la, a moɔlɔ a yelbiri.","A naŋ desɔyaare, dee yi yuurɛ la, A mɔɔ la ayelbiri",0.6429,0.3488
11,"N poyɛŋ noba, nɔpaalaa naane ka N sɛgrɛ korɔ yɛ, kyɛ a nɔkoraa na yɛ naŋ da taa yi a piiluu saŋ la.",yee poɔŋ noba. Noba la na ane ka eŋ seɛ re kroyɛ. Chɛ anokwaare na yɛ naŋ da taa i a peeluusaŋ.,0.7391,0.3784
12,"” Ka Yeezu da yeli, “Yɛ e ka a noba zeŋ teŋɛ.",Mwɛɛ yɛ debile asie ka anɔba dazaɛnteŋɛ anɔba zaada taŋa tuurɔ anuu la laka Yezu da de aboroboro apuori naangmen barka te dipɔŋ anɔba nandasaɛ,2.0909,3.3333
13,Wola pãã ka a weɛ soba na e a wɛkaareba ŋa?,"O la pa, ka wiesoba na e awe ka ba",0.8182,0.375
14,"Ba naŋ wa te kpeɛrɛ a die, ba da nyɛ la a bie ne O ma Mareya, ka ba da gbi dumo a puori O ne emmo, kyɛ yuo ba woore a ko O kyɔɔtaare; salema, ensɛnse ane turaali.","Bana wati yere adye, bana nyella abye ne Oma Maria, ka ba da gbidimo a puoruo ne emo. Che Yiwahuure a kɔɔkyɔɔtare, Salma, Insense, anen Tralle",0.8205,0.2966
