sample_id,reference,hypothesis,wer,cer
0,1 BERESOSƐM 1.,Brawasam ho ho maa yi dikaan.,0.6667,0.1653
1,Efi Adam So Kosi Noa Mma So.,fe adam sokɔ sɛ noa maso.,0.102,0.0113
2,"Adam asefo yɛ Set, Enos.",Harda mazɛ sɛ fɔyɛ sɛt?,0.2,0.034
3,"Kenan, Mahalalel, Yared.","Keinaan maha larara, yɛret!",0.4444,0.0222
4,"Henok, Metusela, Lamek.",Hei nok. Matiw sɔla! Lam ek.,0.6667,0.0154
5,"Noa mma ne, Sem, Ham, ne Yafet.","neua ma ne sɛm, ham ne yɛfe",0.0816,0.0136
6,Yafet Asefo.,"Yɛfɛ, daf se fo?",1.0,0.04
7,"Na Yafet asefo ne Gomer, Magog, Media, Yawan, Tubal, Mesek ne Tiras.","na yɛfrɛ tasɛ fɔ ne gɔ maa, magog, media, yɛa wɛn, tɔ baa, mesɛk ne terra s.",0.0833,0.0058
8,"Na Gomer asefo ne Askenas, Rifat ne Togarma.","Na gɔ maa sɛsɔ fɔne ase kɛ nas, lifrɛ tɛni tɔga ma.",0.1719,0.0131
9,"Na Yawan asefo ne Elisa, Tarsis, Kitim ne Rodanim.","Na yɛa wɔsɔpɔ ne elisaw, tarsis, ketɛm ne roe dɛnim.",0.0741,0.0079
10,Ham Asefo.,Haa masen fɔk?,0.75,0.0625
11,"Na Ham asefo ne Kus, Misraim, Put ne Kanaan.","na haa maasne fɔnu kɔs, mizirɛm, pɔt na kɔre na no.",0.1235,0.0156
12,"Na Kus asefo ne Seba, Hawila, Sabta, Raama ne Sabteka.","na kusu ase foni sɛbɛ, hawɛ la, sɛb ta, rɛmɛ ne sɛb tyi ka.",0.12,0.0071
13,Na Raama asefo yɛ Saba ne Dedan.,Na rama ase wo yɛ soba ne dede dɛn.,0.1224,0.0096
14,Kus woo Nimrod.,kɔs wɔn nim wɔle.,0.4444,0.0486
15,Na Nimrod bɛyɛɛ ɔkofo kɛse wɔ asase so.,Na nyinaa noba yɛwkopet kasa wɔka ase ase no sɔ.,0.1406,0.0208
16,Na Misraim woo.,na mezre mwɔw?,0.2222,0.0417
17,"Ludfo, Anamfo, Lehabfo, Naftuhfo, Patrusfo, Kasluhfo ne Kaftorfo a wɔn ase na Filistifo fi.","BlueD Faw, Anam Faw, Lehab Faw, Nafti Faw, Patreot Faw, Kansre Faw ne kafe toa Faw a nga sɛ ne flis tɛ Fufi yi.",0.1122,0.0068
18,Na Kanaan woo nʼabakan.,Na kɛ na wɔ na baka yi?,0.375,0.0222
19,"Sidon ne Het, Yebusifo, Amorifo, Girgasifo, Hewifo, Arkifo, Sinifo, Arwadfo, Semarifo ne Hamatifo tete agya.","Yɛbusu sɛ fɔ, amɔre fɔ, gagas sɛ fɔ, hɛwɛ fɔ, aki fɔ, sɛ ni fɔ, awɔd fɔ, sɛ mare fɔ ne haa maa dfɛ fɛ fɛ fɛ tɛ tiɛ yɛ jɛ.",0.1333,0.0073
20,Sem Asefo.,sɛ maset fɔk?,0.75,0.0625
21,"Na Sem asefo yɛ Elam, Asur, Arfaksad, Lud ne Aram.","Nasɛ mazɛ fu yɛrɛi lɛm, asɔ, afak sɛ lɔde ne ara.",0.1,0.0117
22,"Aram asefo ne Us, Hul, Geter ne Mas.",Ara masɛf wo ne wɛiw s? Hɔl? Gɛtɛ ne mas!,0.1094,0.0148
23,Na Arfaksad woo Sela na Sela woo Eber.,Na fɔkka sɛd wɔ sɛla na sɛla wɔ ärba.,0.1094,0.0167
24,Eber woo mmabarima baanu.,nebawɔ mabeer mabeer no.,0.25,0.0295
