sample_id,reference,hypothesis,wer,cer
0,"ɔse ye mmerɛ; yeɛ aborɔma, nandwinoma ne bɔlanoma.","ɔse yɛ mɔe, yɛ aborɔma, ne ndwooma ne bɔlanoma",0.625,0.2
1,Ɔkɔyɛ sɛɛ né ɛmɔahora banwati bafi amaneɛnwunɛ kuro ndɛenbualɛ ne anu?,"ɔnye tee ɛmɔ kɔfa ɛmɔ n’ɔbekuri, ɛmɔ kɔhɔ Aberensam",1.0,0.7966
2,na bebukyebukyele nwomaa nemɔ anu.,Na ba bu kyelɛ ngoma ni mwalɛ,1.2,0.4483
3,Mali moa mahã mahyire ɛmɔ dada.,Bɛlɛ mwoa maha m'ahyirɛ ɛmɔɔ kraa ne mrenɛ dwo,1.5,0.76
4,"AWURADE sele Mose kyɛ, “Fa biaa bɔ wabɔ musue ne kɔ asikyeleɛ ne asi dɔ; ná ma mmenia bɔ bɛtele edwirɛ ne bɛ so anu ne amukoraa, bɛ́fa bɛ sa bégua ye ti so, ná ma maen ne amu bɛ́boro ye nyɔboɛ béhu ye.","Ɛrɛdi sɛ yɛmɔ sɛhyɛ, Fabian bɔɔ bɔɔ mɔ suɛ nɛ kɔɔ Ɛsikaɛliam Esindo. Nɛ mami mɛniɛ abɔbɛtiɛ Edwie nnɛ mɛsuɔ nu amukuraa. Bɛfa bɛsɛ bɛguɛyie ti so. Nɛ mama nienmu, bɛbule nyoɔ buɛ bɛhu",0.9318,0.4067
5,"Aso bɛtete bobe wɔ mmowue so, anaakyɛ bɛtete borɔdoma wɔ ɛfone so?",Bɛndete wɔbɛwɔ baa ka bɔ mɔ wiɛ wɔ yi nwɔso. Yɛɛ bɛndete brɔdoma bɛnfi baa ka bɔ mɔ wiɛ wɔ yi nwɔso.,1.6667,0.9623
6,"nzɛmmɔne yeɛ osusu ye nwo wɔ ye ti anu ɔ; na sɛ ofi me nwo berɛ kɔ a, ɔfa kotene.","Sɛ mɔne yɔ susu in wɔ ETEN nu ɔ, sɛ ɔfemi mɔ bra kwa, ɔfako te ne",0.85,0.4068
7,"Afei koso, sɔ nguro nemɔ amukoraa, ɔfale akokyɛm mbiri ne pealɛɛ mbiri siesiele so, na ɔbɔle bɛ nwo waen paa.",Afei kuso saa ingyelene momu kuraa offare Akwantiɛm Mborinee piale Mborisyɛɛsiɛle so na ɔbole bɛnwone wine paar.,0.85,0.4186
8,"Na aburoo afɔleɛ bɔ ɔboka so ne, odi kyɛ bɛfa esam paa bɔ bafa ngoo bafra ye ɔ olonka nyɔ; ɔte afɔleɛ bɔ bɛbɔ bɛma see so bɛma AWURADE ná ɔbo ye fona ɔ.","Na ɛbya fɔlea bɔbɔ kɔso ni, ɔritɛbe fɛ ɛsa mpa, bɔbɔ fango bɔfya yɔɔ, ɔluɔnkɛnyɔn, ɔti afɔlea bɔbɔ bɔ sin su, bɛma Awurade na ɔbwenfena.",0.8824,0.3793
9,"“Na ebiala bɔ ɔkɔhɔ nzamangɔmhyɛlɛfoɛ ne ahɔmeɛ so, ná okoli bɛ si ne, ngotu me nye ngosie sɔ sona ne aso, na ngɔpɛ ye asue ngofi ye maen nu.","Nneɛma bokooɛ Nzema Nkwantafoɛ ne ahomye so. Na Ekolebesini nso tumi yɛ ngo soɛso na neɛ aso, na ngopɛyɛso ngo fie",0.8621,0.4444
10,nakoso nu ngyerɛmuɛ ne amukoraa ofi AWURADE.,Na kusu ni gye mu yɛ na ɛmu koraa ofi awura deɛ.,1.5714,0.2703
11,Yeɛ Yesu pingyele bɛ nwo berɛ sele bɛ kyɛ: “Bafa nyameɛso ne aseɛ so tumi amukoraati bawura me sa.,Yesu bɔɔ pyenjareɛ bɛ na ɔsa lebeɛ kyɛ. Ba fa ɛnwura ne asyɛso tumiɛ mu kuraa ti mbeura me sɛ.,0.8947,0.4545
12,"Bɛ teaseɛnam mɔ ne bɛ pɔngɔhanɛfoɛ mɔ, aso né bɛnzone pee?",Mɛtsiasiɛ na nwene bɛ pɔngɔ hanɛ wɔmɔ asɔne bɛnzu ne pe,1.0,0.3043
13,"Na yieee, né biaa bie wɔ berɛ bɔ ye sa ko awu ɔ.","Ne mbeambea wɔ brɛ bɔ, yɛsakɔɔ wuo.",0.8462,0.4706
14,yeɛ kwahweabaa koso ye nye ngɔsɔ animnyamniɛ.,yɛɛ kɔfɛ aba kɔsɔ enyingye so ɛne mu nyamnyam,1.2857,0.5263
15,Né koɛhonɛfoɛ kɔyɛ ɛyaa nzia boka ye so.,"Nkyɛne wu ne fweɛ, kweɛ ɛyaa nnya boka yɛ so",0.875,0.4375
16,"Yitiopianiɛ Sera fale koɛhonɛfoɛ apepesrala ko yeɛ teaseɛnam ɛyaa nza, na ɔfale koɛ ɔɔtoale Yuda.","Ethiopia-nyeh Seirafali kwaɛnwene fwe, apipisaa alakong yeɛ, tyasɛɛ na m'ɛyɛ anza na ɔfakoŋ ɛɔtoale ye",0.9333,0.3951
17,Afei Sunzum ne fale Yesu hɔle ɛserɛ so kyɛ abɔnzam ooso ye nea.,"Afei, sosomneɛ sne Yesu wɔle ɛsase kyɛ abɔnsam ɔso ayɛneɛ",0.7692,0.36
18,Bɛfale ye bɛtole kuku nu maa odwuli kyɛ bɛtele bɔ AWURADE le ye ka wɔ edwirɛ ne anwo ɔ.,bɛ fale bɛ tu kuru kunu ma odwu kyɛ bɛ tiri bɔ Awurade lɛi ka wo edwuroniia wo,0.8947,0.3235
19,"Bɛkyekye nningyein nonɛnonɛ bɛto mmenia bati so; nakoso bɛ de, bɛmva bɛ sa mmɛseka ko po bɛnzɔ nu ma bɛmma so.","m'asye ti, nneɛmboɔ nuyɛ no bɛsoa amamvoɛ, na kɔsoɔ bɛmva bɛsa m'aseka kumpo bɛmoka m'asa.",0.9524,0.5402
20,"Elesia yeɛ ɔsɛ kyɛ ɛmɔfa bɛ́yɔ adwuma ɔ, nakoso kyẽa bɔ ɔtɔ so nzoo ne de, ɔte nwomelelɛ kyẽa bɔkɔɔ.","Ɛlesyia yo sɛkyɛ mɔ fa bɛyɔ adwuma o. Nanso Kyiamɔtɔso nso ne deɛ, ɔte ngumilele Kyiamɔkɔ",0.8,0.2857
21,Ɛ́mɔma bɛ munyɔ benyi bɛbɔ nu maa oodwu ye telɛ mmerɛ ne.,Sɛ monma bɛ monnyɔ bɛnyi dɛ boni ma oju bubrɛne.,1.0,0.5
22,na ɔmma bɔ nzuhɔen ku ye ɔ nnya nzue nno.,"Na ɔmma boa, nzuye enkyen o, nya nzuye no",0.8,0.2903
23,"ɔne Lebanon sida mɔ koso fɛ, na bɛkã kyɛ.",ɔne Lebanon cedar mɔ kɔ so fɛ,0.6667,0.4194
24,: “Ɛ́mɔfa buralɛ ataadeɛ ne akokyɛm.,Na egyɛneɛ ɛhe? Ɛmma fa bra latadiɛ na yakɔ kyeɛ.,2.0,0.8519
25,asotiniwaafoɛ bɛ so kɔte dwirɛ; bubuafoɛ bekohuruhuru kyɛ dabɔɔ.,"Asotewɛɛfɔɛ bɛso kwatyidwɛ, bubuafɔɛ bɛko huhuruhyeɛ daboɔ.",1.0,0.3519
26,"Ɔnate gyidie so yeɛ Sara bɔ né wabo aworɛ so ne hora nwonzɛle wole ɔ, ofikyɛ obuli bɔ ɔhyɛle bɔ ne kyɛ odi nahorɛ.","Ɔna ti gyidiesu ye, Sara, wɔne wɔabo awulɛso ne hura nwɔnzele wuliyo. Ɔfyeɛ, ɔbuli bɔ, ɔhyali bɔ ne kyeɛ, ɔdi nahwole.",0.7917,0.2921
27,"Bɛnea kyɛ esikaa kɔkorɛ kanea bakaa ne, ye kanea nemɔ kɔsɔ nɔsoa biala, ofikyɛ yɛyɔ bɔ AWURADE yɛ Nyameɛ ahyɛ yɛ kyɛ yɛyɔ ɔ.","mbe nya kyɛɛ se ka kakworɛ ka nyia ba ka ni, yɛ ka nyia ne mɔ kɔsɔɔ na osua biala ɔfyeɛ yɛɔyɔɔ bɔ Awurade yɛɛ Nyamiɛ ahyɛ yɛ kyɛɛ yɛɔyɔɔ.",1.0833,0.2959
28,"Né ɔmbena saleɛ mma ye mmango, yiti maa saleɛ ɔbɔ ye.","Na Athalia ma yɛ ma ngon, yitii Athalia ɔbɔɔ",1.0,0.5122
29,"Afei, ɛ́mɔsuro AWURADE na ɛ́mɔbua ndɛen turoloo, ofikyɛ AWURADE yɛ Nyameɛ onguro ndɛengyea, mmenia nu nyeyemuɛ anaa fea-ase-ma lelɛ.","Ɛfɛɛ mɔsoɔ Awurade na m'abua ndyeɛntrolo, ofiye Nyameɛ ɔngulo ndyendyea. M'ɛnyɛ nunyinyimuɛ anaa fiasema lɔlɛ",0.7895,0.3396
30,Afei besa bɛhɔle Yerusalem.,ɛfi bɩsa bɛhɔlɛ Yeelusalɛm,1.0,0.3043
31,"Na osele Solomon kyɛ, “Bisa bɔ ekuro ɔ maa nyɔ mma wɔ.","Na ɔse lisoleɔ ma nkyɛ, bisabɔ ekuro, ma enyo ma woɔ.",0.8333,0.25
32,Ofikyɛ ogyi sona bɔ ɔyɛ anwumvo ɔ ye sa famaa so.,"Ɔfɛtee, ɔdwusoa m'abɔyenu woɔ, yɛse afama so",0.9091,0.5263
33,"Afei koso, nnɛmɔma bɛfrɛ ɛmɔ ‘meneɛ mɔ,’ ɔnate kyɛ ɛmɔ Mene te komapɛ, bɔ ye ole Kristo ne.","Afe kuso, na moma bɛfɛɛ ɛmo yɛ mene, ona te kyɛ ɛmo ne ti kuma pɛ, Yuli Kristoni",1.0,0.3529
34,"Na nneane alaa kɔpem kyɛ behuni kaka ne ɔ, bɛsɛkyele ye fuin ne, na befindini bɛtole see bɔ ogye ɔ nu.","Mmaa ne mnyaanyaa lɛ kɔpɛnkye bɛ hu kakaa nyoo, bɛsɛ kyii fweene, na bɛ findine bɛ toleesi mbo ojee owo",0.9524,0.4937
35,ná fa sɔ anwokyere kandinga he to wɔ nwo so.,na fɛsɔ awɔkyeɛ Kendinga hit wɔɔmso,1.0,0.3529
36,ɛmɔ amukoraa bɔ ɛmɔ nye la AWURADE so ɔ.,Ɔsom no koraa bɔɛ m'anyi lɛ aradiɛ soɔ.,1.0,0.4194
37,aburannu so safohene ne animnyamniɛ.,Abura no so safohene ne animuonyamni,0.6,0.1613
38,"Afɔleɛ bokyea mmɛen mɔ bɔ bɛwɔ AWURADE nyunu wɔ ɛtena sua atenaleɛ nu berɛ ne, odi kyɛ ɔfa mogya ne bie ogua so.","Ɔfɔrebɔhyɛ m'emua, wɔbɛwɔ Awurade ninom wɔ teneneesoatena lie nibrenɛ. Ɔde kyɛ ɔfambogyeni bi oguasu.",0.8696,0.4205
39,"Bɛ bɔ bɛ bra te sannwuu ne, ɔnate bɛ saleɛ so yeɛ kuro nya ngɔsoɛ ɔ.",Bɛba bɛba ti sɛne? Ɔna ti bɛ saliɛ so yɛ kronya nngosuo,0.875,0.3529
40,bɛkɔbɔ bɛ nwo adwaa wɔ nu.,Mba kɔ m'a bɔ bɛ wun edwa wonu,1.3333,0.5
41,Ɛ́mɔfa ɛmɔ sa bégua ɛmɔ ahone so beli ɛhemɔ anwo aworabɔlɛ: ɛmɔ boo nyemenenyemene ne.,"ɔmo fɛɛ m'asɛbee gyaɛ m'ahoɔsoɔ, belee ɛhyenoa ho won aworabre, ɛmo boo nyemenyemenen",0.9333,0.3913
42,"bɛka a, bennwu bɛ noa ɔ, AWURADE noa dwirɛ ɛne.",ɔka bɛwumbawɔ nuanɔ Awurade nu dwuma,0.9,0.5714
43,bɛte kyɛ mmosoen nemɔ ala; na ebiala bɔ ɔfa ye wora wura mmosoen nemɔ anu ne.,Mɔsienimoa sɛ nyinaa nim ala. Na ebie ala bɔ fa i wura wura mɔsienimoa mu nni.,0.8125,0.5167
44,"” Na bebisale ye kyɛ, “Ɔyɛle sɛɛ yeɛ wɔ nye ne tele ɔ?","Yɛte yɛbɔɔ sarɛ kyɛ, me bɔɔ mia lɔ, na me bisale yɛ kyɛ, ""ɔyaalɛ sɛ, yɛ wanyaɛ ni ti?""",1.5,1.0789
45,"Sɛ ɛmɔbaagyina koɛ noa a, odi kyɛ ɔsɔfo ne bagyina ɛlɔen ne nyunu dwudwo kyire bɛ.","Sɛɛ mɔɔ bɛ gyina kuenua, ɔde kyɛɔ asɔfɔɔ no bɛ gyina ɛlɔɛneɛ nyunlu dgyodyyoreɛɔ.",1.0,0.4154
