sample_id,reference,hypothesis,wer,cer
0,"Kɔraawiizi kaa ŋɔ, “Gil kunnyinee lii su a nii biini, zumbizi ge ni a dizi su chiŋ, di zaah ra bar.",karaawiiizi kaa ŋᴐ gil kunyinɛɛ lii su anii biini zumbizi gen ni a dizi su chiŋ di zaahra ba,0.4286,0.1081
1,"N na suŋŋuubuu ií ni Kɔraawiizi biinanaa la maa wer zum Kristo nɔŋŋaa la, gunla un duwɛɛ, u kanni, u wassi ani u luŋzi maa.",n na suŋŋuu buu ii ni kᴐraa wiizi bii nanaa la maa werzuŋ kristo nᴐŋŋaa la gunla un duwɛɛ u kanni u wassi ani u luŋzi ma,0.44,0.0526
2,"Anaazu chi a dia biini, anaazu ge chi baŋgia, bɔr la baŋ ɔɔ ra kpu mbusu lizaa sela la.",anaazu che a dea biini anaazu ge che baŋge aa bɔ la ban ᴐᴐ ra kpo n busu lezaa sɛla la,0.6842,0.197
3,Nabɔma maa dɔɔ u nabɔmaa u ra guuu.,na buma maa dᴐ ú na bᴐ ma u ra guu,1.0,0.2593
4,"Di i kuu i duma wia di duu winanaa, i daŋ kum miibɔɔ la n waa tunaa dɔɔwɛ lii Kɔraawiizi Duma la be.",di i kuu ii dumawia di duuwi nana i daŋ kum mii bᴐᴐ la n waa tunaa dᴐiwɛ di lii kᴐraawɛizi duma labi,0.5217,0.1447
5,Harar hinuu Saraa biibaal Ahiam.,hara heno saara bɩɩbaal a hẽe,1.2,0.4074
6,"A kora n faa wa du u nonee chigigi, u kpu nabɔnzi la maa n kpu u mɛɛ labuu.",a kora n faa wa du u nonee chigi gi u kpu na bᴐnzi la maa n kpu u mɛɛ la bu,0.3158,0.0364
7,"Ií kpa dɔnnɔŋŋaa di ra hum dɔŋa, dikuubɛɛwiai, Gbɔgni la maa du widaulikpaŋ biinii.",iikpa dᴐnnᴐŋ naa di raa hun dᴐŋa tikᴐu bɛɛwiai kiizi la maa du kii kpaŋkpaŋni nɛɛ,0.8571,0.3582
8,"Ba faa ma Kɔraawiizi Dia hinnɛ tuŋ, baagu la banna yir Adar la hɔpizaa ahorohiŋ hɔl, Dariɔs kora dii binni anumbɛlhiŋ biini.",ba faa ma kᴐrozia hin nɛ tuŋ baa gu la ba na yir a dar la hᴐpizaa a horo hiŋ hᴐl daali wa sukora dii bin ni anumbɛl hin biini,0.9545,0.17
9,A hɔpizaa anumbɛl hinnɛ guŋ.,ahwa piza a numbele hin na gᴐŋ,1.2,0.3043
10,"I lɛɛ yaabuu lii tɔɔrɔɔ biini, di gil yaa na bɔchaaŋ.",e lɛɛ yaa bo le tɔᴐro biini de gel yaa na bô chaan,0.8182,0.2927
11,"Yaa hummɔɔ saŋa maa di kuuh werge, ya gilɛɛ waa tɔɔri ia dikuu diwee wia.",yaa humᴐᴐ saŋa maa di kuu werge ya gi lɛɛ waa tᴐᴐri ia diku diwei wia,0.4667,0.1404
12,"Denii u ŋɔ Taama be, “Kpa a paanuu di zuu n be wa tɛŋ.",deni o ŋɔ taama be kpá a páa nuu dizu m be wa,0.5714,0.2368
13,"Koorizeŋ Dariɔs n jaa dau a keŋ widaulii la, denii Muu Yufretis wiicholii paga hɛri hina nabɔma Tatɛnai, Sɛtar Bɔzɛnai ani ba balaa la maa jaa hiŋ u nua la nɛnnɛ.",kori zendarius n jaa dau a keŋwidaulei naa denii muu yufiretis wii cholii paga hɛre hena na bᴐma tɛtɛnai sɛtar bɔzenai ane ba baala la maa jaa heŋ o noaa laŋ nɛnne,0.6774,0.1628
