sample_id,reference,hypothesis,wer,cer
0,"M danyɩnɔ, kʊ *Sɛnt-Ɛspri ganwʊrɛrɔ wɔɔ mim bɩncɛ nɩ, mɔɔ lɛ taa k'awɔɔ n hɔ k'an ta a nɔ ʊ bɩ dɔ mɩŋŋa.","Bissa no, ko sèntèsi pirî gaoro ra wo min bincɛnɛ, mɔ lètaka wo hokan tarno be dɔmɛnɛ.",0.0435,0.0068
1,"Awɔɔ dɔ a ʊ, nyɩnta k'awɔɔ ʊ basɩrakənno biisi bɩ, wosobaawɔnnɔ daʊrɛ y'a so awɔɔ ʊ, awɔɔ n a da ma an n'a bɔrɛ ŋ ʊ y.","Awo to awo. Ninta kaa o bisikenu bisibi, woso bawo no dawure asuawo. Awonadama annabore ngo",0.037,0.0055
2,"Naa minto bɩ, mɔɔ lɛ taa k'awɔɔ n a dɔ mɩŋŋa, a ʊ, kʊ Woso Ɛspri a so gʊaa ʊ, a zaa nɩ meer bam, a zaa b'a dam ma an a hɩ, a ʊ: «Lerbɔrɛ kʊsɩ ɩ kan Yeezuu kɩ y.» Bɩ gɔsɩ b'a dam ma sɔ an a hɩ, a ʊ: «Zuuba m Yeezuu m,» kʊ Sɛnt-Ɛspri bɛɛ y'a ka y.","Nam n'to be, mol'taka o na domenga ao. Ko wuso espriso guao, aza nimbir bam, aza baddama an'e hao. Liribore kosi kan Yesu ke, be kosi baddama so an'e hao. Su ba Yesu, ko Saint-Esprit bee ka.",0.0151,0.0027
3,"Sɛnt-Ɛspri ganwʊrɛrɔ wɔɔ y'a hʊnhɔ, bɩ Ɛspri deem-deem bɩ nɩ ŋ karɛ.",Sen tesu fri garoro wa ya hun ho. Be esu den den be nen kara.,0.0972,0.0096
4,"Zibəəro y'a hʊnhɔ n ta ʊ Zuuba nɩ gʊɔɔ darɛ ŋ barɛ ʊ, bɩ Zuuba deem-deem bɩ zibəə m.","Diba wòoro ya hòn hòta wò sôbannè gò darè mbara wò, bè sôbè diindè mbisi wò.",0.0526,0.0099
5,"Zibəəro zaarɔ y'a hʊnhɔ ta ʊ, bɩ Woso deem-deem bɩ n'a kam gʊɔɔ n'a dam zibəəro wɔɔ duro barɛ ma.",zibero saaroyahun hotaw  beuwo sodende mbenakam gonadam zibero wodro barema,0.05,0.0042
6,"Sɛnt-Ɛspri ɩ zi bam kan gʊaa biyəə kɩ ganwʊrɛrɔ y'a hʊnhɔ m, bɩ naa ba an nawʊm k'a a da gʊɔɔ haay han.",sen te supli zinban kanguewiye ke ganrere ya hunho benna ba na wun kada go hayi hon,0.0397,0.0059
7,Sɛnt-Ɛspri ɩ mindɔrɛ meerbaa ganwʊrɛ kam gʊaa deem ʊ. A n hɔdɔrɛ meerbaa ganwʊrɛ ka gʊaa vanta ʊ.,Sente spirime ndre mire wa gawere kanguade no. A hodore mire wa gawere kago avanta.,0.0525,0.0057
8,"Sɛnt-Ɛspri deem-deem bɩ do ɩ sɩrakarɛ ganwʊrɛ kam gʊaa ʊ, a ɩ waarɛ ganwʊrɛrɔ kam gʊaa vanta ʊ sɔ.",Santé esprit de Dindin Médué sera carré gaoré kangouaw. Et waré gaoré kangouaw vantason.,0.0526,0.0073
9,"A ɩ hoserlo barɛ ganwʊrɛ kam gʊaa vanta ʊ, an nɩ Wosolɛsinnɩsora meerbaa ganwʊrɛ kam gʊaa vanta ʊ sɔ. A ɩ ɛsprirɔ dɔ n a bɔ kʊ zi ganwʊrɛ kam gʊaa vanta ʊ, an nɩ leminno y'a hʊnhɔ hɩrɛ kam gʊaa vanta ʊ, a ɩ leminno wɔɔ duro wusigəre ganwʊrɛ kam gʊaa vanta ʊ sɔ.",E wousollé baré gaouré kanguo avant tout. Anni wousollé sinni sore mérouré gaouré kanguo avant tout sa. E esprit de donne na boukoussi gaouré kanguo avant tout. Anni limi noi yahou ooh horé kanguo avant tout. E limi no wo doro wousiguéré gaouré kanguo avant tout sa.,0.0182,0.0027
