sample_id,reference,hypothesis,wer,cer
0,1 TARIHI 10.,Tarihi tada ya sura guma,0.5556,0.1852
1,Shawulu ya ɗauke ransa.,"Shaulu, you had a wikiran sa.",0.375,0.0222
2,"To, fa, Filistiyawa suka yi yaƙi da Isra’ilawa; Isra’ilawa kuwa suka gudu a gabansu, da yawa kuma suka mutu a kan Dutsen Gilbowa.",Tupa. Polisi yao soka yaki. Da Israelawa. Israelakua. Soka godu agabansu. Deyawa akuma. Soka mutu. Aka nduza njilibowa.,0.0397,0.0026
3,"Filistiyawa suka matsa sosai suna bin Shawulu da ’ya’yansa maza, suka kuma kashe ’ya’yansa maza Yonatan, Abinadab da Malki-Shuwa.","Fulisi ya wa soka masa suusai, suna avu nisha hulu de ya enza. Maza, tika kumakashi ya enza, Maza, Jonathan, Abinadab, Damarikishwa.",0.0526,0.0025
4,"Yaƙin ya yi tsanani kewaye da Shawulu, kuma sa’ad da maharba suka rutsa shi, sai suka ji masa rauni.",Yaakiye sanani. Kiwele shaulu. Kuma saa adama harba. Sukarus aishi. Siosuka jima sarawuni.,0.0499,0.0031
5,"Sai Shawulu ya ce wa mai riƙe masa kayan yaƙi, “Zare takobinka ka soke ni, in ba haka ba waɗannan marasa kaciya za su zo su yi mini ba’a.","Saisha uliache wamei, riki emasa. Kaya nyaki. Zara tako vinka, kasu ukeni. Imba hakaba, wata na marasaka atia. Zasa zo siimuni ba.",0.0333,0.0022
6,Amma mai ɗaukar masa kayan yaƙi ya ji tsoro bai kuwa yi haka ba; saboda haka Shawulu ya zāre takobinsa ya fāɗi a kansa.,"Maedau karmasa kaa enyaki Ya zizuru, bayukwehi hakaba Sabu rehaka, shauli yazari toko bensa Ya paadi, akansa",0.0382,0.0036
7,"Da mai ɗaukar masa kayan yaƙi ya ga Shawulu ya mutu, sai shi ma ya fāɗi a kan takobinsa ya mutu.","Dame dao karmasa kanyaki, ya gasha huli ya mutu. Saishi maya padi, haka ntako obensa ya mutu.",0.0363,0.0027
8,"Ta haka Shawulu da ’ya’yansa maza uku suka mutu, dukan gidansa kuwa suka mutu tare.","Taka shaulu dea yansa maza uku, sukamutu, doka ngidansa, kuwa sukamutu, tari.",0.0533,0.0017
9,"Sa’ad da dukan Isra’ilawa a cikin kwari suka ga cewa mayaƙansu suna gudu, kuma cewa Shawulu da ’ya’yansa maza sun mutu, sai suka bar garuruwansu suka gudu.","Saada doka Israelawa, atikungkwari, suga chiwa, maya kansu, suna agudu. Kumachewa shaulu, daya ansa maza, sumutu. Sayasuka wargaruru wansu, suka gudu.",0.0316,0.0013
10,Filistiyawa kuwa suka zo suka zauna a cikinsu.,Fulitiya wakua Sikaduo sikadona Atikinusu,0.125,0.0083
11,"Kashegari, da Filistiyawa suka zo don su tuttuɓe waɗanda suka mutu, sai suka sami Shawulu da ’ya’yansa maza sun mutu a Dutsen Gilbowa.","Kaa shagari, dafali siya haa saka dhu, donso tutu pe watanda saka mutu. Siya saka samusha wulu, teha yansa maza, somuta adosa ngilibowa.",0.0435,0.0026
12,"Suka tuttuɓe shi suka yanke kansa suka ɗauka duk da kayan yaƙinsa, suka kuma aika ’yan aika ko’ina a ƙasar Filistiyawa, a yi shela labarin a cikin gumakansu da kuma mutanensu.",Soka tutu beshi. Soka ya nki kansa. Soka dawka. Tugda kaya nyakensa. Soka kuma aika. Yang aika. Kuo ina kasarapulisi ya wa. Aishi la. Labarang asikeng kuma kansu. Da kuma muta nansu.,0.0281,0.0015
13,Suka sa kayan yaƙinsa a haikalin allahnsu suka kuma rataye kansa a haikalin Dagon.,Suka saka nyakin saa. Ahaika li ngalansu. Suka kumarate yekansa. Ahaika li ndagon.,0.0612,0.0017
14,"Sa’ad da mazaunan Yabesh Gileyad suka ji dukan abin da Filistiyawa suka yi wa Shawulu, sai dukan jarumawa suka tafi suka ɗauki jikunan Shawulu da na ’ya’yansa maza suka kawo Yabesh.","Sada, maza unayi ya bashgeliat, suka jiduka ngabinda. Filisi ya suka hii wa shaulu. Seduka njaramawa, suka tapi, suka na wikijekunang. Shaulu, danaya yansa maza. Suka kawo ya besh.",0.025,0.0012
15,"Sa’an nan suka binne ƙasusuwan a ƙarƙashin babban itace oak a Yabesh, suka kuma yi azumi kwana bakwai.","Saan na nsoka bini kasusuwa, agarikashi ngumba bang itaachang ok. Ayabej, nsoka kumai azumi kwa naba kwa",0.0525,0.0036
16,"Shawulu ya mutu domin rashin aminci ga Ubangiji; bai kiyaye maganar Ubangiji ba, ya ma nemi shawarar mace mai duba, bai kuwa nemi nufin Ubangiji ba.",Shawulu ya mutu do mwerea syang amanti ga ubayengiji. Mwai kia ya magandar ubayengiji ba. Ya mani mshawarar machamidu ba. Mwai kuwane mi nupi mubayengiji ba.,0.0311,0.002
17,"Saboda haka Ubangiji ya kashe shi, ya miƙa mulkin ga Dawuda ɗan Yesse.","the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US, the US,",1.7515,0.2315
18,1TAR 10.,Tarihi.,0.5,0.1111
