sample_id,reference,hypothesis,wer,cer
0,Nyini n-zali tɔrili ni o yiɣimi du zuɣusaa katiŋa.,nini n zai tɔrili o yiɣimi do zuɣusaa ka tiŋa,0.7778,0.125
1,"Bɛ ni daa wum Judas ni yɛli shɛm maa, ka di niŋ ba nyaɣisim pam, ka bɛ lo o alikauli ni bɛ ni ti o liɣiri.",bi i daabai budasi yaa abi maa ka di niŋ ba nyaɣisim pam ka bi luɣa li kabuli nimi di tooi laɣri,0.6923,0.3205
2,Bɛnkam tumdi dimbɔŋɔnim’ kul ku vuui bɛ zaashee.,ban kam tumdi din bɔŋɔnim kuku vu bi zaɣ shɛe,1.125,0.2051
3,"Ka Naa Hɛrɔd daa wum lala maa ka yɛli, “N ni daa ŋma Jɔn Baptaizira so zuɣu la n-lan neei kum ni na maa.",ka nayiri da gu ni la lamaka yali ni daan mai jon bati za so zuɣula n la nɛi kumdi maa na,0.875,0.3377
4,"A shiri mi, dama di saha bɛ daa pun dɔɣ’ a.",ashirimi dama di saha bi naa pun doɣu,0.6364,0.1333
5,"Ka Naawuni zaligubaŋdib’ mini Farisiinim’ daa kpahindi Yisa ni bɛ nya o ni tib’ o Vuhim Dabisili dali maa bee o ku tib’ o, dama bɛ daa bɔri ni bɛ nyala o taali ka fiɣis’ o.",ka naa wuni zaligu baŋdiba mini farasiinim daa kpahindi yisa dima nyɛ oni tib vuhim dabisili dali maa bee ka kul tibo dama bi daa bɔriniba nyɛla o tali ka firi suui,0.6389,0.1385
6,Bɛ ni yihi kuɣa din daa di buɣim tampuya saɣiri la ni me?,bɛni yi kuɣa din da di buɣim tampuya saɣiri la nimi,0.4615,0.0909
7,"O daa zaŋ o yiko n-kari zuliya shɛb’ bɛn daa galisi ka mali kpiɔŋ gari ya, ka zaŋ ya na ti zaŋ bɛ tiŋgbɔŋ tin ya, ka yi su li kaman di ni nyɛ shɛm zuŋɔ dabisili ŋɔ.",bordaa zaŋ o yiko n kari zuliya shɛba ban aa galisi ka mali kpɛn gariya ka zaŋ ya na ti zaŋ bɛ tingbani tiya ka yi suli kamani di ni nyɛ shɛm zu ŋɔ dabsili ŋɔ,0.5,0.123
8,Pa nyin’ n-nyɛ ŋun su zuliya kam zaa nam fukumsi?,paa yili nyɛ ŋɔ si zaiya kam zaa na fukumsi,0.7,0.2432
9,N chɛ ka baɣisi leei jɛra.,din namdi di tooni jamili di dina di nii muɣi tapiligim ti so o so ni tiɛ n birigu maa,3.3333,2.8
10,"Amaa ka Naawuni nira daa chaŋ naa maa sani ti yɛl’ o, “N dan’ naa, di chɛ ka Izraɛl tɔbbihi ŋɔ pahi dol’ a chaŋ, dama Yawɛ ka Izraɛlnim’ bɛn nyɛ Ifriim zuliya ŋɔ zaa so sani.",ama ka na wu ni ri daa chaŋ na ma san tiyalo n dan na ti cha kayi zaa to bihiŋɔ aa tola chaŋ da maa yaawala kaliza nin ba nya yii ta zuiyi ŋɔ zaa so sani,0.8378,0.3256
11,Ŋuna n-simdi jilima tibu mini yiko subu hal ni saha din ka bahigu.,ŋuna n sim ni jilima tibu mini yiko subu hali ni saa din ka baagu,0.4615,0.0962
12,"Ka di daa ti lu Vuhim Dabisili dali yaha ka Yisa lan kpe Yɛhudianim’ jɛmbu duu ti wuhiri niriba, ka do’ so ŋun nudirigu bɔɣu kpi daa beni.",ka di daa tili vuhimi dabisili dali yaa ka yisalan kpɛ yaodianm jabu do n ti wuuri niriba ka do so ŋun nudirigu baɣa si daa bɛni,0.5,0.1776
13,ka dabiɛm mini niŋgbuŋ sɔhibu daa paai ma din daa dam n kɔba ni zaa.,ka dababi mini ni gbun sohibu daa pa ma din daa dam koba ni zaa,0.4667,0.1887
