sample_id,reference,hypothesis,wer,cer
0,Suɔmi Yeɔ Bua Wɔ Nɛ Wa Daa Ninyɛ Nya,ソメイヨシノは、ノワダニニャニャ。,1.0,1.0
1,MƐNI LƐ HAA NƐ KRISTOFO NO BUA JƆƆ?,Meni lehane Kristo fono wajjo.,1.0,0.2963
2,"Mo pia o he ngɛ o yayamihi a he, nɛ o pee tsakemi ngɛ o si himi mi",おひねおややみあひねおぴちゃけみねおしひみみ。,1.0,1.0
3,MOO KASE MATSƐ DAVID NƆ HYƐMI NƆ́ Ɔ,Moka se matche David no yeminno.,0.875,0.3333
4,NƆ́ NƐ E SA NƐ O PEE LOKO A BAPTISI MO,Sanne opi loco ab aptismo.,1.0,0.4074
5,Yehowa Nɛ Ji Wa Tsɛ ɔ Suɔ Wɔ Wawɛɛ,You who are needy watch over the weak.,1.0,0.8846
6,Mɛni weku yi ko ma nyɛ maa pee kɛ tsɔɔ kaa e baa e he si?,ミニウォクイコマニマペカチョンカエバエシン,1.0,1.0
7,"Marie-Line: Daa Hɔɛgbi ɔ, wa jɔɔ wa he, nɛ wa dlaa wa he kɛ haa asafo mi kpehi. Kɛ je Pɛplɛgbi kɛ yaa a, wa yaa fiɛɛmi.",阿威比奥，瓦乔瓦里，那瓦德拉瓦希卡哈萨风平。卡杰佩拉克比卡亚，瓦亚菲米。英格卡斯。,1.0,1.0
8,A ‘FƆ MƐ EKOHU’,A femme écon.,0.75,0.6
9,A FƆ MI NINE KAA MA SƆMƆ KAA KPƆ MI NƆ HYƐLƆ,"I'm sorry, but I cannot fulfill this request. I am unable to transcribe the audio as there is no audio provided.",1.75,2.2727
10,LOKO A MAA BAPTISI MO:,loco amor baptismo,1.0,0.2353
11,NYƐƐ “DI NÍHI NƐ NGƆƆ TUE MI JƆMI KƐ BAA” A SE,ये दीनी नन वॉटिन जमि का बासी।,1.0,1.0
12,"Anɛ o pia o he ngɛ yayamihi nɛ o pee ɔmɛ a he, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa guɔ kɛ heɔ nɔ yi wami lo?",オピアオヒンアヤミネオビョウマヒネオジョオヒンケハイヨワネオクレノカアイェスクトノネイヨワグンオケヒヨノイワミロアニ,1.0,1.0
13,WA NÍ TSUMI EHE KƐ E MI NYAGBAHI,وانيتشوم إهك إي مينياغوا.,1.0,1.0
14,O Ma Nyɛ Maa Pee Nɔ Nɛ Woɔ Ni Kpahi ‘A Bua Wawɛɛ Nitsɛ’,O manjamapeno ne uonei paawa wawe ni,0.8571,0.475
15,asafo mi nɔkɔtɔma ji mo?,ケアスフミノコトマジム,1.0,1.0
16,YEHOWA HA WƆ TA BULI A HE PIƐ POMI NÍHI,,,
17,MƐNI MA NYƐ MA HA NƐ WAA PEE YEYEEYE?,Mini my man wapie yeyey.,1.0,0.3929
18,ANƐ E SA NƐ WAA HAO KAA NIHI NƐ A YEƆ ABOLO Ɔ NƐ A NUƆ WAI Ɔ A YIBƆ NGƐ HƐ MI YAE LO?,하니 에사네와 하오칸 니네 아유아 볼로 네 아누와와 아유방에 헤미야 에루.,1.0,1.0
19,"Ngɛ mɛni blɔhi a nɔ nɛ Yehowa tsɔɔ kaa e susuɔ wa he, nɛ e suɔ wɔ?",你唔係話你唔係我朋友，你係我朋友。,1.0,1.0
20,Mɛni níhi ekpa nɛ wa ma nyɛ maa pee nɛ maa ye bua wɔ konɛ waa pee kpoo?,Mini ni ek banwa ma ne ma pi ne ma i bo ko ni wa pi bo.,0.9444,0.4717
21,KE BAIBLO KASELƆ KO BƆNI ASAFO MI KPEHI YAMI,के पाबलो कासेलो को बोनी अ साफ़ामिक पेन्या।,1.0,1.0
22,Moo to blɔ nya ko nɛ ma kai mo. Mo set alarm ngɛ o klama a nɔ konɛ e kai mo nɛ o kane Baiblo ɔ daa ligbi.,"Motto banya kunema kaimu. Muset alama ne oklama no, kone ekaimu ne okaneibilo da alibi.",1.0,0.2763
23,Ngɛ mɛni blɔ nɔ nɛ blema níhi nɛ a tsua si nɛ a na a yeɔ he odase kaa Belshazar hi si hyɛ ngɛ Babilon?,Nami ni blono neblomo ni ne a to.,0.96,0.7792
24,"Loko o sɔlemi maa nu tso ɔ, mɛni ji ní komɛ nɛ o ma nyɛ maa pee?","लोको ओसाले मी मानुचो, मीलिजिन्यु कोमिनो मयिमा पे.",1.0,1.0
25,Sane Bimi Enyɔ Nɛ O Ma Ha Heto Ngɛ Ligbi Nɛ A Maa Baptisi Mo ɔ Nɔ,Sanebi mi eno ne omahahi to neli bini ama baptismo.,1.0,0.2653
26,bwɔmi ha we nɛ waa pee babauu?,Wam hawinawapi babao.,1.0,0.4348
27,HE DUMI KO NƐ NGƐ SLƆƆTO,के दुन्कोने ए स्लोटो।,1.0,1.0
28,MOO SU BAIBLO KASELƆ Ɔ TSUI HE,Most sub-block cases are true.,1.0,0.5417
29,"Mɛni he je nɛ e he hia wawɛɛ kaa wa maa su wa Baiblo kaseli ɔmɛ a tsui he, nɛ mɛni blɔ nɔ wa maa gu kɛ pee jã?",ミニヘジェネヒャワウェカンワマツワバイブロカセリョマトリヒネミニブロノワマゴケピジャン,1.0,1.0
30,Nɔ́ Nɛ O Maa Pee Konɛ O Sɔlemi Nɛ Nu Tso,Nonno Omar pe ko no solimini nu cho.,0.9091,0.3793
31,Mɛni níhi nɛ e sa nɛ weku yi nɛ ha e weku mi bimɛ?,ミニニーネサネウクイネハエウクミビミ,1.0,1.0
32,KƐ NƆ KO MA PLƐ KƐ LE KAA A PƆ LƐ NU HA KƐƐ?,Quelle est la première question à poser à un nouvel hacker ?,1.0,1.3
33,E MA BI NƐ O KƐ LƐ NƐ KPA NÍ KASEMI Ɔ LO?,今晩は、お疲れ様でした。,1.0,1.0
34,WA HIA KƐ YA ZUGBA KPƆ KPA MI,Why did I have to go to Pakistan?,1.0,0.9091
35,WA BUA JƆƆ KE A NYƐ WƆ,वह बहुत जोकी आन्या वो।,1.0,1.0
36,KEKLEEKLE BE NƐ I KUƆ YOKU,케클레클레 베네 이코요코.,1.0,1.0
37,MOO HƐ MO KƐ SU MAWU HE NƐ O YA NƆ NƐ O NÁ BUA JƆMI,モヘモケスモヘネオヤノノナブアジャン,1.0,1.0
38,MOO BU YEHOWA TUE KƐ TSƆƆ KAA O SUƆ LƐ,मोब्यूहो अतुई केचोका ओसुओले।,1.0,1.0
39,KE O PIƐƐ BAIBLO TSƆƆLƆ HE NƐ NYƐƐ KƐ NƆ KO NGƐ BAIBLO Ɔ KASEE,"Que au pied de Babylone, rien que nous connaissions Babylone.",1.0,0.8125
40,Mɛni blɔ nɔ wa ma nyɛ maa gu kɛ je mi mi himi kpo mwɔnɛ ɔ?,ミニブロノワマニャマゴケジミミヒムポモノ,1.0,1.0
41,SUƆMI NƐ WA NGƐ KƐ HA YEHOWA A YEƆ BUA WƆ NƐ WA DAA NINYƐ NYA,那麼，我該如何要我不要，那我的年年。,1.0,1.0
42,"Ke sane bimi nɛ ɔmɛ a heto ɔ ji ee ɔ, lɛɛ e sa nɛ nyɛmiyo ɔ nɛ ha e yi nɔ. Se ke heto ɔ ji dɛbi ɔ, lɛɛ e he hia we nɛ e ha e yi nɔ. *",這是一個非常有趣的現象。,1.0,1.0
43,ANƐ o suɔ nɛ a baptisi mo kaa Kristo kaselɔ lo? Suɔmi kɛ hɛsa kpo jemi wo nihi fuu he wami nɛ a ha nɛ a baptisi mɛ. Mo susu Etiopia manyɛ ɔ sɔmɔlɔ ɔ nɔ hyɛmi nɔ́ ɔ he nɛ o hyɛ.,Sono a battesimo ka Cristo casello.,0.9767,0.8231
44,"LOKO WA MA NYƐ MAA DA NINYƐ NYA A, MƐNI HE JE NƐ E SA NƐ . . .",लोकवा मण्या माडा निन्यान्या मिनी हेजिने इसाने,1.0,1.0
45,Asafo Kuu Ngua a Nɛ A Piɛɛ Jijɔ Kpa Amɛ A He ɔ Jeɔ Mawu Kɛ Kristo Yi,A safocungua ne a piedi de pomme a hiero dio ma un che Cristo.,0.8889,0.5294
46,Mo Ha Nɛ Suɔmi Nɛ O Ngɛ Kɛ Ha Yehowa a Nɛ Ha Nɛ A Baptisi Mo,Somenne oge ke haiye huwa ne hana baptisimo.,1.0,0.4091
47,Mɛni he je nɛ tɔmi ko be he kaa wa maa pee yeyeeye be komɛ ɔ?,你也知道，米可比，科阿莫佩耶，贝科门。,1.0,1.0
48,LÉONCE CRÉPEAULT NYA MI MUNYU,Leon's scrapbook is sunny.,1.0,0.68
49,MOO KASE MATSƐ YEHOSHAFAT,موكاسي ماتشيهو شافات,1.0,1.0
50,Nihewi—Mɛni Nyɛ Maa Pee Konɛ Ni Kpahi Nɛ A Ná Nyɛ Mi Hɛ Kɛ Nɔ Fɔmi?,Nie oui mais n'en a pas ma peine qu'on n'ait pas à n'en rien y mettre qu'on en a pas.,1.25,0.82
51,NƆ́ NƐ E SA NƐ O PEE NGƐ O BAPTISIMI SE,इस साल ओपी या ओ बाप्टीज़्म से।,1.0,1.0
52,Wa Suɔ Yehowa Nɛ Ji Wa Tsɛ ɔ Wawɛɛ,我所以有我呢幾位華僑華為。,1.0,1.0
