sample_id,reference,hypothesis,wer,cer
0,Me ho ye paa ara,Akuapem Twi Akuapem Twi,1.0,1.4167
1,Yaw ne Ama,Jiaoni kama.,1.0,0.625
2,Nsu,I saw,2.0,1.0
3,Okuu adubɔfo,Akuapem Twi Akuapem Twi,2.0,1.4545
4,Ma ɛtwee aboa bi,Мааччи абууаби.,1.0,1.0
5,Mefi Ghana,Akuapem Twi Akuapem Twi,2.0,1.8889
6,Dɛɛbi dɛɛbi me pɛsɛ me tɔ,दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे दे,42.6667,12.8
7,Number bɛn na wo pɛse wo tɔ gu su,Akuapem Twi Akuapem Twi,1.0,0.84
8,Nokware di tuo,Akuapem Twi,1.0,0.6667
9,ɔkɔtɔ nnwo anomaa,Akuapem Twi Akuapem Twi,1.3333,1.0667
10,Mepawokyɛw,Akuapem Twi Akuapem Twi,4.0,1.6
11,Sɔ kanea no,"So, kami na.",1.0,0.5556
12,Wɔ ńkwankyɛn,Akuapem Twi Akuapem Twi,2.0,1.5455
13,Tuu no,"So,",1.0,0.8
14,Mtn,Empty in.,2.0,1.3333
15,ɛye,Aie!,1.0,0.6667
16,Gye di,Akuapem Twi Akuapem Twi,2.0,3.6
17,Wofi he,Woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof woof,64.0,84.8333
18,Abofra yi,.,1.0,1.0
19,Saa ɔkɔre no,So a corner.,1.0,0.7
20,Esian sɛ,Sensei.,1.0,0.7143
21,To so ma me,Chosamami.,1.0,0.5
22,Gyeene abiɛsa,J.N. Embassy,1.0,0.6667
23,Me nsa aka,Akuapem Twi Akuapem Twi,1.3333,2.0
24,Meredwen wo ho,Akuapem Twi Akuapem Twi,1.3333,1.5
