sample_id,reference,hypothesis,wer,cer
0,alolo ɔbo la kɔ no ɛfuɛ boa ko owu edze afɔku owue anyamado uvi di ya no ayɛto ka zɔ ɔlɔdi,Alʋlʋ ɔbʋ la kɔ nʋ ɛfʋ yɛ bʋa kʋ owu edze afɔku Owu yɛ anyamadʋ Uvi dɩ ya nʋ ayɛtʋ kazɛ ɔlɔdɩ.,0.7619,0.2286
1,"adʊ use dini, alʊɛdɩnɩ kɔ nʊ ɛfɛ ɛdɩnɩ adʊ awu fue, ɛdɩnɩ adʊ awu vɛ, ɛdɩ adʊ avavlitsɛ, kʊ adʊ use dɩnɩ yɛ, kʊ akaɣa use","Adʋ ʋse dini Alʋɛdɩnɩ kɔ nʋ ɛfɛ, ɛdɩnɩ adʋ awʋfue, ɛdɩnɩ adʋ awʋvɛ, ɛdɩnɩ adʋ ɛblɔ kʋ adʋ ʋse dɩnɩ yɛ kʋ akawa ʋse.",0.7308,0.2747
2,"Alʋ ɛdini ya n'udzali Ɛdi adʋ aɣla n'idu, ɛdi adʋ aɣla nʋ akpɔ Atɛ ɛkʋyɛ nʋ atami alɔ, ɛdi zati n'atam'idu kʋ atɛ abidzo dʋ n'atamidu","Alʋɛdɩnɩ ya nʋ ʋdza li Ɛdɩ adʋ aɣla nʋ idu, ɛdɩ adʋ aɣla nʋ akpo Atɛ ɛkʋyɛ nʋ atamɩalɔ Ɛdɩ zati nʋ atamɩdu kʋ atɛ abidzo bɩ nʋ atamɩdu.",0.6923,0.1584
3,owʋ alɔ kʋ owʋalɔɛ eƒiodu Kʋ alʋme ivʋe abehui ɛfʋɛ kasɛsɛ aba owʋetʋ kama kɔdsu ɛsɛ kadzɔ iv owʋe kakɔnaeme ivʋebi ɔyanʋdue kalʋɛdini kɔ kakakɔsʋ nukunu sɛ kadzɔɛ,"owu alɔ kʊ owu ayu alɔ yɛ efiodu, kʊ alʊ me ivu yɛ abeyui ɛfʊ yɛ, kʊ asɛ sɛ aba owu yɛ tʊ kama kɔsʊ ɛsɛ kulue kʊ adzɔ, owu yɛ kʊ afɔnɔ me ivu yɛ bɩ ɔya nʊ udu yɛ, kʊ alʊɛdɩnɩ kɔ kakɔsʊ nukunu sɛ yɛ kʊ adzɔ yɛ.",1.5714,0.4191
4,Alʋ ɛdini kana ɔlʋ kʋ ayɔ gagba dini lɛ kʋ ɛkʋti kʋ akana ɔlʋ ɛdini adʋ awʋfue nʋ ava edini adʋ awʋvɛ nʋ ava kʋ alʋ ɛdini akɔ ɛkɔmɔtɔ ofue nʋ ava kʋ ekʋ uti kʋ akana ɔlʋ iwui dini bibi dʋ atmi ava nʋ ɛfɛ,"Alʋɛdɩnɩ kana ɔlʋ kʋ ayɔ gagba dɩnɩ lɛ kʋ ɛdɩnɩ a kekuti kʋ akana ɔlʋ Ɛdɩnɩ adʋ awʋfue nʋ ava, ɛdɩnɩ adʋ ɔ awʋvɛ nʋ ava, ɛdɩnɩ akɔ ɛkɔtɔ ofue nʋ ava kʋ ekuti kʋ akana ɔlʋ o kʋ ɛ ɔ ivi dɩnɩ bɩ dʋ ɔ atamɩ ɔ ava nʋ",0.5652,0.2911
5,Ɛmɛ lɛ ɛfʋɛdɩ kʋ na mʋ asɩ ɛla dɩnɩ akewele ɛkʋRɔba wɛ li la kʋ akewele ɛkʋɛ,"Ɛvɛ lɛ ɛfʋɛdɩ kʋ namʋ sɛ asɩ ɛla dɩnɩ akewele gaze nʋ ɔɣɔkʋnɩ la kʋ namʋ rɔbawɛ, rɔbawɛ la kʋ akewele ɛkʋ yɛ nʋ ayili kʋ ɔɣɔkʋ dɩnɩ bɩ kɔ nʋ ɛfɛ.",1.2941,0.9333
6,"Edɩnɩ dɩ li la nʋ tɛ kʋ ɛtʋfue alʋ tsʋe Ɔsɩ kʋ ɔdʋ atamɩlɩ yɛ mʋa, ozǝtɩ nʋ uluvi dɩ bʋa kʋ adʋ aɣʋ ʋblɔ nʋ uti nʋ ɔwɛ nʋ ava Ɔsɩ yɛ mʋa akɔ tsɩtsɩ kʋ kɔpʋ ɔnʋlɩ dɩ yadʋ nʋ ɛkplɔ yɛ bʋakʋ ɔlɛ nʋ ayʋ ɛtʋ ava Uluvi ɛfua emlɩ ya nʋ atamɩlɩ kʋ atanɩ emʋ nʋ ʋwɔ ɣafa nʋ ava","Edini dɩ li la nʋ tɛ kʋ ɛtʋfue alʋ tsue Ɔsɩ kʋ ɔdʋ atamɩli yɛ mʋa, ɔzati nʋ uluvi dɩ bʋa kʋ adʋ awʋ ʋblɔ nʋ uti nʋ ɔwɛ nʋ ava Ɔsɩ yɛ mʋa, akɔ tsɩtsɩ kʋ kɔpʋ nʋlɩ dɩ yǝdu nʋ ɛkplɔ yɛ bʋa kʋ ɔlɛ nʋ ayʋ ɛtʋ ava Ulu",0.3594,0.2745
7,"Alʋka dini ʋsealʋ dʋ usedza kʋ akamʋ inʋ Ɛdini kɔnʋ ava, ɛdini adʋ ɛkʋvɛ, kʋ adʋ ɛkʋfue yadʋ kʋ adʋ ʋblʋ awʋ, ɛkʋwɛ yadʋ kʋ awʋ Kʋ awɛgɛbi azɛ ɛkʋxɛsɛ dʋnʋ ayili kʋ ɔkaxɛsɛ","Ɛdini, aluka dini, usealʋ dʋ usedza kʋ akamʋ inʋ Ɛdini kɔnʋ ava, ɛdini adʋ ɛkʋvɛ kʋ adʋ ɛkʋfue yadʋ kʋ adʋ ʋblʋ awʋ, ɛkʋwɛ yadʋ kʋ awʋgɛ bi azɛ ɛkʋxa ɛsɛ dʋnʋ ayili kʋ ɔkaxa ɛsɛ.",0.2941,0.1029
8,Ɛtʋfue alʋ wani lanʋtɛ kakpɔ ʋtokʋ adʋ awʋ ɔvɛ nʋ ava ɛdigbo ayavɛ kʋ ɔyakpɔ ʋtokʋe adʋ ɔwɛ nʋ ʋti kʋ akakpɔ ʋtokʋe atani aya ɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kʋ aka kɔsʋ ma nʋ alɛnɛ kʋ akakpɔ ʋtokʋe,Ɛtʋfue alʋ wani lanʋtɛ kakpɔ ʋtokʋ adʋ awʋ ɔvɛ nʋ ava edigbo ayavɛ kʋ ɔya kpɔ ʋtokʋe adʋ ɔwɛ nʋ ʋti kʋ aka kpɔ ʋtokʋe atani aya ɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kʋ aka kɔsʋ ma nʋ alɛnɛ kʋ aka kpɔ ʋtokʋe.,0.1707,0.0066
9,Alɛ ɛku vɛ dunu uti kɔluwui ni di ku ɔyeli nu ayava ku akɔ agbavlɛ adu awu ofue adu ufa nu uwɔ kpɔlusi dibi ya nu itsɛdi akɔ ɛkɔtɔ ɔwɛ ku akɔ ɛku du nu unuku,Alɛ ɛku vɛ du nu uti ku ɔluwini di ɔyeli nu ayava ku akɔ agbavlɛ ku adu awu fue adu ufa nu uwɔ kpolusi di ni bi ya nu itsɛdi ku akɔ ɛkɔtɔ ɔwɛ ku akɔ ɛku du nu unuku.,0.3333,0.0984
10,Ɛmɛ lɛ ɛfuɛdi alʋ Yovo di keyi ɛkʋ gɛdɛɛ Okeyi kusi ka atani ayɔkele bagi Okeyi ɔ tʋnʋgavi nʋ ɔ ɛkʋ gɛdɛɛ nʋ ɛkplɔ ava,Ɛmɛ lɛ ɛfuɛdi alʋ Yovo di keyi ɛkʋ gɛdɛɛ Okeyi kusi ka atani ayɔkele bagi Okeyi ɔ tʋnʋgavi nʋ ɛkʋ gɛdɛɛ nʋ ɛkplɔ ava.,0.04,0.0106
