sample_id,reference,hypothesis,wer,cer
0,Nyini n-zali tɔrili ni o yiɣimi du zuɣusaa katiŋa.,"Nyini n-zali tɔrili, ni o yiɣimi du zuɣusaa katiŋa.",0.0,0.0
1,"Bɛ ni daa wum Judas ni yɛli shɛm maa, ka di niŋ ba nyaɣisim pam, ka bɛ lo o alikauli ni bɛ ni ti o liɣiri.","Bɛ ni daa wum Judas yɛli shɛm maa ka di niŋ ba nyaɣisim pam, ka bɛ lo alikauli ni bɛ ni tooi liɣiri.",0.1538,0.0641
2,Bɛnkam tumdi dimbɔŋɔnim’ kul ku vuui bɛ zaashee.,Bɛnkam tumdi dimbɔŋɔnim’ kul ku vuui bɛ zaashee.,0.0,0.0
3,"Ka Naa Hɛrɔd daa wum lala maa ka yɛli, “N ni daa ŋma Jɔn Baptaizira so zuɣu la n-lan neei kum ni na maa.","Ka Naa Hɛrɔd daa wum lala maa ka yɛli, ‘N ni daa ŋmaai Jɔn Baptaiza so zuɣu la n-lan neei kum ni maa na.",0.1667,0.0909
4,"A shiri mi, dama di saha bɛ daa pun dɔɣ’ a.","A shiri mi, dama di saha bɛ daa pun dɔɣi.",0.1818,0.0333
5,"Ka Naawuni zaligubaŋdib’ mini Farisiinim’ daa kpahindi Yisa ni bɛ nya o ni tib’ o Vuhim Dabisili dali maa bee o ku tib’ o, dama bɛ daa bɔri ni bɛ nyala o taali ka fiɣis’ o.","Ka Naawuni zaligubaŋdib’ mini Farisiinim’ daa kpahindi Yisa ni bɛ nya o ni tib’ o Vuhim Dabisili dali maa bee o ku tib’ o, dama bɛ daa bɔri ni bɛ nyɛla o taali ka fiɣis’ o.",0.0278,0.0077
6,Bɛ ni yihi kuɣa din daa di buɣim tampuya saɣiri la ni me?,Bɛ ni yihi kuɣa din daa di buɣim tampuya saɣirila ni mi.,0.2308,0.0227
7,"O daa zaŋ o yiko n-kari zuliya shɛb’ bɛn daa galisi ka mali kpiɔŋ gari ya, ka zaŋ ya na ti zaŋ bɛ tiŋgbɔŋ tin ya, ka yi su li kaman di ni nyɛ shɛm zuŋɔ dabisili ŋɔ.","O daa zaŋ o yiko n-kari zuliya shɛb’ bɛn daa galisi ka mali kpe n-gari ya, ka zaŋ ya na nti zaŋ bɛ tiŋgbɔŋ tin ya ka yi su li kaman di ni nyɛ shɛm zuŋɔ dabisili ŋɔ.",0.0789,0.0328
8,Pa nyin’ n-nyɛ ŋun su zuliya kam zaa nam fukumsi?,Bɛnyini n-nyɛ ŋun su zuliya kam zaa nam fukumsi.,0.2,0.0811
9,N chɛ ka baɣisi leei jɛra.,"n-damdi di tooni jɛm li. Dindina di di yi mɔɣi tampiligimdi so, o suhu ni tɛhi m birig’ o maa.",3.3333,2.95
10,"Amaa ka Naawuni nira daa chaŋ naa maa sani ti yɛl’ o, “N dan’ naa, di chɛ ka Izraɛl tɔbbihi ŋɔ pahi dol’ a chaŋ, dama Yawɛ ka Izraɛlnim’ bɛn nyɛ Ifriim zuliya ŋɔ zaa so sani.","Amaa ka Naawuni nira daa chaŋ Naa maa sani ti yɛl’ o, “N dan’ Naa, di chɛ ka Izraɛl tɔbbihi ŋɔ pahi doya chaŋ, dama Yawɛ ka Izraɛlnim’ bɛn nyɛ Ifili zuliya ŋɔ zaa so sani.”",0.0811,0.031
11,Ŋuna n-simdi jilima tibu mini yiko subu hal ni saha din ka bahigu.,Ŋuna n-simdi jilima tibu mini yiko subu hal ni saa din ka bahigu.,0.0769,0.0192
12,"Ka di daa ti lu Vuhim Dabisili dali yaha ka Yisa lan kpe Yɛhudianim’ jɛmbu duu ti wuhiri niriba, ka do’ so ŋun nudirigu bɔɣu kpi daa beni.","Ka di daa ti lu Vuhim Dabisili dali yaha, ka Yisa lan kpe Yɛhudianim’ jɛmbu duu nti wuhiri niriba, ka do’ so ŋun nudirigu bɔɣu kpi daa beni.",0.0357,0.0093
13,ka dabiɛm mini niŋgbuŋ sɔhibu daa paai ma din daa dam n kɔba ni zaa.,Ka dabiɛm mini niŋgbuŋ sɔhibu daa paai ma din daa dam n kɔba ni zaa.,0.0,0.0
14,Hɔdia so mi ni Hashum ni Bɛzai ni.,Ka o daaya somi ni ha shum ni Bɛzai ni,0.75,0.2308
15,n yi n-zan’ a zuɣu.,"Tɔ nya ka guui bee n-gaŋa, dama bɛ tum alahichi.",2.0,2.4167
16,"Dinzuɣu ka bɛ daa yɛl’ taba, “Di chɛliya ka ti chee’ li, amaa chɛliya ka ti tola tɛte n-nya ŋun yɛn di li.","Dinzuɣu ka bɛ daa yɛli taba, “Ti chɛliya ka ti chee’ li, amaa chɛliya ka ti toli ti ti n-nya ŋun yɛn di li.”",0.2174,0.0649
17,"Dama a yɛliya, ‘M biɛhigu nyɛla din be kasi.","dama a yɛliya, ‘M biɛhigu nyɛla din be kasi.’",0.0,0.0
18,amaa o ni kari ninvuɣ’ biɛri bɛn’ bihi bahi.,Amaa o ni kari ninvuɣ’ biɛri bɛn bihi bahi.,0.0,0.0
19,"” Yɛhudianim’ bɛn mini ba daa be m-miri taba ni daa kana, bɛ daa yɛli ti siɣimsiɣim bupia, “Ti dimnim’ maa ni yi bɛ ni be luɣ’ shɛlikam zaa kana ti liri ti.","Yɛhudianim’ bɛn mini ba daa be m-miri taba ni daa kana, bɛ daa yɛli ti siɣimsiɣim bu pia. Ti dimnim’ maa ni yi bɛ ni be luɣisal’ kam zaa kana ti liriti.",0.1875,0.0348
20,Bɛ ni daa niŋ kpam ŋmiri zim viɛl’ shɛli ni bɛ zaŋ mali chi sara daa palila bina ayi maa.,Bɛ ni daa niŋ kpahim ŋmiri zim viɛl’ shɛli ni bɛ zaŋ mali chisara daa palila bina ayi maa.,0.15,0.0294
21,O yaannim’ shɛba n-daa lan nyɛ Hazaaya mini Adaya ni Joyarib ni Zakaria so mi bɛn daa nyɛ Shilo daŋ ni niriba la.,O yaannili shɛba n-daa lan nyɛ Hɛzaia mini Adaya ni Jɔ-Yarib ni Zɛkaria so mi bɛn daa nyɛ Shilɔ daŋ ni niriba la.,0.2174,0.0909
22,Yawɛ ni yɛl’ shɛm m-bɔŋɔ: Ŋuna ŋun nam zuɣusaa ŋɔ.,"Bɛhigu ni yɛli shɛm m-bɔŋɔ, “Ŋuna ŋun nam zuɣusaa ŋɔ.”",0.2,0.1892
23,Di saha ka niriba maa zaa daa saɣi ni bɛ lan zaŋm’ daba ayopɔin puhi chuɣu maa yaha.,Di saa ka niriba maa zaa daa saɣi ni bɛ lan zaŋ daba ayopɔin puhi chuɣu maa yaha.,0.1111,0.0308
24,Ka ŋuni n-lee ni tooi be Ziɔn a daboli din be kasi la zuɣu?,ka ŋuni n-lee ni tooi be Zɛɔn Ada boli din be Kasi la zuɣu?,0.2143,0.0227
25,"Dama bɛ daa bi tooi puhi li di puhibu saha, maligumaaniba bɛn daa mali bɛmaŋ’ be kasi kalinli ni daa bi paai, ka niriba mi daa bi laɣim Jɛrusalɛm na la zuɣu.","dama bɛ daa bi tooi puhi li ti puhibu saha, maligumaaniba bɛn daa mali bɛmaŋ’ biɛ’ kasi kalinli ni daa na bi paai, ka niriba mi daa bi laɣim Jɛrusalɛm na zuɣu.",0.125,0.0574
26,Ahia ni Hanan so mi ni Anan ni.,Ahiya ni Hanan somi ni Anan ni,0.375,0.0435
