sample_id,reference,hypothesis,wer,cer
0,"Shi ya sa da yawa daga cikinku suke da rashin lafiya da rashin ƙarfi, har ma waɗansu da dama suka yi barci.",shi ya sa da yawan a cikinku suke da rashin ƙarfi da rashin lafiya waɗansu ma sun yi barci,0.4091,0.2262
1,Amma ina tsoron tsokanar abokin gāba.,amma ina tsoron tsokanar abokin gāba,0.0,0.0
2,Zai iya yin amfani da wannan zarafi yă ciccire kawunanmu don yă faranta wa maigidansa rai?,zai iya yin amfani da wannan zarafi yă ciccire kawunanmu don yă faranta wa maigidansa rai,0.0,0.0
3,Da manya da ƙanana duka ɗaya.,manya da ƙanana masu arziki da masu birane biyu,1.1667,1.0
4,"Ba don an taƙaita kwanakin nan ba, da ba ɗan adam ɗin da zai tsira.",ba don an rage kwanakin nan ba da ba ɗan adam wanda zai tsira,0.2,0.1569
5,"Sai Yesu ya yi tambaya ya ce, “Burodi guda nawa kuke da su?",sai yesu ya yi tambaya ya ce burodi guda nawa kuke da su suka ce bakwai sai ya gaya wa taron,0.6154,0.6364
6,"Ya ce mata, “Ga shi kome yana a ƙarƙashina, don haka ne ma maigidana bai dami kansa da wani abu a cikin gidan nan ba; kome da ya mallaka, ya danƙa ga kulawata.",ya ce mata ga shi kome yana a ƙarƙashina don haka ne ma maigidana bai damu kansa da wani abu a cikin gidan nan ba kome da ya mallaka ya danƙa ga kulawata,0.0303,0.0083
7,"Ba za ku hallaka su gaba ɗaya ba, don kada namomin jeji su yaɗu, su dame ku.",ba za ku iya hallakar da su gaba ɗaya a lokaci ɗaya ba domin kada namomin daji su yaɗu da yawa su dame ku,0.5882,0.4737
8,Da waɗanda suka san umarnanka.,ƙa'idodinka su koma wurina,1.0,0.6
9,Waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba.,waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba,0.0,0.0
10,"Sa’ad da Azariya babban firist da dukan sauran firistoci suka dube shi, sai suka ga cewa yana da kuturta a goshinsa, saboda haka suka gaggauta tunkuɗa shi waje nan da nan.",sa'ad da azariya babban firist da dukan sauran firistoci suka dube shi sai suka ga cewa yana da kuturta a goshinsa saboda haka suka gaggauta tunkuɗa shi waje nan da nan,0.0,0.0
11,“Mai neman sa wa wani laifi ya jā da Mai Iko Dukka?,mai neman ɗora wa mai iko duka laifi zai iya jayayya da shi,0.8333,0.6579
12,Ka rantse da Allah cewa ba za ka ba ni azaba ba!,ka rantse da allah cewa ba za ka ba ni azaba ba,0.0,0.0
13,Zuriyar Yusuf ɗan Isra’ila ta zauna a waɗannan garuruwa.,zuriyar yusuf ɗan isra'ila ta zauna a waɗannan garuruwa,0.0,0.0
14,Daga nan kuma ya tashi ya tafi wajajen Taya da Sidon.,wa allah ko ta haka kuka hana shi,1.0,0.6905
15,Sulemanu kuwa ya miƙa wa Ubangiji hadaya ta salama da bijimai dubu ashirin da dubu biyu da tumaki dubu ɗari da dubu ashirin .,solomon ya yi hadaya ta gyaran zumunci da shanu dubu ashirin da biyu da tumaki dubu ɗari da dubu ashirin,0.3913,0.396
16,"A lokacin nan za a yi wata matsananciyar wahala, irin wadda ba a taɓa yi ba tun farkon duniya har ya zuwa yanzu, ba kuwa za a ƙara yi ba har abada.",amma a lokacin za a yi wata azaba mai zafi irin wadda ba a taɓa yi ba tun farkon duniya har zuwa yanzu ba kuwa za a sāke yin irinta ba,0.3438,0.3097
17,"Da yake gurasar nan ɗaya ce, ashe kuwa, mu da muke da yawa jiki ɗaya ne, gama mu duk gurasa ɗaya muke ci.",da yake burodin nan ɗaya ne ashe mu da muke da yawa jiki ɗaya ne gama dukanmu burodi ɗaya muke ci,0.2609,0.2532
18,"Ahiyo, Shashak, Yeremot Zebadiya, Arad, Eder, Mika’ilu, Isfa da Yoha su ne ’ya’yan Beriya maza.",ahiyo shashak yeremot zebadiya arat eder mika'ilu izfa da yoha su ne ya'yan biriya maza,0.2,0.0423
19,"Ya kuma ba da shi ga sarkin Isra’ila, wanda ya jijji masa a yaƙi.",ya kuma ba da shi ga sarkin isra'ila wanda ya jijji masa a yaƙi,0.0,0.0
20,"Amma Ubangiji yana tare da Yusufu, ya kuwa nuna masa madawwamiyar ƙauna, ya sa ya sami farin jini a wurin yarin kurkukun.",amma yahweh ya kasance tare da shi ya nuna masa ƙaunarsa ya ba shi farin jini a idon shugaban masu gadin kurkukun,0.6364,0.567
21,Ka amsa mini in ka san dukan waɗannan.,me yake amsa mini in ka san dukan waɗannan,0.25,0.1667
22,"Waɗannan su ne manyan Horiyawa, ’ya’yan Seyir, maza, a ƙasar Edom.",waɗannan su ne manyan horiyawa ya'yan seyir maza a ƙasar edom,0.0,0.0
23,"’ Yanzu fa, ya Allah na Israila, sai ka tabbatar da maganarka wadda ka yi wa bawanka, Dawuda, tsohona.",yanzu ya allahn isra'ila bari ka tabbatar da maganar alkawarinka wadda ka yi wa bawanka babana dawuda,0.4444,0.3077
24,"Yakim, Zikri, Zabdi, Eliyenai, Zilletai, Eliyel, Adahiya, Berahiya da Shimra su ne ’ya’yan Shimeyi maza.",yakim zikri zabdi eliyenai ziletai eliyeyel adahiya berahiya da shimra su ne ya'yan shimeyi maza,0.1333,0.0375
25,Don in samu in haɗiye yau?,ɗan lokaci domin in sami damar haɗiye miyawa,1.0,1.05
26,"Dukan dukiyar da Allah ya kwashe daga wurin mahaifinmu, tamu ce da yayanmu, yanzu fa, kome Allah ya faɗa maka, sai ka yi.",dukan dukiyar nan da allah ya karɓa daga wurin babanmu tamu ce da ya'yanmu ka yi duk abin da allah ya faɗa maka,0.4783,0.3085
27,"Sai dukan sarakuna, da dukan jamaa, suka yi farin ciki, suka kawo kuɗin da aka aza musu, suka zuba a babban akwatin, har ya cika.",dukan dattawa da mutanen suka yi murna suka kawo kuɗi suka zuba a akwatin har ya cika,0.48,0.4242
28,"” Haka kuma bayan jibin, sai ya ɗauki ƙoƙo, ya ce, “Ƙoƙon nan na Sabon Alkawari ne, da aka tabbatar da shi da jinina.",haka kuma bayan jibin sai ya ɗauki kwaf ya ce kwaf nan na sabuwar yarjejjeniya ce tabbatacciya ce da jinina,0.4348,0.3448
29,Ko akwai wanda zai iya kama ta ba ta kallo.,ko akwai wanda zai iya kama ta ba ta kallo,0.0,0.0
30,"Sai ta ce wa mahaifinta, “Kada ubangijina ya yi fushi da ban iya tashi ba, don ina aladar mata ne.",sai ta ce wa babanta baba kada ka yi fushi da ni yadda ban tashi ba gama ina cikin al'adar mata,0.5,0.4667
31,"Addar, Gera, Abihud Abishuwa, Na’aman, Ahowa, Gera, Shefufan da Huram.",addar gera abihud abishuwa na'aman ahowa gera shefuffon da huram,0.1,0.0377
32,Sunan tsohuwarsa Yerusha yar Zadok.,sunan mamarsa yerusha yar zadok,0.2,0.2
33,Amma na gane harbin iska nake yi kawai.,amma na gane cewa wannan ma ƙoƙarin kamun iska ne,0.875,0.7419
34,"Na kuwa tambaye shi game da raguwar Yahudawan da suka tsira daga kwasan zuwa zaman bauta, da kuma game da Urushalima.",na kuwa tambaye shi game da raguwar yahudawan da suka tsira daga kwasan zuwa zaman bauta da kuma game da urushalima,0.0,0.0
35,"An ba shi tumaki dubu goma sha huɗu , da raƙuma dubu shida , da takarkari dubu biyu , da jakai mata dubu ɗaya .",ya sami tumaki dubu goma sha huɗu da raƙuma dubu shida da bijiman noma dubu biyu da jakuna mata dubu ɗaya,0.2857,0.2169
36,Kaidodin da ka bayar kuwa dukansu masu kyau ne.,ƙa'idodinka masu adalci su kuwa abinci,0.8889,0.5789
37,"” Kada fa mu yi fasikanci yadda waɗansunsu suka yi, har a rana guda mutane dubu ashirin da uku a cikinsu suka mutu.",kada fa mu yi fasikanci yadda waɗansunsu suka yi har ma a rana guda mutane dubu ashirin da uku a cikinsu suka mutu,0.0455,0.0222
38,"Domin Farisiyawa da dukan Yahudawa ba sa cin abinci sai sun wanke hannu sarai tukuna, saboda bin aladun shugabanninsu.",ga shi farisiyawa har da sauran yahudawa ba sa cin abinci sai sun wanke hannu sarai tukuna bisa ga al'adun dattawa,0.3684,0.2959
39,"Tun da ya same shi, ba ruwansa da kome, sai dai abincin da zai ci.",ba ya tunanin kome sai dai abincin da zai ci,0.4667,0.3878
40,Raƙumar ruwan mutuwa sun kewaye ni; raƙumar ruwan hallaka suna cin ƙarfina.,raƙumar ruwan mutuwa sun kewaye ni raƙumar ruwan hallaka suna cin ƙarfina,0.0,0.0
41,"Allah, wanda ya kira ku zuwa ga zumunci tare da Ɗansa Yesu Kiristi Ubangijinmu, shi mai aminci ne.",allah wanda ya kira ku zuwa ga zumunci tare da ɗansa yesu kiristi ubangijinmu shi mai aminci ne,0.0,0.0
42,"Ko kuma, me mutum zai bayar a musayar ransa?",shi da me kuke zancen rashin burodi har yanzu ba ku gane ba,1.3333,1.0
43,’Ya’yan ɗan’uwansa Helem su ne.,ya'yan ɗan'uwansa helem su ne,0.0,0.0
44,"Daga cikin dukan biranen Yahuza, mutane suka zo don su nemi Ubangiji.",su nemi nufin yahweh su yi roƙon taimako daga wurin ba,1.0,0.7679
45,"har su ce, ‘Hannunmu ne ya yi nasara; ba Ubangiji ne ya aikata dukan wannan ba.",har su ce hannunmu ne ya yi nasara ba ubangiji ne ya aikata dukan wannan ba,0.0,0.0
46,kamar daga tukunya mai tafasa a kan wutar itace.,kamar daga tukunya mai tafasa a kan wutar itace,0.0,0.0
47,"Lotan, Shobal, Zibeyon, Ana, Dishon, Ezer da Dishan.",lotan shobal zibeyon ana dishon ezer da dishan,0.0,0.0
48,"Ga abin da Ubangiji ya ce muku, ‘Kada ku ji tsoro ko ku fid da zuciya saboda wannan babbar runduna.",ga abin da ubangiji ya ce muku kada ku ji tsoro ko ku fid da zuciya saboda wannan babbar runduna,0.0,0.0
49,"Saboda haka duk wanda ya ci gurasar nan, ko ya sha a ƙoƙon nan na Ubangiji da rashin cancanta, ya yi laifin wulakanta jikin Ubangiji da jininsa ke nan.",saboda haka duk wanda ya ci burodin nan ko ya sha a kwaf nan na ubangiji da rashin cancanta ya yi wa jiki da jinin ubangiji zunubi ke nan,0.2759,0.25
50,"Ya mutu, aka binne shi a birnin Dawuda, amma ba su binne shi a kabarin sarakuna ba.",ya mutu aka binne shi a birnin dawuda amma ba a binne shi inda ake binne sarakuna ba,0.2353,0.1719
51,ƙarfinta da kuma kyan kamanninta ba.,ƙarfinta da kuma kyan kamanninta ba,0.0,0.0
