sample_id,reference,hypothesis,wer,cer
0,"Ɔ kekolosi kɛŋa taŋ nɛ, be popou tisiwɔ buŋ ba doona dɔɔ te be fanewɔ.","Ɔkʋkʋlʋsi gyaŋ atánɛ, bʋ bʋbɔɔ ti su ɔbʋ badɔnɔɔ ti ba fanɔɔ.",1.0,0.4815
1,"Ɛ seŋ keŋkeŋ ɛ kelɛɛdi man kelii ɔto na, ɛ ke nyiŋ nyeedoŋ.",Oseŋkəŋkəŋ ekeledimaŋkəli otorna eke nyinyindo o.,1.0,0.3556
2,"Walaŋ kamasɛ ŋon ɔ kala tɔne kei man nombia fa balaŋ na, ŋon na nyeebam.","Wɔla nka ma sɛngwɔngɔ ɔnkala tɔne ki me ne meɛfa balana, wɔnna nyi ba",0.9333,0.3929
3,"” Wurubuarɛ ka lese Sɔɔl lee gyoori man nɛ, ɔ moo Defidi see gyoo.","Ɔbɔɔ, dekɔ lɛji sɔɔ le joruma nɛ. Ɔmɔɔ, David si joruma nɛ.",0.9231,0.64
4,"Botɔɔ te wonembukum ŋon puu loŋ lee ɔ nɔɔman ŋgba boo kakpela nɛ, na ke gyɔ alo ŋon laŋ.",Ɔ tɔɔ wɔɔ nɛ owo ku mɔmɔɔ booli onle o naɔma. Nna bo boo ka falanɛ. Nna ku jawalɛŋ wɔnla.,1.0526,0.5441
5,Na tɛɛle kei dɔɔ balaŋ pou yaa mɛɛ fane maa fa ya.,"Na Ɛlɛɛkye baɛ mboo, ya mɛfa ne mafa",0.9167,0.5
6,"” Te Simɔn yako wɔ nyi, “Mɛɛ waase ŋon bo ɛ fane fa de Gbeŋgyoo Wurubuarɛ fa maŋ, na ŋan pou ɛ be yako nɛ man dokoloŋ gba be kɔŋ me dɔɔ ya.","Desii m'Ayaakuɔɔnyi. M'ɛɛwasumŋbɔ ɛfa n-fa dwi-Gyoorwurɔ a-famaŋ. Naŋ ampuɔ ɛbɪa kɔ nɛ, ma n-dokuruŋgba bɔɔ kɔɔ mɔ dɔɔ yɛ.",0.9375,0.3824
7,"Da ke kalaa dɔŋa taŋ keŋ nɛ, da moowɔ loŋ keŋ dɔɔ teeŋ te da toŋawɔ gyu Kosi donɔɔ man.",Aka kaladɔnga taŋkɛnnɛ. Damɔɔlɔŋkɔndɔɔ tĩĩ. Tɔda tɔɔnwɔ jukosi doo noɔmɔ.,1.0,0.3939
8,"Botɔɔ te Wurubuarɛ kpilala bala baŋ nyii woya ŋaale kolosiwɔ na wɔ keŋkeŋ lee adido nyiaa, “Ɛ gyeŋ kɔŋ adido kɛbo.",ɔtaatɔ oorubaarɔ kulalaabaŋ. Niwyaŋaale kolesi wɔ nawɔ. Kənkənle adido nyia.,0.9048,0.4505
9,"Mɔna Wurubuarɛ wii de waraŋase te lee ɔ kegyae dinaa keŋ ɔ ne gyae de nombia nɛ dɔɔ, ɔ tɛɛwɔ Kristo dɔɔ fa daa baŋ nafɔ debaŋ kenaŋ man dɔɔ yem de dukum man nɛ nyeedoŋ.","ɔmɔna wudu baɔ wiu dʊa danga sɛ tɛlɛ ɔkɛgya idi na kɔ, ɔnɔ gya idi nɔmyaana dɔ ɔtɛɔ kriso dɔ fa d'abaa na fɔ dʊba nkɛ nɔ m'andɔɔ, ayɛ m'dede ku m'anɛ, nyi dɔ",0.9722,0.3664
10,"Na dɔɔ tekaa bese bia wɔlɛɛ keŋ balaŋ ka mo kawola kumɛɛ kamasɛ na ba adao gbɛɛneŋ kaa beo daa, na kegyɔ daa gyu sia na wɔle ŋgba mena keŋ feliŋ ne gyɔ degbele loŋ dɔɔ nɛ ya.","Inna ɔta kaɔse bɪa ɔwɔlɛ, kɔmbalankamɔ kaɔlɛ kumɛ kamsa, na baada ɔgwɛnɔŋ kaabe ɔda, na kujɔda jusiya na ɔwɔlɛ, mɔmɔ na kəm fɔle nɔ jɔdɪwulɛ lundɔnɛ.",0.9211,0.437
11,"Botɔɔ te Yesu tiranɔɔ fa wɔ nyiaa, “Ɛ kɛɛ ɛ wose nideli nyi ŋolo na beo ŋon ya.",Ɔtaatyeese traa no fawɔnya. Akaɛ woseɛ ni dele. Nyingolo naa be Ɔngɔnya.,1.0,0.4068
12,Ŋon yɛna Yesu Kristo ŋon ɔ gbɛɛneŋ tenɛɛ Wurubuarɛ siaman nɛ.,"Owoya na Yesu Kristo ngo ogba enantene, oruba re Siaman,",0.7273,0.4
13,"Wurubuarɛ lese na ŋon nyi yaa yɛɛ ɔ balaŋ, mena dɔɔ te ɔ ne gyae nyi ɛmɛɛ na ɛ tebia pou yaa kyaa na dɔŋa, na debaŋ kamasɛ na ɛ ne fane fa ŋon Wurubuarɛ karaŋ.","Oluwa Alɛsena nwun, nyiaa yee ɔbala. Mənə dɔɔ tɔɔ nyanjaa yee nyi, ɛmənɛ etebi po yaa kyana daŋga. Nadibang kamaa səna, ɛnɛ fənə fənə nwun ɔbala kara.",0.9167,0.4215
14,Na Arisitakuse ŋon ɔ ba lee Tesalonika donɔɔ keŋ ke kyaa Masedonia tɛɛle man nɛ doo de man.,"Na Aristarkus, wa a ba le Tɛsalonika ndo no, kɛnkɛkya Masedonia tɛlɛmanɛ do dɔmɔ.",0.8333,0.3151
15,Ma gyeŋ nyi ɔ yɛɛ Kristo walaŋ kpaakpaate e keŋ dekara be doo ɔ man ya.,"Mɔgyinya ɔyɛ Kristo wani kpátíɔ, kɛnkɛlɛbʊɔ ɔmanya",0.9375,0.4909
16,Yesu yɛna keŋmaŋee fa balaŋ tɛɛle kei dɔɔ.,"Yesu yaɛkwɛɛ nyia. Mɔmɔ m'abɛdya m'abono m'fɔya, ta, na takayɛ dukumbla ya. Nɔmbya kaŋŋawala nɛ. Yesu bɛsɩwɔɔ kɔlɛsɩ faba lamban nyia. Ma yɛna kaŋmaŋɛ faba laŋtɛlɛ keee dɔ.",3.375,3.2059
17,Ba lola e bo mena na balaŋ kena gyakoloŋ nombia ŋan Wurubuarɛ waa yɛɛ ɔ man.,Bololabo mɛna na balankina dyakolono mianyang Rubarawa yɛ oma.,0.9375,0.3
18,"Nyi akpaa ɔ te yɛɛ neŋ nombiikum daale, yaa ɔ dana neŋ kolo kom na mo ke nyi maŋ danaana neŋ kom nɛ.",Nyaa ɔdaana nnɔn miku mdale. Nyaa ɔdaana nnɔn kɔm na. Mɔkɔye m'andaana nnɔn kɔm na.,0.9565,0.4737
19,Ɔ nyii ɔ baale Aberaham dei te ɔ baake e nyi ɔ gbeŋgyoo.,"ɔnyɛ ɔbare Abraham de, tɛ ɔbaki nyi ogbonjo",0.9231,0.3721
20,"Mɛɛ yako ŋon nombia kɛŋa baa ŋgba kpene keŋ doo na ke gbɛɛ nɛ, mɔna ka te yɛɛ mmaraa te mɛɛ fa ŋon ya.",M'aɛ kɔnu m'ya kɛnganba ngba pɛne kɛn do nakpɔɛne.,1.0,0.6883
21,"Dana maŋ gyoŋ te mɛɛ lese de Gbeŋgyoo Yesu yele, nawolo nyi nɛnɛɛ ɛ ta bese lese wola nyi me nombia ne hia ŋon.","Demane tsitsibu ikpɔnya osu eye lɛ. Nɔwerɛ nyi na ne etalsɛ wɔla nyi, mɔnɔmyeɛ na hian.",0.9167,0.5814
22,"Nawolo nyi ɛmɛɛ gbagba ɛ gyeŋ nideli nyiaa, mena kayeyɛɛ kei yɛɛ kpene keŋ Wurubuarɛ be yako see nyi gyae ke kɔŋ de dɔɔ.","Nnawulɛɛ mɛɛwo gbɛɛ adyeni deli nya. Mɛnɛɛ keɛ keɛ keɛ pɛneɛ kɛnɛ hubara beɛ kwasi nye, dyaɛ kɔɔ kɔndii dɔ.",1.0,0.5263
23,"Keŋte Yesu bɔɔse wɔ nyiaa, “Sena te Wurubuarɛ gyoori keŋ doo?","Kaa ntɛ́ Yésu básoɔ́ nyá, sena te Rubare jɔree kandoo.",0.8182,0.5
24,"Ɔ kɛɛ ŋmatee ŋa nɛ, ŋaale yalawɔ gbɛɛneŋbia ŋan doo wɔɔ keŋ man nɛ man, te gyebuse kaa tɔɔsee ŋa di.","ɔwɔ kɛɛ mətɛŋanɛ, ŋa lɛ yela wɔbɛnindiyaŋa, do wɔ kɛmmanema. Tegyebu se katoɔ seŋedie.",0.9048,0.3636
25,"Ɔ kekyaa botɔɔ nɛ, te alo ŋolo kɔŋawɔ ɔ gyaŋ na ɔ dana nuŋ ofoŋofoŋte keŋ ke dana koyadoŋ nɛ porontia tɔɔ.","ɔkaba tɔɔ ne. Ɔtɛ alumuɔ kɔngwɔ ɔja, na ɔda nɛ n'ofo-ofoɔ ntəkə, na ɔda nɛ kwiadoɔ ne, prɔnntya tɔɔ.",0.9091,0.4578
26,"Nawolo nyi kpene keŋ de Gbeŋgyoo Yesu ba wola maŋ te ke dana tɔnɔɔ kela kpene kamasɛ nɛ, keŋ yaa ma moowɔ mɛɛ wola ŋon nɛ.","N'oɔne yɛnkɔne nkɛbɔ nlɔyeesuba wɔ lama, taka dɔna tɔnɔɔ kpɛlɛ nkɔne kama sɛnɛ, kɛyamba mɔɔɔ mɛwula ngɔne.",0.9615,0.4842
27,"Mɛɛ solo nyi waa gyuusu ɛ konɔɔse, na ɛ ke nyiŋ gyeŋ kpene keŋ dɔɔ ɔ ba lese ŋon na kpene keŋ dɔɔ ɛ loo gyakaa nɛ, na ɛ ke nyiŋ gyeŋ abɔɔ ŋan Wurubuarɛ be yako see nyi waa mo fa baŋ bɔɔ mo ba wose fa Kristo nɛ.","M'ɛɛsé olúnyí, ɔwá adúosú ekó nɔsɛ́, nɛ́ ɛkɛ́nyɛnyɛngyɛngwánɛ́ kɛnndɔ́ ɔbáalɛsɛkpɔng, nɛ́ kpɛ́nɛkundúɔ ɛlógyakánɛ. Nɛ́ ɛkɛ́nyɛnyɛng ábɔngngá ɔbárábɛkyísényɛ́ owáa mɔfag, báa mbɔmɔ, báɔsɛ fá Kristo nú.",0.94,0.481
28,"Mena dɔɔ ɛ na fa walaŋ kamasɛ gbɛɛ na waa beo ŋon, na waa lese ŋon lee ɛ gbɛɛ man kɔŋ ŋon wui gbɛɛ kum man nyi ɛ kaa sila e ya.","Omunaguo, ɛnaa fɔɔ wʋalɛɛ nkampa sɛbɛɛ, nɔɔ w'abɛɛ ʋngwu. Nɔɔ w'alɛɛ so mu lee ɛgbɛɛ mankpɔɔ, ʋngwu wii gbɛ kum kɔ m'anyɛ. Ɛkaa sɛlaa yɛ.",0.9375,0.5106
29,"Me ka lee Gyerusalɛm donɔɔ man kulutooneŋ burum wɔle nɛ, ma besewɔ kɔŋ botɔɔ te ma moo kɔba na abɔɔ kɔna me tebia Gyudatena baŋ na baa mo fa ayematena, te me faa Wurubuarɛ mɔ kedi.","Mɔ ka le Yerusalɛm dɔlɔmɔ, kuto numburom ɔwɔleɛ nɛ. Ma wɔsɛ ɔkɔmbɔtɔ, tɔma mɔɔ kɔba, na bɔɔkɔɔ na mɛteɛ biabuɔ dɛtɛ na ba. Na ba mɔfɔ ayɛmatina. Tɔ mɔfɔ wura ba mɔɔ ka...",0.8611,0.3732
