sample_id,reference,hypothesis,wer,cer
0,"Ɛmɔ kʋsʋ mɔ ɛmɔ tɩ mɩnlɩan'n, ɛmɔ nʋn bɛ́ ngʋa'n-mɔ sɩ́n atɩn m'ɔ tɩ fɔ́ʋ́n, ɔ tɩ sɛsɛ nɩn asʋ. Ɛsɛ, nán man ɛmɔ alʋa fi kɛ ɛmɔ kʋsʋ le Mɩnlɩan kʋn. Mɩnlɩan sɔ'n wɔ nyanmɩansʋ ɛlɔ.","E mɔ́ kɔ su mɔ ɛ mɔ́ tí mɛ́ nìán, ɛ mɔ́ nù bɛ nguá ni mɔ. 5 á ti mɔ́ ti fɔ́, ɔ ti tɛ́ sɛ́ ní á sɔ, ɛ́ sɛ́ ní mɔ́ ɛ mɔ́ alɔ́ fí kɛ́, ɛ mɔ́ kɔ su lé mɛ́ ní á kɔ. Mɛ́ ní á sɔ ní wɔ́ Nyamián sɔlɔ.",0.0351,0.0029
1,"Ɛmɔ bɔ́ mɔndɩnlɩn bɛ tánlan mmʋtʋɛ ɛyɔlɛ nɩn anun, bɛ mán bɛ́ nyɩn kpála, ɛsɛ bɛ lá Nyanmɩan asɩ.","M'aba ba m'adɛn bɛtɛ na motoɛ yɔ ni anuu. Bɛma bɛnyɛ mpara, ɛsɛ bɛla Nyame ase.",0.0499,0.0066
2,"Mɛlɛ mɔ ɛmɔ 'sɛlɛ Nyanmɩan'n, ɛmɔ sɛ́lɛ bie bɛ mán yɛ́ kʋsʋ maan Nyanmɩan kpɛ́ atɩn kpa ɔ mán yɛ hán yɩ́ Nʋan Ɛjɔlɛ'n, yɛ bɔ́ Kilisi nvɩalɩɛ nun ɛjɔlɛ'n mɔ sian dɩɛ Nyanmɩan a yɩ a hele'n. Afɩ nvɩalɩɛ nun ɛjɔlɛ sɔ'n dunman nun yɛ̂ n na fiadɩ tɛmʋn mɔ yɛ wɔ nun nɩn ɔ.","Mɛrɛ mɔɔ ɛmɔsɛlɛ Anyamiɛn, ɛmɔsɛlɛ bie bɛ ma yɛ kɔ so. Ma Anyamiɛn twe atin kpa, ɔma yɛ han yinruɛ ajɔlɛ ni. Yɛ bɔ Krisin vialɛ nu ajɔlɛ ni, mɔɔ sin diɛ Anyamiɛn ayie ahyɛrɛ ni. Afeɛ vialɛ ni ajɔlɛ so niduɛ man ni. Yɛ nnafi adɛ tɛmɔ mɔɔ yɛ wo nu ni.",0.0156,0.0018
3,"Ɛhɩka ati, ɛmɔ sɛ́lɛ Nyanmɩan. Ɔ mán n gán nvɩalɩɛ nun ɛjɔlɛ sɔ'n kɛ ɔ fata kɛ mɩn kan yɩ́'n, nán menian'n-mɔ a tɩ yɩ́ bʋ kpa bɔkɔɔ.","Aka tiɛ, ɛmɔ sɛlɛ nyame an. Ɔma nkan via lenu jɔrɛ sɔn, kɛ ɔfata kɛɛ me kanyi, na meni anmɔ adie bɔ kɔbɔkɔ.",0.0306,0.0038
4,"Ɛmɔ nʋn bɛ́ mɔ bɛ nzɩ man Kilisi'n tɩ a, ɛmɔ nánndɩ ngɛlɛ sʋ. Tɛmʋn'n mɔ yɛ wɔ nun'n, ɛmɔ hán Kilisi anwʋn ɛjɔlɛ'n bɛ héle bɛ́.","M'ano, m'ano, bɛn soman, kriseɛn nti a. M'ano na deɛ nkaeɛ so. Deɛ m'moɔ yɛ wo nnu nnu, m'mo hɔ krisiiɛ awoɔ jɔleɛ mbe hɛlɛ bɛ.",0.0357,0.0063
5,"Ɛmɔ mán bɛ́ nʋan ɛjɔlɛ'n yɔ́ fɛ, ɛsɛ bɛ hán ɛjɔlɛ m'ɔ kɔ atɩn sʋ. Yɩ́ dɩɛ, sɛ sʋanlan bie bisa ɛmɔ kosuan an, anɩn ɛmɔ nyan bie bɛ bua yɩ́ kanlanman.","Ɛma mo ma bɛ nu ɛjɔɛ nɛ yɔ fɛ, ɛsɛ bɛnha ɛjɔɛ mɔkɔ atɛ nso. Yɛ dɛɛ, sɛ ɛsɔnɔ bie bɛ ba ɛmɔ kɔ sun a, ane ɛmɔ nyia bie, bɛ bu ayɛɛ kamma.",0.0254,0.0034
6,"Tisiki tɩ yɛ́ nianman kpa, ɔ sʋ Kilisi ananhɔlɛ nun, ɔ bʋka mɩ́n yɛ di yɛ́ Mɩn junman'n. Ɔ 'ba bɔ kʋalaa kʋalaa'n ɔ kele ɛmɔ, nán ɛmɔ a nwun ɛjɔlɛ'n mɔ ɔ'a tʋ mɩ́n'n.","Di siké té yè ni amã pa, osukirisi anaholonun, oboka mi yédi yémi juma'n, oba bo akwa kwa'n, okélé yamo, na é mwanwui èjwa le mo wato mi.",0.0286,0.0041
7,"Ɛhɩka ati, mɩɩn sʋan anianman sɔ nɩn ɛmɔ anwʋn ɛlɔ, maan ɔ kan ɛwa ɛjɔlɛ ɔ kele ɛmɔ, nán ɛmɔ ahʋnlɩn a tɔ bɛ́ kunnun b'a nyan anwʋnsɛlɛ.",Ekati mesi ni amasoni emalo ma oka ewa jone kele emo na emo ahura ato be kunu benya ahusele.,0.0344,0.0054
8,"Mɩɩn sʋan yɩ́ nʋn Onezimʋn ɛmɔ anwʋn ɛlɔ. Ɔ tɩ yɛ́ nianman kpa, ɔ sʋ yɛ́ Mɩn ananhɔlɛ nun. Ɔ nʋn Tisiki, bɛ 'ba bɔ ɛwa kʋalaa kʋalaa'n bɛ kele ɛmɔ.","Mɛn su ayeɛ nɔn ɔnɛziɛ mɔ ɛ ma wun lɔ ɔ ti yɛ ni ɛ ma kpa, ɔ sɔ yɛ mi ana hɔlɔnu, ɔ nti sikiɛ bɛ bɛ bɔ ɛ wa kwa kwa ni, bɛ kili ɛ mɔ",0.0302,0.0036
9,"Alisitakɩ mɔ mɩn nʋn yɩ́ la fiadɩ sʋa nɩn anun ɛwa'n, yɩ́ nwan ɔ 'yɔ ɛmɔ like. Maakɩ m'ɔ tɩ Baanabasɩ anianman'n, yɩ́ kʋsʋ yɩ́ nwan ɔ 'yɔ bɛ́ like. Maakɩ sɔ'n, m'an han yɩ́ nwʋn ɛjɔlɛ m'an hele ɛmɔ daba. Yɩ́ ti, sɛ ɔ ba ɛmɔ anwʋn ɛlɔ a, ɛmɔ sɔ́ yɩ́ nun kanlanman.","Ale si take. Mo amoin e la fia di su enu nu wan. E wo oyo mo like. Ma ke mo te banana ba se, a ni aman. E ko so yenu o oyo be like. Ma ke so en, ma ha en o jo ye mo hle mo da ba. I di, se oba e ma hlo a. E mo so i nu kan ma.",0.0205,0.0027
