sample_id,reference,hypothesis,wer,cer
0,Lɛ loso mlayurɔ ligbã́ kluklu ni litukpo me gagla kakaa.,a lo su mna iró le kpa o ku lu lu i le tu lu me ka ku la ka,1.9,0.5333
1,"Pɔ̀ xegi kwitapo isu ya edi kpɛ ɔtɔ ɛ, kutrába Aya yɛ litsixwaxwa nɛ ese e.","Nyo-e-ko nyi-tapo-e nye-yi-di-pe o-tue, ko-t-re-ba a-ye yi-ye li-tse-kwa-kwa-ne",1.0,0.5439
2,"Ní elesi atɔ mɛ ɛ, Nikodemo atrɛ ní Yesu klɔ lɛ asi yɛ sì, “Rabi, kwite si wonu ɔdɔbasɛ gi ádɔ ní Aya kɔ ɛ.","ɛni yɛlɛ yi a to mɛ, nu kɔrɛ mɔ anɔtɔrɛnɛ yɛ su kɔlɔ lɛ ase yɛsɛ, Rabi, gi tɛ si vu nu ɔdɔkɛse, gi adɔni ayi ɔ",1.0,0.3974
3,"Lɛ Maria ɛ, yɛ apɔ Yesu gi yɛ onu Kristo e.",Eme Maria ye afo Yesu gye oonu,0.8182,0.5484
4,"“Mose liɛ ke asi Israelbanɛ ma si, ‘Aya aatsisi mlɔ oboedoplɛ, kiliɛ gi atsisi mɛ ɛ, lɛ aaze mlɔ tutɔ mlɔ mɛ tole e.",Mose liɛ ke asi Israel bane masi a ya ati simron ubedo pɛlɛ kiliɛ ke ati simɛ lɛ a ze simron tutɔ simron metɔ,0.8333,0.3218
5,"Dɔni níklɔ ʋa ɛ, kwisɛ dzɛ lɛ kwizeku Regio ɔma ʋidi no me.","Dɔnĩŋklɔʋe, kɔ̃ sɛ̃ dzɛ le kɔ̃ ziku, rɛgɛo, ɔ̃maʋidiŋ.",0.9231,0.3778
6,Lɛ ese linu si onugu lo izɛpani eboa la gi alɛ ní ɔna nɔ mɛ ɛ.,Esenu si onugulo ezepani ebalage aleni onanawo,0.9375,0.3043
7,"Lɛ ɔnɔnɔ ɔ́tani ɔdzi nɔ kukpasi i, sani banɔ akpe alafa tole avitene ni tiene ba gi bebu idɔni kesea aʋa ɛ.","Aŋɔnɔ otani o dziŋɔ okpasi, sãni banɔ akpe alafato le, aviteŋɔ ni tinya bagɛ. Debwɔdɔŋɔ ke sabã",0.8636,0.3253
