sample_id,reference,hypothesis,wer,cer
0,Suɔmi Yeɔ Bua Wɔ Nɛ Wa Daa Ninyɛ Nya,Sumi ɔ bɔɔ nɛ wa da ni nyɛnyɛ,0.7778,0.2857
1,MƐNI LƐ HAA NƐ KRISTOFO NO BUA JƆƆ?,Mini lɛ ha nɛ Kristofonɔ bɔ mɔ dze?,0.75,0.3333
2,"Mo pia o he ngɛ o yayamihi a he, nɛ o pee tsakemi ngɛ o si himi mi",O hɛɛ ngɛ o yayammi a he. Nɛ o pee tsakemi ngɛ o si himi mi. Modzɔ.,0.2778,0.2917
3,MOO KASE MATSƐ DAVID NƆ HYƐMI NƆ́ Ɔ,Mɔ kase mɔ tsɛ David nɔ hiɛ mɛ nɔ,0.75,0.2222
4,NƆ́ NƐ E SA NƐ O PEE LOKO A BAPTISI MO,Sane o pi Luku abaptisimo. Kuku enyo.,0.9091,0.6667
5,Yehowa Nɛ Ji Wa Tsɛ ɔ Suɔ Wɔ Wawɛɛ,Yehowa nɛ ji wa tsɔɔlɔ wawa wɛ,0.5556,0.1923
6,Mɛni weku yi ko ma nyɛ maa pee kɛ tsɔɔ kaa e baa e he si?,Meni weku yiku manye ma pee kɛ nɛ e ba e he si?,0.5,0.2927
7,"Marie-Line: Daa Hɔɛgbi ɔ, wa jɔɔ wa he, nɛ wa dlaa wa he kɛ haa asafo mi kpehi. Kɛ je Pɛplɛgbi kɛ yaa a, wa yaa fiɛɛmi.","Ahuegbe o, wa jɔ wa he, ne wa dla wa he kɛ ha asafom kpe mi. Kɛji pɛpɛɛpɛ gbi kɛ ya, wa ya fie mi. Enɛ mɛ kɛ he sa nɛ...",0.8889,0.4884
8,A ‘FƆ MƐ EKOHU’,A fɔ ome oo,0.5,0.5
9,A FƆ MI NINE KAA MA SƆMƆ KAA KPƆ MI NƆ HYƐLƆ,A fɔ mi ni de kɛ asɔmɔ kɛ apɔ mi nɔ hiɛ lɔ,0.6667,0.2121
10,LOKO A MAA BAPTISI MO:,Mɔ ni pee loko a mɔ baptismo mɔ lɛ e he jɔɔmɔ,2.0,1.2941
11,NYƐƐ “DI NÍHI NƐ NGƆƆ TUE MI JƆMI KƐ BAA” A SE,Nye de nine ngɔ tɔ nye mi kɛ ba si,0.8333,0.4848
12,"Anɛ o pia o he ngɛ yayamihi nɛ o pee ɔmɛ a he, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa guɔ kɛ heɔ nɔ yi wami lo?","O pĩa o hɛ yami nɛ o plɛ o hɛ nɔ, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa gu lɛ nɔ kɛ hɛɛ nɔ yi wami nɛ loo? Ani o nu",0.4872,0.3143
13,WA NÍ TSUMI EHE KƐ E MI NYAGBAHI,Wani tsɔɔ mi ehe kɛ emi agbahim,0.75,0.24
14,O Ma Nyɛ Maa Pee Nɔ Nɛ Woɔ Ni Kpahi ‘A Bua Wawɛɛ Nitsɛ’,O manye mapɛ nɛ ɔ nɛ wo ni kpaya bua wa we ni tɛ,0.8571,0.275
15,asafo mi nɔkɔtɔma ji mo?,Ke asafo mi nɔkɔtɔma ji mo,0.2,0.1053
