sample_id,reference,hypothesis,wer,cer
0,NIBII NI BAAYE ABUA BO NI OBATSƆ KRISTOFONYO NI EDA YƐ MUMƆŊ,Nibi ni bai ya bua bo niu ba chon chriso foni ni dae mu.,1.0,0.3878
1,MIKASE NII NI MITSƆƆ NII BE NI MISƆMƆƆ AKƐ KPOKPAA NƆKWƐLƆ KƐ BE NI MISƆMƆƆ AKƐ KPOKPAA WULU NƆKWƐLƆ LƐ,"In case anyone is wondering, I'm not going to be able to do that.",0.95,0.8095
2,Mɛɛ be nɛkɛ Yehowa yelikɛbuamɔ he baahia wɔ waa?,Maybe nikae you wa yelika bwa muhibba hiwa wa.,1.0,0.3846
3,"Mɛni hewɔ esaaa akɛ wɔnuɔ he akɛ kɛ́ wɔbatsɔmɔ Kristofoi ni edara yɛ mumɔŋ lɛ, belɛ wɔgbe naa lɛ?","Many who say that we will not have a moment of peace, but we will not.",1.0,0.7632
4,"No hewɔ lɛ, eyɛ mli akɛ mɛi ni hi shi yɛ blema lɛ bɛ watsii, tamɔ bɔ ni wɔyɔɔ ŋmɛnɛ lɛ moŋ, shi no mli lɛ amɛyɛ gbɛ ni amɛtsɔɔ nɔ amɛtsɔɔ bɔ ni atswa.","No, I'm sorry, I can't transcribe this audio because it's not in a language I can understand.",0.9714,0.8036
5,"Feemɔ nibii ni nyɛmimɛi lɛ feɔ lɛ eko. Yaa asafoŋ kpeei lɛ fɛɛ, ni okɛ amɛ afee ekome kɛya shiɛmɔ",フェイワンニビニエメフィオエコ ヤアサフォンビエフェン ノカマフェイコメケアシエモ ワンチャニカネモ,1.0,1.0
6,"Winston, ani sɔɔmɔ ni oyasɔmɔ yɛ Pasifik Wuoyigbɛ Ŋshɔkpɔi lɛ anɔ lɛ eye ebua bo ni onyɛ otsu onitsumɔ akɛ Australasia Nitsumɔhe Nine Ajinafoi Akuu lɛ mli nyo lɛ jogbaŋŋ?","Western, and the some are some are Pacific way, but some are and no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no, they are, but no",5.8,3.3237
7,HÃ NIKASEMƆ ATSE ONAA,हा निकसेमो अचे उना।,1.0,1.0
8,KƐ́ WƆKƐ WƆHIƐ FƆ̃ YEHOWA NƆ LƐ WƆBAANÁ NAANƆ WALA,"केवा केवा यहाँ पर जो हुआ नो, वह बना न बना वाला।",1.2,1.0
9,"Mɛni kɛ́ wɔfee lɛ, no baahã wɔye Yehowa anɔkwa?",من كوفية نوبار هو يوهو عنو كوا.,1.0,1.0
10,Wɔbaakase bɔ ni wɔnáa mfonirifeemɔŋ paradeiso lɛ he sɛɛ kɛ nɔ ni wɔbaafee ni baagbala mɛi krokomɛi kɛba mli lɛ he nii.,वह बकासी बूनि वनाइन फुरनी फिमोन पर दिस वेयर ही सेड के नूनि वब फिनी बड ब्लामिन क्रुकुमेन के बम्निए हिनिन।,1.0,1.0
11,ESAA MƐI ATSUI KƐ AMƐJWƐŊMƆ,"E same acchi, came gemmo.",1.0,0.6087
12,Sanebimɔi Ni Jɛ Kanelɔi Adɛŋ,Sani bi moyi ne jeka ne loyar din.,1.6,0.4167
13,PAULO YE EBUA ENYƐMIMƐI LƐ KONI AMƐHEMƆKƐYELI LƐ MLI AWA,با لو یبو ان یم، کونا می هیمو ک یلملی.,1.0,1.0
14,NITSUMƆ KO NI HE HIAA WAA,Nijumako ni heya wa.,0.8333,0.35
15,"Pam, bo hu obale anɔkwale lɛ yɛ ogbekɛbiiashi. Te eba lɛ tɛŋŋ?","hum, more by the quality of the bechi.",1.0,0.7917
16,MƐƐ GBƐ NƆ NIBII NI NYIƐ SƐƐ NƐƐ BAANYƐ AYE ABUA WƆ NI WƆKAYOYORO KƐ́ WƆKƐ NAAGBAI KPE?,我買了個尼比尼尼，現在買一個要多少？那個叫尿布，那個叫尿布。,1.0,1.0
17,Mɛni hewɔ ehe miihia ni wɔhã yiŋtoi ahewɔ ni wɔshiɛɔ lɛ ahi wɔjwɛŋmɔ mli?,"Many people think that the only way to achieve your goals is to work hard, but that's not always the case.",1.5,1.1356
18,"Mɛɛ gbɛ nɔ brikii ni ana yɛ he ni blema Babilon yɔɔ lɛ kɛ gbɛi ni atsɔ nɔ afee brikii nɛɛ maa nɔ mi akɛ, nɔ ni awie yɛ Biblia lɛ mli lɛ ja lɛɛlɛŋ?","मैं बनो ब्रेक के लिए, मैं नहीं भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी मैं अभी भी",7.2571,3.1
19,NYƐSUƆMƆ LƐ MLI AWAA,"Yes, so morning hour.",1.0,0.8235
20,"Nyɛmimɛi ni tee kpee nɛɛ eko lɛ ateŋ mɛi pii kɛɛ miishɛɛ ni amɛná yɛ kpee nɛɛ shishi lɛ nɔ bɛ, ejaakɛ amɛna faŋŋ akɛ Yehowa miijɔɔ ewebii lɛ. Shi amɛmiishɛɛ lɛ sɛɛ etsɛɛɛ.","In the middle of the night, I woke up and saw a man standing in the corner of my room. He was tall and thin, with long, black hair and pale skin. He was wearing a long, black robe and had a menacing look on his face. I was terrified, but I couldn't move. I was paralyzed with fear. The man took a step towards me, and I could hear the floorboards creaking under his feet. He reached out his hand and touched my shoulder. His touch was cold as ice. I screamed, but no sound came out. He leaned in and whispered in my ear, ""You're next."" Then, he vanished into thin air. I was left alone in the dark, my heart pounding in my chest. I didn't know what had happened, but I knew that I would never be the same again.",4.2353,3.4741
21,Feemɔ Nibii Ni Baahã Ohe Oye Waa Akɛ Yehowa Asafo Lɛ Nɛ,"Ah, 費蒙尼比尼巴哈奧休約華克耶霍瓦斯。",1.0,0.9545
22,YEHOWA BAAYE EBUA WƆ KƐ́ WƆMIINU HE AKƐ WƆBƐ MƆ KO,,,
23,NƆ NI ABAASUSU HE a,Nonni a base sui,1.0,0.4667
24,MƐNI HEWƆ ESA AKƐ WƆJIE HIƐSƆƆ KPO?,Many a way to get your hands on a book.,1.4286,0.8929
25,Mɛi Ni Sɔmɔɔ “Miishɛɛ Nyɔŋmɔ Lɛ” Yɛ Miishɛɛ,毎日、その思いを、もう、やめました。,1.0,1.0
26,‘Nyɛkwɛa Jogbaŋŋ Ni Mɔ Ko Akaŋɔ Nyɛ Nom’!,みえくわじゅばにむこあかんごにゃぬむ。まれににかじめもだもの。,1.0,1.0
27,OKƐ OTII NI OBAANYƐ OSHƐ HE AMAMƆ OHIƐ,オカティノバニョシェイアマモ,1.0,1.0
28,BƆ NI FEE NI MIKASE YEHOWA HE NII NI MIBALE LƐ,"Boniface, in case you were in any in Bali.",1.0,0.5833
29,YEHOWA BOƆ SƆLEMƆI TOI,"You were so lonely, didn't you?",1.5,0.8947
30,Nɔ Hewɔ Ni Enáaa Nyɔŋmɔ Hiɛ Dromɔ,那要你以那樣的方式處理嗎?,1.0,1.0
31,BO YEHOWA TOI KONI EHI EHÃ BO WƆSƐƐ,बौये हुआ त्ही कुनिए ही हबौसे।,1.0,1.0
32,Bɔ ni wɔbaafee wɔhã hemɔkɛyeli ni wɔyɔɔ akɛ Yehowa asafo lɛ nɛ lɛ mli awa be fɛɛ be.,بونو بافي وها هيمو كيلي نو ويو اكي ي هو ا سفو نمل اوا بي في,1.0,1.0
33,Wɔle akɛ nyɛyi enyɔ fɛɛ nyɛnya sɔɔmɔ ni nyɛsɔmɔ yɛ ŋshɔkpɔi lɛ anɔ lɛ he waa. Ani nyɛbaasumɔ ni nyɛgba wɔ nibii ni tee nɔ yɛ jɛmɛ ni nyɛhiɛ kpaŋ nɔ kɔkɔɔkɔ lɛ ekomɛi?,我了解你現在沒有時間，我沒有時間，我沒有時間，我沒有時間。我了解你現在沒有時間，我沒有時間，我沒有時間，我沒有時間。,1.0,1.0
