sample_id,reference,hypothesis,wer,cer
0,1 TARIHI 10.,Tarihi tada ya sura guma,0.5556,0.1852
1,Shawulu ya ɗauke ransa.,Syahulu ia ada ukiran sahaja.,0.3125,0.0277
2,"To, fa, Filistiyawa suka yi yaƙi da Isra’ilawa; Isra’ilawa kuwa suka gudu a gabansu, da yawa kuma suka mutu a kan Dutsen Gilbowa.","Topa, polisi yao soka yiaki da Israelawa. Israelakuwa, soka gudu agabansu. Deyawa kuma, soka mutu. Akandu usangu dilibowa.",0.0359,0.0021
3,"Filistiyawa suka matsa sosai suna bin Shawulu da ’ya’yansa maza, suka kuma kashe ’ya’yansa maza Yonatan, Abinadab da Malki-Shuwa.","Fulistia wa soka masa susai sunabunisha ulu de ya ensa. Maza, tika kumakashi ya ensa maza Jonathan Abinadab Damarikishwa.",0.0471,0.002
4,"Yaƙin ya yi tsanani kewaye da Shawulu, kuma sa’ad da maharba suka rutsa shi, sai suka ji masa rauni.",Ya akiye sanani. Kiwele shaulu. Kuma saa ada maharba. Soka rusashi. Sosoka jima sarauni.,0.0443,0.0031
5,"Sai Shawulu ya ce wa mai riƙe masa kayan yaƙi, “Zare takobinka ka soke ni, in ba haka ba waɗannan marasa kaciya za su zo su yi mini ba’a.",Saisha uli yachi wamei riki masa. Kaya nyaki. Zaratako vinka kasukeni. Imba hakaba watanamara saka chia. Zasa zosi imeni ba.,0.0333,0.002
6,Amma mai ɗaukar masa kayan yaƙi ya ji tsoro bai kuwa yi haka ba; saboda haka Shawulu ya zāre takobinsa ya fāɗi a kansa.,maa maedawu karamasa kaa ingi aki ya jizuru bae kuehi hakaba sabo dehaka shauli ya zari toko bensa ya padi akansa,0.0382,0.0033
7,"Da mai ɗaukar masa kayan yaƙi ya ga Shawulu ya mutu, sai shi ma ya fāɗi a kan takobinsa ya mutu.","Dame, dauka rmasa kanyaki, yaka shauli ya mutu. Saishima ya padi, akantako obensa ya mutu.",0.0363,0.0026
8,"Ta haka Shawulu da ’ya’yansa maza uku suka mutu, dukan gidansa kuwa suka mutu tare.","Taka shaulu diya yansa maza huku, soka mutu, dokka njidansa, kuwa soka mutu, tare.",0.0444,0.0024
9,"Sa’ad da dukan Isra’ilawa a cikin kwari suka ga cewa mayaƙansu suna gudu, kuma cewa Shawulu da ’ya’yansa maza sun mutu, sai suka bar garuruwansu suka gudu.",Saada doka Israelawa atikionkwadi soga chihwa maya kansu suna gudu. Kumachiwa shaulu daya ensa maza sumutu. Saesuka wargaruru wansu suka gudu.,0.0302,0.0015
10,Filistiyawa kuwa suka zo suka zauna a cikinsu.,"Kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo,",2.3125,0.3954
